EUR_o..Mstb.,WellID,Proppant...Total..lbs.,Fluid...Total..lbs.,Operator,Completion.Date,Number,Depth.Base,Mesh.Size,Treated.Stage.Height,Total.Height
41.208,819,190699,293385,44.4094484539815,38573,8,10437,40.8056935681952,148,997
43.372,823,495000,538146,44.4094484539815,38632,12,10409,40.0465173172115,471,996
37.848,824,396520,414750,44.4094484539815,38669,1,10541,40.0465173172115,2420,1588
39.916,826,550420,606396,44.4094484539815,38879,1,10512,40.0465173172115,1935,798
42.156,829,497280,505386,44.4094484539815,38684,1,10675,40.0465173172115,2043,803.49
34.48,843,682912,407413,49.3060328835135,38799,9,9830,40.0465173172115,64,988
44.904,846,533020,444134,49.3060328835135,38726,12,9966,40.0465173172115,9,1585
35.284,865,550300,572900,44.52772543375,38776,2,10678,40.0465173172115,2468,2810
39.92,879,746360,555702,44.4094484539815,38858,1,10294,40.0465173172115,2449,2343
41.71620714,912,560000,845000,44.52772543375,39141,2,10743,50.8943675560644,2567,2753.32
45.81984815,923,601900,563976,44.4094484539815,38930,1,10626,40.0465173172115,1996,841.49
42.824,930,520620,450120,49.3060328835135,39050,11,7898,40.0465173172115,84,1580
33.84,934,432298,354603,33.3895658112903,38937,10,9912,40.0465173172115,193,1331
37.38,941,675047,532444,49.3060328835135,38978,14,9984,40.0465173172115,268,1568
42.972,948,426034,253336,50.6229815375,39006,7,7956,40.0465173172115,82,1566.19
36.5817199,949,349486,344764,50.6229815375,39052,4,8084,40.0465173172115,83,1559.13
40.396,972,500200,511350,44.4094484539815,39182,1,10597,39.9003721440394,2091,993
37.03210804,1027,110139,316905,49.3060328835135,39412,8,9554,40.0465173172115,68,979.8864
42.448,1029,292800,522000,47.0209348228125,39287,2,9960,40.0465173172115,2023,1498
38.48073554,1040,559262,487560,33.3895658112903,39397,10,7946,40.0465173172115,148,1395
38.15611142,1044,140871,376388,49.3060328835135,39431,8,9661,40.0465173172115,179,959.6446
35.972,1054,495179,386704,33.3895658112903,39491,10,8129,40.0465173172115,77,1424.59
34.504,1070,309000,244500,47.0209348228125,39542,2,9893,40.0465173172115,1961,1472
35.40801779,1099,587140,553766,33.3895658112903,39697,14,8127,40.0465173172115,62,1415
34.07126625,1124,561380,595426,33.3895658112903,39667,14,8108,40.0465173172115,81,1369
45.416,1125,444940,417373,33.3895658112903,39795,10,8656,40.0465173172115,110,856
35.288,1126,427820,323358,33.3895658112903,39892,8,8090,40.0465173172115,112,1396
40.388,1128,602400,548832,33.3895658112903,39772,12,8158,40.0465173172115,160,1428
42.052,1159,431000,463150,47.0209348228125,39767,2,9899,40.0465173172115,1999,1494
39.1,1165,710000,684468,41.73568210375,40358,12,10002,40.0465173172115,62,1419
43.372,1179,451000,545000,47.0209348228125,40083,3,9968,40.0465173172115,1963,1516.73
39.612,1182,857919,863123,49.3060328835135,40142,15,8709,40.0465173172115,67,809
43.112,1191,436450,509300,47.0209348228125,40279,2,10014,40.6752067480394,1988,1541.81
41.076,1199,526500,605000,47.0209348228125,40334,2,9915,40.0465173172115,2003,1365
35.488,1214,508690,561230,47.0209348228125,40373,2,9791,40.0465173172115,1919,1521.57
42.65727819,1219,793130,895120,44.4094484539815,40359,2,10452,39.5067375846788,2133,916.200000000001
45.344,1224,996000,23700,105.938231264,40553,1,10635,40.0465173172115,2505,2298
40.952,1228,534000,597000,47.0209348228125,40513,2,10022,40.6752067480394,2015,1485.4
43.248,1366,805680,1157520,71.9799426216667,40770,1,10386,42.1871426026461,1693,806.07
36.676,1391,509500,556500,47.0209348228125,40868,3,9998,40.6752067480394,2037,1531.69
34.888,1393,5e+05,545500,47.0209348228125,40805,3,10030,40.6752067480394,2078,1533.78
36.652,1420,888500,1409520,74.2750504669444,40947,1,10720,49.7601911475971,2760,2646.29
50.888,465,116500,303000,47.0209348228125,37688,2,10002,40.6193557171952,574,1517
59.86412198,492,447660,284844,44.4094484539815,37637,1,9964,41.3831402505067,2298,1526
59.14113065,500,214000,131000,44.4094484539815,37632,2,9943,59.14113065,1405,897
55.27195048,540,392150,367584,44.4094484539815,37832,1,10363,40.8056935681952,2329,1383.9
51.36853882,541,284200,320628,44.4094484539815,37933,1,9954,42.2540185631788,1644,955
49.61751604,543,379760,361830,44.4094484539815,37880,1,10000,40.0465173172115,2288,2398.53
53.92,568,260479,323611,44.4094484539815,37802,10,10365,42.2540185631788,187,1557
51.75635454,575,153760,219950,44.4094484539815,37887,5,10338,43.3094012208182,560,990
54.508,592,84000,360925,47.0209348228125,37857,2,8639,40.0465173172115,675,1478
46.744,605,250000,86000,44.52772543375,38029,2,10286,44.8480203581298,1994,1001
46.92,616,388286,381034,49.3060328835135,37950,10,9893,40.0465173172115,85,1577
53.41442894,639,3134758.144,774000,44.52772543375,38013,2,10536,48.2362446992692,2179,934
57.53915632,641,653345,387576,105.938231264,38015,2,9883,40.0465173172115,1945,1369
47.144,642,264000,515000,47.0209348228125,37965,4,8585,40.0465173172115,717,1517
60.292,646,200690,300510,44.4094484539815,38025,1,9951,41.9559786504904,1076,783
56.3998334,650,273000,475000,47.0209348228125,38087,4,8661,40.0465173172115,761,1468.45
56.79350791,666,173500,280240,44.4094484539815,38096,8,10271,42.7594155663509,149,991
47.89992016,674,172000,294650,44.4094484539815,38083,8,10376,40.6147474348673,237,931
58.35472283,679,543040,477666,44.4094484539815,39072,2,10126,38.4389204123182,2061,1593
46.61631594,709,181500,283100,44.4094484539815,38163,8,10331,41.1875858348509,210,1022
54.928,714,350780,410088,44.4094484539815,38190,1,10583,40.6752067480394,2454,1606
58.17200944,725,300900,295800,44.52772543375,38276,2,10434,42.1981675323346,2155,967
57.7418352,732,180607,289226,44.4094484539815,38208,8,10168,42.309869594023,62,922
45.952,739,331320,433650,44.4094484539815,38371,1,10359,41.0524907323673,2062,988.440000000001
58.85414189,745,34300,448770,44.4094484539815,38363,1,10231,42.3798971010067,1962,1005
49.84822773,756,183675,320632,44.4094484539815,38586,8,10394,40.4238013015394,232,1515
48.18907111,772,350840,430542,44.4094484539815,38465,1,10533,41.0524907323673,2143,917.780000000001
49.55407614,776,334000,530000,47.0209348228125,38368,4,10007,40.6752067480394,619,1531
48.27209734,782,648106,602154,44.4094484539815,38966,1,10511,40.0465173172115,2170,886
52.128,788,397760,447678,44.4094484539815,38579,1,10743,40.0465173172115,2583,1016
57.032,821,182317,298653,44.4094484539815,38613,8,10376,40.8056935681952,114,976
55.664,831,421620,474264,44.4094484539815,38630,12,10383,42.1238833721788,385,1000
49.28139875,869,598760,634452,44.4094484539815,38817,1,10590,40.0465173172115,2210,2187.57
57.34912221,880,869407,734454,44.4094484539815,39097,1,10278,44.5533068646461,2455,2344.41
47.436,909,525080,444639,49.3060328835135,38966,12,7928,40.0465173172115,206,1552.65
55.956,931,678677,345789,49.3060328835135,39042,10,7934,40.0465173172115,82,1577
56.73353027,932,522980,447122,49.3060328835135,38859,11,9940,40.0465173172115,29,1526
54.64,950,1036124,1304488,50.6229815375,39080,6,8910.8215,40.0465173172115,270.216666666667,1555.75
47.03003331,1000,749500,648102,44.4094484539815,39362,1,10590,39.1696462781788,2023,918
50.89287072,1014,478126,700230,49.3060328835135,39291,12,9510,40.0465173172115,50,940.468
46.41027426,1030,316750,547500,47.0209348228125,39342,2,10053,40.0465173172115,2007,1481.1
59.852,1064,803710,819294,44.4094484539815,39432,1,10556,43.0239042919904,2227,2158.88
47.496,1085,587256,361370,33.3895658112903,39598,14,8237,40.0465173172115,168,1460.77
51.64466495,1086,598889,980043,74.2750504669444,39572,1,10341,41.3483565461625,2291,2388
49.64048366,1092,638540,497377,33.3895658112903,39607,12,8115,40.0465173172115,71,1413.92
46.732,1100,437140,470788,33.3895658112903,39721,12,8022,40.0465173172115,14,1432
55.82033012,1110,542416,426334,33.3895658112903,39903,10,8039,40.0465173172115,153,1518
56.996,1116,680379,629151,33.3895658112903,39775,14,8033,40.0465173172115,17,1285
48.46,1183,828220,880194,44.4094484539815,40228,2,10478,38.8773559318346,2120,936
57.64,1283,656568,1041167.367,71.9799426216667,40653,1,10430,41.6043702749904,1490,823
59.28813167,1285,751000,1247568,74.2750504669444,40674,1,11130,46.4711038744413,2970,2768
49.24,1334,849973,1421574,74.2750504669444,40780,1,11120,48.4102836625971,2950,2772.96
51.71401936,1351,687241,915948.5918,50.6229815375,40941,18,10785,40.0465173172115,78,3042.31
52.05450267,1352,808814,924544,50.6229815375,40943,22,10842,56.1517683832038,262,3135
50.444,1382,808500,1335348,74.2750504669444,40850,1,10665,44.565533460474,2795,2537.4
57.208,1418,782000,1169910,74.2750504669444,40877,1,11210,47.0393339920971,3155,2791.27
54.692,1435,798120,943152,44.4094484539815,40962,2,11256,46.4930542840644,2437,2279.22
58.508,1458,1250497,1029771,49.3060328835135,41064,6,10420,49.3745154945971,956,1412
47.492,1465,1381241,1335581,49.3060328835135,41100,8,10874,94.3044823,98,2625.14
51.928,1477,1408928,1396392,49.3060328835135,41066,8,10822,40.0465173172115,92,3344.71
62.932,525,444980,371028,44.4094484539815,37893,1,10537,41.3810635844576,2110,947.469999999999
74.076,534,308600,358260,44.4094484539815,37848,1,10379,40.0465173172115,2411,2289
69.06138557,567,277480,338026,44.4094484539815,37893,2,10279,44.7178851671298,1883,954
102.9154604,615,313000,187500,44.4094484539815,37915,8,7894,102.9154604,56,2311
69.96060032,652,325190,329532,44.4094484539815,38104,1,10146,40.4284095838673,1823,937.52
61.45273928,661,351360,407064,44.4094484539815,38356,1,10004,41.2434368656952,1651,947.98
66.67873896,692,322000,14000,44.52772543375,38148,2,10640,44.028384793974,2538,1563
62.23906507,696,317000,376000,44.52772543375,38137,2,10145,40.4238013015394,2006,1572
74.9528507,767,175000,154000,47.0209348228125,38485,2,8665,43.739318285925,727,1528
77.38134441,778,401720,579516,44.4094484539815,38627,1,10611,40.0465173172115,2315,924.02
83.324,805,264000,441000,47.0209348228125,38520,4,9995,38.9221568919903,562,1505
67.94976138,848,289000,500250,47.0209348228125,38687,2,10024,40.0465173172115,2080,1546.79
73.06722001,883,319000,655250,47.0209348228125,38775,1,9974,40.6752067480394,2033,1488
61.528,897,715960,588168,44.4094484539815,38930,1,10804,48.7431994490808,2611,2588.55
77.77491575,918,603020,628698,44.4094484539815,39147,4,10795,77.77491575,2462,2508.97
78.06,951,549375,312000,50.6229815375,39005,6,8120,40.0465173172115,108,1568
65.28148434,968,751230,980028,44.4094484539815,39136,1,10230,43.2753097384904,2373,2359
62.78514382,969,700324,613662,44.4094484539815,39204,1,10351,40.6549401126952,2518,1477
60.824,1169,776186.3,2194377.30959999,60.824,40147,14,8014,51.2965176167529,156,2807.89
62.456,1178,488000,560750,47.0209348228125,40270,3,10025,40.6752067480394,2081,1509.47
60.616,1189,700740,1028438,74.2750504669444,40609,1,11039,50.195016583376,351,2666
72.36,1197,978251,23016,74.2750504669444,40511,2,10920,47.932428820425,2948,2603.8
72.924,1211,946000,1480827.633,74.2750504669444,40465,1,10850,51.6466110692365,2870,2526.35
162.696,1222,895000,1028770,105.938231264,40504,8,10150,41.620720850023,306,1297.54
98.26,1223,831000,1049664,105.938231264,40542,1,10438,43.4011882763182,2256,2321.25
64.762,1227,947000,18984,74.2750504669444,40517,2,10830,45.4625443491134,2322,1994.67
82.656,1247,723000,18480,74.2750504669444,40524,2,11164,47.8054341395808,3012,2771.41
76.504,1248,934001,18480,74.2750504669444,40546,2,10865,47.3688069850971,2880,2562.02
76.292,1249,851000,1273818,74.2750504669444,40653,1,10755,46.9267981931134,3285,3420.87
195.747454,1255,1125600,22512,74.2750504669444,40572,2,10870,47.932428820425,2890,2650.2
60.876,1256,834020,1147440,74.2750504669444,40607,1,10725,44.400237794974,2770,2476.05
124.768,1278,859990,1100652,118.1616,40571,2,10290,39.6080817976952,2418,1415.19
123.6427928,1289,682000,1033494,74.2750504669444,40756,1,10710,43.546217306474,2735,2588.46
70.588,1292,1308120,1251750,49.3060328835135,40673,6,10264,45.0216517001461,898,2167
68.68,1298,956000,1533924,74.2750504669444,40774,1,10800,50.5147591162529,2835,2480.2
62.216,1323,858500,1401666,74.2750504669444,40734,1,10895,47.1196360196134,2885,2704.09
95.96,1326,756280,1179780,74.2750504669444,40738,1,10710,44.400237794974,2740,2642.85
90.7,1328,1312915,975840,49.3060328835135,40798,6,10255,40.0465173172115,727,1324.11
73.48365573,1345,698959,1080156,71.9799426216667,40758,1,10424,41.6445629528182,1758,780.800000000001
65.18104683,1346,306130,465612,44.4094484539815,40931,2,10181,41.176477577023,831,1045.92502
99.244,1367,855350,1209306,71.9799426216667,40825,1,10436,41.8098586183182,1746,778.720000000001
124.096,1369,800014,1283142,71.9799426216667,40838,1,10440,42.1871426026461,1741,789.559999999999
71.07859197,1376,978500,1523424,74.2750504669444,40767,1,11130,51.3351702305644,3000,2711.66
74.232,1395,866400,781200,119.288,40835,1,11386,48.3047639295644,2836,2620.98
164.344,1396,970400,897120,119.288,41015,1,11360,55.669740215999,2800,2604.88
83.38,1403,821000,1312584,74.2750504669444,40861,1,10870,46.4328028897856,3020,2543.25
89.508,1411,717041,1015350,118.1616,40873,1,10250,41.6406468925067,2403,1453.52
84.592,1412,830181,1314264,118.1616,40835,1,10420,46.7106343542692,2470,2501.84
67.14,1453,819500,1256850,74.2750504669444,40981,1,10540,48.3635910092692,2585,2474.95
66.956,1462,1337138,1335326,49.3060328835135,41029,7,10860,65.5477608591221,149,2773.1
133.616,1469,1528015,1407711,49.3060328835135,41096,10,11102,94.3044823,161,3128.94
84.272,1471,846000,1353282,74.2750504669444,40974,1,10785,48.5097361824413,2825,2477.61
78.02,1473,1154722,947669,49.3060328835135,41064,6,10367,51.6129095255971,735,2228
70.35833286,1487,801000,1278690,74.2750504669444,40986,1,11235,55.1056856183596,3065,2814.49
166.34,1496,787968,1121190,118.1616,41006,1,10286,46.8353045796298,2441,1428.06
86.52,1499,123000,1541994,41.73568210375,41012,2,11146,56.6852641423433,2213,2278.96
70.092,1503,789550,1236810,74.2750504669444,41106,2,10730,56.9131791152038,2766,2645.03
70.06,1505,496525,988889,74.2750504669444,41113,2,10800,53.7235443618923,1495,1296.9
159.2121528,1509,936100,440916,159.2121528,41062,1,11400,58.011421693999,2990,2695.83
64.176,1510,791962.397248,917405.306104,41.73568210375,41056,2,11265,59.096229364499,3059,2965.74
125.6,1513,802974,1161972,118.1616,41085,1,10440,50.633362128425,2433,1394.3
