WellID,Subarea,Operator,County,Completion.Date,Completion.Year,Surface.Latitude,Surface.Longitude,Depth.Total.Driller..ft.,WB.Spacing.Proxy,SPBY.Spacing.Proxy,Deepest_Zone,Between_Zone,Frac.Stages,Treatment.Records,Fluid.Water..Gals.,Acid..Gals.,Gel.x.link..Gals.,Other..Gals.,Proppant...Total..lbs.,Fluid...Total..lbs.,EUR_o..Mstb.,Number,Type,Depth.Top,Depth.Base,Fluid.Amount,Fluid.Units,Fluid.Type,Propping.Agent.Amount,Propping.Agent.Units,Propping.Agent.Type,Pressure.Breakdown,Injection.Rate,Additive,Mesh.Size,Remark,CLFK..KHW.,U_SPBR..KHW.,L_SPBR..KHW.,WFMP..KHW.,WFMP_L..KHW.,WFMP_ATB..KH,CLINE..KHW.,STRN..KHW.,ATOK..KHW.,BEND..KHW.,ATOKA_L..KHW,MPLM..KHW.,WDFD..KHW.,DVNN..KHW.,CLEARFORK..MAP.,SPRABERRY_U..MAP.,SPRABERRY_L..MAP.,WOLFCAMP..MA,WOLFCAMP_L..,WFMP_ATB..MA,CLINE..MAP.,STRAWN..MAP.,ATOKA..MAP.,BEND..MAP.,ATOKA_L..MAP,MISSISSIPPIA,WOODFORD..MA,DEVINOAN_UNC
1699,E,PIONEER NATURAL RESOURCES USA INC,REAGAN,38417.0,2005.0,31.49829,-101.67627,9319.0,40,20,WFMP,SPBR_U --> WFMP,5.0,10.0,0.0,11000.0,334782.0,0.0,508260.0,345782.0,28.35819288,10.0,FRAC,8976.0,9006.0,69468.0,GAL,GEL,18375.0,LB,SAND,,30.0,,20/40,10# LINEAR,,,,,,,,,,,,,,,5588.68,6545.31,7118.6,8131.08,8386.66,8716.36,9866.56,10266.72,10335.01,10398.56,10585.96,10727.28,10866.93,10911.05
715,A,ENDEAVOR ENERGY RESOURCES LIMITED PRTS,MIDLAND,38163.0,2004.0,31.8105,-102.10881,10099.0,40,40,WFMP,SPBR_L --> WFMP,3.0,7.0,0.0,5500.0,156000.0,250.0,223000.0,161750.0,36.412,7.0,FRAC,8550.0,8745.0,40000.0,GAL,X-LINKGEL,100000.0,LB,SAND,,40.0,,20/40, 16/30,6981.0,7808.0,8389.0,9272.0,9647.0,9864.0,,,,,,,,,6992.42,7821.16,8399.87,9258.12,9633.25,9855.15,10165.79,10420.85,10605.68,10731.66,11029.46,11513.24,11750.18,11844.18
1583,E,PIONEER NATURAL RESOURCES USA INC,REAGAN,37838.0,2003.0,31.61864,-101.64783,8345.0,160,40,WFMP,SPBR_U --> WFMP,3.0,6.0,0.0,5000.0,187976.0,0.0,472920.0,192976.0,42.688,6.0,FRAC,6594.0,6942.0,48872.0,GAL,X-LINKGEL,130750.0,LB,SAND,,,,20/40,20# BORATE,5537.0,,7124.0,,,,,,,,,,,,5614.72,6578.36,7125.67,8148.34,8444.79,8808.48,9881.39,10246.15,10364.54,10441.57,10558.87,10764.83,10911.62,10954.59
2555,B,PIONEER NATURAL RESOURCES USA INC,UPTON,40792.0,2011.0,31.51268,-101.99773,10900.0,40,160,ATOKA,SPBR_U --> ATOKA,2.0,4.0,0.0,13500.0,857112.0,0.0,1116006.0,870612.0,57.116,4.0,FRAC,9216.0,10690.0,569688.0,GAL,GEL,525394.0,LB,SAND,,,FECL,,DETAILS: 12# LINEAR MSD,,,,,,,,,,,,,,,6650.0,7525.63,8138.16,9060.59,9384.51,9718.42,10467.79,10775.87,10702.12,10789.66,10968.58,11354.13,11416.44,11505.52
2156,F,LAREDO PETROLEUM - DALLAS INCORPORATED,REAGAN,40330.0,2010.0,31.50567,-101.45596,8547.0,40,40,WFMP,SPBR_U --> WFMP,8.0,8.0,,,,,,,39.416,8.0,FRAC,8114.0,8302.0,,,A,0.0,,,,,HCL,,W/ PROP,,,,,,,,,,,,,,,4276.91,5797.22,6350.57,7394.11,7606.16,8164.42,9308.9,9625.98,9723.0,,9745.49,9961.45,10092.98,10128.1
2028,F,LAREDO PETROLEUM - DALLAS INCORPORATED,REAGAN,39627.0,2008.0,31.57789,-101.40384,8700.0,80,160,WFMP,SPBR_U --> WFMP,,7.0,,,,,,,26.296,7.0,ACID,8250.0,8400.0,,,A,0.0,,,,,HCL,,HCL W/ PROP,,,,,,,,,,,,,,,4127.63,5752.14,6261.34,7359.62,7627.75,8067.97,9138.15,9512.85,9608.01,,9728.9,9823.97,9934.57,9975.95
189,F,ENDEAVOR ENERGY RESOURCES LIMITED PRTS,GLASSCOCK,40518.0,2010.0,31.6895,-101.52123,10613.0,80,Over 160,SIL_DEV,SPBR_U --> SIL_DEV,1.0,2.0,0.0,15834.0,24110.0,0.0,2194438400.0,39944.0,41.68,2.0,FRAC,6170.0,10474.0,24110.0,GAL,GEL,1959320000.0,LB,SAND,,,GELA,,DETAILS: 1816 BBL ASTGEL 1017 22294 BBL ASTBORMAX 1017 355180# 20/40 SLC 473300# 30/50 BRADY 151180# 16/30 BRADY,,,,,,,,,,,,,,,5276.07,6139.94,6678.3,7771.21,8201.79,8415.64,9503.42,9858.8,9961.11,10067.46,10103.29,10274.35,10397.0,10439.5
2000,E,APACHE CORPORATION,REAGAN,39665.0,2008.0,31.52245,-101.65293,8254.0,20,40,WFMP,SPBR_U --> WFMP,2.0,2.0,220655.0,0.0,0.0,0.0,258000.0,220655.0,19.764,2.0,FRAC,7943.0,8112.0,82253.0,GAL,W,90625.0,LB,SAND,,,SFAC,20/40,DETAILS: SLK WTR WHITE SD,,,,,,,,,,,,,,,5578.69,6519.76,7079.83,8101.74,8336.8,8668.29,9822.02,10218.54,10284.32,10394.31,10511.31,10640.08,10772.2,10814.69
217,D,PIONEER NATURAL RESOURCES USA INC,GLASSCOCK,40677.0,2011.0,31.93995,-101.74466,10330.0,40,40,STRAWN,CLFK --> STRAWN,4.0,8.0,0.0,15000.0,1331749.0,0.0,1333245.0,1346749.0,64.232,8.0,FRAC,10126.0,10182.0,118694.0,GAL,X-LINKGEL,87885.0,LB,SAND,,,XLNK,,,5670.0,6783.0,7345.0,8322.0,8581.0,8899.0,9795.0,10124.0,10268.0,,,,,,5775.31,6785.06,7343.37,8318.98,8574.38,8900.61,9794.77,10121.64,10262.78,10276.84,10297.24,10617.82,10788.93,10830.79
2258,C,PIONEER NATURAL RESOURCES USA INC,UPTON,37629.0,2003.0,31.60823,-101.80401,8805.0,Over 160,40,WFMP,CLFK --> WFMP,3.0,6.0,0.0,3500.0,176500.0,0.0,473330.0,180000.0,28.968,7.0,FRAC,7026.0,7232.0,46000.0,GAL,X-LINKGEL,138330.0,LB,SAND,,32.0,HCL,,20# BORATE; SPEARHEAD W/500 HAL 7.5% HCL,6179.0,,,,,,,,,,,,,,6178.6,7026.84,7679.33,8615.69,8920.46,9336.0,10303.82,10603.87,10743.76,10769.66,10985.58,11425.36,11509.25,11579.09
2370,B,BERRY OIL COMPANY,UPTON,39643.0,2008.0,31.59116,-102.07379,10459.0,160,40,WFMP,SPBR_L --> WFMP,1.0,2.0,762972.0,15624.0,0.0,0.0,827900.0,778596.0,49.9394299,2.0,FRAC,8314.0,10459.0,762972.0,GAL,W,827900.0,LB,SAND,,,SFAC,20/40,DETAILS: SLK WTR & GEL OTTAWA SD,,,,,,,,,,,,,,,6822.2,7695.91,8265.5,9181.14,9483.41,9743.92,10337.62,10613.05,10748.39,10829.16,11130.31,11611.68,11755.92,11862.81
1945,E,APACHE CORPORATION,REAGAN,39195.0,2007.0,31.43126,-101.64122,8066.0,40,40,WFMP,CLFK --> WFMP,2.0,2.0,364938.0,0.0,0.0,0.0,123000.0,364938.0,31.684,2.0,FRAC,7699.0,7887.0,122808.0,GAL,W,61500.0,LB,SAND,,,SFAC,20/40,DETAILS: SLK WTR BRADY SD,,,,7855.02,,,,,,,,,,,5310.38,6290.98,6856.41,7848.66,8222.99,8505.62,9799.13,10116.44,10227.91,,10410.53,10620.11,10760.84,10788.94
1774,E,APACHE CORPORATION,REAGAN,38621.0,2005.0,31.528,-101.68779,8451.0,20,20,WFMP,CLFK --> WFMP,2.0,2.0,383200.0,0.0,0.0,0.0,100450.0,383200.0,36.764,2.0,FRAC,8011.0,8225.0,131800.0,GAL,W,49250.0,LB,SAND,,,SFAC,20/40,DETAILS: SLK WTR MESH B SD,,,,,,,,,,,,,,,5687.98,6610.03,7183.63,8203.07,8456.98,8781.51,9918.29,10336.46,10375.8,10433.1,10629.42,10804.65,10937.73,10984.5
587,C,PIONEER NATURAL RESOURCES USA INC,MIDLAND,37881.0,2003.0,31.7097,-101.79151,8750.0,40,20,WFMP,SPBR_L --> WFMP,2.0,4.0,0.0,3500.0,126706.0,0.0,335540.0,130206.0,27.84973229,4.0,FRAC,7762.0,7992.0,65806.0,GAL,X-LINKGEL,176029.0,LB,SAND,,,,20/40,20# BORATE,6176.0,7039.0,7611.0,8604.0,,,,,,,,,,,6149.1,7026.81,7619.27,8597.71,8866.3,9313.12,10176.58,10465.18,10620.57,10675.09,10825.79,11198.32,11337.26,11425.85
1925,E,APACHE CORPORATION,REAGAN,39239.0,2007.0,31.40627,-101.66589,8147.0,40,40,WFMP,SPBR_U --> WFMP,2.0,2.0,370104.0,0.0,0.0,0.0,123000.0,370104.0,18.7,2.0,FRAC,7709.0,7898.0,125034.0,GAL,FLUD,61500.0,LB,SAND,,,,20/40,DETAILS: SLCK WTR MESH B,,,,7859.51,,,,,,,,,,,5402.74,6299.74,6868.51,7860.88,8208.35,,9828.83,10180.7,10310.98,,10440.44,10779.86,10923.3,10961.42
1463,B,ATHLON ENERGY OPERATING LLC,MIDLAND,40924.0,2012.0,31.65588,-102.04129,11707.0,40,40,ATOKA,WFMP --> ATOKA,1.0,1.0,189000.0,0.0,0.0,0.0,130000.0,189000.0,38.888,1.0,FRAC,9173.0,11434.0,189000.0,GAL,FLUD,130000.0,LB,SAND,,,,,,,,,,,,,,,,,,,,6903.35,7785.49,8401.87,9302.18,9646.49,9813.63,10544.99,10869.17,10991.72,10952.48,11182.82,11936.92,12070.59,12167.78
876,C,PIONEER NATURAL RESOURCES USA INC,MIDLAND,38816.0,2006.0,31.78638,-101.94933,10492.0,40,160,WFMP,SPBR_L --> WFMP,6.0,11.0,0.0,13750.0,453172.0,0.0,401360.0,466922.0,50.748,11.0,FRAC,10136.0,10346.0,80943.0,GAL,X-LINKGEL,17185.0,LB,SAND,,44.0,,20/40,20# BORATE,6537.0,7405.0,7967.0,8976.0,9332.0,9649.0,10349.0,,,,,,,,6541.26,7416.53,7977.82,8993.64,9340.34,9652.42,10347.43,10626.35,10769.34,10853.14,11010.78,11424.47,11678.92,11750.83
864,C,PIONEER NATURAL RESOURCES USA INC,MIDLAND,38802.0,2006.0,31.85266,-101.97081,10380.0,40,160,WFMP,SPBR_L --> WFMP,6.0,12.0,0.0,15750.0,450349.0,0.0,405820.0,466099.0,37.752,12.0,FRAC,9838.0,10147.0,80698.0,GAL,X-LINKGEL,17493.0,LB,SAND,,40.0,,20/40,20# BORATE,6676.0,7528.0,8083.0,9108.0,9437.0,,10330.0,,,,,,,,6673.28,7524.38,8078.5,9101.25,9434.86,9770.12,10294.27,10573.1,10722.94,10829.63,10975.33,11316.35,11565.56,11677.04
438,D,BERRY OIL COMPANY,GLASSCOCK,41119.0,2012.0,31.94586,-101.72011,10956.0,,,SIL_DEV,WFMP --> SIL_DEV,10.0,20.0,0.0,16000.0,1075074.0,0.0,1222148.0,1091074.0,45.732,20.0,FRAC,10630.0,10733.0,105840.0,GAL,X-LINKGEL,99965.0,LB,CER,,,XLNK,20/40,DETAILS: 15# XL GEL BERRY ISP SD,,,,,,,,,,,,,,,5612.34,6610.97,7154.14,8150.2,8428.59,8682.71,9647.56,9976.09,10111.86,10199.95,10226.25,10455.4,10628.37,10683.78
1966,E,PIONEER NATURAL RESOURCES USA INC,REAGAN,39624.0,2008.0,31.44429,-101.59783,8610.0,80,40,WFMP,SPBR_U --> WFMP,6.0,12.0,0.0,10500.0,388487.0,0.0,782240.0,398987.0,22.748,12.0,FRAC,6183.0,6343.0,50555.0,GAL,X-LINKGEL,132200.0,LB,SAND,,,,20/40,20# BORATE,5318.0,6169.0,6745.0,7745.94,8074.62,,,,,,,,,,5241.56,6177.52,6747.31,7755.52,8084.95,8458.08,9705.6,10010.67,10115.47,,10302.08,10425.3,10571.25,10600.2
2210,F,LAREDO PETROLEUM - DALLAS INCORPORATED,REAGAN,40623.0,2011.0,31.54554,-101.43835,8550.0,40,20,WFMP,SPBR_U --> WFMP,8.0,8.0,,,,,,,44.708,8.0,FRAC,8148.0,8344.0,,,A,0.0,,,,,,,W/ PROP,,,,,,,,,,,,,,,4235.46,5839.28,6378.34,7440.44,7583.87,8179.65,9301.83,9622.06,9708.69,,9780.93,9964.86,10090.89,10115.25
1894,E,APACHE CORPORATION,REAGAN,39042.0,2006.0,31.40133,-101.70376,8358.0,40,40,WFMP,SPBR_U --> WFMP,2.0,2.0,483756.0,0.0,0.0,0.0,173822.0,483756.0,32.832,2.0,FRAC,7823.0,8270.0,235746.0,GAL,W,108486.0,LB,SAND,,,,20/40,DETAILS: SLICK WTR B SD,,,,7990.69,,,,,,,,,,,5493.3,6412.47,6982.61,7983.9,8354.69,8519.05,9950.55,10250.68,10384.61,,10520.71,10903.45,11025.4,11076.04
2390,B,ATHLON ENERGY OPERATING LLC,UPTON,40272.0,2010.0,31.62561,-102.072,10300.0,160,40,WFMP,SPBR_U --> WFMP,1.0,2.0,671916.0,14000.0,0.0,0.0,6720000.0,685916.0,41.364,2.0,FRAC,7850.0,9810.0,671916.0,GAL,FLUD,6000000.0,LB,SAND,,,,20/40,6000000#,6850.0,7695.0,8300.0,9186.0,9501.0,9883.0,,,,,,,,,6879.16,7729.48,8294.42,9211.33,9491.8,9884.4,10295.1,10649.91,10750.94,10785.01,11025.6,11630.53,11759.52,11868.56
1984,F,APACHE CORPORATION,REAGAN,39563.0,2008.0,31.61625,-101.55494,8077.0,80,20,WFMP,CLFK --> WFMP,2.0,2.0,147484.0,0.0,0.0,0.0,325000.0,147484.0,17.1,2.0,FRAC,7699.0,7868.0,96746.0,GAL,W,265000.0,LB,SAND,,,SFAC,20/40,DETAILS: SLK WTR B SD,5096.0,6221.0,6806.0,7868.0,,,,,,,,,,,5044.09,6223.82,6803.7,7866.3,8138.12,8473.62,9616.38,9999.41,10101.68,10225.98,10193.27,10488.01,10587.03,10622.91
1864,F,APACHE CORPORATION,REAGAN,38877.0,2006.0,31.62333,-101.55685,8101.0,40,40,WFMP,CLFK --> WFMP,2.0,2.0,380190.0,0.0,0.0,0.0,123000.0,380190.0,20.3,2.0,FRAC,7693.0,7868.0,128650.0,GAL,W,61500.0,LB,SAND,,,SFAC,20/40,DETAILS: SLICK WTR; BRADY SD,5094.0,,,,,,,,,,,,,,5092.45,6231.15,6794.01,7860.85,8165.0,8488.1,9633.35,10004.06,10108.01,10228.13,10204.23,10494.2,10600.23,10632.98
1733,E,APACHE CORPORATION,REAGAN,38481.0,2005.0,31.43548,-101.65264,8239.0,40,20,WFMP,SPBR_U --> WFMP,2.0,2.0,383200.0,0.0,0.0,0.0,100450.0,383200.0,20.25828222,2.0,FRAC,7702.0,7909.0,131800.0,GAL,W,49250.0,LB,SAND,,,SFAC,20/40,SLICK WATER,,,,7874.89,,,,,,,,,,,5373.93,6323.49,6889.35,7880.75,8255.82,8540.25,9830.53,10157.1,10271.19,,10459.79,10677.67,10819.93,10848.91
293,F,ENERGEN RESOURCES CORPORATION,GLASSCOCK,40813.0,2011.0,31.68876,-101.4452,10075.0,40,Over 160,ATOKA,SPBR_L --> ATOKA,6.0,12.0,122000.0,27000.0,303000.0,0.0,637000.0,452000.0,22.844,12.0,FRAC,9506.0,9763.0,122000.0,GAL,FLUD,95000.0,LB,SAND,,,BIOC,20/40,DETAILS: 20000 GAL SLK WTR 102000 GAL YF115ST X-LINKED BORATE GEL  95000 NORTHERN WHITE SD,,,,,,,,,,,,,,,4611.86,5961.24,6490.24,7596.61,7947.08,8188.05,9285.08,9646.72,9744.24,,9972.23,9957.01,10140.18,10205.84
1147,C,PIONEER NATURAL RESOURCES USA INC,MIDLAND,39924.0,2009.0,31.70798,-101.78876,8897.0,40,20,WFMP,SPBR_U --> WFMP,4.0,8.0,0.0,5000.0,196020.0,0.0,547660.0,201020.0,20.196,8.0,FRAC,7053.0,7215.0,36168.0,GAL,X-LINKGEL,131660.0,LB,SAND,,,XLNK,20/40,18# BORATE BRADY SD,6143.0,7005.0,7595.0,8590.0,,,,,,,,,,,6117.03,7013.09,7598.65,8583.41,8846.47,9296.8,10166.42,10458.48,10613.66,10671.33,10822.76,11187.91,11327.06,11414.56
2253,F,PIONEER NATURAL RESOURCES USA INC,REAGAN,41082.0,2012.0,31.51949,-101.41753,9703.0,80,160,STRAWN,SPBR_L --> STRAWN,4.0,8.0,0.0,12000.0,1299378.0,0.0,1360378.0,1311378.0,47.032,8.0,FRAC,9482.0,9538.0,179936.0,GAL,X-LINKGEL,144162.0,LB,SAND,,,XLNK,20/40,DETAILS: 12# XL ASSIST GEL MSD SD,,,,7536.75,7680.48,7985.85,,,,,,,,,4148.46,5664.58,6213.93,7261.07,7518.09,,9154.72,9521.22,9600.99,,9710.73,9817.57,9940.14,9968.65
2550,B,PIONEER NATURAL RESOURCES USA INC,UPTON,40731.0,2011.0,31.5069,-101.9956,10884.0,80,80,ATOKA,SPBR_U --> ATOKA,3.0,6.0,0.0,0.0,956326.0,0.0,1187003.0,956326.0,65.652,6.0,FRAC,9174.0,10652.0,689452.0,GAL,GEL,634697.0,LB,SAND,,,,,12# GEL,,,,,,,10453.41,10757.24,,,,,,,6635.14,7500.27,8109.04,9030.03,9365.36,9663.33,10452.47,10759.63,10678.98,10834.98,10961.8,11326.16,11388.03,11475.64
1014,A,PIONEER NATURAL RESOURCES USA INC,MIDLAND,39291.0,2007.0,31.80603,-102.1887,10537.0,,,WFMP,WFMP --> WFMP,6.0,12.0,0.0,15900.0,684330.0,0.0,478126.0,700230.0,50.89287072,12.0,FRAC,9460.0,9510.0,88873.0,GAL,GEL,66512.0,LB,SAND,3123.0,65.2,,20/40,17# LINEAR,7172.0,8005.0,8553.0,9370.91,9807.92,9843.29,10270.0,,,,,,,,7169.49,7998.63,8550.02,9365.3,9804.47,9864.36,10268.47,10583.97,10805.49,11022.67,11238.6,11813.88,12060.74,12175.16
1040,A,APACHE CORPORATION,MIDLAND,39397.0,2007.0,31.6848,-102.17563,10104.0,40,20,WFMP,SPBR_U --> WFMP,5.0,10.0,0.0,21500.0,466060.0,0.0,559262.0,487560.0,38.48073554,10.0,FRAC,7798.0,7946.0,49933.0,GAL,X-LINKGEL,138809.0,LB,SAND,,,,20/40,20# BORATE,7023.0,7736.0,8307.0,9131.0,9554.0,9917.0,,,,,,,,,7019.25,7778.91,8319.04,9142.18,9552.51,9910.91,10019.85,10299.33,10465.11,10514.04,10829.55,11389.67,11585.56,11703.29
1595,E,APACHE CORPORATION,REAGAN,37796.0,2003.0,31.45166,-101.68412,8200.0,160,40,WFMP,SPBR_U --> WFMP,1.0,1.0,0.0,0.0,153212.0,0.0,290310.0,153212.0,22.30126664,1.0,FRAC,6494.0,8154.0,153212.0,GAL,GEL,290310.0,LB,SAND,,,GELA,20/40,AM GEL MAX/ AM BOR MAX BRADY SAND,,,,,,,,,,,,,,,5539.34,6483.32,7053.96,8044.87,8363.97,8656.96,9907.11,10246.73,10367.62,10430.21,10577.48,10792.84,10928.16,10964.68
568,A,ENDEAVOR ENERGY RESOURCES LIMITED PRTS,MIDLAND,37802.0,2003.0,31.7462,-102.027,10542.0,80,160,WFMP,SPBR_U --> WFMP,5.0,9.0,313611.0,10000.0,0.0,0.0,260479.0,323611.0,53.92,10.0,FRAC,10178.0,10365.0,67231.0,GAL,W,17236.0,LB,SAND,,,GELA,,,6783.0,7644.0,8222.0,9201.0,9552.0,9974.0,,,,,,,,,6784.38,7674.89,8286.44,9213.55,9569.25,9968.19,10487.75,10728.17,10841.9,11047.23,11319.19,11821.83,12017.87,12034.07
