EUR_o..Mstb.,WellID,Fluid.Water..Gals.,Proppant...Total..lbs.,Fluid...Total..lbs.,Fluid.Amount,Propping.Agent.Amount.Per.Foot,Operator,Surface.Latitude,Depth.Total.Driller..ft.,Treatment.Records,Depth.Base,Treated.Stage.Height
22.884,2501,732000,619627,732000,359000,133.033450704225,58.9066580742424,31.55594,10786,3,10696,1704
13.406,2541,0,725465,746800,196800,222.843450479233,58.9066580742424,31.57771,10829,4,10707,626
11.04,2545,568000,659375,763000,95000,263.207547169811,58.9066580742424,31.56503,10825,7,10715,265
29.91337288,2579,925778,657000,925778,925778,238.909090909091,71.7415490571429,31.49749,10665,1,10520,2750
28.628,2585,587906,508000,587906,587906,225.777777777778,71.7415490571429,31.50716,10492,1,10220,2250
25.588,2591,1509127.266,927500,1509127.266,1509144,303.104575163399,71.7415490571429,31.52658,11159,1,11020,3060
26.364,2607,0,349500,763518,763518,262.781954887218,71.7415490571429,31.64743,10750,1,10480,1330
11.184,2620,760500,922100,1017500,75,0,58.9066580742424,31.56407,10899,9,10739,3375
25.36517554,2646,1205526,792212,1205526,1205526,282.428520499109,71.7415490571429,31.50543,10945,1,10570,2805
27.04989817,2660,0,298750,373632,372132,310.550935550936,54.3259296711494,31.49566,10983,2,10624,962
6.809624121,2663,489863.68,150000,1152340.199778,1392514.12,65.7894736842105,22.0790636454348,31.64144,11584,1,11320,2280
13.405816,2664,1207164,762000,1207164,1207164,223.788546255507,71.7415490571429,31.49499,11500,1,11390,3405
22.9,2666,1090992,694000,1090992,1090992,271.09375,71.7415490571429,31.51423,10655,1,10355,2560
23.064,2697,1803816,1417920,1803816,1803816,441.730635031403,102.467651326875,31.648,12161,1,11900,2866
13.24119333,2710,0,126000,1511728,1498728,39.8860398860399,22.0790636454348,31.62684,11400,2,11207,3159
18.56,2718,1429386,879500,1429386,1429386,269.78527607362,71.7415490571429,31.51553,11460,1,11210,3260
34.92,2728,0,1317273,1223301,881949,530.815541031227,54.3259296711494,31.51599,10953,6,10534,1377
42.6041591,473,321655,270589,331655,68221,126.962962962963,52.9952073841379,31.6883,10500,9,10300,135
48.24447828,474,322255,259800,333255,71821,157.522123893805,52.9952073841379,31.68367,10520,10,10265,113
45.17484084,510,0,274296,330964,66244,112.179487179487,52.9952073841379,31.6616,10500,10,10391,156
37.02778895,531,281233,166834,291233,67810,234.179487179487,52.9952073841379,31.7195,10515,8,10292,78
41.71257753,561,285928,304342,295928,43064,96.6546391752577,52.9952073841379,31.73403,10510,10,10301,194
51.4008322,613,0,159500,284821,73103,191.056910569106,52.9952073841379,31.6813,10500,8,10269,123
36.512,618,0,372160,291005,64319,161.538461538462,54.3259296711494,31.73105,10502,8,10400,104
41.116,633,0,169528,280233,66935,131.635658914729,52.9952073841379,31.6752,10525,8,10224,129
40.024,636,0,191500,293927,76686,258.474576271186,52.9952073841379,31.6721,10510,8,10251,118
39.632,699,0,174500,283023,22976,408.839779005525,52.9952073841379,31.6658,10501,8,8404,181
48.332,743,0,145509,198460,88215,92.6509240246407,52.9952073841379,31.6979,10510,6,10079,487
38.192,750,0,191199,298644,81536,108.669117647059,52.9952073841379,31.6988,10505,8,10386,272
42.732,765,0,191540,285566,24352,404.166666666667,52.9952073841379,31.6603,10510,8,8655,180
46.864,766,0,188640,301913,24369,323.762331838565,52.9952073841379,31.6579,10500,8,8649,223
48.6,787,0,190640,297630,80935,210.597315436242,52.9952073841379,31.6835,10515,8,10314,149
43.884,803,0,181077,297063,80552,133.497797356828,52.9952073841379,31.6865,10520,8,10362,227
39.33313857,804,384174,134520,384174,384174,59.5484727755644,52.9952073841379,31.683,10611,1,10387,2259
51.112,895,0,549019,457646,55714,2370.83050847458,54.3259296711494,31.72431,10540,13,7865,59
36.552,899,581616,639520,581616,581616,248.646967340591,52.9952073841379,31.69801,11258,1,10849,2572
48.112,910,594300,650550,594300,594300,249.827188940092,52.9952073841379,31.69336,11260,1,10757,2604
47.248,946,548394,648830,548394,548394,303.475210477081,52.9952073841379,31.7148,10750,1,10407,2138
35.08,971,328986,258000,328986,328986,85.6289412545636,52.9952073841379,31.6541,10718,1,10630,3013
38.603443,981,0,595424,388265,99149,867.535,54.3259296711494,31.66763,10392,8,9493,200
50.2,991,0,651880,528276,528276,263.066989507667,52.9952073841379,31.70771,10871,1,10715,2478
42.016,1184,0,1032200,992922,50232,661.704545454545,54.3259296711494,31.72803,10565,20,7648,176
39.588,1186,0,897850,872874,56238,1181.95901639344,54.3259296711494,31.72936,10895,18,8202,122
45.344,1220,0,471540,12012,12012,313.107569721116,71.7415490571429,31.6554,10750,1,10558,1506
51.612,1331,1032612,718040,1041684,1032612,384.389721627409,52.9952073841379,31.70723,10725,2,10592,1868
38.888,1463,189000,130000,189000,189000,57.4966828836798,22.0790636454348,31.65588,11707,1,11434,2261
46.25148171,2265,0,469940,202954,62617,735.373205741627,54.3259296711494,31.55556,9520,6,9065,209
50.01729324,2339,0,317200,461702,90168,825.551724137931,54.3259296711494,31.49626,10767,10,9205,87
36.984,2342,446720,365875,446720,216720,123.03664921466,40.0233297225,31.55595,10000,3,9871,764
39,2343,400250,365875,400250,170250,116.049382716049,40.0233297225,31.55367,10035,3,9859,810
38.624,2351,0,671000,790160,780660,278.307756117793,71.7415490571429,31.49252,10620,2,10185,2411
46.4913173,2355,0,849260,708296,54063,810.2,54.3259296711494,31.49475,10540,16,7611,165
44.856,2359,0,645000,528864,87108,168.269230769231,61.4758020669231,31.55119,10550,7,10499,416
49.9394299,2370,762972,827900,778596,762972,385.967365967366,25.130579255,31.59116,10459,2,10459,2145
36.436,2372,454500,356750,454500,168000,111.111111111111,40.0233297225,31.56216,10013,3,9892,765
41.136,2375,410750,27678.475,410750,136000,30.0279329608939,40.0233297225,31.56399,10027,3,9484,358
36.356,2377,368000,356750,368000,158000,111.256544502618,40.0233297225,31.56771,10033,3,9865,764
48.028,2378,454500,356750,454500,168000,111.695137976347,40.0233297225,31.5596,9991,3,9873,761
49.468,2385,0,923020,988801,54050,894.830303030303,54.3259296711494,31.51676,10624,20,7577,165
41.364,2390,671916,6693788.70012591,685916,671916,3061.22448979592,22.0790636454348,31.62561,10300,2,9810,1960
36.45196917,2392,516000,36500,516000,224000,23.1535756154748,58.9066580742424,31.51385,10081,3,10027,853
51.28691275,2403,138000,74000,138000,138000,685.185185185185,40.0233297225,31.55044,10000,2,10000,108
46.908,2408,0,430101,891129,891129,490.982876712329,71.7415490571429,31.61163,10226,1,10076,876
43.112,2411,950838,802329,950838,950838,403.18040201005,43.112,31.58884,10312,1,10210,1990
48.844,2432,0,1012580,1022406,50904,839.355828220859,54.3259296711494,31.60639,10892,18,7811,163
49.844,2465,0,794375,887500,75,0,58.9066580742424,31.51677,10845,8,10732,3157
35.896,2483,0,730000,686950,142002,6000,22.0790636454348,31.64466,10140,12,9936,20
45.976,2489,0,1416195,1302962.367,1038450,580.481506388702,54.3259296711494,31.5155,10859,6,10641,1487
43.176,2500,1087044,743500,1087044,1087044,287.176516029355,71.7415490571429,31.498,10610,1,10440,2589
39.636,2510,0,470600,12012,466506.693333333,326.805555555556,71.7415490571429,31.63036,10745,2,10604,1440
46.432,2511,1067052,644037,1067052,1067052,286.876169265033,71.7415490571429,31.51153,10595,1,10500,2245
50.188,2513,1365462,1216320,1365462,1365462,418.17481709665,85.256,31.53888,10565,1,10428,2597
44.95842123,2532,0,602440,725466,725466,348.634259259259,102.467651326875,31.63887,11015,1,10990,1728
52.52,2552,0,1208765,1158666,824176,376.932811480757,54.3259296711494,31.50106,10850,8,10627,1533
35.784,2554,678918,1080119,1009694,678918,369.040322580645,54.3259296711494,31.50995,10882,6,10728,1364
47.492,2565,0,573320,557016,117726,431.057692307692,61.4758020669231,31.56052,10885,10,10515,208
40.5,2570,0,728484,780844,119784,382.882882882883,61.4758020669231,31.54126,10763,16,10666,222
52.436,2574,0,4476940,1211111,224951,1078.44117647059,54.3259296711494,31.50339,10779,14,10600,136
51.00215902,2582,0,639272,753032,118524,351.759183673469,61.4758020669231,31.56276,10960,16,10700,245
41.064,2593,1563240,996212,1563240,1563240,284.632,71.7415490571429,31.50704,11487,1,11350,3500
47.424,2612,0,1209728,1013678,738578,420.909622886866,54.3259296711494,31.523,10870,6,10668,1538
39.652,2613,0,1258004,941472,633012,349.370822622108,54.3259296711494,31.52425,10900,6,10652,1556
52.316,2622,0,497189,994938,994938,314.676582278481,71.7415490571429,31.61858,11033,1,10850,1580
39.584,2625,0,501200,988410,988410,376.842105263158,71.7415490571429,31.64832,10850,1,10615,1330
43.216,2643,1074822,1515583.945,1074822,1074822,458.051420838972,102.467651326875,31.64124,11093,1,10948,2956
44.156,2648,0,1344527,1268582,911126,430.596417910448,54.3259296711494,31.50111,10855,6,10742,1675
47.17776158,2671,1330854,836650,1330854,1330854,252.383107088989,71.7415490571429,31.5037,11462,1,11250,3315
49.624,2677,0,756750,876500,36000,406.360723834003,58.9066580742424,31.54364,10800,8,10670,260
44.348,2694,0,1281451,1220062,858152,466.042127071823,54.3259296711494,31.50129,10921,6,10492,1448
41.028,2711,0,1303430,1381180,143808,4664.6,61.4758020669231,31.54215,11364,15,11150,20
39.86,2715,0,1367375,1227082,928066,522.177700348432,54.3259296711494,31.50417,10928,6,10629,1435
46.096,2723,0,1356070,1225744,925966,516.049581005587,54.3259296711494,31.50194,10870,6,10612,1432
46.248,2726,0,807151,762426,754698,378.944131455399,46.248,31.55543,11147,2,11012,2130
53.48724843,499,256614,96126,258614,1000,0,52.9952073841379,31.7189,10500,5,10259,45
61.44099752,558,290069,250780,301069,68145,65.1466165413534,52.9952073841379,31.7186,10480,10,10379,266
60.116,672,0,181220,289737,66613,157.949685534591,52.9952073841379,31.6979,10500,7,10326,159
62.57131418,721,0,188306,298979,81571,246.822580645161,52.9952073841379,31.7076,10520,8,10272,124
65.428,893,0,404660,462114,72737,1490.60504201681,54.3259296711494,31.73139,10576,12,8387,119
56.71657701,914,569772,600900,569772,569772,273.633879781421,52.9952073841379,31.6993,10670,1,10567,2196
55.72469755,1007,0,747800,602322,602322,361.605415860735,52.9952073841379,31.6619,10632,1,10301,2068
53.684,1087,0,751509,707777,69639,2525.72972972973,54.3259296711494,31.65638,10513,12,8469,74
64.6,1225,0,473900,12012,593337.14,322.380952380952,71.7415490571429,31.66946,10538,2,10480,1470
64.704,1307,0,892456,638902,622902,313.142456140351,38.713,31.70779,10873,2,10670,2850
68.516,2273,0,150700,284430,23050,420.454545454545,52.9952073841379,31.6432,10515,8,8669,176
56.128,2275,0,551000,291398,67968,382.978723404255,52.9952073841379,31.6457,10520,8,10213,47
69.67213496,2305,677796,801640,677796,677796,277.000691085003,52.9952073841379,31.6311,10545,1,10247,2894
63.79352249,2318,0,763000,926900,912400,259.965928449744,71.7415490571429,31.4935,10655,2,10247,2935
65.876,2319,0,790500,970250,956250,267.51269035533,71.7415490571429,31.50092,10675,2,10352,2955
58.74358986,2334,0,340492,356781,62231,1205.52830188679,54.3259296711494,31.49181,10354,12,9313,106
56.34661404,2358,0,696000,835500,824000,266.564534661049,71.7415490571429,31.50796,10500,2,10321,2611
58.388,2360,573000,221500,573000,92000,191.235059760956,40.0233297225,31.56122,10050,5,9903,251
61.572,2366,1037820,1303680,1054872,1037820,515.044247787611,25.130579255,31.59411,10628,2,10528,2260
69.55067967,2371,875112,1170400,891534,875112,373.304782298358,25.130579255,31.58609,10605,2,10504,2802
67.692,2413,0,660000,825783,813283,253.651037663336,71.7415490571429,31.50343,10539,2,10353,2602
69.34,2424,0,1219456.055,236954,212454,424.668227946916,102.467651326875,31.62804,10972,2,10850,2562
68.288,2426,0,1030282,636238,24654,34.3174603174603,61.4758020669231,31.54825,10885,20,10705,63
60.556,2440,0,819760,1014258,55104,895.040268456376,54.3259296711494,31.61251,10904,16,8399,149
56.568,2441,0,879800,937656,47166,699.142857142857,54.3259296711494,31.60954,10880,18,7838,168
68.756,2445,0,449300,581600,327600,137.355212355212,58.9066580742424,31.54706,10324,3,10177,1036
64.33160572,2449,0,459125,554400,308000,146.878048780488,58.9066580742424,31.50843,10345,3,10226,1025
53.86,2453,0,643865,436500,150000,175.768488745981,58.9066580742424,31.533,10790,3,10709,1555
66.76,2457,16769.9999999993,729112.26,618344.18817,338643.82,294.138768259306,58.9066580742424,31.55987,10800,3,10286,1110
56.68,2464,448500,774138,838500,3460,0,58.9066580742424,31.52391,10905,8,10656,3093
57.16,2468,0,469180,476000,226000,103.066666666667,58.9066580742424,31.58313,10837,3,10724,1725
64.64,2474,0,1070158,1649274,51616,757.728395061728,54.3259296711494,31.51292,10801,20,7780,162
62.008,2476,1024132.184,746904.283063333,1039126.184,1024128,335.390013407057,71.7415490571429,31.51672,10508,2,10270,1920
53.336,2488,0,1492176,1593347,776526,780.017971758665,54.3259296711494,31.50216,10725,8,10525,779
60.408,2492,0,1281980,1336650,56700,763.6,54.3259296711494,31.64515,10921,22,7940,160
56.768,2493,0,1079302,1125438,51198,680.812121212121,54.3259296711494,31.63554,10919,18,7938,165
70.732,2517,1219722,813500,1219722,1219722,262.843295638126,71.7415490571429,31.5247,10715,1,10440,3095
60.584,2526,1092651,735000,1092651,1092672,301.848049281314,71.7415490571429,31.53152,10584,1,10405,2435
53.87031232,2529,0,800620,1188264,1164198,259.520259319287,52.9952073841379,31.50716,12684,2,12276,3085
57.864,2535,953694,1496543.945,953694,953694,432.362459546926,102.467651326875,31.63168,11225,1,11050,3090
54.86,2537,1177806,733702,1177806,1177806,285.487159533074,71.7415490571429,31.52273,10605,1,10490,2570
60.44,2539,0,1138269,3920893,906833,423.842726081258,54.3259296711494,31.52141,10884,6,10646,1526
69.892,2540,0,1375281,1423902.816,1127994,739.448665297741,54.3259296711494,31.51797,10896,6,10174,974
59.936,2544,0,1306043,1308966,1039752,528.756989247312,54.3259296711494,31.63999,10933,6,10758,1395
55.86,2553,0,1354816,1134300,823042,526.43227665706,54.3259296711494,31.50711,10778,6,10622,1388
57.116,2555,0,1116006,870612,569688,356.440976933514,54.3259296711494,31.51268,10900,4,10690,1474
63.628,2557,645438,1218727,948342,645438,373.333333333333,54.3259296711494,31.51144,10935,6,10708,1485
54.856,2559,0,1799100,1074630,761483,755.031228313671,54.3259296711494,31.51676,10890,6,10657,1441
55.292,2560,0,1133771,875218,585972,397.539682539683,54.3259296711494,31.51414,10889,6,10630,1386
61.92,2561,0,1239630,1081580,791048,471.162853297443,54.3259296711494,31.49217,10752,6,10622,1486
54.916,2562,1067892,1042520,1067892,158130,474.621212121212,22.0790636454348,31.6331,10439,7,10169,264
59.18,2564,1180342.816,734050,1180342.816,1180326,273.389199255121,71.7415490571429,31.52235,10620,1,10520,2685
63.92773658,2577,0,1310274,1126976,817270,546.560617760618,54.3259296711494,31.51934,10885,6,10482,1295
58.5,2578,0,706805,606000,250000,470,58.9066580742424,31.53058,10830,4,10725,269
58.696,2598,1275166.184,822000,1275166.184,1275162,268.627450980392,71.7415490571429,31.52864,11293,1,11010,3060
63.59055022,2599,0,778358,563586,85722,549.218446601942,61.4758020669231,31.54673,10896,16,10516,206
56.956,2608,0,765300,1231188,1231188,259.864176570458,71.7415490571429,31.57578,11205,1,10980,2945
60.272,2615,0,1131351,1061158,751850,423.655041217502,54.3259296711494,31.50499,10830,6,10661,1577
61.344,2616,0,1082917,857126,583018,345.2366710013,54.3259296711494,31.52087,10890,6,10694,1538
63.756,2623,0,550000,1088488.816,1088472,317.919075144509,71.7415490571429,31.6318,11011,1,10880,1730
54.936,2632,0,1351741,1392694,1058862,528.783602150538,54.3259296711494,31.50572,10779,4,10666,1488
59.452,2638,1141690.184,732500,1141690.184,1141686,293,71.7415490571429,31.56336,10693,1,10370,2500
52.592,2649,0,1391776,1296000,1015224,580.131837307153,54.3259296711494,31.51581,10905,6,10679,1426
65.012,2653,0,1479543,1408510,536416,533.099033816425,54.3259296711494,31.5197305,10854,6,10564,828
66.07164649,2655,0,1360760,1267438,910344,447.692307692308,54.3259296711494,31.51971,10885,6,10716,1664
68.532,2668,0,858000,944000,1e+05,350.296442687747,58.9066580742424,31.55422,10887,9,10704,253
57.84,2675,1136646,723275,1136646,1136646,311.756465517241,71.7415490571429,31.52731,10681,1,10270,2320
68.30228208,2676,1073814,1512590,1433526,1073814,552.579279848389,54.3259296711494,31.51393,10888,4,10680,1583
66.256,2687,1101408,702544,1101408,1101408,277.685375494071,71.7415490571429,31.51205,10950,1,10420,2530
69.26,2691,0,1533446,1396263,1067724,608.12067748765,54.3259296711494,31.50212,10833,6,10606,1417
53.736,2702,1170960,772500,1170960,1170960,317.901234567901,71.7415490571429,31.51967,10725,1,10320,2430
53.004,2707,1598436,952500,1598436,1598436,289.954337899543,71.7415490571429,31.53714,11505,1,11250,3285
69.256,2713,0,573050,14500,534676.693333333,237.780082987552,71.7415490571429,31.50764,11512,2,10240,2410
67.192,2716,0,1110849,1173998,145698,475.601941747573,61.4758020669231,31.56123,11285,19,11160,206
55.08842362,2730,0,875000,790000,1e+05,346.19140625,58.9066580742424,31.56951,10832,7,10707,256
64.4331449,2731,0,465600,935529,923529,280.481927710843,71.7415490571429,31.59873,11125,2,10905,1660
75.676,512,0,293688,352536,67569,81.1320754716981,52.9952073841379,31.69204,10500,7,10416,212
97.884,712,394800,350290,394800,394800,145.771951727008,52.9952073841379,31.68548,11250,1,10683,2403
91.768,770,0,350670,453978,453978,143.481996726678,52.9952073841379,31.68745,11250,1,10734,2444
75.82,797,494718,572780,494718,494718,260.23625624716,52.9952073841379,31.6788,10600,1,10433,2201
82.8613699,905,1046220,800581,1046220,1046220,306.03249235474,52.9952073841379,31.6567,10604,1,10372,2616
77.98311204,907,1191414,901480,1191414,1191414,342.117647058824,52.9952073841379,31.6532,10600,1,10381,2635
108.724,1025,0,560060,418546,67004,2123.57647058824,54.3259296711494,31.65738,10488,12,8571,85
286.748,1500,405048,304380,405048,405048,293.519768563163,102.467651326875,31.6533,12020,1,11894,1037
87.928,1501,1539006,1245440,1539006,1539006,425.72741194487,102.467651326875,31.65193,12205,1,11976,2612
89.104,1502,0,1045651,1206378,216792,827.708791208791,54.3259296711494,31.72844,11167,6,11042,182
106.1477728,2293,0,1208031.973,1246198.184,1226694,360.294117647059,71.7415490571429,31.49799,10775,2,10324,2992
98.168,2297,0,762680,832986,832986,293.677319984598,52.9952073841379,31.6271,10500,1,10334,2597
111.2084996,2299,742140,854000,742140,742140,331.3930927435,52.9952073841379,31.6266,10405,2,10322,2577
95.57577585,2301,118272,799762,118272,118272,306.304864036768,52.9952073841379,31.6221,10525,1,10344,2611
200.612,2310,1318170,947126,1318170,1318170,370.260359655981,52.9952073841379,31.6206,10410,1,10304,2558
81.896,2314,1310022,950150,1310022,1310022,390.045155993432,52.9952073841379,31.6137,10407,1,10174,2436
90.536,2322,0,763000,922900,908400,266.783216783217,71.7415490571429,31.4915,10674,2,10175,2860
99.872,2323,0,788000,967900,953400,268.850221767315,71.7415490571429,31.49847,10662,2,10315,2931
96.516,2324,0,760500,956500,942000,293.402777777778,71.7415490571429,31.51054,10671,2,10330,2592
72.612,2332,0,741000,896390,884890,294.749403341289,71.7415490571429,31.50859,10680,2,10267,2514
73.2,2354,0,843089,848418,58104,946.351515151515,54.3259296711494,31.50219,10528,20,7731,165
82.47706427,2379,0,585000,651482,639482,230.043255996854,71.7415490571429,31.49997,10670,2,10182,2543
83.504,2398,0,660000,816000,802000,255.813953488372,71.7415490571429,31.49899,10505,2,10321,2580
77.25084903,2409,0,445720,912599,912599,443.94422310757,71.7415490571429,31.60762,10416,1,10208,1004
118.884,2419,0,1256640,256952,219452,347.583643122677,102.467651326875,31.62739191,11000,2,10936,3228
81.38080816,2427,0,1053000,36291,2510,259.433962264151,61.4758020669231,31.55121,10900,18,10722,212
73.564,2428,0,938079,1180146,146202,445.075117370892,61.4758020669231,31.55133,10840,16,10562,213
76.856,2434,0,452615,454000,211000,146.329837940896,58.9066580742424,31.54112,10300,3,10187,1049
75.43824424,2435,0,959540,1041600,49014,808.180722891566,54.3259296711494,31.60272,10910,18,7792,166
97.788,2444,0,976122,1198084,65002,1448.70588235294,54.3259296711494,31.50972,10735,18,8348,102
94.936,2462,0,2331540,1290688,45528,8171.42857142857,54.3259296711494,31.50123,10745,20,7766,140
76.244,2466,330681,1609663,754313,3434,0,58.9066580742424,31.52599,10931,8,10799,3428
71.148,2469,0,673200,14500,613975.773333333,282.857142857143,71.7415490571429,31.52919,10563,2,10340,2380
96.684,2485,0,732500,16500,589047.1,278.51711026616,71.7415490571429,31.5176,10600,2,10460,2630
96.344,2494,0,1560743,1900062,958860,441.308712121212,54.3259296711494,31.63806,10950,5,10938,1056
100.196,2519,974891,631100,974891,974891,252.44,71.7415490571429,31.53107,10500,1,10270,2500
128.1435505,2523,1139905.184,732500,1139905.184,1139922,261.607142857143,71.7415490571429,31.49245,10665,1,10455,2800
86.264,2524,1658769,998750,1658769,1658790,308.732612055641,71.7415490571429,31.53418,11304,1,11200,3235
83.4068458,2527,0,1235186,1266740.367,1032528,483.444592790387,54.3259296711494,31.52682,10865,6,10618,1498
90.052,2528,0,1452371,2213261.734,1923768,549.265193370166,54.3259296711494,31.50956,10892,6,10602,1448
89.88,2530,0,1223170,1253850,188482,1182.9898989899,54.3259296711494,31.52225,10872,8,10663,99
101.464,2536,989142,876280,989142,989142,354.482200647249,102.467651326875,31.63613,11606,1,11290,2472
77.416,2538,0,1030901,1141818,903006,380.368874172185,54.3259296711494,31.51813,10864,8,10672,1510
104.8542318,2542,0,922125,1020500,1e+05,319.945848375451,58.9066580742424,31.52155,10884,9,10780,277
75.196,2546,743500,604688,743500,3473,0,58.9066580742424,31.53275,10835,7,10459,2822
