Fluid.Water..Gals.,Acid..Gals.,Gel.x.link..Gals.,Proppant...Total..lbs.,Fluid...Total..lbs.,Fluid.Amount,Propping.Agent.Amount,Fluid.Amount.Per.Foot,Propping.Agent.Amount.Per.Foot,WellID,Subarea,Operator,County,Completion.Date,Completion.Year,Surface.Latitude,Surface.Longitude,Depth.Total.Driller..ft.,WB.Spacing.Proxy,SPBY.Spacing.Proxy,Between_Zone,Frac.Stages,Treatment.Records,Other..Gals.,EUR_o..Mstb.,Top_Zone,Deepest_Zone,Number,Type,Depth.Base,Fluid.Type,Propping.Agent.Type,Pressure.Breakdown,Injection.Rate,Additive,Mesh.Size,Treated.Stage.Height,Total.Height,Geology.Score
383200,0,0,100450,383200,131800,49250,443.771043771044,165.824915824916,35,F,APACHE CORPORATION,GLASSCOCK,38755,2006,31.65334,-101.53122,8064,40,40,4,2,2,0,42.264,1,4,2,FRAC,7938,W,SAND,NA,NA,SFAC,20/40,297,2567.16,6469.84
383200,0,0,100450,383200,251400,51200,242.664092664093,49.4208494208494,36,F,APACHE CORPORATION,GLASSCOCK,38770,2006,31.70647,-101.5785,8243,160,40,4,2,2,0,12.48,1,4,2,FRAC,7347,W,SAND,NA,NA,NA,20/40,1036,2595,6270.2
497600,0,0,155650,497600,252900,99750,394.539781591264,155.616224648986,37,F,APACHE CORPORATION,GLASSCOCK,38824,2006,31.71755,-101.56402,8255,80,40,3,2,2,0,18.55149194,2,4,2,FRAC,8052,W,SAND,NA,NA,NA,20/40,641,1645,5437.72
497600,0,0,155650,497600,252900,99750,418.01652892562,164.876033057851,38,F,APACHE CORPORATION,GLASSCOCK,38818,2006,31.70983,-101.54853,8223,80,40,3,2,2,0,39.468,2,4,2,FRAC,7961,W,SAND,NA,NA,SFAC,20/40,605,1621,5110.8
383600,0,0,101720,383600,251600,51350,238.936372269706,48.7654320987654,40,F,APACHE CORPORATION,GLASSCOCK,38827,2006,31.70857,-101.57012,8205,160,80,4,2,2,0,12.164,1,4,2,FRAC,7328,W,SAND,NA,NA,SFAC,20/20,1053,2610,6372.24
374500,0,0,100975,374500,167700,58975,246.617647058824,86.7279411764706,42,F,APACHE CORPORATION,GLASSCOCK,38842,2006,31.69948,-101.57606,8283,160,80,4,2,2,0,10.876,1,4,2,FRAC,8133,W,SAND,NA,NA,NA,20/40,680,2468,6089.52
0,15750,424784,523700,440534,73425,18182,308.508403361345,76.3949579831933,44,D,APACHE CORPORATION,GLASSCOCK,39009,2006,31.75812,-101.75965,9843,80,40,3,6,12,0,30.20941884,2,4,12,FRAC,9151,GEL,SAND,NA,50,NA,20/40,238,1565.11,5219.61
0,14250,359962,507200,374212,1000,0,1.36307193188076,0,45,C,APACHE CORPORATION,GLASSCOCK,38998,2006,31.76793,-101.7662,9902,40,40,3,5,11,0,31.73182787,2,4,11,ACID,9551,A,undefined,NA,NA,NA,NA,2628,1556,5281
0,17250,476075,553160,493325,78753,16847,275.36013986014,58.9055944055944,46,C,APACHE CORPORATION,GLASSCOCK,38964,2006,31.77755,-101.77365,9882,80,40,3,7,14,0,29.40701198,2,4,14,FRAC,9538,GEL,SAND,NA,35,NA,20/40,286,1549,5207
0,9750,316903,702360,326653,55157,128358,328.315476190476,764.035714285714,48,D,APACHE CORPORATION,GLASSCOCK,39131,2007,31.74807,-101.72345,9775,40,40,4,5,9,0,19.20842649,1,4,9,FRAC,7025,X-LINKGEL,SAND,NA,35,NA,20/40,168,2344,5958
0,9750,348769,505100,358519,66985,17637,788.058823529412,207.494117647059,49,D,APACHE CORPORATION,GLASSCOCK,39049,2006,31.74469,-101.72234,9806,40,40,4,5,9,0,14.8,1,4,9,FRAC,9041,GEL,SAND,NA,51,NA,20/40,85,2340,6044
0,12750,433981,522940,446731,51612,133871,307.214285714286,796.85119047619,52,D,APACHE CORPORATION,GLASSCOCK,39065,2006,31.72326,-101.74759,9843,80,40,3,6,11,0,23.14,2,4,11,FRAC,7096,X-LINKGEL,SAND,NA,33,NA,20/40,168,1575,5245
0,10750,268997,207880,279747,58616,158996,509.704347826087,1382.57391304348,53,C,APACHE CORPORATION,GLASSCOCK,39128,2007,31.72145,-101.75576,9844,NA,NA,1,4,8,0,18.328,4,4,8,FRAC,8539,X-LINKGEL,SAND,NA,40,SCIN,20/40,115,NA,1224
0,3000,0,506200,16115.32,NA,18170,NA,151.416666666667,54,C,APACHE CORPORATION,GLASSCOCK,39133,2007,31.71903,-101.75111,9853,80,40,4,5,6,0,13.684,1,4,6,FRAC,9676,NA,SAND,NA,NA,NA,20/40,120,2444,6175
241752,0,0,74000,241752,241752,61500,233.802707930368,59.4777562862669,55,F,APACHE CORPORATION,GLASSCOCK,39052,2006,31.65737,-101.56293,8177,80,40,4,1,1,0,55.3862174,1,4,1,FRAC,7306,W,SAND,NA,NA,SFAC,20/40,1034,2480.45,6292.43
273756,0,0,449160,273756,74004,108332,1850.1,2708.3,58,F,PIONEER NATURAL RESOURCES USA INC,GLASSCOCK,39139,2007,31.70227,-101.6474,8851,160,20,3,4,4,0,31.07150317,2,4,4,FRAC,8440,FLUD,SAND,NA,NA,NA,NA,40,1564,5233
244692,0,0,350761,244692,98658,135248,2466.45,3381.2,59,F,PIONEER NATURAL RESOURCES USA INC,GLASSCOCK,38937,2006,31.69705,-101.63656,8835,160,40,3,3,3,0,46.04231632,2,4,3,FRAC,8230,FLUD,SAND,NA,NA,NA,NA,40,1544,5402.92
0,14250,412047,523253,426297,45604,134736,302.013245033113,892.291390728477,60,D,APACHE CORPORATION,GLASSCOCK,39106,2007,31.73249,-101.74037,9792,80,40,3,6,12,0,13.624,2,4,12,FRAC,7027,X-LINKGEL,SAND,NA,35,NA,20/40,151,1556,5224
0,14250,385924,535260,400174,51540,146540,306.785714285714,872.261904761905,61,D,APACHE CORPORATION,GLASSCOCK,39094,2007,31.74408,-101.73978,9850,160,40,4,6,12,0,20.67705873,1,4,12,FRAC,7032,X-LINKGEL,SAND,NA,33,SCIN,20/40,168,2492,6247
353400,0,0,123000,353400,128000,61500,426.666666666667,205,63,F,APACHE CORPORATION,GLASSCOCK,38908,2006,31.65592,-101.53639,8103,40,40,4,2,2,0,30.18,1,4,2,FRAC,7959,W,SAND,NA,NA,SFAC,20/40,300,2560.65,6443.35
0,11250,350595,505220,361845,47343,125270,309.43137254902,818.75816993464,64,D,APACHE CORPORATION,GLASSCOCK,39159,2007,31.72402,-101.72892,9782,40,40,4,5,10,0,12.671,1,4,10,FRAC,7022,X-LINKGEL,SAND,NA,34,SCIN,20/40,153,2451,6091
0,12000,261394,267520,273394,140345,84000,746.515957446809,446.808510638298,66,D,PIONEER NATURAL RESOURCES USA INC,GLASSCOCK,39196,2007,31.73191,-101.59911,9496,40,80,2,3,7,0,6.904,3,4,7,FRAC,7713,X-LINKGEL,SAND,NA,53,NA,20/40,188,1071,4242.56
649698,0,0,802700,649698,649698,802700,254.18544600939,314.045383411581,67,D,ENDEAVOR ENERGY RESOURCES LIMITED PRTS,GLASSCOCK,39204,2007,31.96402,-101.7528,10840,40,80,8,1,1,0,45.27229149,2,9,1,FRAC,9418,FLUD,SAND,NA,NA,NA,NA,2556,3502,15089.38
546126,0,0,799108,546126,NA,50000,NA,19.6001568012544,68,D,ENDEAVOR ENERGY RESOURCES LIMITED PRTS,GLASSCOCK,39203,2007,31.95298,-101.75386,10510,80,80,8,4,4,0,44.02376458,2,9,4,FRAC,9429,NA,SAND,NA,NA,NA,16/30,2551,3476,15000.63
0,13750,315647,225120,329397,52237,155100,398.75572519084,1183.96946564886,69,D,PIONEER NATURAL RESOURCES USA INC,GLASSCOCK,39196,2007,31.73285,-101.59494,9487,40,80,1,5,10,0,25.31341516,4,4,10,FRAC,8104,X-LINKGEL,SAND,4715,41.5,SCIN,20/40,131,NA,1188.36
0,21000,747058,406120,768058,146666,117244,2065.71830985915,1651.32394366197,70,D,PIONEER NATURAL RESOURCES USA INC,GLASSCOCK,39314,2007,31.97911,-101.6871,9808,160,Over 160,1,5,13,0,42.268,4,4,13,FRAC,8348,GEL,SAND,NA,NA,NA,20/40,71,NA,1544
366450,0,0,123000,366450,124698,61500,387.260869565217,190.993788819876,72,F,APACHE CORPORATION,GLASSCOCK,39091,2007,31.66779,-101.55234,8181,160,80,4,2,2,0,15.424,1,4,2,FRAC,8011,FLUD,SAND,NA,NA,NA,20/40,322,2475.96,6411.58
365484,0,0,123000,365484,123732,61500,562.418181818182,279.545454545455,73,D,APACHE CORPORATION,GLASSCOCK,39119,2007,31.77384,-101.71001,8492,Over 160,40,4,2,2,0,34.88893209,1,4,2,FRAC,8413,FLUD,SAND,NA,NA,NA,20/40,220,2513,6104.68
0,9520,592788,603100,602308,89690,141700,303.006756756757,478.716216216216,74,D,ENERGEN RESOURCES CORPORATION,GLASSCOCK,39253,2007,31.74921,-101.60913,8750,40,160,3,4,7,0,20.11541731,2,4,7,FRAC,8438,GEL,SAND,NA,NA,XLNK,20/40,296,1607,5362
0,0,633108,584800,633108,189756,199000,636.765100671141,667.785234899329,76,D,ENERGEN RESOURCES CORPORATION,GLASSCOCK,39263,2007,31.74169,-101.6067,8547,80,160,3,4,4,0,20.072,2,4,4,FRAC,6775,GEL,SAND,NA,NA,GLST,20 /40,298,1571,5275
0,10750,245788,234101,256538,57767,165641,695.987951807229,1995.67469879518,79,F,PIONEER NATURAL RESOURCES USA INC,GLASSCOCK,39232,2007,31.72677,-101.58867,9510,160,40,1,4,8,0,12.64935437,4,4,8,FRAC,8026,X-LINKGEL,SAND,NA,40,SCIN,20/40,83,NA,924
536943,4000,0,610000,540943,341928,4e+05,1910.21229050279,2234.63687150838,82,D,ENERGEN RESOURCES CORPORATION,GLASSCOCK,39255,2007,31.75205,-101.6277,8750,80,160,3,3,4,0,20.7,2,4,4,FRAC,8467,FLUD,SAND,NA,NA,NA,20/40,179,1590,5397
0,14250,403229,600723,417479,47393,138461,307.746753246753,899.097402597403,86,D,APACHE CORPORATION,GLASSCOCK,39534,2008,31.76536,-101.76084,9894,80,40,4,6,12,0,17.63959573,1,4,12,FRAC,7065,X-LINKGEL,SAND,NA,NA,NA,20/40,154,2549,6243
0,8250,486631,591188,494881,46429,182011,682.779411764706,2676.63235294118,87,C,APACHE CORPORATION,GLASSCOCK,39324,2007,31.71962,-101.76398,9840,80,40,3,5,10,0,28.09232775,2,4,10,FRAC,7058,X-LINKGEL,SAND,NA,35,SCIN,20/40,68,1566,5308
258392,0,0,466275,258392,174688,214875,396.1179138322,487.244897959184,89,F,APACHE CORPORATION,GLASSCOCK,39558,2008,31.65722,-101.54181,8252,80,80,3,2,2,0,22.11157295,2,4,2,FRAC,8113,W,SAND,NA,NA,SFAC,20/40,441,1622,5508
0,16500,451507,561280,468007,72210,183837,487.905405405405,1242.14189189189,90,D,APACHE CORPORATION,GLASSCOCK,39404,2007,31.72807,-101.74337,9900,80,40,4,5,10,0,10.56,1,4,10,FRAC,7048,X-LINKGEL,SAND,NA,NA,NA,20/40,148,2472,5999
616476,0,0,799820,616476,616476,799820,166.07650862069,215.46875,91,D,ENDEAVOR ENERGY RESOURCES LIMITED PRTS,GLASSCOCK,39413,2007,31.85385,-101.66055,10499,160,Over 160,9,1,1,0,40.092,1,9,1,FRAC,10318,FLUD,SAND,NA,NA,HCL,NA,3712,4413.33,17452.5
0,14250,369411,474363,383661,52601,140817,367.839160839161,984.734265734266,93,C,APACHE CORPORATION,GLASSCOCK,39568,2008,31.72585,-101.75281,9886,80,40,3,6,12,0,8.086191594,2,4,12,FRAC,7125,X-LINKGEL,SAND,NA,NA,NA,20/40,143,1502,5273
0,14250,384132,522900,398382,48792,140167,318.901960784314,916.124183006536,94,D,APACHE CORPORATION,GLASSCOCK,39545,2008,31.71945,-101.73191,9878,80,40,3,6,12,0,8.808,2,4,12,FRAC,7073,X-LINKGEL,SAND,NA,NA,NA,20/40,153,1603,5241
0,17000,484369,539400,501369,44767,130834,294.519736842105,860.75,95,C,APACHE CORPORATION,GLASSCOCK,39560,2008,31.76379,-101.76925,9880,40,40,4,6,12,0,24.40562809,1,4,12,FRAC,7086,X-LINKGEL,SAND,NA,NA,NA,20/04,152,2530,6395
0,15100,468244,545820,483344,53706,133719,355.668874172185,885.556291390728,96,C,APACHE CORPORATION,GLASSCOCK,39580,2008,31.76703,-101.77028,9876,40,40,4,6,12,0,42.25256061,1,4,12,FRAC,7082,X-LINKGEL,SAND,NA,NA,NA,20/40,151,2539,6228
0,19000,552036,552180,571036,46609,130467,879.415094339623,2461.64150943396,97,D,PIONEER NATURAL RESOURCES USA INC,GLASSCOCK,39624,2008,31.97212,-101.68489,9983,40,Over 160,4,7,14,0,21.94799122,1,4,14,FRAC,6480,X-LINKGEL,SAND,NA,NA,NA,20/40,53,2339,6518
0,14250,403696,474820,417946,53626,133680,341.566878980892,851.464968152866,98,C,APACHE CORPORATION,GLASSCOCK,39522,2008,31.71701,-101.75875,9890,NA,NA,3,6,12,0,9.735,2,4,12,FRAC,7131,X-LINKGEL,SAND,NA,NA,NA,20/40,157,1546.31,5251.17
0,14250,451957,638440,466207,48842,142580,321.328947368421,938.026315789474,99,D,APACHE CORPORATION,GLASSCOCK,39494,2008,31.7278,-101.72911,9878,40,40,3,6,12,0,11.934,2,4,12,FRAC,7027,X-LINKGEL,SAND,NA,NA,NA,20/40,152,1610,5265
15848,0,0,902460,16115.32,15848,902460,4.93399750933998,280.965130759651,102,D,ENDEAVOR ENERGY RESOURCES LIMITED PRTS,GLASSCOCK,39387,2007,31.96851,-101.76248,10660,80,80,3,1,1,0,49.36,2,4,1,FRAC,10087,W,SAND,NA,NA,NA,NA,3212,1513.87,4976.87
0,17250,357076,526821,374326,46629,136241,5181,9650.93785714281,103,F,PIONEER NATURAL RESOURCES USA INC,GLASSCOCK,39456,2008,31.71347,-101.59782,9598,160,40,3,6,12,0,25.04,2,4,12,FRAC,6460,X-LINKGEL,SAND,NA,NA,NA,20/40,9,1614,5362
0,5250,172916,470520,178166,47820,135304,304.585987261146,861.808917197452,105,D,PIONEER NATURAL RESOURCES USA INC,GLASSCOCK,39498,2008,31.81536,-101.74153,8704,Over 160,20,3,3,6,0,48.844,2,4,6,FRAC,7071,X-LINKGEL,SAND,NA,NA,NA,20/40,157,1535.47,5227.96
0,7500,221728,222173,229228,49643,137039,709.185714285714,1957.7,106,D,PIONEER NATURAL RESOURCES USA INC,GLASSCOCK,39507,2008,31.79785,-101.64239,10255,40,80,4,4,8,0,25.376,1,4,8,FRAC,6595,X-LINKGEL,SAND,NA,NA,NA,20/40,70,2566,6204
0,13500,431728,514420,445228,53621,137543,1849,4742.86206896552,107,D,PIONEER NATURAL RESOURCES USA INC,GLASSCOCK,39519,2008,31.79072,-101.64008,10176,160,40,4,6,12,0,24.14,1,4,12,FRAC,6552,X-LINKGEL,SAND,NA,NA,NA,16/30,29,2615,6262
10000,29000,508689,413900,547689,10000,NA,200,NA,110,D,ATHLON FE OPERATING LLC,GLASSCOCK,39514,2008,31.9583,-101.69382,10500,80,Over 160,8,8,16,0,66.2739258,1,8,16,FRAC,10074,W,NA,NA,NA,NA,NA,50,4286,16814
0,6000,211068,606324,217068,44167,139450,315.478571428571,996.071428571429,112,F,PIONEER NATURAL RESOURCES USA INC,GLASSCOCK,39542,2008,31.68924,-101.62125,8362,160,40,2,4,8,0,32.076,2,3,8,FRAC,6680,X-LINKGEL,SAND,NA,NA,NA,20/40,140,549,4188
0,6000,217988,580155,223988,51788,140070,446.448275862069,1207.5,113,F,PIONEER NATURAL RESOURCES USA INC,GLASSCOCK,39563,2008,31.68763,-101.61187,8338,80,40,2,4,8,0,22.828,2,3,8,FRAC,6622,X-LINKGEL,SAND,NA,NA,NA,20/40,116,582,4251
0,6000,232412,579200,238412,54204,135287,451.7,1127.39166666667,114,F,PIONEER NATURAL RESOURCES USA INC,GLASSCOCK,39568,2008,31.69162,-101.60838,8295,80,40,3,4,8,0,15.55114674,1,3,8,FRAC,6601,X-LINKGEL,SAND,NA,NA,NA,20/40,120,1459,5168
0,12000,547628,602280,559628,42873,130934,466.010869565217,1423.19565217391,115,C,APACHE CORPORATION,GLASSCOCK,39772,2008,31.72171,-101.77145,9882,80,40,3,7,14,0,11.188,2,4,14,FRAC,7174,X-LINKGEL,SAND,NA,NA,XLNK,20/40,92,1571,5322
0,20000,676928,648070,696928,52794,134130,754.2,1916.14285714286,116,C,APACHE CORPORATION,GLASSCOCK,39774,2008,31.71538,-101.76703,9876,80,40,3,7,14,0,25.4251233,2,4,14,FRAC,7060,X-LINKGEL,SAND,NA,NA,NA,20/40,70,1588,5360
0,19000,570219,621902,589219,48079,141147,677.169014084507,1987.98591549296,118,C,APACHE CORPORATION,GLASSCOCK,39776,2008,31.71336,-101.77513,9886,80,40,3,7,14,0,16.768,2,4,14,FRAC,7068,X-LINKGEL,SAND,NA,NA,NA,20/40,71,1556,5326
0,16128,1004640,1221471.973,1020768,1004640,1090000,291.284430269643,316.033632937083,120,D,ENDEAVOR ENERGY RESOURCES LIMITED PRTS,GLASSCOCK,39685,2008,31.85353,-101.65011,10511,40,40,9,1,2,0,45.376,1,9,2,FRAC,10005,GEL,SAND,NA,NA,GELA,NA,3449,4425.69,17800.27
0,18000,679906,1328840,697906,73222,177573,989.486486486486,2399.63513513513,121,D,PIONEER NATURAL RESOURCES USA INC,GLASSCOCK,39760,2008,31.98413,-101.73284,9976,80,Over 160,2,11,22,0,17.38,3,4,22,FRAC,7341,X-LINKGEL,SAND,NA,NA,XLNK,20/40,74,1014,3910
0,34146,0,402403,34146,9030,0,59.0196078431373,0,122,D,MERIT ENERGY COMPANY,GLASSCOCK,39616,2008,31.74877,-101.68896,9535,80,80,1,4,8,0,35.256,4,4,8,ACID,9407,A,undefined,NA,NA,HCL,NA,153,NA,1092
0,10500,563526,224088,574026,27231,16598,2723.1,1659.8,124,D,PIONEER NATURAL RESOURCES USA INC,GLASSCOCK,39957,2009,31.99172,-101.66464,10030,160,Over 160,1,6,12,0,14.11666124,4,4,12,FRAC,7828,X-LINKGEL,SAND,NA,NA,XLNK,20/40,10,NA,1512
0,14000,864409,449794,878409,195873,136963,8161.375,5706.79166666667,125,D,PIONEER NATURAL RESOURCES USA INC,GLASSCOCK,39826,2009,31.97545,-101.66831,9996,40,Over 160,1,6,12,0,55.764,4,4,12,FRAC,8030,X-LINKGEL,SAND,NA,NA,XLNK,20/40,24,NA,1220
0,12080,474075,318295,486155,84620,40104,423.1,200.52,129,F,ATHLON FE OPERATING LLC,GLASSCOCK,39791,2008,31.70944,-101.48711,10200,160,Over 160,6,5,10,0,28.724,4,9,10,FRAC,9942,X-LINKGEL,SAND,NA,NA,XLNK,20/40,200,2158.84,13793.78
0,12000,755718,672071,767718,57414,122013,1913.8,4067.1,131,D,PIONEER NATURAL RESOURCES USA INC,GLASSCOCK,39777,2008,31.76686,-101.61135,10568,40,80,3,7,14,0,19.24918288,2,4,14,FRAC,6493,X-LINKGEL,SAND,NA,NA,XLNK,20/40,30,1618,5413
0,12500,460671,257881,473171,51236,41265,3659.71428571429,2947.5,132,D,PIONEER NATURAL RESOURCES USA INC,GLASSCOCK,39777,2008,31.77082,-101.59428,10404,40,160,6,4,9,0,62.13588059,4,9,9,FRAC,8456,X-LINKGEL,SAND,NA,NA,XLNK,20/40,14,2149,13146.23
NA,NA,NA,NA,NA,NA,NA,NA,NA,133,D,MERIT ENERGY COMPANY,GLASSCOCK,39743,2008,31.75941,-101.72288,9500,Over 160,40,2,NA,1,NA,68.40805807,3,4,1,NTRL,9342,NA,NA,NA,NA,NA,NA,1892,1003,4125
0,10500,624937,695140,635437,47962,134806,940.43137254902,2643.25490196078,135,D,PIONEER NATURAL RESOURCES USA INC,GLASSCOCK,39728,2008,31.76303,-101.59157,10430,80,Over 160,3,6,12,0,27.776,2,4,12,FRAC,6474,X-LINKGEL,SAND,NA,NA,XLNK,20/40,51,1612,5449
0,13500,979212,744620,992712,74676,180500,802.967741935484,1940.86021505376,136,D,PIONEER NATURAL RESOURCES USA INC,GLASSCOCK,39889,2009,31.97958,-101.652,10017,160,Over 160,1,8,16,0,55.332,4,4,16,FRAC,7777,X-LINKGEL,SAND,NA,NA,XLNK,20/40,93,NA,1052
0,83554.9999999988,321339,516840,520460,51408,131780,174.857142857143,448.231292517007,138,D,PIONEER NATURAL RESOURCES USA INC,GLASSCOCK,39836,2009,31.77052,-101.6114,10488,40,40,7,5,13,57594,16.288,2,8,13,FRAC,6767,X-LINKGEL,SAND,NA,NA,XLNK,20/40,294,3617,16605
0,10000,443297,554580,453297,68764,183892,8515.02650000002,9650.93785714281,142,D,PIONEER NATURAL RESOURCES USA INC,GLASSCOCK,39945,2009,31.79265,-101.63186,10161,160,80,3,6,12,0,39.94539112,2,4,12,FRAC,6560,X-LINKGEL,SAND,NA,NA,XLNK,20/40,5,1619,5359
0,10500,418005,563980,428505,59934,112994,8515.02650000002,9650.93785714281,143,D,PIONEER NATURAL RESOURCES USA INC,GLASSCOCK,39856,2009,31.76336,-101.62769,10091,160,40,3,6,12,0,55.758,2,4,12,FRAC,6564,X-LINKGEL,SAND,NA,NA,XLNK,20/40,5,1609,5376
0,10500,514797,562960,525297,38661,115720,264.801369863014,792.602739726027,145,D,PIONEER NATURAL RESOURCES USA INC,GLASSCOCK,39841,2009,31.76546,-101.61875,10108,80,80,3,6,12,0,30.744,2,4,12,FRAC,6668,X-LINKGEL,SAND,NA,NA,XLNK,20/40,146,1619,5402
0,12000,1359338,1018714,1371338,73378,181008,336.596330275229,830.311926605505,146,D,PIONEER NATURAL RESOURCES USA INC,GLASSCOCK,40400,2010,31.98761,-101.681,10100,160,Over 160,3,7,14,0,63.824,2,4,14,FRAC,6698,X-LINKGEL,SAND,NA,NA,XLNK,20/40,218,1499,5086
