Fluid.Water..Gals.,Acid..Gals.,Gel.x.link..Gals.,Proppant...Total..lbs.,Fluid...Total..lbs.,Fluid.Amount,Propping.Agent.Amount,WellID,Subarea,Operator,County,Completion.Date,Completion.Year,Surface.Latitude,Surface.Longitude,Depth.Total.Driller..ft.,WB.Spacing.Proxy,SPBY.Spacing.Proxy,Between_Zone,Frac.Stages,Treatment.Records,Other..Gals.,EUR_o..Mstb.,Top_Zone,Deepest_Zone,Number,Type,Depth.Top,Depth.Base,Fluid.Units,Fluid.Type,Propping.Agent.Units,Propping.Agent.Type,Additive,Mesh.Size,CLFK..KHW.,U_SPBR..KHW.,L_SPBR..KHW.,WFMP..KHW.,WFMP_L..KHW.,WFMP_ATB..KH,CLINE..KHW.,STRN..KHW.,ATOK..KHW.,BEND..KHW.,ATOKA_L..KHW,MPLM..KHW.,WDFD..KHW.,DVNN..KHW.
0,5000,183309,471030,188309,50358,124630,22,D,PIONEER NATURAL RESOURCES USA INC,GLASSCOCK,37851,2003,31.71259,-101.71632,8635,40,40,CLFK --> WFMP,3,6,0,55.65707668,CLFK,WFMP,6,FRAC,6826,7201,GAL,X-LINKGEL,LB,SAND,NA,20/40,5767,6824,7383,8384,8645.26,9069.25,10012.76,10329.78,10474.25,10560.65,10708.1,10946.22,11084.91,11153.86
0,5000,189252,471100,194252,23277.5,0,23,D,PIONEER NATURAL RESOURCES USA INC,GLASSCOCK,37893,2003,31.71139,-101.70645,8605,160,20,CLFK --> WFMP,3,8,0,40.04565233,CLFK,WFMP,8,ACID,6806,7178,GAL,A,undefined,undefined,HCL,NA,5785,6801,7362,8368,8613.99,9041.67,9992.98,10310.65,10450.67,10544.29,10700.25,10905.7,11049.25,11115.65
0,5000,195787,471570,200787,23277.5,0,25,D,PIONEER NATURAL RESOURCES USA INC,GLASSCOCK,37893,2003,31.70902,-101.71715,8650,40,40,CLFK --> WFMP,3,8,0,54.56512178,CLFK,WFMP,8,ACID,6816,7184,GAL,A,undefined,undefined,HCL,NA,5780,6827,7365,8387,8640.93,9080.87,10013.49,10331.66,10475.74,10560.28,10709.59,10949.6,11088.11,11156.23
0,0,317478,384990,317478,317478,384990,26,F,ENDEAVOR ENERGY RESOURCES LIMITED PRTS,GLASSCOCK,38010,2004,31.7163,-101.52017,10550,160,20,SPBR_U --> WFMP,1,1,0,38.49591628,SPBR_U,WFMP,1,FRAC,6155,8823,GAL,X-LINKGEL,LB,SAND,WGEL,NA,5186.98,6101,6640,7741,8102,8355.75,9463,9812,9922,10032.39,10090,10242.92,10335,10368
0,5000,183918,472190,188918,54138,131493,31,E,PIONEER NATURAL RESOURCES USA INC,GLASSCOCK,38315,2004,31.65926,-101.69933,8560,160,40,SPBR_U --> WFMP,3,6,0,51.73461391,SPBR_U,WFMP,6,FRAC,6748,6928,GAL,X-LINKGEL,LB,SAND,NA,20/40,5800,6729,7304,8335,8582.83,9037.3,10000.67,10344.57,10481.8,10553.94,10745.01,10912.94,11077.5,11127.92
0,10500,270297,488570,280797,53970,133448,32,F,PIONEER NATURAL RESOURCES USA INC,GLASSCOCK,38383,2005,31.67149,-101.5849,8240,80,20,SPBR_U --> WFMP,4,8,0,28.60094527,SPBR_U,WFMP,8,FRAC,6386,6520,GAL,X-LINKGEL,LB,SAND,NA,20/40,5306,6370,6940,7979,8254.76,8625.25,9704.92,10008.04,10163.68,10269.29,10299.03,10520.28,10655.54,10703.38
398454,0,0,521740,398454,398454,521740,33,D,ENDEAVOR ENERGY RESOURCES LIMITED PRTS,GLASSCOCK,38487,2005,31.77613,-101.59246,10255,80,80,CLFK --> WFMP,1,1,0,39.1412402,CLFK,WFMP,1,FRAC,5802,9299,GAL,FLUD,LB,SAND,SFAC,20/40,5257,6368,6921,7972,8271,8763,9691,9999,10105.53,10216.97,10292.59,10427.58,10550.25,10598.53
383200,0,0,110277.1,383200,131800,49250,35,F,APACHE CORPORATION,GLASSCOCK,38755,2006,31.65334,-101.53122,8064,40,40,CLFK --> WFMP,2,2,0,42.264,CLFK,WFMP,2,FRAC,7641,7938,GAL,W,LB,SAND,SFAC,20/40,5249,6183.43,6749.49,7816.16,8116.98,8445.07,9538.95,9924.18,10046.33,10127.76,10120.4,10386.26,10488.34,10517.45
383200,0,0,110277.1,383200,251400,51200,36,F,APACHE CORPORATION,GLASSCOCK,38770,2006,31.70647,-101.5785,8243,160,40,CLFK --> WFMP,2,2,0,12.48,CLFK,WFMP,2,FRAC,6311,7347,GAL,W,LB,SAND,NA,20/40,5363,6310,6903,7958,8201.05,8516.96,9611.63,9945.25,10080.15,10205.13,10258.11,10425.6,10536.96,10592.5
497600,0,0,155650,497600,252900,99750,37,F,APACHE CORPORATION,GLASSCOCK,38824,2006,31.71755,-101.56402,8255,80,40,SPBR_U --> WFMP,2,2,0,18.55149194,SPBR_U,WFMP,2,FRAC,7411,8052,GAL,W,LB,SAND,NA,20/40,5293,6290,6861,7935,8203.43,8525.57,9647.05,9960.42,10087.82,10160.27,10292.17,10424.58,10552.23,10598
497600,0,0,155650,497600,252900,99750,38,F,APACHE CORPORATION,GLASSCOCK,38818,2006,31.70983,-101.54853,8223,80,40,SPBR_U --> WFMP,2,2,0,39.468,SPBR_U,WFMP,2,FRAC,7356,7961,GAL,W,LB,SAND,SFAC,20/40,5390,6269,6804,7890,8085.7,8424.93,9576.1,9904.71,10029.58,10112.72,10199.44,10345.02,10447.88,10513.94
383600,0,0,110277.1,383600,251600,51350,40,F,APACHE CORPORATION,GLASSCOCK,38827,2006,31.70857,-101.57012,8205,160,80,CLFK --> WFMP,2,2,0,12.164,CLFK,WFMP,2,FRAC,6275,7328,GAL,W,LB,SAND,SFAC,20/20,5316,6266,6868,7926,8187.06,8510.99,9615.52,9943.57,10074.94,10177.76,10257.68,10412.16,10527.4,10582.79
374500,0,0,110277.1,374500,167700,58975,42,F,APACHE CORPORATION,GLASSCOCK,38842,2006,31.69948,-101.57606,8283,160,80,CLFK --> WFMP,2,2,0,10.876,CLFK,WFMP,2,FRAC,7453,8133,GAL,W,LB,SAND,NA,20/40,5506,6350,6912,7974,8207.88,8522.56,9620.5,9954.74,10092.13,10208.98,10255.09,10435.68,10549.95,10605.49
0,15750,424784,523700,440534,73425,18182,44,D,APACHE CORPORATION,GLASSCOCK,39009,2006,31.75812,-101.75965,9843,80,40,SPBR_U --> WFMP,6,12,0,30.20941884,SPBR_U,WFMP,12,FRAC,8913,9151,GAL,GEL,LB,SAND,NA,20/40,5897,6887.69,7452.09,8452.8,8724.97,9132.71,10045.89,10342.67,10488.73,10545.02,10670.79,11051.68,11144.87,11230.85
0,14250,359962,507200,374212,23277.5,0,45,C,APACHE CORPORATION,GLASSCOCK,38998,2006,31.76793,-101.7662,9902,40,40,SPBR_U --> WFMP,5,11,0,31.73182787,SPBR_U,WFMP,11,ACID,6923,9551,GAL,A,undefined,undefined,NA,NA,5886,6886,7433,8442,8732,9146,10041.12,10331.81,10477.65,10532.01,10653.58,11047.2,11142.2,11230.29
0,17250,476075,553160,493325,78753,16847,46,C,APACHE CORPORATION,GLASSCOCK,38964,2006,31.77755,-101.77365,9882,80,40,SPBR_U --> WFMP,7,14,0,29.40701198,SPBR_U,WFMP,14,FRAC,9252,9538,GAL,GEL,LB,SAND,NA,20/40,5930,6902,7466,8451,8732,9124,10034.97,10324.96,10471.53,10520.65,10640.78,11044.73,11144.97,11234.36
0,9750,316903,702360,326653,55157,128358,48,D,APACHE CORPORATION,GLASSCOCK,39131,2007,31.74807,-101.72345,9775,40,40,CLFK --> WFMP,5,9,0,19.20842649,CLFK,WFMP,9,FRAC,6857,7025,GAL,X-LINKGEL,LB,SAND,NA,20/40,6067,6854,7418,8411,8677,9111,10016.85,10324.86,10474.26,10562.89,10683.26,10951.72,11080.46,11155.13
0,9750,348769,505100,358519,66985,17637,49,D,APACHE CORPORATION,GLASSCOCK,39049,2006,31.74469,-101.72234,9806,40,40,CLFK --> WFMP,5,9,0,14.8,CLFK,WFMP,9,FRAC,8956,9041,GAL,GEL,LB,SAND,NA,20/40,6065,6846,7408,8405,8692,9087,10007.72,10316.66,10465.98,10555.15,10677.49,10942.57,11072.19,11146.48
0,12750,433981,522940,446731,51612,133871,52,D,APACHE CORPORATION,GLASSCOCK,39065,2006,31.72326,-101.74759,9843,80,40,SPBR_U --> WFMP,6,11,0,23.14,SPBR_U,WFMP,11,FRAC,6928,7096,GAL,X-LINKGEL,LB,SAND,NA,20/40,5985,6898,7478,8473,8748,9259,10082.49,10394.66,10543.6,10611.98,10750.54,11079.23,11191.98,11270.73
0,10750,268997,207880,279747,58616,158996,53,C,APACHE CORPORATION,GLASSCOCK,39128,2007,31.72145,-101.75576,9844,NA,NA,WFMP --> WFMP,4,8,0,18.328,WFMP,WFMP,8,FRAC,8424,8539,GAL,X-LINKGEL,LB,SAND,SCIN,20/40,6014,6908,7450,8474,8780,9180,10117.51,10425.25,10575.86,10641.31,10782.21,11129.09,11242.02,11323.32
0,3000,0,506200,153212,NA,18170,54,C,APACHE CORPORATION,GLASSCOCK,39133,2007,31.71903,-101.75111,9853,80,40,CLFK --> WFMP,5,6,0,13.684,CLFK,WFMP,6,FRAC,9556,9676,NA,NA,LB,SAND,NA,20/40,5994,6898,7455,8438,8740,9259,10091.98,10403.36,10553.31,10620.47,10758.97,11093.18,11207.59,11286.93
241752,0,0,110277.1,241752,241752,61500,55,F,APACHE CORPORATION,GLASSCOCK,39052,2006,31.65737,-101.56293,8177,80,40,CLFK --> WFMP,1,1,0,55.3862174,CLFK,WFMP,1,FRAC,6272,7306,GAL,W,LB,SAND,SFAC,20/40,5412,6278.55,6836.13,7892.45,8177.89,8541.46,9647.18,9975.91,10118.67,10211.43,10225.08,10463.59,10595.48,10634.23
273756,0,0,449160,273756,74004,108332,58,F,PIONEER NATURAL RESOURCES USA INC,GLASSCOCK,39139,2007,31.70227,-101.6474,8851,160,20,SPBR_U --> WFMP,4,4,0,31.07150317,SPBR_U,WFMP,4,FRAC,8400,8440,GAL,FLUD,LB,SAND,NA,NA,5747,6635,7202,8199,8476,8904.1,9911.81,10212.41,10302.61,10412.86,10595.73,10716.37,10854.8,10915.06
244692,0,0,350761,244692,98658,135248,59,F,PIONEER NATURAL RESOURCES USA INC,GLASSCOCK,38937,2006,31.69705,-101.63656,8835,160,40,SPBR_U --> WFMP,3,3,0,46.04231632,SPBR_U,WFMP,3,FRAC,8190,8230,GAL,FLUD,LB,SAND,NA,NA,5786.42,6569,7105,8113,8439.73,8868.57,9890.38,10188.91,10295,10369.86,10583.37,10704.81,10868.15,10939.18
0,14250,412047,523253,426297,45604,134736,60,D,APACHE CORPORATION,GLASSCOCK,39106,2007,31.73249,-101.74037,9792,80,40,SPBR_U --> WFMP,6,12,0,13.624,SPBR_U,WFMP,12,FRAC,6876,7027,GAL,X-LINKGEL,LB,SAND,NA,20/40,5941,6844,7432,8400,8686,9081,10037.45,10349.6,10498.31,10570.53,10705.54,11019.85,11133.35,11211.43
0,14250,385924,535260,400174,51540,146540,61,D,APACHE CORPORATION,GLASSCOCK,39094,2007,31.74408,-101.73978,9850,160,40,CLFK --> WFMP,6,12,0,20.67705873,CLFK,WFMP,12,FRAC,6864,7032,GAL,X-LINKGEL,LB,SAND,SCIN,20/40,5902,6862,7411,8394,8704,9106,10011.24,10319.72,10467.96,10541.32,10669.89,10988.86,11098.31,11177.32
353400,0,0,123000,353400,128000,61500,63,F,APACHE CORPORATION,GLASSCOCK,38908,2006,31.65592,-101.53639,8103,40,40,CLFK --> WFMP,2,2,0,30.18,CLFK,WFMP,2,FRAC,7659,7959,GAL,W,LB,SAND,SFAC,20/40,5265,6199.98,6756.98,7825.65,8122.74,8458.62,9544.59,9927.35,10053.69,10132.91,10131.66,10394.14,10502.32,10528.5
0,11250,350595,505220,361845,47343,125270,64,D,APACHE CORPORATION,GLASSCOCK,39159,2007,31.72402,-101.72892,9782,40,40,CLFK --> WFMP,5,10,0,12.671,CLFK,WFMP,10,FRAC,6869,7022,GAL,X-LINKGEL,LB,SAND,SCIN,20/40,5960,6846,7416,8411,8681,9029,10032.62,10348.44,10495.79,10575.36,10712.27,10992.15,11119.08,11192.72
0,12000,261394,267520,273394,140345,84000,66,D,PIONEER NATURAL RESOURCES USA INC,GLASSCOCK,39196,2007,31.73191,-101.59911,9496,40,80,SPBR_L --> WFMP,3,7,0,6.904,SPBR_L,WFMP,7,FRAC,7525,7713,GAL,X-LINKGEL,LB,SAND,NA,20/40,5593.75,6418.09,6974,8045,8302.39,8917,9729.57,10029.87,10166.12,10276.44,10361.86,10488.96,10637.45,10685.01
649698,0,0,802700,649698,649698,802700,67,D,ENDEAVOR ENERGY RESOURCES LIMITED PRTS,GLASSCOCK,39204,2007,31.96402,-101.7528,10840,40,80,SPBR_U --> ATOKA,1,1,0,45.27229149,SPBR_U,ATOKA,1,FRAC,6862,9418,GAL,FLUD,LB,SAND,NA,NA,5731,6856,7489,8360,8607,8977,9815,10210,10358,10290.82,10313.39,10688.76,10866.81,10922.64
546126,0,0,799108,546126,NA,50000,68,D,ENDEAVOR ENERGY RESOURCES LIMITED PRTS,GLASSCOCK,39203,2007,31.95298,-101.75386,10510,80,80,SPBR_U --> ATOKA,4,4,0,44.02376458,SPBR_U,ATOKA,4,FRAC,6878,9429,NA,NA,LB,SAND,NA,16/30,5741,6858,7507,8362,8650,9019,9800,10195,10334,10287.07,10306.83,10639.79,10838.65,10888.38
0,13750,315647,225120,329397,52237,155100,69,D,PIONEER NATURAL RESOURCES USA INC,GLASSCOCK,39196,2007,31.73285,-101.59494,9487,40,80,WFMP --> WFMP,5,10,0,25.31341516,WFMP,WFMP,10,FRAC,7973,8104,GAL,X-LINKGEL,LB,SAND,SCIN,20/40,5419,6414.96,6962,8020,8317.09,8923,9717.77,10018.08,10146.65,10264.08,10346.84,10477.69,10618.25,10666.74
0,21000,747058,406120,768058,146666,117244,70,D,PIONEER NATURAL RESOURCES USA INC,GLASSCOCK,39314,2007,31.97911,-101.6871,9808,160,Over 160,WFMP --> WFMP,5,13,0,42.268,WFMP,WFMP,13,FRAC,8277,8348,GAL,GEL,LB,SAND,NA,20/40,5606,6469,6937,7981,8367,8706,9565,9928.16,10055.74,10145.22,10161.74,10343.41,10582.41,10627.13
366450,0,0,123000,366450,124698,61500,72,F,APACHE CORPORATION,GLASSCOCK,39091,2007,31.66779,-101.55234,8181,160,80,CLFK --> WFMP,2,2,0,15.424,CLFK,WFMP,2,FRAC,7689,8011,GAL,FLUD,LB,SAND,NA,20/40,5366,6226.92,6775.54,7841.96,8155.5,8515.29,9583.85,9945.13,10081.03,10164.06,10178.92,10418.82,10540.49,10567.32
365484,0,0,123000,365484,123732,61500,73,D,APACHE CORPORATION,GLASSCOCK,39119,2007,31.77384,-101.71001,8492,Over 160,40,CLFK --> WFMP,2,2,0,34.88893209,CLFK,WFMP,2,FRAC,8193,8413,GAL,FLUD,LB,SAND,NA,20/40,5848,6798,7363,8361,8618.67,9006.28,9959.37,10248.16,10400.45,10506.85,10608.77,10828.14,10976.17,11048.69
0,9520,592788,603100,602308,89690,141700,74,D,ENERGEN RESOURCES CORPORATION,GLASSCOCK,39253,2007,31.74921,-101.60913,8750,40,160,SPBR_U --> WFMP,4,7,0,20.11541731,SPBR_U,WFMP,7,FRAC,8142,8438,GAL,GEL,LB,SAND,XLNK,20/40,5444,6453,6996,8060,8331,8926.06,9736.28,10034.73,10167.07,10290.86,10372.7,10493.35,10616.88,10663.26
0,0,633108,584800,633108,189756,199000,76,D,ENERGEN RESOURCES CORPORATION,GLASSCOCK,39263,2007,31.74169,-101.6067,8547,80,160,SPBR_U --> WFMP,4,4,0,20.072,SPBR_U,WFMP,4,FRAC,6477,6775,GAL,GEL,LB,SAND,GLST,20 /40,5472,6477,7035,8048,8328,8938.47,9733.72,10033.71,10179.51,10283.24,10370.27,10498.22,10641.08,10684.12
0,10750,245788,234101,256538,57767,165641,79,F,PIONEER NATURAL RESOURCES USA INC,GLASSCOCK,39232,2007,31.72677,-101.58867,9510,160,40,WFMP --> WFMP,4,8,0,12.64935437,WFMP,WFMP,8,FRAC,7943,8026,GAL,X-LINKGEL,LB,SAND,SCIN,20/40,5388,6386,6934,7992,8223,8802.01,9694.29,9999.46,10127.2,10248.51,10321.62,10465.93,10601.3,10648.98
536943,4000,0,610000,540943,341928,4e+05,82,D,ENERGEN RESOURCES CORPORATION,GLASSCOCK,39255,2007,31.75205,-101.6277,8750,80,160,SPBR_U --> WFMP,3,4,0,20.7,SPBR_U,WFMP,4,FRAC,8288,8467,GAL,FLUD,LB,SAND,NA,20/40,5563,6552,7109,8142,8438,8918.05,9769.73,10067.23,10198.2,10317.45,10393.27,10551.43,10686.83,10757.71
0,14250,403229,600723,417479,47393,138461,86,D,APACHE CORPORATION,GLASSCOCK,39534,2008,31.76536,-101.76084,9894,80,40,CLFK --> WFMP,6,12,0,17.63959573,CLFK,WFMP,12,FRAC,6911,7065,GAL,X-LINKGEL,LB,SAND,NA,20/40,5907,6889,7469,8456,8741,9142,10057.13,10349.79,10495.96,10552.91,10674.67,11056.42,11152.5,11238.88
0,8250,486631,591188,494881,46429,182011,87,C,APACHE CORPORATION,GLASSCOCK,39324,2007,31.71962,-101.76398,9840,80,40,SPBR_U --> WFMP,5,10,0,28.09232775,SPBR_U,WFMP,10,FRAC,6990,7058,GAL,X-LINKGEL,LB,SAND,SCIN,20/40,6019,6967,7449,8533,8806,9222,10132.74,10436.89,10586.97,10650.8,10795.03,11151.77,11259.6,11342.44
258392,0,0,466275,258392,174688,214875,89,F,APACHE CORPORATION,GLASSCOCK,39558,2008,31.65722,-101.54181,8252,80,80,SPBR_U --> WFMP,2,2,0,22.11157295,SPBR_U,WFMP,2,FRAC,7672,8113,GAL,W,LB,SAND,SFAC,20/40,5301,6223,6785,7845,8146,8493.1,9577.74,9953.47,10082.58,10163.42,10165.78,10424.66,10538.55,10563.72
0,16500,451507,561280,468007,72210,183837,90,D,APACHE CORPORATION,GLASSCOCK,39404,2007,31.72807,-101.74337,9900,80,40,CLFK --> WFMP,5,10,0,10.56,CLFK,WFMP,10,FRAC,6900,7048,GAL,X-LINKGEL,LB,SAND,NA,20/40,5961,6885,7442,8433,8680,9137,10057.33,10369.75,10518.3,10588.7,10725.9,11045.98,11159.13,11237.4
616476,0,0,799820,616476,616476,799820,91,D,ENDEAVOR ENERGY RESOURCES LIMITED PRTS,GLASSCOCK,39413,2007,31.85385,-101.66055,10499,160,Over 160,CLFK --> ATOKA,1,1,0,40.092,CLFK,ATOKA,1,FRAC,6606,10318,GAL,FLUD,LB,SAND,HCL,NA,5842.67,6618,7156,8180,8624,9026,9836,10124,10256,10346.13,10404.98,10551.57,10722.62,10780.47
0,14250,369411,474363,383661,52601,140817,93,C,APACHE CORPORATION,GLASSCOCK,39568,2008,31.72585,-101.75281,9886,80,40,SPBR_U --> WFMP,6,12,0,8.086191594,SPBR_U,WFMP,12,FRAC,6982,7125,GAL,X-LINKGEL,LB,SAND,NA,20/40,5991,6952,7517,8454,8787,9305,10102.93,10411.91,10560.93,10626.84,10767.01,11108.43,11215.41,11295.89
0,14250,384132,522900,398382,48792,140167,94,D,APACHE CORPORATION,GLASSCOCK,39545,2008,31.71945,-101.73191,9878,80,40,SPBR_U --> WFMP,6,12,0,8.808,SPBR_U,WFMP,12,FRAC,6920,7073,GAL,X-LINKGEL,LB,SAND,NA,20/40,5977,6851,7471,8454,8717,9173,10047.9,10362.93,10510.81,10588.53,10726.23,11012.23,11138.99,11212.98
0,17000,484369,539400,501369,44767,130834,95,C,APACHE CORPORATION,GLASSCOCK,39560,2008,31.76379,-101.76925,9880,40,40,CLFK --> WFMP,6,12,0,24.40562809,CLFK,WFMP,12,FRAC,6934,7086,GAL,X-LINKGEL,LB,SAND,NA,20/04,5919,6885,7464,8449,8778,9161,10066.28,10361.52,10506.36,10556.48,10680.99,11091.63,11176.88,11265.85
0,15100,468244,545820,483344,53706,133719,96,C,APACHE CORPORATION,GLASSCOCK,39580,2008,31.76703,-101.77028,9876,40,40,CLFK --> WFMP,6,12,0,42.25256061,CLFK,WFMP,12,FRAC,6931,7082,GAL,X-LINKGEL,LB,SAND,NA,20/40,5917,6913,7474,8456,8747,9157,10053.44,10348.08,10493.15,10542.75,10665.61,11077.67,11165.82,11254.43
0,19000,552036,552180,571036,46609,130467,97,D,PIONEER NATURAL RESOURCES USA INC,GLASSCOCK,39624,2008,31.97212,-101.68489,9983,40,Over 160,CLFK --> WFMP,7,14,0,21.94799122,CLFK,WFMP,14,FRAC,6427,6480,GAL,X-LINKGEL,LB,SAND,NA,20/40,5595,6405,6900,7934,8338,8678,9595,9902.05,10031.8,10120.27,10138.02,10319.15,10549.76,10587.93
0,14250,403696,474820,417946,53626,133680,98,C,APACHE CORPORATION,GLASSCOCK,39522,2008,31.71701,-101.75875,9890,NA,NA,SPBR_U --> WFMP,6,12,0,9.735,SPBR_U,WFMP,12,FRAC,6974,7131,GAL,X-LINKGEL,LB,SAND,NA,20/40,6021,6969.26,7517.9,8515.57,8805.79,9192.7,10125.31,10433.02,10583.6,10649.17,10790.02,11136.67,11249.55,11330.82
0,14250,451957,638440,466207,48842,142580,99,D,APACHE CORPORATION,GLASSCOCK,39494,2008,31.7278,-101.72911,9878,40,40,SPBR_U --> WFMP,6,12,0,11.934,SPBR_U,WFMP,12,FRAC,6875,7027,GAL,X-LINKGEL,LB,SAND,NA,20/40,5949,6841,7430,8451,8707,9055,10025.58,10339.58,10487.28,10568.3,10703.59,10982.42,11108.68,11182.96
15848,0,0,902460,153212,23277.5,902460,102,D,ENDEAVOR ENERGY RESOURCES LIMITED PRTS,GLASSCOCK,39387,2007,31.96851,-101.76248,10660,80,80,SPBR_U --> WFMP,1,1,0,49.36,SPBR_U,WFMP,1,FRAC,6875,10087,GAL,W,LB,SAND,NA,NA,5760.07,6870.3,7565,8384.17,8666.66,9069.49,9849.37,10199.16,10331.09,10282.61,10306.14,10706.32,10891.29,10950.28
0,17250,357076,526821,374326,46629,136241,103,F,PIONEER NATURAL RESOURCES USA INC,GLASSCOCK,39456,2008,31.71347,-101.59782,9598,160,40,SPBR_U --> WFMP,6,12,0,25.04,SPBR_U,WFMP,12,FRAC,6451,6460,GAL,X-LINKGEL,LB,SAND,NA,20/40,5469,6414,6978,8028,8299,8699.07,9687.99,10013.44,10151.12,10282.93,10354.71,10500.41,10628.23,10684.6
