Completion.Year,Frac.Stages,Acid..Gals.,Gel.x.link..Gals.,Other..Gals.,Proppant...Total..lbs.,EUR_o..Mstb.,Completion.Month,Depth.Top,Fluid.Amount,Propping.Agent.Amount,BEND..KHW.,Subarea,Operator,County,WB.Spacing.Proxy,SPBY.Spacing.Proxy,Top_Zone,Deepest_Zone,Completion.Season,Type,Fluid.Type,Propping.Agent.Type,Additive,Mesh.Size
2008,4,6000,211068,0,606324,32.076,4,6540,44167,139450,10357.14,6,27,1,1,3,3,5,2,3,11,3,NA,6
2008,4,6000,217988,0,580155,22.828,4,6506,51788,140070,10339.52,6,27,1,4,3,3,5,2,3,11,3,NA,6
2008,4,6000,232412,0,579200,15.55114674,5,6481,54204,135287,10328.66,6,27,1,4,3,1,5,2,3,11,3,NA,6
2008,7,12000,547628,0,602280,11.188,11,7082,42873,130934,10639.7,3,2,1,4,3,3,7,1,3,11,3,20,6
2008,7,20000,676928,0,648070,25.4251233,11,6990,52794,134130,10640.77,3,2,1,4,3,3,7,1,3,11,3,NA,6
2008,7,19000,570219,0,621902,16.768,11,6997,48079,141147,10655.03,3,2,1,4,3,3,7,1,3,11,3,NA,6
2008,1,16128,1004640,0,1221471.973,45.376,8,6556,1004640,1090000,10324.62,4,13,1,3,3,1,1,3,3,6,3,9,NA
2008,11,18000,679906,0,1328840,17.38,11,7267,73222,177573,10268.33,4,27,1,4,5,2,7,1,3,11,3,20,6
2008,4,34146,0,0,402403,35.256,6,9254,9030,0,10487.18,4,22,1,4,4,5,7,3,1,1,NA,11,NA
2009,6,10500,563526,0,224088,14.11666124,5,7818,27231,16598,NA,4,27,1,1,5,5,7,2,3,11,3,20,6
2009,6,14000,864409,0,449794,55.764,1,8006,195873,136963,10103.34,4,27,1,3,5,5,7,4,3,11,3,20,6
2008,5,12080,474075,0,318295,28.724,12,9742,84620,40104,9963.17,6,4,1,1,5,5,1,4,3,11,3,20,6
2008,7,12000,755718,0,672071,19.24918288,11,6463,57414,122013,10283.2,4,27,1,3,4,3,7,1,3,11,3,20,6
2008,4,12500,460671,0,257881,62.13588059,11,8442,51236,41265,10234.47,4,27,1,3,1,5,1,1,3,11,3,20,6
2008,NA,NA,NA,NA,NA,68.40805807,10,7450,NA,NA,10552.44,4,22,1,5,3,2,7,1,4,NA,NA,NA,NA
2008,6,10500,624937,0,695140,27.776,10,6423,47962,134806,10228.05,4,27,1,4,5,3,7,1,3,11,3,20,6
2009,8,13500,979212,0,744620,55.332,3,7684,74676,180500,10089.71,4,27,1,1,5,5,7,2,3,11,3,20,6
2009,5,141527,321339,57594,516840,16.288,1,6473,51408,131780,10282.27,4,27,1,3,3,3,6,4,3,11,3,20,6
2009,6,10000,443297,0,554580,39.94539112,5,6555,68764,183892,10319.64,4,27,1,1,4,3,7,2,3,11,3,20,6
2009,6,10500,418005,0,563980,55.758,2,6559,59934,112994,10332.99,4,27,1,1,3,3,7,4,3,11,3,20,6
2009,6,10500,514797,0,562960,30.744,1,6522,38661,115720,10305.63,4,27,1,4,4,3,7,4,3,11,3,20,6
2010,7,12000,1359338,0,1018714,63.824,8,6480,73378,181008,10138.24,4,27,1,1,5,3,7,3,3,11,3,20,6
2009,6,10000,487524,0,413620,71.54,3,7609,67150,157957,10261.78,4,27,1,5,3,2,7,2,3,11,3,20,6
2011,4,0,1401510,0,1335256,21.28,3,9689,250962,121444,10227.86,4,27,1,3,1,1,7,2,3,11,3,20,NA
2009,7,10000,605580,0,666840,18.724,5,6429,50568,156657,10246.88,4,27,1,4,5,3,7,2,3,11,3,20,6
2009,6,9500,576654,0,485020,36.49085403,6,7591,62286,132735,10281.81,4,27,1,4,1,2,7,3,3,11,3,20,6
2009,1,10000,0,0,2610608,34.6978439,10,7388,817824,717200,10224.25,4,5,1,1,4,2,6,1,3,6,3,9,6
2009,1,14070,1016148,0,1373343.945,69.756,11,6879,1016148,1226000,10302.4,4,13,1,4,3,3,1,1,3,11,3,NA,NA
2010,1,0,0,0,797164,34.512,2,7154,41663370,797164,9966.3,6,14,1,1,5,2,6,4,3,9,3,9,NA
2009,1,12696,0,0,314800,26.556,11,7864,722358,314800,10231.85,4,5,1,1,5,2,1,1,3,9,3,NA,6
2010,8,13500,877794,0,696467,25.224,6,6662,56544,142720,10211.57,4,27,1,1,1,3,7,3,3,11,3,20,6
2010,1,0,0,0,609217,19.788,6,7042,768857,609217,NA,6,14,1,3,5,2,1,3,3,9,3,9,NA
2010,8,75000,1352004,0,1124217,49.828,10,6750,60312,150091,10336.49,4,27,1,5,5,3,7,1,3,11,3,20,1
2010,1,12492,0,0,886704,73.936,4,9752,NA,243600,10231.54,4,5,1,4,1,5,8,2,3,NA,3,NA,2
2010,7,50700,719000,0,931000,47.484,8,10500,28700,0,10268.35,4,14,1,4,5,1,4,3,1,1,NA,11,NA
2010,1,11592,1119972,0,1145088.027,28.372,10,7857,1119972,1022000,10299.82,6,13,1,4,4,5,6,1,3,6,3,9,NA
2010,10,49000,924000,0,952000,41.77,8,10650,81000,50000,10273.26,4,14,1,4,5,1,4,3,3,6,3,9,6
2010,8,55000,723000,0,884000,36.072,9,10060,21000,0,10331.9,4,14,1,4,1,1,4,1,1,1,NA,11,NA
2010,8,13500,1082429,0,1152937,37.35049321,10,6967,72408,204399,10385.17,4,27,1,3,4,3,7,1,3,11,3,20,1
2010,1,0,0,0,877792,61.80434803,9,6046,1068228,877792,10000.78,6,14,1,4,1,1,6,1,3,9,3,9,NA
2011,1,12600,0,0,5208000,53.388,1,6602,1038996,4650000,10330.11,4,13,1,4,1,3,1,4,3,3,3,9,NA
2011,7,0,449500,0,522438,35.412,4,10016,43000,16500,10020.99,4,2,1,4,1,5,8,2,3,11,3,20,NA
2011,5,1000,616300,0,533788,53.116,4,10764,14500,6000,10072.04,4,2,1,3,4,5,4,2,3,6,3,3,NA
2011,1,0,0,0,985400,84.72,2,6910,951720,985400,10218.11,4,11,1,3,5,2,1,4,3,3,3,NA,NA
2010,1,15834,24110,0,2194438400,41.68,12,6170,24110,1959320000,10067.46,6,13,1,4,5,3,4,4,3,6,3,9,NA
2011,3,16500,1622877.184,0,1285422,23.642,4,8380,1283184,601501,10350.67,4,27,1,4,4,3,7,2,3,11,3,20,NA
2011,3,0,1533212.367,0,1353425,23.042,5,8225,1282260,849581,10202.48,4,27,1,4,1,3,6,2,3,11,3,20,10
2010,5,25116,0,0,398000,32.96370677,11,10024,NA,37000,10177.38,4,4,1,1,5,2,1,1,3,NA,3,NA,NA
2010,6,20034,0,0,402000,13.372,12,9934,NA,25000,10140.55,4,4,1,4,5,5,1,4,3,NA,3,NA,NA
2011,1,22092,1122618,0,1139711.973,58.952,1,6906,1122618,1018000,10087.36,6,13,1,4,1,2,3,4,3,6,3,9,NA
2010,5,16000,0,0,1266600,90.188,11,9709,306600,183400,9958.12,6,19,1,1,2,5,1,1,3,9,3,NA,NA
2010,6,22600,0,2356200,1317700,98.23186666,12,9746,491400,230600,9972.07,6,19,1,4,5,5,1,4,3,8,3,17,NA
2011,1,17000,679602,0,1503684,75.576,1,8350,679602,413100,10184.87,4,5,1,3,5,5,3,4,3,11,4,20,NA
2011,4,16500,1196362,0,1483342,41.86032034,12,9849,302878,173526,10114.04,4,27,1,3,5,1,6,4,3,11,3,9,9
2011,2,8190,0,0,713440,35.212,3,10182,73878,50000,10285.82,4,5,1,3,4,5,6,2,3,3,3,NA,6
2011,7,0,1134264,0,993540,94.12444184,4,10839,40000,100000,10351.41,4,2,1,4,4,1,4,2,3,6,3,NA,NA
2011,7,0,1201204,0,1084729,82.72679578,4,10809,40000,49750,10355.62,4,2,1,1,4,3,4,2,3,6,3,NA,NA
2011,3,13500,1102391,0,1175163,182.758,4,8346,836252,557409,10149.81,4,27,1,5,5,3,6,2,3,6,3,9,NA
2011,8,22000,0,0,650000,9.968,7,9607,NA,80000,9709.08,6,4,1,4,5,2,1,3,3,NA,3,NA,NA
2011,2,16500,1508004,0,1484532,4.196,5,7496,1228962,902190,9972.84,4,27,1,5,5,1,6,2,3,11,3,20,NA
2011,1,15120,1103760,0,1329888.027,36.92,3,6211,1103760,1188000,10088.07,6,13,1,4,1,3,4,2,3,6,3,9,NA
2011,4,15000,1331749,0,1333245,64.232,5,10126,118694,87885,10276.84,4,27,1,3,3,1,6,2,3,11,3,20,NA
2011,1,0,0,0,NA,95.636,4,6479,969,0,10316.84,4,14,1,4,1,1,4,2,1,1,NA,11,NA
2011,1,4404,0,0,791000,56.668,4,6508,4404,0,10297.5,4,14,1,4,3,3,1,2,1,1,NA,11,NA
2011,8,24360,0,0,510500,15.792,2,9951,NA,52500,10140.43,4,4,1,4,4,2,1,4,3,NA,3,NA,NA
2011,8,24612,0,0,520500,23.312,6,9892,NA,29000,10182.19,4,4,1,1,5,2,1,3,3,NA,3,NA,NA
2011,7,28014,0,0,501500,19.484,1,9737,NA,29000,NA,6,4,1,1,5,5,1,4,3,NA,3,NA,NA
2011,8,33000,513000,0,846000,36.824,11,10099,100000,51000,10278.08,4,14,1,3,1,1,1,1,3,3,3,3,6
2011,8,34000,412000,0,740000,41.876,11,10700,108000,50000,10277.8,4,14,1,3,1,2,4,1,3,3,3,4,6
2011,8,37000,435000,0,873000,30.524,8,10510,96000,50000,10281.13,4,14,1,3,5,3,4,3,3,3,3,3,6
2011,7,34000,466000,0,862000,27.412,8,10046,118000,78000,10261.05,4,14,1,4,5,3,1,3,3,3,3,3,6
2011,7,34000,290000,0,843000,31.096,8,10051,118000,75000,10260.7,4,14,1,4,5,3,1,3,3,3,3,3,6
2011,7,32000,455000,0,776000,30.76,7,10014,116000,75000,10262.56,4,14,1,3,1,2,1,3,3,3,3,3,6
2011,7,32000,414000,0,738000,30.044,7,10030,110000,75000,10233.28,4,14,1,4,5,2,1,3,3,3,3,3,6
2011,7,26000,356000,0,685000,30.492,10,10004,123000,75000,10248.87,4,14,1,3,1,2,1,1,3,3,3,4,6
2011,7,32500,377000,0,733000,29.132,8,10078,110000,75000,10242.7,4,14,1,4,5,2,1,3,3,3,3,3,6
2012,6,29000,5e+05,0,683500,42.18,3,10072,108000,75000,10294.78,4,14,1,NA,NA,3,6,2,3,11,3,3,6
2011,8,34000,331000,0,811000,21.352,9,9596,125000,95000,10272.41,4,14,1,4,5,1,7,1,3,3,3,4,6
2011,8,33000,433000,0,898500,19.268,11,10076,110000,51000,10308.11,4,14,1,3,4,1,6,1,3,3,3,3,6
2011,8,34500,416000,0,834000,18.056,11,10148,110000,75000,10315.3,4,14,1,3,4,2,1,1,3,3,3,3,6
2011,3,13500,1151566,0,1212034,36.568,5,8664,855820,573189,10439.56,4,27,1,1,3,1,7,2,3,11,3,20,NA
2011,3,0,1110038,0,1178247,25.364,6,8317,829533,562654,10236.2,4,27,1,5,5,1,7,3,3,6,3,9,9
2011,8,24066,0,0,663000,28.784,9,9678,NA,78000,9735.62,6,4,1,4,5,2,1,1,3,NA,3,NA,NA
2011,1,14112,979062,0,972860,46.584,5,7445,979062,972860,10323.85,4,13,1,4,4,3,1,2,3,6,3,9,NA
2011,1,12096,951846,0,786080,74.564,6,7588,951846,786080,10289.12,4,13,1,NA,NA,2,1,3,3,6,3,9,NA
2011,4,16500,1343858,0,1494110,73.544,8,10070,175680,119785,10292.05,4,27,1,4,3,3,6,3,3,11,3,9,9
2011,4,0,1369538,0,1391744,129.9206302,7,6507,6120,0,10151.24,4,27,1,1,5,3,6,3,1,1,NA,11,NA
2011,4,0,1291704,0,1452522,51.348,10,6314,12922,0,NA,4,27,1,1,1,3,6,1,1,1,NA,11,NA
2011,6,26300,338000,0,741000,16.16,7,10158,98000,50000,NA,6,14,1,3,5,2,4,3,3,3,3,17,6
2011,12,NA,NA,NA,NA,423.792,7,9804,NA,0,NA,6,18,1,3,1,3,3,3,3,1,NA,11,NA
2011,5,15500,0,2016000,1167000,152.468,5,9816,420000,258000,10035.5,6,19,1,4,1,5,3,2,3,8,3,17,NA
2011,8,24108,0,0,562000,26.888,3,9714,NA,10000,9964,6,4,1,3,5,2,1,2,3,NA,3,NA,NA
2011,4,13500,1239351,0,1380160,39.84,7,10200,182505,130227,10403.79,4,27,1,1,2,3,6,3,3,6,3,NA,NA
2011,12,NA,NA,NA,NA,257.668,12,9948,NA,0,NA,6,18,1,4,1,3,4,4,3,1,NA,11,NA
2011,1,0,0,0,1207360,43.24659366,8,6918,915348,1078000,10193.28,4,25,1,4,1,2,4,3,3,3,3,NA,NA
2011,1,0,0,0,1306143.945,17.936,5,7288,1116402,1166000,10174.17,4,25,1,1,5,2,1,2,3,3,3,NA,NA
2011,1,0,0,0,914711,25.468,5,6990,922488,914711,10173.11,4,25,1,4,4,2,1,2,3,3,3,NA,NA
2011,7,32700,509000,0,840000,21.2,6,10590,2200,0,9872.73,6,14,1,1,5,2,2,3,1,1,NA,11,NA
2011,7,32000,596000,0,885000,24.084,8,9496,129000,95000,9903.98,6,14,1,1,5,2,1,3,3,3,3,3,6
2011,7,29000,397000,0,839500,6.988,10,9424,111000,97500,9963.31,6,14,1,4,5,1,7,1,3,3,3,3,6
2011,5,23000,377000,0,627000,23.62,7,9374,129000,95000,9811.97,6,14,1,3,5,2,6,3,3,3,3,3,6
2011,7,30000,398500,0,851500,26.516,8,9248,111000,97500,NA,6,14,1,1,5,3,7,3,3,3,3,17,6
2011,6,26000,368500,0,762000,32.736,8,9330,108000,80000,NA,6,14,1,3,5,2,7,3,3,3,3,3,6
2011,2,26000,0,0,689000,97.304,11,10104,252000,115000,10203.48,4,31,1,4,5,5,1,1,3,9,3,NA,NA
2011,1,0,0,0,1283520,59.932,6,7380,1083306,1146000,10385.88,4,6,1,4,2,2,3,3,3,3,3,NA,NA
2011,1,0,0,0,1261120,35.636,7,7300,1001406,1126000,10399.29,4,6,1,4,3,2,3,3,3,3,3,NA,NA
2011,12,NA,NA,NA,NA,88.32861051,6,9884,NA,0,10042.35,6,18,1,4,4,3,1,3,3,1,NA,11,NA
2011,1,15120,0,0,905898,10.636,6,7080,1090740,905898,10067.77,6,13,1,4,4,2,4,3,3,3,3,NA,NA
2011,1,9999990,382000,0,253700,46.308,9,8629,382000,253700,10175.38,4,5,1,3,4,5,1,1,3,11,3,20,9
2011,1,12096,0,0,866438,109.128,8,7050,927948,866438,10030.15,6,13,1,3,4,2,4,3,3,3,3,9,NA
2011,10,10,650535,0,866588,153.18,9,10584,10,0,10204.71,4,5,1,4,1,5,3,1,1,1,NA,1,NA
2011,4,16500,1290128,0,1525120,29.21941362,10,10033,162030,113000,10205.17,4,27,1,4,1,3,6,1,3,6,3,2,6
2011,4,18000,1604730,0,2904943,19.164,8,9977,167382,1210000,10169.95,4,27,1,4,1,3,6,3,3,6,3,20,9
2011,7,32000,365000,0,785500,29.81065115,9,9704,63500,50000,NA,6,14,1,3,5,2,1,1,3,3,3,3,6
2011,7,32000,350000,0,827000,25.35257157,8,9790,81000,50000,9960.49,6,14,1,4,5,2,1,3,3,3,3,4,6
2011,6,27000,303000,0,637000,22.844,9,9506,122000,95000,NA,6,14,1,3,5,2,1,1,3,3,3,3,6
2011,4,15000,1210372,0,1302146,74.448,10,10242,157865,120132,10432.77,4,27,1,1,4,3,6,1,3,11,3,3,9
2011,3,16500,1300958,0,1513148,107.0470321,10,8300,989269,717834,10157.72,4,27,1,3,5,3,1,1,3,11,3,9,NA
2011,1,151200,0,0,125000,3.42574173,10,6484,NA,125000,10278.2,6,3,1,4,3,3,1,1,3,NA,3,NA,8
2011,1,0,0,0,955869,124.084,7,7510,1028748,955869,10192.25,4,11,1,3,5,2,3,3,3,3,3,NA,NA
2011,1,0,0,0,128790,1.219311577,9,6440,1318758,128790,10277.21,6,3,1,4,4,3,8,1,3,3,3,NA,6
2011,8,26040,0,0,612000,46.9,8,9937,NA,71000,10156.45,4,4,1,1,5,2,1,3,3,NA,3,NA,NA
2011,1,0,0,0,884922,95.452,8,7978,1013334,884922,10147.23,4,11,1,4,5,5,3,3,3,3,3,NA,NA
2011,8,29000,412500,0,823000,41.792,9,9993,123000,75000,10156.24,6,14,1,3,1,3,1,1,3,3,3,4,6
2012,1,0,0,0,1155840,76.148,10,7530,945504,1032000,10409.88,4,6,1,NA,NA,2,1,1,3,3,3,NA,NA
2011,1,0,0,0,1556800,57.424,8,7436,1041852,1390000,10407.52,4,6,1,NA,NA,2,1,3,3,3,3,NA,NA
2011,1,NA,NA,NA,NA,113.708,12,5964,NA,0,NA,6,18,1,4,5,3,3,4,3,1,NA,11,NA
2011,7,28000,425500,0,752000,28.564,11,9770,111000,81000,10149.22,6,14,1,4,4,3,6,1,3,3,3,3,6
2012,7,30000,559000,0,811800,29.872,2,9730,135500,87800,10034.51,6,14,1,NA,NA,3,1,4,3,11,3,3,6
2011,7,29000,0,0,789000,29.108,10,9634,125000,75000,10057.97,6,14,1,5,5,3,6,1,3,3,3,4,6
2011,7,29000,402000,0,795000,12.116,11,9660,111000,81000,10065.4,6,14,1,4,1,3,6,1,3,3,3,3,6
2011,7,0,449500,0,484688,49.16,7,10139,43000,16500,10043.31,4,2,1,4,2,5,8,3,3,11,3,NA,NA
2011,1,0,0,0,999200,35.588,7,7324,969192,999200,10351.86,4,6,1,1,3,2,8,3,3,3,3,NA,NA
2011,7,29000,427000,0,820000,45.868,12,9578,96000,85000,NA,6,14,1,3,5,2,1,4,3,3,3,3,6
2012,7,30000,542500,0,856000,26.248,4,9526,116000,91500,9950.39,6,14,1,NA,NA,3,6,2,3,11,3,17,6
2011,7,29000,407000,0,873500,48.432,11,9502,111000,97500,10003.01,6,14,1,4,5,3,1,1,3,3,3,3,6
2011,6,25000,338000,0,737500,57.56,11,9340,111000,97500,NA,6,14,1,3,5,3,1,1,3,3,3,3,6
2012,8,33000,500500,0,886000,25.476,2,9688,125000,75000,10045.45,6,14,1,4,5,3,6,4,3,3,3,3,6
2011,7,29000,417000,0,896000,36.408,12,9414,111000,98000,NA,6,14,1,4,5,3,1,4,3,3,3,3,9
2011,7,29000,417000,0,888000,44.064,10,9360,111000,98000,NA,6,14,1,3,5,3,1,1,3,3,3,4,6
2011,7,31000,0,0,8e+05,41.33660355,9,9750,98000,50000,NA,6,14,1,3,5,2,1,1,3,3,3,4,6
2011,1,0,0,0,930100,60.20299007,9,7977,893970,930100,10218.77,4,11,1,3,5,5,3,1,3,3,3,NA,NA
2011,7,20580,0,0,552400,29.636,9,9556,NA,78400,9813.92,6,4,1,3,5,3,1,1,3,NA,3,NA,6
2011,4,16500,0,0,1414833,37.312,12,10200,195714,120471,10348.23,4,27,1,3,1,3,1,4,3,3,3,3,9
2011,4,16500,1456140,0,1412896,85.224,12,10089,173063,119912,10313.77,4,27,1,3,3,3,6,4,3,11,3,NA,NA
2011,4,0,949223,0,1472808,27.888,11,6647,2671,0,10241.78,4,27,1,1,1,1,6,1,1,1,NA,11,NA
2011,1,NA,NA,NA,140000,5.964764826,8,6528,NA,140000,10316.37,6,3,1,4,3,3,8,3,3,NA,3,NA,8
