EUR_o..Mstb.,Completion.Year,Frac.Stages,Acid..Gals.,Gel.x.link..Gals.,Other..Gals.,Proppant...Total..lbs.,Completion.Month,Depth.Top,Fluid.Amount,Propping.Agent.Amount,BEND..KHW.,Subarea,Operator,County,WB.Spacing.Proxy,SPBY.Spacing.Proxy,Top_Zone,Deepest_Zone,Completion.Season,Type,Fluid.Type,Propping.Agent.Type,Additive,Mesh.Size
55.3862174,2006,1,0,0,0,61500,12,6272,241752,61500,10211.43,6,2,1,4,3,1,7,4,3,9,3,17,6
31.07150317,2007,4,0,0,0,449160,2,8400,74004,108332,10412.86,6,27,1,1,2,3,7,4,3,3,3,11.9006117352605,5.92863851926501
46.04231632,2006,3,0,0,0,350761,8,8190,98658,135248,10369.86,6,27,1,1,3,3,7,3,3,3,3,13.2608474937212,6.02150010320221
13.624,2007,6,14250,412047,0,523253,1,6876,45604,134736,10570.53,4,2,1,4,3,3,7,4,3,11,3,16.0588381847529,6
20.67705873,2007,6,14250,385924,0,535260,1,6864,51540,146540,10541.32,4,2,1,1,3,1,7,4,3,11,3,16,6
30.18,2006,2,0,0,0,123000,7,7659,128000,61500,10132.91,6,2,1,3,3,1,7,3,3,9,3,17,6
12.671,2007,5,11250,350595,0,505220,3,6869,47343,125270,10575.36,4,2,1,3,3,1,7,2,3,11,3,16,6
6.904,2007,3,12000,261394,0,267520,4,7525,140345,84000,10276.44,4,27,1,3,4,2,7,2,3,11,3,16.5471153722462,6
45.27229149,2007,1,0,0,0,802700,5,6862,649698,802700,10290.82,4,13,1,3,4,3,1,2,3,3,3,12.2997525795227,4.74383310550119
44.02376458,2007,4,0,0,0,799108,5,6878,411670.643974555,50000,10287.07,4,13,1,4,4,3,1,2,3,5.74578239230474,3,12.7524355048543,1
25.31341516,2007,5,13750,315647,0,225120,4,7973,52237,155100,10264.08,4,27,1,3,4,5,7,2,3,11,3,16,6
42.268,2007,5,21000,747058,0,406120,8,8277,146666,117244,10145.22,4,27,1,1,5,5,7,3,3,6,3,15.2294766989095,6
15.424,2007,2,0,0,0,123000,1,7689,124698,61500,10164.06,6,2,1,1,4,1,7,4,3,3,3,15.9810723722404,6
34.88893209,2007,2,0,0,0,123000,2,8193,123732,61500,10506.85,4,2,1,5,3,1,7,4,3,3,3,15.9607061321084,6
20.11541731,2007,4,9520,592788,0,603100,6,8142,89690,141700,10290.86,4,14,1,3,1,3,7,3,3,6,3,20,6
20.072,2007,4,0,633108,0,584800,7,6477,189756,199000,10283.24,4,14,1,4,1,3,7,3,3,6,3,10,5
12.64935437,2007,4,10750,245788,0,234101,6,7943,57767,165641,10248.51,6,27,1,1,3,5,7,3,3,11,3,16,6
20.7,2007,3,4000,0,0,610000,6,8288,341928,4e+05,10317.45,4,14,1,4,1,3,7,3,3,3,3,13.8010736608855,6
17.63959573,2008,6,14250,403229,0,600723,3,6911,47393,138461,10552.91,4,2,1,4,3,1,7,2,3,11,3,15.9082018767587,6
28.09232775,2007,5,8250,486631,0,591188,9,6990,46429,182011,10650.8,3,2,1,4,3,3,7,1,3,11,3,16,6
22.11157295,2008,2,0,0,0,466275,4,7672,174688,214875,10163.42,6,2,1,4,4,3,7,2,3,9,3,17,6
10.56,2007,5,16500,451507,0,561280,11,6900,72210,183837,10588.7,4,2,1,4,3,1,7,1,3,11,3,17.1554671966896,6
40.092,2007,1,0,0,0,799820,11,6606,616476,799820,10346.13,4,13,1,1,5,1,1,1,3,3,3,11,4.56352814823787
8.086191594,2008,6,14250,369411,0,474363,5,6982,52601,140817,10626.84,3,2,1,4,3,3,7,2,3,11,3,17.541457884864,6
8.808,2008,6,14250,384132,0,522900,4,6920,48792,140167,10588.53,4,2,1,4,3,3,7,2,3,11,3,15.894073279477,6
24.40562809,2008,6,17000,484369,0,539400,4,6934,44767,130834,10556.48,3,2,1,3,3,1,7,2,3,11,3,16.1304639366748,3
42.25256061,2008,6,15100,468244,0,545820,5,6931,53706,133719,10542.75,3,2,1,3,3,1,7,2,3,11,3,16.9810303318417,6
21.94799122,2008,7,19000,552036,0,552180,6,6427,46609,130467,10120.27,4,27,1,3,5,1,7,3,3,11,3,17.3708596082796,6
9.735,2008,6,14250,403696,0,474820,3,6974,53626,133680,10649.17,3,2,1,3.34720627092333,2.97422852802942,3,7,2,3,11,3,17.8121198335158,6
11.934,2008,6,14250,451957,0,638440,2,6875,48842,142580,10568.3,4,2,1,3,3,3,7,4,3,11,3,16.0815397261122,6
49.36,2007,1,0,0,0,902460,11,6875,15848,902460,10282.61,4,13,1,4,4,3,7,1,3,9,3,13.7224976573557,5.34969642681706
25.04,2008,6,17250,357076,0,526821,1,6451,46629,136241,10282.93,6,27,1,1,3,3,7,4,3,11,3,17.6992320376926,6
48.844,2008,3,5250,172916,0,470520,2,6914,47820,135304,10468.94,4,27,1,5,2,3,7,4,3,11,3,17.8098595090573,6
25.376,2008,4,7500,221728,0,222173,3,6525,49643,137039,10334.67,4,27,1,3,4,1,7,2,3,11,3,17.2964037359424,6
24.14,2008,6,13500,431728,0,514420,3,6523,53621,137543,10339.12,4,27,1,1,3,1,7,2,3,11,3,16.1281648579303,1
66.2739258,2008,8,29000,508689,0,413900,3,10024,10000,50180.2664028738,10162.78,4,4,1,4,5,1,6,2,3,9,2.97429483844536,11.2051207055637,5.75936683844717
32.076,2008,4,6000,211068,0,606324,4,6540,44167,139450,10357.14,6,27,1,1,3,3,5,2,3,11,3,16.0929921027479,6
22.828,2008,4,6000,217988,0,580155,4,6506,51788,140070,10339.52,6,27,1,4,3,3,5,2,3,11,3,16.1728532818629,6
15.55114674,2008,4,6000,232412,0,579200,5,6481,54204,135287,10328.66,6,27,1,4,3,1,5,2,3,11,3,15.9941571809753,6
11.188,2008,7,12000,547628,0,602280,11,7082,42873,130934,10639.7,3,2,1,4,3,3,7,1,3,11,3,20,6
25.4251233,2008,7,20000,676928,0,648070,11,6990,52794,134130,10640.77,3,2,1,4,3,3,7,1,3,11,3,19.2042872747788,6
16.768,2008,7,19000,570219,0,621902,11,6997,48079,141147,10655.03,3,2,1,4,3,3,7,1,3,11,3,18.2684831709619,6
45.376,2008,1,16128,1004640,0,1221471.973,8,6556,1004640,1090000,10324.62,4,13,1,3,3,1,1,3,3,6,3,9,7.03061474871977
17.38,2008,11,18000,679906,0,1328840,11,7267,73222,177573,10268.33,4,27,1,4,5,2,7,1,3,11,3,20,6
35.256,2008,4,34146,0,0,402403,6,9254,9030,0,10487.18,4,22,1,4,4,5,7,3,1,1,2.92509222504328,11,5.72192363082552
14.11666124,2009,6,10500,563526,0,224088,5,7818,27231,16598,10464.6889963784,4,27,1,1,5,5,7,2,3,11,3,20,6
55.764,2009,6,14000,864409,0,449794,1,8006,195873,136963,10103.34,4,27,1,3,5,5,7,4,3,11,3,20,6
28.724,2008,5,12080,474075,0,318295,12,9742,84620,40104,9963.17,6,4,1,1,5,5,1,4,3,11,3,20,6
19.24918288,2008,7,12000,755718,0,672071,11,6463,57414,122013,10283.2,4,27,1,3,4,3,7,1,3,11,3,20,6
62.13588059,2008,4,12500,460671,0,257881,11,8442,51236,41265,10234.47,4,27,1,3,1,5,1,1,3,11,3,20,6
68.40805807,2008,5.10995278439133,10467.0042800179,321493.529817733,0,502446.135989839,10,7450,62561.4670029153,75063.7263558619,10552.44,4,22,1,5,3,2,7,1,4,6.29986432253786,2.99999999022383,13.7675088140459,5.87219137066377
27.776,2008,6,10500,624937,0,695140,10,6423,47962,134806,10228.05,4,27,1,4,5,3,7,1,3,11,3,20,6
55.332,2009,8,13500,979212,0,744620,3,7684,74676,180500,10089.71,4,27,1,1,5,5,7,2,3,11,3,20,6
16.288,2009,5,141527,321339,57594,516840,1,6473,51408,131780,10282.27,4,27,1,3,3,3,6,4,3,11,3,20,6
39.94539112,2009,6,10000,443297,0,554580,5,6555,68764,183892,10319.64,4,27,1,1,4,3,7,2,3,11,3,20,6
55.758,2009,6,10500,418005,0,563980,2,6559,59934,112994,10332.99,4,27,1,1,3,3,7,4,3,11,3,20,6
30.744,2009,6,10500,514797,0,562960,1,6522,38661,115720,10305.63,4,27,1,4,4,3,7,4,3,11,3,20,6
63.824,2010,7,12000,1359338,0,1018714,8,6480,73378,181008,10138.24,4,27,1,1,5,3,7,3,3,11,3,20,6
71.54,2009,6,10000,487524,0,413620,3,7609,67150,157957,10261.78,4,27,1,5,3,2,7,2,3,11,3,20,6
21.28,2011,4,0,1401510,0,1335256,3,9689,250962,121444,10227.86,4,27,1,3,1,1,7,2,3,11,3,20,8.01673791876751
18.724,2009,7,10000,605580,0,666840,5,6429,50568,156657,10246.88,4,27,1,4,5,3,7,2,3,11,3,20,6
36.49085403,2009,6,9500,576654,0,485020,6,7591,62286,132735,10281.81,4,27,1,4,1,2,7,3,3,11,3,20,6
34.6978439,2009,1,10000,0,0,2610608,10,7388,817824,717200,10224.25,4,5,1,1,4,2,6,1,3,6,3,9,6
69.756,2009,1,14070,1016148,0,1373343.945,11,6879,1016148,1226000,10302.4,4,13,1,4,3,3,1,1,3,11,3,11.5202788406501,6.69874779308291
34.512,2010,1,0,0,0,797164,2,7154,41663370,797164,9966.3,6,14,1,1,5,2,6,4,3,9,3,9,8.04417042160743
26.556,2009,1,12696,0,0,314800,11,7864,722358,314800,10231.85,4,5,1,1,5,2,1,1,3,9,3,16.1139757448725,6
25.224,2010,8,13500,877794,0,696467,6,6662,56544,142720,10211.57,4,27,1,1,1,3,7,3,3,11,3,20,6
19.788,2010,1,0,0,0,609217,6,7042,768857,609217,10472.3312840358,6,14,1,3,5,2,1,3,3,9,3,9,5.84012126845148
49.828,2010,8,75000,1352004,0,1124217,10,6750,60312,150091,10336.49,4,27,1,5,5,3,7,1,3,11,3,20,1
73.936,2010,1,12492,0,0,886704,4,9752,406707.628410959,243600,10231.54,4,5,1,4,1,5,8,2,3,6.32048736846193,3,11.5903940185879,2
47.484,2010,7,50700,719000,0,931000,8,10500,28700,0,10268.35,4,14,1,4,5,1,4,3,1,1,2.70252366196511,11,6.20558363991704
28.372,2010,1,11592,1119972,0,1145088.027,10,7857,1119972,1022000,10299.82,6,13,1,4,4,5,6,1,3,6,3,9,7.13797769715442
41.77,2010,10,49000,924000,0,952000,8,10650,81000,50000,10273.26,4,14,1,4,5,1,4,3,3,6,3,9,6
36.072,2010,8,55000,723000,0,884000,9,10060,21000,0,10331.9,4,14,1,4,1,1,4,1,1,1,2.84377004311347,11,5.68056456606225
37.35049321,2010,8,13500,1082429,0,1152937,10,6967,72408,204399,10385.17,4,27,1,3,4,3,7,1,3,11,3,20,1
61.80434803,2010,1,0,0,0,877792,9,6046,1068228,877792,10000.78,6,14,1,4,1,1,6,1,3,9,3,9,6.18659174253554
53.388,2011,1,12600,0,0,5208000,1,6602,1038996,4650000,10330.11,4,13,1,4,1,3,1,4,3,3,3,9,8.03204314287584
35.412,2011,7,0,449500,0,522438,4,10016,43000,16500,10020.99,4,2,1,4,1,5,8,2,3,11,3,20,5.86702154649328
53.116,2011,5,1000,616300,0,533788,4,10764,14500,6000,10072.04,4,2,1,3,4,5,4,2,3,6,3,3,5.93176180173203
84.72,2011,1,0,0,0,985400,2,6910,951720,985400,10218.11,4,11,1,3,5,2,1,4,3,3,3,10.9555072209569,8.85219115829914
41.68,2010,1,15834,24110,0,2194438400,12,6170,24110,1959320000,10067.46,6,13,1,4,5,3,4,4,3,6,3,9,7.85587928072761
23.642,2011,3,16500,1622877.184,0,1285422,4,8380,1283184,601501,10350.67,4,27,1,4,4,3,7,2,3,11,3,20,8.50527050048616
23.042,2011,3,0,1533212.367,0,1353425,5,8225,1282260,849581,10202.48,4,27,1,4,1,3,6,2,3,11,3,20,10
32.96370677,2010,5,25116,0,0,398000,11,10024,159868.559384565,37000,10177.38,4,4,1,1,5,2,1,1,3,6.87778157653632,3,12.3350765860519,5.90099900083682
13.372,2010,6,20034,0,0,402000,12,9934,97163.2330573776,25000,10140.55,4,4,1,4,5,5,1,4,3,6.9542472106733,3,13.926772709651,5.9892358661243
58.952,2011,1,22092,1122618,0,1139711.973,1,6906,1122618,1018000,10087.36,6,13,1,4,1,2,3,4,3,6,3,9,8.42823667039074
90.188,2010,5,16000,0,0,1266600,11,9709,306600,183400,9958.12,6,19,1,1,2,5,1,1,3,9,3,13.158719994169,6.88219937421565
98.23186666,2010,6,22600,0,2356200,1317700,12,9746,491400,230600,9972.07,6,19,1,4,5,5,1,4,3,8,3,17,7.37748047475436
75.576,2011,1,17000,679602,0,1503684,1,8350,679602,413100,10184.87,4,5,1,3,5,5,3,4,3,11,4,20,8.0092766193271
41.86032034,2011,4,16500,1196362,0,1483342,12,9849,302878,173526,10114.04,4,27,1,3,5,1,6,4,3,11,3,9,9
35.212,2011,2,8190,0,0,713440,3,10182,73878,50000,10285.82,4,5,1,3,4,5,6,2,3,3,3,12.411156393867,6
94.12444184,2011,7,0,1134264,0,993540,4,10839,40000,1e+05,10351.41,4,2,1,4,4,1,4,2,3,6,3,14.9345195562653,6.61235994171804
82.72679578,2011,7,0,1201204,0,1084729,4,10809,40000,49750,10355.62,4,2,1,1,4,3,4,2,3,6,3,14.0386900740672,6.51393327521791
182.758,2011,3,13500,1102391,0,1175163,4,8346,836252,557409,10149.81,4,27,1,5,5,3,6,2,3,6,3,9,7.9072983005378
9.968,2011,8,22000,0,0,650000,7,9607,278690.336859007,80000,9709.08,6,4,1,4,5,2,1,3,3,5.68633351113551,3,8.70905596418147,6.13629539326613
4.196,2011,2,16500,1508004,0,1484532,5,7496,1228962,902190,9972.84,4,27,1,5,5,1,6,2,3,11,3,20,8.14087429159155
36.92,2011,1,15120,1103760,0,1329888.027,3,6211,1103760,1188000,10088.07,6,13,1,4,1,3,4,2,3,6,3,9,8.96650327168268
64.232,2011,4,15000,1331749,0,1333245,5,10126,118694,87885,10276.84,4,27,1,3,3,1,6,2,3,11,3,20,7.78591334894632
95.636,2011,1,0,0,0,33834713.2434031,4,6479,969,0,10316.84,4,14,1,4,1,1,4,2,1,1,2.97433996383377,11,6.04989496276898
56.668,2011,1,4404,0,0,791000,4,6508,4404,0,10297.5,4,14,1,4,3,3,1,2,1,1,2.95615836924626,11,5.5655551321819
15.792,2011,8,24360,0,0,510500,2,9951,134562.674257634,52500,10140.43,4,4,1,4,4,2,1,4,3,6.23171544442301,3,9.89101004244916,6.02189411784209
23.312,2011,8,24612,0,0,520500,6,9892,170281.914360699,29000,10182.19,4,4,1,1,5,2,1,3,3,7.20805433140884,3,11.0034696605715,5.94733021293437
19.484,2011,7,28014,0,0,501500,1,9737,483978.860729329,29000,10224.0743132816,6,4,1,1,5,5,1,4,3,6.01690906374786,3,13.2722846158874,6.3496509820734
36.824,2011,8,33000,513000,0,846000,11,10099,1e+05,51000,10278.08,4,14,1,3,1,1,1,1,3,3,3,3,6
41.876,2011,8,34000,412000,0,740000,11,10700,108000,50000,10277.8,4,14,1,3,1,2,4,1,3,3,3,4,6
30.524,2011,8,37000,435000,0,873000,8,10510,96000,50000,10281.13,4,14,1,3,5,3,4,3,3,3,3,3,6
27.412,2011,7,34000,466000,0,862000,8,10046,118000,78000,10261.05,4,14,1,4,5,3,1,3,3,3,3,3,6
31.096,2011,7,34000,290000,0,843000,8,10051,118000,75000,10260.7,4,14,1,4,5,3,1,3,3,3,3,3,6
30.76,2011,7,32000,455000,0,776000,7,10014,116000,75000,10262.56,4,14,1,3,1,2,1,3,3,3,3,3,6
30.044,2011,7,32000,414000,0,738000,7,10030,110000,75000,10233.28,4,14,1,4,5,2,1,3,3,3,3,3,6
30.492,2011,7,26000,356000,0,685000,10,10004,123000,75000,10248.87,4,14,1,3,1,2,1,1,3,3,3,4,6
29.132,2011,7,32500,377000,0,733000,8,10078,110000,75000,10242.7,4,14,1,4,5,2,1,3,3,3,3,3,6
42.18,2012,6,29000,5e+05,0,683500,3,10072,108000,75000,10294.78,4,14,1,3.32821506321364,3.49134522619097,3,6,2,3,11,3,3,6
21.352,2011,8,34000,331000,0,811000,9,9596,125000,95000,10272.41,4,14,1,4,5,1,7,1,3,3,3,4,6
19.268,2011,8,33000,433000,0,898500,11,10076,110000,51000,10308.11,4,14,1,3,4,1,6,1,3,3,3,3,6
18.056,2011,8,34500,416000,0,834000,11,10148,110000,75000,10315.3,4,14,1,3,4,2,1,1,3,3,3,3,6
36.568,2011,3,13500,1151566,0,1212034,5,8664,855820,573189,10439.56,4,27,1,1,3,1,7,2,3,11,3,20,7.02151471518247
25.364,2011,3,0,1110038,0,1178247,6,8317,829533,562654,10236.2,4,27,1,5,5,1,7,3,3,6,3,9,9
28.784,2011,8,24066,0,0,663000,9,9678,129545.462694715,78000,9735.62,6,4,1,4,5,2,1,1,3,4.79309948973214,3,8.83929899637769,5.99999996727492
46.584,2011,1,14112,979062,0,972860,5,7445,979062,972860,10323.85,4,13,1,4,4,3,1,2,3,6,3,9,6.48169972565957
74.564,2011,1,12096,951846,0,786080,6,7588,951846,786080,10289.12,4,13,1,3.1875581294293,3.56678568548929,2,1,3,3,6,3,9,7.3924007181667
73.544,2011,4,16500,1343858,0,1494110,8,10070,175680,119785,10292.05,4,27,1,4,3,3,6,3,3,11,3,9,9
129.9206302,2011,4,0,1369538,0,1391744,7,6507,6120,0,10151.24,4,27,1,1,5,3,6,3,1,1,2.82080858176062,11,7.55433313519243
51.348,2011,4,0,1291704,0,1452522,10,6314,12922,0,10390.2020798865,4,27,1,1,1,3,6,1,1,1,2.95653714704123,11,6.45163109627967
16.16,2011,6,26300,338000,0,741000,7,10158,98000,50000,10360.5475439038,6,14,1,3,5,2,4,3,3,3,3,17,6
423.792,2011,12,24567.1261989021,455543.221311306,31075.6653084058,815104.783411251,7,9804,122811.499611371,0,10219.8530683439,6,18,1,3,1,3,3,3,3,1,2.88331915096054,11,6.03574139381831
152.468,2011,5,15500,0,2016000,1167000,5,9816,420000,258000,10035.5,6,19,1,4,1,5,3,2,3,8,3,17,7.6984400537179
26.888,2011,8,24108,0,0,562000,3,9714,92267.7493924073,10000,9964,6,4,1,3,5,2,1,2,3,5.74247238912043,3,10.9027864816474,5.99999996898357
39.84,2011,4,13500,1239351,0,1380160,7,10200,182505,130227,10403.79,4,27,1,1,2,3,6,3,3,6,3,12.8927135709763,8.2235429426949
257.668,2011,12,121102.00803108,646797.333156522,163393.582902085,72811930.4559109,12,9948,260967.776471351,0,10389.3822137387,6,18,1,4,1,3,4,4,3,1,2.96257134242212,11,7.93294095425664
43.24659366,2011,1,0,0,0,1207360,8,6918,915348,1078000,10193.28,4,25,1,4,1,2,4,3,3,3,3,12.0123653690319,7.9435474268276
17.936,2011,1,0,0,0,1306143.945,5,7288,1116402,1166000,10174.17,4,25,1,1,5,2,1,2,3,3,3,13.0108098107757,8.07116689593075
25.468,2011,1,0,0,0,914711,5,6990,922488,914711,10173.11,4,25,1,4,4,2,1,2,3,3,3,11.5500794705938,7.33166657808027
21.2,2011,7,32700,509000,0,840000,6,10590,2200,0,9872.73,6,14,1,1,5,2,2,3,1,1,2.93894747226974,11,6.20911412368451
24.084,2011,7,32000,596000,0,885000,8,9496,129000,95000,9903.98,6,14,1,1,5,2,1,3,3,3,3,3,6
6.988,2011,7,29000,397000,0,839500,10,9424,111000,97500,9963.31,6,14,1,4,5,1,7,1,3,3,3,3,6
23.62,2011,5,23000,377000,0,627000,7,9374,129000,95000,9811.97,6,14,1,3,5,2,6,3,3,3,3,3,6
26.516,2011,7,30000,398500,0,851500,8,9248,111000,97500,10161.57967385,6,14,1,1,5,3,7,3,3,3,3,17,6
32.736,2011,6,26000,368500,0,762000,8,9330,108000,80000,10207.2548801728,6,14,1,3,5,2,7,3,3,3,3,3,6
97.304,2011,2,26000,0,0,689000,11,10104,252000,115000,10203.48,4,31,1,4,5,5,1,1,3,9,3,11.5335682090586,6.33927040342493
59.932,2011,1,0,0,0,1283520,6,7380,1083306,1146000,10385.88,4,6,1,4,2,2,3,3,3,3,3,13.7344649091377,6.49564643017749
35.636,2011,1,0,0,0,1261120,7,7300,1001406,1126000,10399.29,4,6,1,4,3,2,3,3,3,3,3,11.5063081315007,6.81607417020273
88.32861051,2011,12,10631.2831811236,626843.45421309,169395.114805788,23403752.8817546,6,9884,321699.978622434,0,10042.35,6,18,1,4,4,3,1,3,3,1,2.81109017900551,11,7.41472652046486
10.636,2011,1,15120,0,0,905898,6,7080,1090740,905898,10067.77,6,13,1,4,4,2,4,3,3,3,3,10.87788343899,8.15229370803332
46.308,2011,1,9999990,382000,0,253700,9,8629,382000,253700,10175.38,4,5,1,3,4,5,1,1,3,11,3,20,9
109.128,2011,1,12096,0,0,866438,8,7050,927948,866438,10030.15,6,13,1,3,4,2,4,3,3,3,3,9,8.96644757203122
153.18,2011,10,10,650535,0,866588,9,10584,10,0,10204.71,4,5,1,4,1,5,3,1,1,1,2.64776196093903,1,6.06005818170376
29.21941362,2011,4,16500,1290128,0,1525120,10,10033,162030,113000,10205.17,4,27,1,4,1,3,6,1,3,6,3,2,6
19.164,2011,4,18000,1604730,0,2904943,8,9977,167382,1210000,10169.95,4,27,1,4,1,3,6,3,3,6,3,20,9
29.81065115,2011,7,32000,365000,0,785500,9,9704,63500,50000,10146.3301269647,6,14,1,3,5,2,1,1,3,3,3,3,6
25.35257157,2011,7,32000,350000,0,827000,8,9790,81000,50000,9960.49,6,14,1,4,5,2,1,3,3,3,3,4,6
22.844,2011,6,27000,303000,0,637000,9,9506,122000,95000,10145.2734064834,6,14,1,3,5,2,1,1,3,3,3,3,6
74.448,2011,4,15000,1210372,0,1302146,10,10242,157865,120132,10432.77,4,27,1,1,4,3,6,1,3,11,3,3,9
107.0470321,2011,3,16500,1300958,0,1513148,10,8300,989269,717834,10157.72,4,27,1,3,5,3,1,1,3,11,3,9,8.61281857932981
3.42574173,2011,1,151200,0,0,125000,10,6484,575192.968553777,125000,10278.2,6,3,1,4,3,3,1,1,3,6.97811775294019,3,13.9200610226959,8
124.084,2011,1,0,0,0,955869,7,7510,1028748,955869,10192.25,4,11,1,3,5,2,3,3,3,3,3,11.3023527890186,7.23263898113112
1.219311577,2011,1,0,0,0,128790,9,6440,1318758,128790,10277.21,6,3,1,4,4,3,8,1,3,3,3,13.4358858697731,6
46.9,2011,8,26040,0,0,612000,8,9937,480203.734264651,71000,10156.45,4,4,1,1,5,2,1,3,3,6.00655289465906,3,12.4378770211789,6.65705359248475
95.452,2011,1,0,0,0,884922,8,7978,1013334,884922,10147.23,4,11,1,4,5,5,3,3,3,3,3,11.8853466353737,7.79665260721271
41.792,2011,8,29000,412500,0,823000,9,9993,123000,75000,10156.24,6,14,1,3,1,3,1,1,3,3,3,4,6
76.148,2012,1,0,0,0,1155840,10,7530,945504,1032000,10409.88,4,6,1,3.17597549112405,3.31489679608815,2,1,1,3,3,3,12.4609182759706,5.85818194617892
57.424,2011,1,0,0,0,1556800,8,7436,1041852,1390000,10407.52,4,6,1,3.37122590687964,3.13682318538514,2,1,3,3,3,3,11.1643099473507,6.83363717793264
