WellID,1,2,3,4,5,6,7,8,9,10,11,12,13,14
36,5363,6310,6903,7958,8201.05,8516.96,9611.63,9945.25,10080.15,10205.13,10258.11,10425.6,10536.96,10592.5
37,5293,6290,6861,7935,8203.43,8525.57,9647.05,9960.42,10087.82,10160.27,10292.17,10424.58,10552.23,10598
38,5390,6269,6804,7890,8085.7,8424.93,9576.1,9904.71,10029.58,10112.72,10199.44,10345.02,10447.88,10513.94
40,5316,6266,6868,7926,8187.06,8510.99,9615.52,9943.57,10074.94,10177.76,10257.68,10412.16,10527.4,10582.79
42,5506,6350,6912,7974,8207.88,8522.56,9620.5,9954.74,10092.13,10208.98,10255.09,10435.68,10549.95,10605.49
44,5897,6887.69,7452.09,8452.8,8724.97,9132.71,10045.89,10342.67,10488.73,10545.02,10670.79,11051.68,11144.87,11230.85
45,5886,6886,7433,8442,8732,9146,10041.12,10331.81,10477.65,10532.01,10653.58,11047.2,11142.2,11230.29
46,5930,6902,7466,8451,8732,9124,10034.97,10324.96,10471.53,10520.65,10640.78,11044.73,11144.97,11234.36
48,6067,6854,7418,8411,8677,9111,10016.85,10324.86,10474.26,10562.89,10683.26,10951.72,11080.46,11155.13
49,6065,6846,7408,8405,8692,9087,10007.72,10316.66,10465.98,10555.15,10677.49,10942.57,11072.19,11146.48
52,5985,6898,7478,8473,8748,9259,10082.49,10394.66,10543.6,10611.98,10750.54,11079.23,11191.98,11270.73
53,6014,6908,7450,8474,8780,9180,10117.51,10425.25,10575.86,10641.31,10782.21,11129.09,11242.02,11323.32
54,5994,6898,7455,8438,8740,9259,10091.98,10403.36,10553.31,10620.47,10758.97,11093.18,11207.59,11286.93
55,5412,6278.55,6836.13,7892.45,8177.89,8541.46,9647.18,9975.91,10118.67,10211.43,10225.08,10463.59,10595.48,10634.23
58,5747,6635,7202,8199,8476,8904.1,9911.81,10212.41,10302.61,10412.86,10595.73,10716.37,10854.8,10915.06
59,5786.42,6569,7105,8113,8439.73,8868.57,9890.38,10188.91,10295,10369.86,10583.37,10704.81,10868.15,10939.18
60,5941,6844,7432,8400,8686,9081,10037.45,10349.6,10498.31,10570.53,10705.54,11019.85,11133.35,11211.43
61,5902,6862,7411,8394,8704,9106,10011.24,10319.72,10467.96,10541.32,10669.89,10988.86,11098.31,11177.32
63,5265,6199.98,6756.98,7825.65,8122.74,8458.62,9544.59,9927.35,10053.69,10132.91,10131.66,10394.14,10502.32,10528.5
64,5960,6846,7416,8411,8681,9029,10032.62,10348.44,10495.79,10575.36,10712.27,10992.15,11119.08,11192.72
66,5593.75,6418.09,6974,8045,8302.39,8917,9729.57,10029.87,10166.12,10276.44,10361.86,10488.96,10637.45,10685.01
67,5731,6856,7489,8360,8607,8977,9815,10210,10358,10290.82,10313.39,10688.76,10866.81,10922.64
68,5741,6858,7507,8362,8650,9019,9800,10195,10334,10287.07,10306.83,10639.79,10838.65,10888.38
69,5419,6414.96,6962,8020,8317.09,8923,9717.77,10018.08,10146.65,10264.08,10346.84,10477.69,10618.25,10666.74
70,5606,6469,6937,7981,8367,8706,9565,9928.16,10055.74,10145.22,10161.74,10343.41,10582.41,10627.13
72,5366,6226.92,6775.54,7841.96,8155.5,8515.29,9583.85,9945.13,10081.03,10164.06,10178.92,10418.82,10540.49,10567.32
73,5848,6798,7363,8361,8618.67,9006.28,9959.37,10248.16,10400.45,10506.85,10608.77,10828.14,10976.17,11048.69
74,5444,6453,6996,8060,8331,8926.06,9736.28,10034.73,10167.07,10290.86,10372.7,10493.35,10616.88,10663.26
76,5472,6477,7035,8048,8328,8938.47,9733.72,10033.71,10179.51,10283.24,10370.27,10498.22,10641.08,10684.12
79,5388,6386,6934,7992,8223,8802.01,9694.29,9999.46,10127.2,10248.51,10321.62,10465.93,10601.3,10648.98
82,5563,6552,7109,8142,8438,8918.05,9769.73,10067.23,10198.2,10317.45,10393.27,10551.43,10686.83,10757.71
86,5907,6889,7469,8456,8741,9142,10057.13,10349.79,10495.96,10552.91,10674.67,11056.42,11152.5,11238.88
87,6019,6967,7449,8533,8806,9222,10132.74,10436.89,10586.97,10650.8,10795.03,11151.77,11259.6,11342.44
89,5301,6223,6785,7845,8146,8493.1,9577.74,9953.47,10082.58,10163.42,10165.78,10424.66,10538.55,10563.72
90,5961,6885,7442,8433,8680,9137,10057.33,10369.75,10518.3,10588.7,10725.9,11045.98,11159.13,11237.4
91,5842.67,6618,7156,8180,8624,9026,9836,10124,10256,10346.13,10404.98,10551.57,10722.62,10780.47
93,5991,6952,7517,8454,8787,9305,10102.93,10411.91,10560.93,10626.84,10767.01,11108.43,11215.41,11295.89
94,5977,6851,7471,8454,8717,9173,10047.9,10362.93,10510.81,10588.53,10726.23,11012.23,11138.99,11212.98
95,5919,6885,7464,8449,8778,9161,10066.28,10361.52,10506.36,10556.48,10680.99,11091.63,11176.88,11265.85
96,5917,6913,7474,8456,8747,9157,10053.44,10348.08,10493.15,10542.75,10665.61,11077.67,11165.82,11254.43
97,5595,6405,6900,7934,8338,8678,9595,9902.05,10031.8,10120.27,10138.02,10319.15,10549.76,10587.93
98,6021,6969.26,7517.9,8515.57,8805.79,9192.7,10125.31,10433.02,10583.6,10649.17,10790.02,11136.67,11249.55,11330.82
99,5949,6841,7430,8451,8707,9055,10025.58,10339.58,10487.28,10568.3,10703.59,10982.42,11108.68,11182.96
102,5760.07,6870.3,7565,8384.17,8666.66,9069.49,9849.37,10199.16,10331.09,10282.61,10306.14,10706.32,10891.29,10950.28
103,5469,6414,6978,8028,8299,8699.07,9687.99,10013.44,10151.12,10282.93,10354.71,10500.41,10628.23,10684.6
105,5636,6880.96,7434.97,8416.43,8710.32,8979.91,9965.59,10266.34,10405.15,10468.94,10569.73,10848.36,10982.68,11068.36
106,5555,6516,7104,8121,8375,8910,9768,10064,10232.87,10334.67,10411.91,10572.12,10712.41,10771.96
107,5503,6531,7086,8118,8375,9003,9802,10095.37,10239.1,10339.12,10426.46,10578.33,10722.03,10784.52
110,5690,6510,7024,8048,8274,8803,9653,9976,10099,10162.78,10182.29,10419.08,10640.31,10687.28
112,5391,6516,7065,8095,8399.7,8807.62,9843.69,10139.65,10264.75,10357.14,10479.02,10652.7,10811.63,10878.81
113,5662,6446,7028,8057,8368.1,8753.16,9803.35,10100.33,10236.71,10339.52,10430.38,10614.56,10765.16,10828.11
114,5554,6439,7013,8058,8358.3,8730.97,9784.02,10085.25,10223.8,10328.66,10428.46,10598.55,10743.98,10806.36
115,6008,6966,7541,8537,8833,9238,10128.62,10428.43,10577.97,10639.7,10786.9,11155.31,11258.76,11342.94
116,6041,6942,7506,8530,8820,9241,10121.81,10425.36,10576.94,10640.77,10785.34,11142.8,11256.4,11353.72
118,6081,6980,7542,8536,8841,9242,10140.9,10439.03,10591.36,10655.03,10803.3,11164.41,11282.96,11367.9
120,5773.31,6554,7067,8120,8569,8988,9785,10066,10199,10324.62,10364.04,10526.27,10700.94,10752.5
121,5637,6754,7251,8265,8482,9008,9758,10111.71,10247.1,10268.33,10286.46,10568.89,10820.86,10873.59
122,5919,6744,7323,8331,8604,8955.58,9922.21,10224.9,10377.38,10487.18,10592.56,10773.62,10937.74,11006.44
124,5661,6651,7045,7884,8262,8469.54,9577,9898.82,10041.31,NA,10161.91,10299.24,10565.94,10620.19
125,5494,6336,6850,7868,8173,8515,9533,9846,10004.21,10103.34,10124.88,10272.73,10508.12,10548.28
129,5019,6016.19,6543.34,7660.16,8084.61,8228.5,9362,9740,9819,9963.17,9983.66,10091.85,10250.11,10333.86
131,5454,6445,6998,8063,8341,8872,9738,10043,10181,10283.2,10348,10521.5,10647.2,10701.53
132,5309,6412,6928,8003,8271,8778,9727,10024,10152,10234.47,10307.41,10454.49,10577.01,10626.2
133,6068,6843,7401,8404,8683,9085,10008.68,10309.58,10459.84,10552.44,10665.79,10927.11,11061.06,11136.76
135,5297,6372,6923,7984,8275,8774,9711,10009,10131,10228.05,10299.53,10450.86,10568.37,10615.92
136,5386,6299,6815,7787,8050,8532,9541,9852,9978.24,10089.71,10115.56,10253.64,10490.12,10547.61
138,5453,6437,7000,8069,8343,8882,9765,10054,10199,10282.27,10352.78,10523.1,10650.5,10706.56
142,5476,6510,7088,8129,8399,8957,9810,10105,10218.55,10319.64,10418.07,10557.4,10700.02,10760.81
143,5540,6534,7097,8143,8421,8942,9808,10086.87,10221.72,10332.99,10402.44,10571.66,10703.89,10773.2
145,5479,6489,7052,8108,8385,8907,9794,10063.76,10199.14,10305.63,10372.13,10545.79,10670.89,10733.33
146,5551,6423,6926,7922,8195,8680.67,9601,9922,10032.87,10138.24,10155.42,10303.72,10569.46,10619.51
147,5344,6398,6974,8040,8312,8865,9765,10021.16,10148.37,10261.78,10384.48,10491.26,10628.24,10683.67
149,5328,6338,6909,7966,8215,8743,9684,9977,10125.39,10227.86,10298.86,10439.81,10561.83,10610.25
150,5337,6409,6948,8012,8296,8797,9703,10027.12,10147.57,10246.88,10323.46,10473.18,10584.83,10629.68
152,5510,6711,7256,8222,8473,8783,9769.09,10048.72,10180.82,10281.81,10351.21,10500.47,10659.14,10722.38
153,5901,6613,7136.65,8138.01,8475.34,8839.94,9687.94,10018.24,10151.37,10224.25,10266.27,10509.62,10659.45,10716.78
154,5749,6843,7459,8331,8610,9079,9810,10139,10279,10302.4,10319.56,10651.22,10840.99,10883.98
155,5060,6046.5,6570.97,7648,7996.88,8204.78,9387,9754,9854,9966.3,9975.48,10107.89,10220.94,10301.11
158,5631,6649,7169,8158,8405,8906,9674,9992,10140.09,10231.85,10255.36,10499.25,10675.93,10729.25
159,5606,6628,7134,8159,8575,8877,9586,9998.2,10127.6,10211.57,10228.71,10444.27,10664.45,10712.55
160,4619,5948.32,6489.93,7607.91,7927.83,8187.89,9306.97,9687.86,9788.49,NA,9990.37,9978.48,10152.63,10224.43
163,5541,6727,7275,8270,8510,8720,9815,10111,10226.55,10336.49,10420.3,10542.69,10703.2,10770.61
164,5882,6716,7232,8217,8447,8970,9735,10102,10224,10231.54,10257.49,10577.14,10698.93,10753.81
171,5712.36,6416.18,6967.17,8033.02,8303.51,8905.64,9723.64,10023,10156,10268.35,10352.67,10487.95,10610.21,10668
172,5559.38,6421.32,6978.34,8022.09,8293.43,8659.59,9734.31,10033.38,10192.29,10299.82,10333.96,10550.9,10689.05,10739.84
173,5399,6401,6976,8032,8315,8868.02,9721,10031,10142,10273.26,10352.66,10472.01,10593,10632
174,5808.1,6543.77,7096.89,8132.71,8409.75,8958.81,9783.31,10093.42,10237.41,10331.9,10432.23,10565.92,10733.67,10786.36
176,6168.48,6849.12,7398.04,8378.68,8718.29,8807.21,9909.36,10208.58,10308.27,10385.17,10466.72,10653,10800.29,10884.04
178,5194,6086,6654,7690,7982.63,8292.05,9432,9770,9863,10000.78,10039.5,10173.11,10280.1,10334.85
182,5899.36,6571.83,7104.95,8128.76,8560.77,8985.21,9789.01,10072.23,10198.64,10330.11,10363.37,10546.09,10713.81,10769.22
183,5525.85,6082.5,6586.64,7663.17,8031.13,8256.87,9490,9808.37,9928.18,10020.99,10117.04,10242.21,10316.15,10362.2
184,5565.78,6145.17,6670.24,7725.02,8106.89,8303.29,9534.79,9843.98,9972.3,10072.04,10149.15,10268.34,10373.68,10418.4
187,5649.83,6309.2,6857.75,7945.19,8311.68,8705.28,9656.94,9950.09,10075.19,10218.11,10301.26,10393.07,10546.5,10586.72
189,5276.07,6139.94,6678.3,7771.21,8201.79,8415.64,9503.42,9858.8,9961.11,10067.46,10103.29,10274.35,10397,10439.5
191,5634,6833,7371,8363,8581,8768.2,9876,10182,10261.04,10350.67,10429.68,10594.41,10743.32,10822.59
192,5464,6553,7073,8080,8320,8554,9663,10001,10156,10202.48,10217.67,10448.71,10659.65,10704.5
194,5685.88,6525.57,7021.73,8007.49,8344.89,8774.23,9649.18,9963.67,10136.84,10177.38,10197.73,10416.44,10623.47,10665.18
196,5477.16,6203.77,6714.2,7794.14,8208.81,8270.2,9596.1,9889.14,10022,10140.55,10197.16,10302.43,10444.54,10489
200,5295.57,6159.07,6696.08,7781.22,8168.08,8440.85,9509.32,9893.05,10006.93,10087.36,10111.37,10326.18,10440.11,10465.98
201,5079.27,6008.9,6554.97,7655.87,8022.19,8313.75,9351.15,9716.66,9825.95,9958.12,10001.98,10060.86,10234.94,10319.75
202,5068.98,6009.64,6553.67,7662.93,8106.92,8304.69,9378.19,9756.3,9857.03,9972.07,10030.88,10095.1,10280.18,10370.17
204,5629.89,6593.11,7097.61,8097.9,8415.89,8682.49,9674.48,9987.89,10134.57,10184.87,10203.98,10442.59,10669.21,10720.49
205,5642.65,6354.43,6838.41,7790.99,8158.59,8523.14,9546.31,9860.27,10011.2,10114.04,10136.59,10279.03,10517.25,10561.09
206,5712.25,6824.86,7358,8335.42,8680.87,9004.8,9788.01,10160.65,10315.16,10285.82,10308.44,10715.34,10869.81,10926.46
207,5822.52,6572.25,7132.22,8164.02,8433.79,8951.97,9803.04,10111.56,10252.72,10351.41,10448.65,10588.67,10752,10811.28
208,5824.19,6589.13,7143.18,8176.27,8447.31,8925.74,9809.79,10109.59,10251.99,10355.62,10431.96,10591,10745.64,10816.63
209,5685.72,6531.44,7025.78,8041.88,8299.41,8738.94,9621.88,9942.1,10111.95,10149.81,10173.02,10381.11,10594.25,10640.37
210,4473.01,5749.4,6246.53,7433.07,7764.61,8043.04,9199.41,9527.53,9611.22,9709.08,9903.54,9850.41,9994.79,10062.1
212,5143.86,5909.93,6421.45,7258.58,7567.93,8049.21,9418.75,9682.14,9725.33,9972.84,10007.13,9925.8,10077.36,10372.3
213,5306.69,6197,6733,7808,8084,8424.14,9518.94,9870.67,9988.49,10088.07,10121.62,10315.04,10424.94,10466.23
217,5670,6783,7345,8322,8581,8899,9795,10124,10268,10276.84,10297.24,10617.82,10788.93,10830.79
219,5507,6490,7064,8091,8400,8933.85,9768,10061,10177,10316.84,10390.79,10547.99,10658,10731.84
220,5491,6478,7031,8087,8368,8955.5,9748.27,10057,10218,10297.5,10389.88,10510.56,10698,10730
221,5319.09,6200.12,6704.42,7746.58,8167.78,8216.46,9587.32,9883.29,10028.38,10140.43,10193.35,10289.08,10443.74,10483.27
222,5501.38,6290.52,6799.91,7871.51,8301.46,8321,9640.97,9926.82,10051,10182.19,10236.68,10347,10499.51,10542.68
224,4265.46,5880.21,6390.51,7458.5,7809.97,8101.44,9189.08,9503.68,9643.2,NA,9833.63,9896.39,9926.08,10053.61
228,5846.97,6443.15,6999.52,8049.47,8339.06,8894.86,9731.51,10027.67,10153.61,10278.08,10353.32,10491.05,10609.93,10661.07
229,5813.15,6454.2,7010.2,8063.85,8351.37,8883.92,9740.25,10034.24,10164.35,10277.8,10348.54,10506.04,10625.85,10679.74
230,5435,6445,7001,8057,8340,8880.57,9747,10047,10182,10281.13,10353.65,10506.5,10634,10679
231,5385,6397,6972,8025,8324,8836.5,9738,10047,10178,10261.05,10336.85,10495.52,10630,10679
232,5348,6435,6965,8024,8299,8838.91,9729,10032,10145,10260.7,10344,10480.28,10573.32,10612.81
234,5404,6395,6968,8026,8310,8921.67,9726,10022,10149,10262.56,10347.24,10480.46,10614.58,10664.23
235,5623.2,6369.79,6929.14,7997.17,8267.98,8852.26,9688.28,9989.96,10115.97,10233.28,10315.08,10447.86,10580.36,10628.5
236,5395,6372,6947,8013,8284,8885.27,9697,10002,10123,10248.87,10332,10462.07,10600.19,10648.55
237,5696.16,6386.89,6938.92,8002.74,8272.97,8840.97,9697.95,9995.88,10124.69,10242.7,10324.35,10427.94,10562.47,10604.77
239,5537.05,6488.87,7038.99,8075.39,8361.03,8939.05,9741.9,10046.76,10189.58,10294.78,10382.1,10513.79,10666.82,10715.79
240,5387,6392,6974,8028,8299,8887,9724,10008,10142,10272.41,10355.94,10444.98,10552,10586
243,5820.36,6504.45,7059.8,8103.5,8395.05,8917.47,9769.58,10057.08,10181.91,10308.11,10378.44,10543.85,10662.05,10732.68
246,5782.44,6511.56,7067.88,8100.45,8384.31,8948.26,9770.74,10080.85,10225.68,10315.3,10432.89,10553.03,10727.41,10777.04
247,5966,6758,7340,8319,8553,9177,9908,10213,10316.28,10439.56,10526.57,10676.85,10832.2,10902.88
248,5368,6567,7096,8082,8315.98,8631.43,9664.11,9972,10107.41,10236.2,10309.9,10417,10591.98,10647.14
250,4417.18,5773.34,6275.99,7441.57,7734.68,8064.19,9201.01,9522.56,9624.85,9735.62,9898.19,9854.3,9983.59,10051
251,5822,6895,7434,8413,8659,9007,9857,10203,10337,10323.85,10343.25,10684.38,10890.28,10941.22
252,5769.33,6865.62,7406.94,8380.71,8655.07,8999.29,9840.91,10195.89,10326.21,10289.12,10311.19,10679.9,10878.48,10934.61
253,5657,6773,7342,8311,8546,8788,9772,10089,10235,10292.05,10324.75,10619.74,10804.79,10822.94
254,5636.91,6475.28,6948.17,7913.43,8269.95,8689.35,9596.08,9923.86,10057.29,10151.24,10169.36,10322.11,10571.92,10615.33
255,5064,6180,6719,7683,8012,8281,9525,9852,9987,NA,10118.55,10258.04,10507.39,10571.43
256,4768.96,5994.68,6537.74,7658.87,8026.19,8247.32,9363.59,9734.44,9841.58,NA,10014.06,10075.77,10276.12,10299.64
259,5249.76,6056.19,6598.83,7695.7,8056.37,8377.13,9426.06,9804.26,9912.43,10035.5,10060.77,10191.74,10313.61,10383.75
261,5054.5,6031.59,6556.38,7671.8,8084.79,8253.58,9364.4,9749.87,9839.27,9964,9997.96,10092.79,10253.01,10337.42
263,6115.05,6803.75,7368.37,8346.49,8780.99,8770.47,9914.22,10193.99,10305.73,10403.79,10489.99,10621.95,10780,10852.52
265,4815.09,6002.49,6544.06,7625.19,7952.12,8271.68,9307.68,9691.28,9786.44,NA,9925.12,10027.82,10171.7,10198.94
266,5507.23,6332.08,6857.21,7912.54,8245.86,8485.38,9644.87,9947.46,10077.75,10193.28,10261.17,10383.5,10508.96,10554.35
267,5417.99,6322.6,6850.55,7910.51,8185.34,8338.29,9646.98,9948.84,10055.97,10174.17,10236.04,10364.7,10491.39,10540.2
268,5454.74,6311,6831.43,7900.42,8197.02,8377.15,9630.08,9940.52,10060.42,10173.11,10239.9,10366.54,10496.71,10541.91
269,4822.31,5934,6483,7620,7958.98,8207.16,9350,9700,9771,9872.73,9964.5,10045.79,10217.22,10301
270,4910.32,5982,6513.54,7609.52,7881,8221.85,9373.23,9722,9802,9903.98,9967.57,10067.59,10237.99,10317.37
271,5094,6036.06,6582.08,7656.17,7938.53,8238.19,9392.72,9745.15,9839.95,9963.31,9982.83,10123.41,10241.64,10306.78
272,4643.66,5855,6416,7560,8022.63,8156.66,9304,9677,9748,9811.97,9974.95,9957.16,10107.99,10194.31
273,4160.27,5874.82,6402.64,7508.85,7825.13,8116.95,9224.39,9571.95,9676.07,NA,9913.88,9919.97,9983.65,10034.37
275,4284.21,5886.52,6426.62,7519.69,7826.64,8152.37,9235.23,9588.45,9686.24,NA,9916.93,9936.98,10015.63,10063.54
277,5787.5,6565.97,7075.81,8106.22,8478.76,8869.06,9675.01,9987.1,10135.62,10203.48,10233.74,10433.68,10640.23,10686.57
279,5946.47,6629.65,7204.85,8215.6,8509.66,9111.44,9824.18,10130.62,10267.27,10385.88,10442.83,10634.97,10764.65,10823
280,5935.28,6654.46,7220.78,8245.49,8520.18,9112.97,9827.78,10147.12,10285.44,10399.29,10466.5,10650.45,10784.42,10845.31
282,5265.5,6134.81,6673.14,7758.08,8110.3,8414.3,9480.06,9870.11,9994.88,10067.77,10083.55,10311.13,10422.08,10443.55
284,5617.04,6574.62,7071.04,8082.39,8452.99,8777.04,9639.54,9998.67,10098.27,10175.38,10193.21,10415.6,10640.27,10689.17
286,5210.58,6120.48,6647.89,7752.96,8088.94,8342.24,9458.48,9828.59,9919.46,10030.15,10090.21,10235.64,10341.15,10379.31
288,5798.15,6601.77,7111.29,8112.33,8473.72,8807.89,9676.16,10004.2,10141.67,10204.71,10239.04,10466.97,10658.17,10708.94
289,5495,6634,7142,8147,8407,8643,9713,10024,10154,10205.17,10221.04,10458.86,10675.22,10720.07
290,5603.14,6523.41,7003.79,8019.19,8383.79,8686.01,9605.22,9968.85,10100.91,10169.95,10185.66,10392.56,10617.69,10663.27
291,4552.42,5951.56,6482.37,7601.02,7878.08,8174.65,9292.7,9686.55,9795.25,NA,9978.46,9963.78,10099.05,10186.76
292,5036.59,6012,6536,7661,7912,8222.18,9379,9759,9857,9960.49,9971.79,10102.91,10245.23,10323.46
293,4611.86,5961.24,6490.24,7596.61,7947.08,8188.05,9285.08,9646.72,9744.24,NA,9972.23,9957.01,10140.18,10205.84
294,6187.08,6888.59,7447.44,8420.44,8853.92,8799.94,9943.06,10236.2,10340.43,10432.77,10518.08,10682.04,10833.68,10911.36
296,5406,6552,7059,8093,8329,8599,9667,9985,10144,10157.72,10177.76,10414.32,10638.4,10688.94
297,5596.11,6427.14,6967.2,8011.98,8297.16,8632.09,9688.46,10012.59,10152.7,10278.2,10350.75,10513.18,10639.88,10699.44
298,5641.9,6295.39,6819.57,7894.75,8344.87,8541.21,9657.22,9933.37,10052.54,10192.25,10259.91,10364.38,10520.74,10559.32
303,5605.85,6518.94,7002.98,7980.28,8282.77,8708.23,9593.51,9935.63,10053.75,10156.45,10172.05,10365.08,10611.46,10665.65
304,5598.95,6254.5,6769.11,7830.54,8246.72,8607.64,9615.4,9899.02,10019.32,10147.23,10219.29,10329.51,10458.39,10496.97
306,5381.54,6298.49,6848.47,7928.57,8213.51,8511.08,9653.6,9973.38,10114.22,10156.24,10304.2,10466.75,10571.57,10608.1
308,6069.8,6791.93,7350.04,8324.88,8712.41,8815.5,9892.86,10201.79,10314.13,10409.88,10501.28,10694.34,10841.31,10920.02
309,5885.92,6833.8,7370.81,8358.45,8683.29,8838.91,9890.92,10197.62,10320.11,10407.52,10502.65,10723.93,10861.97,10943.54
314,4441.02,5945.16,6479.65,7576.25,7896.84,8189.77,9260.72,9629.97,9728.05,NA,9918.45,9985.08,10073.77,10106.28
315,5385.44,6300.64,6831.94,7908.34,8224.29,8481.5,9634.7,9969,10099.5,10149.22,10282.41,10412.48,10483.1,10590.62
316,5227.41,6155.25,6668.31,7783.75,8084.14,8318.46,9514.46,9824.66,9941.76,10034.51,10143.33,10264.75,10351.22,10430.7
317,5066,6115,6682,7787,8065,8361.42,9504,9839,9954,10057.97,10129,10271.72,10373,10418
318,5279.9,6195.95,6719.12,7807.22,8159.96,8373.7,9531.26,9853.83,9982.27,10065.4,10175.54,10294.87,10385.44,10461.52
319,5534.78,6086.37,6607.96,7673.66,8066.35,8253.04,9504.46,9816.97,9951.34,10043.31,10122.61,10235.18,10343.34,10391.07
321,5925.47,6559.58,7138.14,8150.15,8417.28,9014.9,9793.03,10095.66,10237.24,10351.86,10394.05,10600.98,10720.45,10774.75
322,4672.82,5972.1,6499.01,7587.92,7966.83,8201.29,9261.48,9637.8,9737.19,NA,9930.85,9958.74,10096.34,10183.49
323,5084.5,6017.31,6554.81,7645.38,7922.33,8226.78,9382.34,9739.33,9834.06,9950.39,9964.92,10106.1,10233.9,10301.98
324,5156.28,6046.48,6586.48,7693.37,8103.28,8327.14,9407.35,9781.97,9880.9,10003.01,10040.88,10141.57,10292.86,10370.12
325,4114.56,5875.82,6382.86,7472.08,7810.2,8093.94,9177.71,9522.34,9624.23,NA,9844.25,9895.68,9945.96,10029.18
327,5244.41,6173.12,6689.29,7798.69,8141.42,8346.1,9532.51,9836.1,9962.87,10045.45,10169.38,10285.05,10355.51,10453.56
332,4661.29,5972.87,6505.96,7593.83,7937.57,8204.98,9240.97,9643.94,9740.9,NA,9912.14,9985.45,10104.19,10162.46
333,4416.81,5937.96,6456.8,7541.58,7902.22,8147.21,9211.24,9572.71,9669.83,NA,9909.05,9993.28,10020.67,10112.44
336,4546.14,5967.92,6487.25,7587.58,7904.86,8180.87,9268.26,9622.4,9715.16,NA,9971.51,9936.9,10096.27,10181.67
337,5585.52,6302.97,6842.1,7936.53,8383.89,8769.31,9648.55,9950.31,10077.05,10218.77,10306.5,10396.76,10540.55,10582.1
338,4622.69,5887.41,6423.47,7550.21,7995.71,8157.23,9290.15,9646.14,9729.07,9813.92,9953.26,9937.46,10095.47,10186.54
339,6118.31,6817.29,7361.05,8345.11,8655.24,8751.05,9866.71,10168.84,10257.33,10348.23,10428.93,10587.71,10738.45,10817.37
340,5579,6557,7085,8128,8383,8887.75,9794,10079,10211,10313.77,10383.35,10551.25,10688.31,10746.3
341,5495,6628,7210,8180,8435.92,8881.09,9722,9994,10155.45,10241.78,10302.8,10473.4,10628.91,10688.1
342,5735.94,6499.91,7049.53,8085.43,8356.37,8747.51,9779.69,10082.12,10217.02,10316.37,10458.96,10591.21,10740.44,10804.31
343,4551.19,5917.28,6434.59,7538.79,7941.16,8153.52,9261.4,9605.71,9715.79,9815.06,9930.56,9927.75,10065.62,10159.62
344,5263,6485,7037,8004,8196.02,8410.98,9669,9937,10046.07,10222.04,10311.63,10359.37,10532.28,10588.87
345,5604.94,6477.05,6957.68,7990.45,8387.41,8712.75,9597.79,9949.41,10073.26,10151.79,10168.35,10364.08,10593.48,10636.64
349,6144.68,6821.63,7387.33,8366.46,8712.3,8803.7,9893.84,10194.38,10299.97,10373.12,10455.82,10651.06,10796.65,10880.97
350,5766.01,6759.9,7311.26,8289.58,8544.86,8921.93,9776.18,10113.15,10249.49,10264.8,10287.4,10603.07,10765.97,10812.22
