WellID,Subarea,Operator,County,Completion.Date,Completion.Year,Surface.Latitude,Surface.Longitude,Depth.Total.Driller..ft.,WB.Spacing.Proxy,SPBY.Spacing.Proxy,Between_Zone,Frac.Stages,Treatment.Records,Fluid.Water..Gals.,Acid..Gals.,Gel.x.link..Gals.,Other..Gals.,Proppant...Total..lbs.,Fluid...Total..lbs.,EUR_o..Mstb.,Top_Zone,Deepest_Zone,Number,Type,Depth.Top,Depth.Base,Fluid.Amount,Fluid.Units,Fluid.Type,Propping.Agent.Amount,Propping.Agent.Units,Propping.Agent.Type,Pressure.Breakdown,Injection.Rate,Additive,Mesh.Size,Treated.Stage.Height,Fluid.Amount.Per.Foot,Propping.Agent.Amount.Per.Foot,Total.Height,Geology.Score
26,F,ENDEAVOR ENERGY RESOURCES LIMITED PRTS,GLASSCOCK,38010,2004,31.7163,-101.52017,10550,160,20,3,1,1,0,0,317478,0,384990,317478,38.49591628,2,4,1,FRAC,6155,8823,317478,GAL,X-LINKGEL,384990,LB,SAND,NA,NA,WGEL,,2668,118.994752623688,144.299100449775,1640,5825
27,F,PIONEER NATURAL RESOURCES USA INC,GLASSCOCK,38245,2004,31.66896,-101.65894,8418,Over 160,40,4,3,6,0,5000,199668,0,472570,204668,NA,1,4,6,FRAC,6618,6792,56322,GAL,X-LINKGEL,130827,LB,SAND,NA,31,,20/40,174,323.689655172414,751.879310344828,2565,6323.76
28,D,PIONEER NATURAL RESOURCES USA INC,GLASSCOCK,38258,2004,31.72718,-101.62001,9700,40,40,4,5,9,0,7000,350142,0,508130,357142,NA,1,4,9,FRAC,8888,8898,81552,GAL,GEL,17739,LB,SAND,NA,37.7,,20/40,10,8155.2,1773.9,2363,6103
29,F,PIONEER NATURAL RESOURCES USA INC,GLASSCOCK,38260,2004,31.69724,-101.61922,8415,80,20,4,3,6,0,5000,194502,0,471730,199502,NA,1,4,6,FRAC,6507,6683,54642,GAL,X-LINKGEL,134833,LB,SAND,NA,32,,20/40,176,310.465909090909,766.096590909091,2486,6312.04
30,F,PIONEER NATURAL RESOURCES USA INC,GLASSCOCK,38260,2004,31.6555,-101.62031,8295,80,40,4,3,6,0,5000,196980,0,471990,201980,NA,1,4,6,FRAC,6470,6634,54936,GAL,X-LINKGEL,134889,LB,SAND,NA,32,,20/40,164,334.975609756098,822.493902439024,2648,6539.36
31,E,PIONEER NATURAL RESOURCES USA INC,GLASSCOCK,38315,2004,31.65926,-101.69933,8560,160,40,3,3,6,0,5000,183918,0,472190,188918,51.73461391,2,4,6,FRAC,6748,6928,54138,GAL,X-LINKGEL,131493,LB,SAND,NA,30,,20/40,180,300.766666666667,730.516666666667,1606,5234.32
32,F,PIONEER NATURAL RESOURCES USA INC,GLASSCOCK,38383,2005,31.67149,-101.5849,8240,80,20,3,4,8,0,10500,270297,0,488570,280797,28.60094527,2,4,8,FRAC,6386,6520,53970,GAL,X-LINKGEL,133448,LB,SAND,NA,33,,20/40,134,402.761194029851,995.880597014925,1609,5360.04
33,D,ENDEAVOR ENERGY RESOURCES LIMITED PRTS,GLASSCOCK,38487,2005,31.77613,-101.59246,10255,80,80,4,1,1,398454,0,0,0,521740,398454,39.1412402,1,4,1,FRAC,5802,9299,398454,GAL,FLUD,521740,LB,SAND,NA,NA,SFAC,20/40,3497,113.941664283672,149.196454103517,2715,6566
34,F,PIONEER NATURAL RESOURCES USA INC,GLASSCOCK,38484,2005,31.67578,-101.58216,8240,80,40,2,3,6,0,5000,186171,0,473058,191171,NA,2,3,6,FRAC,6368,6548,55029,GAL,X-LINKGEL,136226,LB,SAND,NA,30,,20/40,180,305.716666666667,756.811111111111,560,4315
35,F,APACHE CORPORATION,GLASSCOCK,38755,2006,31.65334,-101.53122,8064,40,40,4,2,2,383200,0,0,0,100450,383200,42.264,1,4,2,FRAC,7641,7938,131800,GAL,W,49250,LB,SAND,NA,NA,SFAC,20/40,297,443.771043771044,165.824915824916,2567.16,6469.84
36,F,APACHE CORPORATION,GLASSCOCK,38770,2006,31.70647,-101.5785,8243,160,40,4,2,2,383200,0,0,0,100450,383200,12.48,1,4,2,FRAC,6311,7347,251400,GAL,W,51200,LB,SAND,NA,NA,,20/40,1036,242.664092664093,49.4208494208494,2595,6270.2
37,F,APACHE CORPORATION,GLASSCOCK,38824,2006,31.71755,-101.56402,8255,80,40,3,2,2,497600,0,0,0,155650,497600,18.55149194,2,4,2,FRAC,7411,8052,252900,GAL,W,99750,LB,SAND,NA,NA,,20/40,641,394.539781591264,155.616224648986,1645,5437.72
38,F,APACHE CORPORATION,GLASSCOCK,38818,2006,31.70983,-101.54853,8223,80,40,3,2,2,497600,0,0,0,155650,497600,39.468,2,4,2,FRAC,7356,7961,252900,GAL,W,99750,LB,SAND,NA,NA,SFAC,20/40,605,418.01652892562,164.876033057851,1621,5110.8
39,F,APACHE CORPORATION,GLASSCOCK,38814,2006,31.70135,-101.56786,8250,160,40,3,2,2,383200,0,0,0,100450,383200,NA,2,4,2,FRAC,7402,8064,131800,GAL,W,49250,LB,SAND,NA,NA,SFAC,20/40,662,199.093655589124,74.3957703927492,1618,5336.64
40,F,APACHE CORPORATION,GLASSCOCK,38827,2006,31.70857,-101.57012,8205,160,80,4,2,2,383600,0,0,0,101720,383600,12.164,1,4,2,FRAC,6275,7328,251600,GAL,W,51350,LB,SAND,NA,NA,SFAC,20/20,1053,238.936372269706,48.7654320987654,2610,6372.24
41,F,APACHE CORPORATION,GLASSCOCK,38805,2006,31.66554,-101.54356,8287,160,80,4,1,1,405000,0,0,0,110470,405000,NA,1,4,1,FRAC,6213,8116,405000,GAL,W,110470,LB,SAND,NA,NA,,20/40,1903,212.821860220704,58.0504466631634,2502.61,6441.98
42,F,APACHE CORPORATION,GLASSCOCK,38842,2006,31.69948,-101.57606,8283,160,80,4,2,2,374500,0,0,0,100975,374500,10.876,1,4,2,FRAC,7453,8133,167700,GAL,W,58975,LB,SAND,NA,NA,,20/40,680,246.617647058824,86.7279411764706,2468,6089.52
43,C,APACHE CORPORATION,GLASSCOCK,39009,2006,31.76094,-101.76396,9899,80,40,4,6,12,0,14250,428928,0,523980,443178,NA,1,4,12,FRAC,8966,9153,74961,GAL,GEL,17794,LB,SAND,NA,49,,20/40,187,400.860962566845,95.1550802139037,2514,6440
44,D,APACHE CORPORATION,GLASSCOCK,39009,2006,31.75812,-101.75965,9843,80,40,3,6,12,0,15750,424784,0,523700,440534,30.20941884,2,4,12,FRAC,8913,9151,73425,GAL,GEL,18182,LB,SAND,NA,50,,20/40,238,308.508403361345,76.3949579831933,1565.11,5219.61
45,C,APACHE CORPORATION,GLASSCOCK,38998,2006,31.76793,-101.7662,9902,40,40,3,5,11,0,14250,359962,0,507200,374212,31.73182787,2,4,11,ACID,6923,9551,1000,GAL,A,0,undefined,undefined,NA,NA,,,2628,0.380517503805175,0,1556,5281
46,C,APACHE CORPORATION,GLASSCOCK,38964,2006,31.77755,-101.77365,9882,80,40,3,7,14,0,17250,476075,0,553160,493325,29.40701198,2,4,14,FRAC,9252,9538,78753,GAL,GEL,16847,LB,SAND,NA,35,,20/40,286,275.36013986014,58.9055944055944,1549,5207
47,C,APACHE CORPORATION,GLASSCOCK,38964,2006,31.78155,-101.77056,9950,80,40,3,6,12,0,17750,444144,0,520480,461894,NA,2,4,12,FRAC,8824,8859,76500,GAL,GEL,17161,LB,SAND,NA,46,,20/40,35,2185.71428571429,490.314285714286,1533,5264
48,D,APACHE CORPORATION,GLASSCOCK,39131,2007,31.74807,-101.72345,9775,40,40,4,5,9,0,9750,316903,0,702360,326653,19.20842649,1,4,9,FRAC,6857,7025,55157,GAL,X-LINKGEL,128358,LB,SAND,NA,35,,20/40,168,328.315476190476,764.035714285714,2344,5958
49,D,APACHE CORPORATION,GLASSCOCK,39049,2006,31.74469,-101.72234,9806,40,40,4,5,9,0,9750,348769,0,505100,358519,14.8,1,4,9,FRAC,8956,9041,66985,GAL,GEL,17637,LB,SAND,NA,51,,20/40,85,788.058823529412,207.494117647059,2340,6044
50,D,APACHE CORPORATION,GLASSCOCK,39056,2006,31.74256,-101.73045,9776,80,40,4,6,11,0,12750,406992,0,523940,419742,NA,1,4,11,FRAC,8849,9089,64990,GAL,GEL,16833,LB,SAND,NA,50,,20/40,240,270.791666666667,70.1375,2328,5933
51,D,APACHE CORPORATION,GLASSCOCK,39114,2007,31.73304,-101.72293,9788,160,40,4,5,10,0,13250,348056,0,472021,361306,NA,1,4,10,FRAC,6847,6998,46105,GAL,X-LINKGEL,99142,LB,SAND,NA,32,,20/40,151,305.331125827815,656.569536423841,2454,6133
52,D,APACHE CORPORATION,GLASSCOCK,39065,2006,31.72326,-101.74759,9843,80,40,3,6,11,0,12750,433981,0,522940,446731,23.14,2,4,11,FRAC,6928,7096,51612,GAL,X-LINKGEL,133871,LB,SAND,NA,33,,20/40,168,307.214285714286,796.85119047619,1575,5245
53,C,APACHE CORPORATION,GLASSCOCK,39128,2007,31.72145,-101.75576,9844,,,1,4,8,0,10750,268997,0,207880,279747,18.328,4,4,8,FRAC,8424,8539,58616,GAL,X-LINKGEL,158996,LB,SAND,NA,40,SCIN,20/40,115,509.704347826087,1382.57391304348,NA,1224
54,C,APACHE CORPORATION,GLASSCOCK,39133,2007,31.71903,-101.75111,9853,80,40,4,5,6,0,3000,0,0,506200,3000,13.684,1,4,6,FRAC,9556,9676,NA,,,18170,LB,SAND,NA,NA,,20/40,120,NA,151.416666666667,2444,6175
55,F,APACHE CORPORATION,GLASSCOCK,39052,2006,31.65737,-101.56293,8177,80,40,4,1,1,241752,0,0,0,61500,241752,55.3862174,1,4,1,FRAC,6272,7306,241752,GAL,W,61500,LB,SAND,NA,NA,SFAC,20/40,1034,233.802707930368,59.4777562862669,2480.45,6292.43
56,F,APACHE CORPORATION,GLASSCOCK,39051,2006,31.66019,-101.55056,8168,160,40,4,2,2,365484,0,0,0,123000,365484,NA,1,4,2,FRAC,7678,8008,123732,GAL,W,61500,LB,SAND,NA,NA,,20/40,330,374.945454545455,186.363636363636,2502.32,6409.42
57,F,APACHE CORPORATION,GLASSCOCK,39078,2006,31.66228,-101.56016,8164,80,40,4,2,2,375270,0,0,0,123000,375270,NA,1,4,2,FRAC,7717,8013,123564,GAL,W,61500,LB,SAND,NA,NA,,20/40,296,417.445945945946,207.77027027027,2470.52,6330.9
58,F,PIONEER NATURAL RESOURCES USA INC,GLASSCOCK,39139,2007,31.70227,-101.6474,8851,160,20,3,4,4,273756,0,0,0,449160,273756,31.07150317,2,4,4,FRAC,8400,8440,74004,GAL,FLUD,108332,LB,SAND,NA,NA,,,40,1850.1,2708.3,1564,5233
59,F,PIONEER NATURAL RESOURCES USA INC,GLASSCOCK,38937,2006,31.69705,-101.63656,8835,160,40,3,3,3,244692,0,0,0,350761,244692,46.04231632,2,4,3,FRAC,8190,8230,98658,GAL,FLUD,135248,LB,SAND,NA,NA,,,40,2466.45,3381.2,1544,5402.92
60,D,APACHE CORPORATION,GLASSCOCK,39106,2007,31.73249,-101.74037,9792,80,40,3,6,12,0,14250,412047,0,523253,426297,13.624,2,4,12,FRAC,6876,7027,45604,GAL,X-LINKGEL,134736,LB,SAND,NA,35,,20/40,151,302.013245033113,892.291390728477,1556,5224
61,D,APACHE CORPORATION,GLASSCOCK,39094,2007,31.74408,-101.73978,9850,160,40,4,6,12,0,14250,385924,0,535260,400174,20.67705873,1,4,12,FRAC,6864,7032,51540,GAL,X-LINKGEL,146540,LB,SAND,NA,33,SCIN,20/40,168,306.785714285714,872.261904761905,2492,6247
62,D,APACHE CORPORATION,GLASSCOCK,39135,2007,31.73109,-101.7311,9788,40,40,4,5,7,0,6000,0,0,504260,6000,NA,1,4,7,FRAC,9502,9633,NA,,,17737,LB,SAND,NA,NA,,20/40,131,NA,135.396946564885,2457,6111
63,F,APACHE CORPORATION,GLASSCOCK,38908,2006,31.65592,-101.53639,8103,40,40,4,2,2,353400,0,0,0,123000,353400,30.18,1,4,2,FRAC,7659,7959,128000,GAL,W,61500,LB,SAND,NA,NA,SFAC,20/40,300,426.666666666667,205,2560.65,6443.35
64,D,APACHE CORPORATION,GLASSCOCK,39159,2007,31.72402,-101.72892,9782,40,40,4,5,10,0,11250,350595,0,505220,361845,12.671,1,4,10,FRAC,6869,7022,47343,GAL,X-LINKGEL,125270,LB,SAND,NA,34,SCIN,20/40,153,309.43137254902,818.75816993464,2451,6091
65,D,APACHE CORPORATION,GLASSCOCK,39139,2007,31.72212,-101.7371,9773,80,40,3,6,12,0,14250,385728,0,522820,399978,NA,2,4,12,FRAC,6894,6940,50591,GAL,X-LINKGEL,134401,LB,SAND,NA,35,SCIN,20/40,46,1099.80434782609,2921.76086956522,1555,5248
66,D,PIONEER NATURAL RESOURCES USA INC,GLASSCOCK,39196,2007,31.73191,-101.59911,9496,40,80,2,3,7,0,12000,261394,0,267520,273394,6.904,3,4,7,FRAC,7525,7713,140345,GAL,X-LINKGEL,84000,LB,SAND,NA,53,,20/40,188,746.515957446809,446.808510638298,1071,4242.56
67,D,ENDEAVOR ENERGY RESOURCES LIMITED PRTS,GLASSCOCK,39204,2007,31.96402,-101.7528,10840,40,80,8,1,1,649698,0,0,0,802700,649698,45.27229149,2,9,1,FRAC,6862,9418,649698,GAL,FLUD,802700,LB,SAND,NA,NA,,,2556,254.18544600939,314.045383411581,3502,15089.38
68,D,ENDEAVOR ENERGY RESOURCES LIMITED PRTS,GLASSCOCK,39203,2007,31.95298,-101.75386,10510,80,80,8,4,4,546126,0,0,0,799108,546126,44.02376458,2,9,4,FRAC,6878,9429,NA,,,50000,LB,SAND,NA,NA,,16/30,2551,NA,19.6001568012544,3476,15000.63
69,D,PIONEER NATURAL RESOURCES USA INC,GLASSCOCK,39196,2007,31.73285,-101.59494,9487,40,80,1,5,10,0,13750,315647,0,225120,329397,25.31341516,4,4,10,FRAC,7973,8104,52237,GAL,X-LINKGEL,155100,LB,SAND,4715,41.5,SCIN,20/40,131,398.75572519084,1183.96946564886,NA,1188.36
70,D,PIONEER NATURAL RESOURCES USA INC,GLASSCOCK,39314,2007,31.97911,-101.6871,9808,160,Over 160,1,5,13,0,21000,747058,0,406120,768058,42.268,4,4,13,FRAC,8277,8348,146666,GAL,GEL,117244,LB,SAND,NA,NA,,20/40,71,2065.71830985915,1651.32394366197,NA,1544
71,D,PIONEER NATURAL RESOURCES USA INC,GLASSCOCK,39281,2007,31.98606,-101.72468,9557,40,Over 160,1,4,8,0,9000,346327,0,132620,355327,NA,4,4,8,FRAC,8352,8428,74474,GAL,X-LINKGEL,18731,LB,SAND,NA,63,,20/40,76,979.921052631579,246.460526315789,NA,920
72,F,APACHE CORPORATION,GLASSCOCK,39091,2007,31.66779,-101.55234,8181,160,80,4,2,2,366450,0,0,0,123000,366450,15.424,1,4,2,FRAC,7689,8011,124698,GAL,FLUD,61500,LB,SAND,NA,NA,,20/40,322,387.260869565217,190.993788819876,2475.96,6411.58
73,D,APACHE CORPORATION,GLASSCOCK,39119,2007,31.77384,-101.71001,8492,Over 160,40,4,2,2,365484,0,0,0,123000,365484,34.88893209,1,4,2,FRAC,8193,8413,123732,GAL,FLUD,61500,LB,SAND,NA,NA,,20/40,220,562.418181818182,279.545454545455,2513,6104.68
74,D,ENERGEN RESOURCES CORPORATION,GLASSCOCK,39253,2007,31.74921,-101.60913,8750,40,160,3,4,7,0,9520,592788,0,603100,602308,20.11541731,2,4,7,FRAC,8142,8438,89690,GAL,GEL,141700,LB,SAND,NA,NA,XLNK,20/40,296,303.006756756757,478.716216216216,1607,5362
75,D,ENERGEN RESOURCES CORPORATION,GLASSCOCK,39251,2007,31.73264,-101.61258,8750,80,40,3,4,7,0,6000,610643,0,538380,616643,NA,2,4,7,FRAC,6800,6954,238201,GAL,GEL,190213,LB,SAND,NA,NA,,20/40,154,1546.75974025974,1235.14935064935,1596.4,5372.14
76,D,ENERGEN RESOURCES CORPORATION,GLASSCOCK,39263,2007,31.74169,-101.6067,8547,80,160,3,4,4,0,0,633108,0,584800,633108,20.072,2,4,4,FRAC,6477,6775,189756,GAL,GEL,199000,LB,SAND,NA,NA,GLST,20 /40,298,636.765100671141,667.785234899329,1571,5275
77,F,PIONEER NATURAL RESOURCES USA INC,GLASSCOCK,39301,2007,31.6968,-101.5883,9517,80,40,2,4,8,0,10750,436504,0,387360,447254,NA,3,4,8,FRAC,7618,7632,137055,GAL,X-LINKGEL,100806,LB,SAND,NA,NA,,20/40,14,9789.64285714286,7200.42857142857,1046,4214
78,F,PIONEER NATURAL RESOURCES USA INC,GLASSCOCK,39296,2007,31.69949,-101.59302,9500,80,40,3,6,12,0,14250,383031,0,527200,397281,NA,2,4,12,FRAC,6428,6448,49264,GAL,X-LINKGEL,137929,LB,SAND,NA,NA,,20/40,20,2463.2,6896.45,1621,5404
79,F,PIONEER NATURAL RESOURCES USA INC,GLASSCOCK,39232,2007,31.72677,-101.58867,9510,160,40,1,4,8,0,10750,245788,0,234101,256538,12.64935437,4,4,8,FRAC,7943,8026,57767,GAL,X-LINKGEL,165641,LB,SAND,NA,40,SCIN,20/40,83,695.987951807229,1995.67469879518,NA,924
80,F,PIONEER NATURAL RESOURCES USA INC,GLASSCOCK,39213,2007,31.72048,-101.59998,9490,160,40,3,4,8,0,9250,313246,0,425800,322496,NA,2,4,8,FRAC,6459,6490,49205,GAL,X-LINKGEL,135260,LB,SAND,NA,35,SCIN,20/40,31,1587.25806451613,4363.22580645161,1623,5260
81,D,ENDEAVOR ENERGY RESOURCES LIMITED PRTS,GLASSCOCK,39324,2007,31.84689,-101.65831,10567,40,Over 160,7,1,1,668430,0,0,0,700280,668430,NA,3,9,1,FRAC,7203,9445,668430,GAL,FLUD,700280,LB,SAND,NA,NA,HCL,,2242,298.14005352364,312.346119536128,3030.33,15497.48
82,D,ENERGEN RESOURCES CORPORATION,GLASSCOCK,39255,2007,31.75205,-101.6277,8750,80,160,3,3,4,536943,4000,0,0,610000,540943,20.7,2,4,4,FRAC,8288,8467,341928,GAL,FLUD,400000,LB,SAND,NA,NA,,20/40,179,1910.21229050279,2234.63687150838,1590,5397
83,D,ENERGEN RESOURCES CORPORATION,GLASSCOCK,39234,2007,31.75651,-101.62473,8735,40,80,3,1,2,0,3000,346114,0,415760,349114,NA,2,4,2,FRAC,7724,8561,346114,GAL,X-LINKGEL,415760,LB,SAND,NA,NA,,20/40,837,413.517323775388,496.726403823178,1590,5359
84,D,ENERGEN RESOURCES CORPORATION,GLASSCOCK,39264,2007,31.75811,-101.61795,8735,40,160,3,4,4,0,0,531800,0,563614,531800,NA,2,4,4,FRAC,8232,8408,121670,GAL,X-LINKGEL,136400,LB,SAND,NA,NA,XLNK,20/40,176,691.306818181818,775,1606,5438
85,C,APACHE CORPORATION,GLASSCOCK,39326,2007,31.75917,-101.77217,9910,80,40,3,6,12,0,15500,469893,0,541220,485393,NA,2,4,12,FRAC,7000,7159,47239,GAL,X-LINKGEL,147855,LB,SAND,NA,36,SCIN,20/40,159,297.100628930818,929.905660377358,1548.08,5158.98
86,D,APACHE CORPORATION,GLASSCOCK,39534,2008,31.76536,-101.76084,9894,80,40,4,6,12,0,14250,403229,0,600723,417479,17.63959573,1,4,12,FRAC,6911,7065,47393,GAL,X-LINKGEL,138461,LB,SAND,NA,NA,,20/40,154,307.746753246753,899.097402597403,2549,6243
87,C,APACHE CORPORATION,GLASSCOCK,39324,2007,31.71962,-101.76398,9840,80,40,3,5,10,0,8250,486631,0,591188,494881,28.09232775,2,4,10,FRAC,6990,7058,46429,GAL,X-LINKGEL,182011,LB,SAND,NA,35,SCIN,20/40,68,682.779411764706,2676.63235294118,1566,5308
88,D,APACHE CORPORATION,GLASSCOCK,39494,2008,31.73547,-101.74571,9884,80,40,3,6,12,0,12500,446089,0,568560,458589,NA,2,4,12,FRAC,6906,6973,57846,GAL,X-LINKGEL,144780,LB,SAND,NA,NA,,20/40,67,863.373134328358,2160.89552238806,1551.89,5294.78
