EUR_o..Mstb.,Completion.Year,Surface.Latitude,Surface.Longitude,Fluid.Water..Gals.,Acid..Gals.,Other..Gals.,Proppant...Total..lbs.,Fluid...Total..lbs.,Completion.Month,Number,Depth.Top,Subarea,Operator,County,WB.Spacing.Proxy,SPBY.Spacing.Proxy,Between_Zone,Deepest_Zone,Completion.Season,Type,Fluid.Type
30.744,2009,31.76546,-101.420765,0,10500,0,562960,525297,1,12,6522,4,27,1,4,4,18,7,4,3,11
63.824,2010,31.98761,-101.420765,0,12000,0,831195,831195,8,14,6480,4,27,1,1,5,18,7,3,3,11
71.54,2009,31.79046,-101.420765,0,10000,0,413620,497524,3,12,7609,4,27,1,5,3,11,7,2,3,11
21.28,2011,31.77154,-101.420765,0,0,0,831195,831195,3,8,9689,4,27,1,3,1,5,7,2,3,11
18.724,2009,31.75976,-101.420765,0,10000,0,666840,615580,5,14,6429,4,27,1,4,5,18,7,2,3,11
36.49085403,2009,31.89392,-101.420765,0,9500,0,485020,586154,6,12,7591,4,27,1,4,1,11,7,3,3,11
34.6978439,2009,31.92043,-101.420765,817824,10000,0,831195,827824,10,2,7388,4,5,1,1,4,10,6,1,3,6
69.756,2009,31.9457,-101.420765,9828,14070,0,831195,831195,11,3,6879,4,13,1,4,3,13,1,1,3,11
34.512,2010,31.71028,-101.420765,831195,0,0,797164,831195,2,1,7154,6,14,1,1,5,10,6,4,3,9
26.556,2009,31.95289,-101.420765,722358,12696,0,314800,735054,11,2,7864,4,5,1,1,5,6,1,1,3,9
25.224,2010,31.96948,-101.420765,0,13500,0,696467,831195,6,16,6662,4,27,1,1,1,18,7,3,3,11
19.788,2010,31.69581,-101.420765,768857,0,0,609217,768857,6,1,7042,6,14,1,3,5,6,1,3,3,9
49.828,2010,31.87677,-101.420765,0,75000,0,831195,831195,10,16,6750,4,27,1,5,5,18,7,1,3,11
73.936,2010,31.94541,-101.420765,0,12492,0,831195,12492,4,2,9752,4,5,1,4,1,27,8,2,3,7.22959292404755
47.484,2010,31.74359,-101.420765,0,50700,0,831195,769700,8,13,10500,4,14,1,4,5,2,4,3,1,1
28.372,2010,31.67693,-101.420765,0,11592,0,831195,831195,10,2,7857,6,13,1,4,4,25,6,1,3,6
41.77,2010,31.75784,-101.420765,0,49000,0,831195,831195,8,20,10650,4,14,1,4,5,2,4,3,3,6
36.072,2010,31.7382,-101.420765,0,55000,0,831195,778000,9,16,10060,4,14,1,4,1,2,4,1,1,1
37.35049321,2010,31.86384,-101.420765,0,13500,0,831195,831195,10,16,6967,4,27,1,3,4,18,7,1,3,11
61.80434803,2010,31.71895,-101.420765,831195,0,0,831195,831195,9,1,6046,6,14,1,4,1,4,6,1,3,9
53.388,2011,31.844,-101.420765,831195,12600,0,831195,831195,1,2,6602,4,13,1,4,1,13,1,4,3,3
35.412,2011,31.82076,-101.420765,237250,0,0,522438,686750,4,7,10016,4,2,1,4,1,27,8,2,3,11
53.116,2011,31.82961,-101.420765,0,1000,0,533788,617300,4,6,10764,4,2,1,3,4,24,4,2,3,6
84.72,2011,31.81269,-101.420765,831195,0,0,831195,831195,2,1,6910,4,11,1,3,5,6,1,4,3,3
41.68,2010,31.6895,-101.420765,0,15834,0,831195,39944,12,2,6170,6,13,1,4,5,15,4,4,3,6
23.642,2011,31.87397,-101.420765,0,16500,0,831195,831195,4,6,8380,4,27,1,4,4,18,7,2,3,11
23.042,2011,31.97912,-101.420765,0,0,0,831195,831195,5,6,8225,4,27,1,4,1,17,6,2,3,11
32.96370677,2010,31.96115,-101.420765,0,25116,0,398000,25116,11,13,10024,4,4,1,1,5,6,1,1,3,7.31425652081569
13.372,2010,31.8471,-101.420765,0,20034,0,402000,20034,12,12,9934,4,4,1,4,5,21,1,4,3,7.97966061843917
58.952,2011,31.68072,-101.420765,0,22092,0,831195,831195,1,2,6906,6,13,1,4,1,8,3,4,3,6
90.188,2010,31.67846,-101.420765,831195,16000,0,831195,831195,11,10,9709,6,19,1,1,2,21,1,1,3,9
98.23186666,2010,31.69121,-101.420765,0,22600,831195,831195,831195,12,12,9746,6,19,1,4,5,21,1,4,3,8
75.576,2011,31.95992,-101.420765,0,17000,0,831195,696602,1,2,8350,4,5,1,3,5,23,3,4,3,11
41.86032034,2011,31.97697,-101.420765,0,16500,0,831195,831195,12,8,9849,4,27,1,3,5,4,6,4,3,11
35.212,2011,31.96872,-101.420765,636720,8190,0,713440,644910,3,4,10182,4,5,1,3,4,25,6,2,3,3
94.12444184,2011,31.73955,-101.420765,0,0,0,831195,831195,4,7,10839,4,2,1,4,4,2,4,2,3,6
82.72679578,2011,31.75303,-101.420765,0,0,0,831195,831195,4,7,10809,4,2,1,1,4,15,4,2,3,6
182.758,2011,31.94875,-101.420765,0,13500,0,831195,831195,4,6,8346,4,27,1,5,5,17,6,2,3,6
9.968,2011,31.73672,-101.420765,0,22000,0,650000,22000,7,16,9607,6,4,1,4,5,6,1,3,3,6.12499067479323
4.196,2011,31.97423,-101.420765,0,16500,0,831195,831195,5,4,7496,4,27,1,5,5,4,6,2,3,11
36.92,2011,31.69479,-101.420765,0,15120,0,831195,831195,3,2,6211,6,13,1,4,1,15,4,2,3,6
64.232,2011,31.93995,-101.420765,0,15000,0,831195,831195,5,8,10126,4,27,1,3,3,4,6,2,3,11
95.636,2011,31.75392,-101.420765,831195,0,0,795717.352151907,831195,4,2,6479,4,14,1,4,1,2,4,2,1,1
56.668,2011,31.73674,-101.420765,831195,4404,0,791000,831195,4,2,6508,4,14,1,4,3,13,1,2,1,1
15.792,2011,31.8576,-101.420765,0,24360,0,510500,24360,2,16,9951,4,4,1,4,4,6,1,4,3,8.06902089809459
23.312,2011,31.84445,-101.420765,0,24612,0,520500,24612,6,16,9892,4,4,1,1,5,6,1,3,3,7.92562818866616
19.484,2011,31.70158,-101.420765,0,28014,0,501500,28014,1,14,9737,6,4,1,1,5,21,1,4,3,7.78152831578825
36.824,2011,31.75591,-101.420765,1e+05,33000,0,831195,646000,11,16,10099,4,14,1,3,1,1,1,1,3,3
41.876,2011,31.75941,-101.420765,218000,34000,0,740000,664000,11,16,10700,4,14,1,3,1,9,4,1,3,3
30.524,2011,31.76037,-101.420765,344000,37000,0,831195,816000,8,16,10510,4,14,1,3,5,15,4,3,3,3
27.412,2011,31.7623,-101.420765,248000,34000,0,831195,748000,8,14,10046,4,14,1,4,5,13,1,3,3,3
31.096,2011,31.75537,-101.420765,423000,34000,0,831195,747000,8,14,10051,4,14,1,4,5,13,1,3,3,3
30.76,2011,31.73636,-101.420765,232000,32000,0,776000,719000,7,14,10014,4,14,1,3,1,6,1,3,3,3
30.044,2011,31.74163,-101.420765,213000,32000,0,738000,659000,7,14,10030,4,14,1,4,5,6,1,3,3,3
30.492,2011,31.73728,-101.420765,226000,26000,0,685000,608000,10,13,10004,4,14,1,3,1,6,1,1,3,3
29.132,2011,31.74802,-101.420765,226500,32500,0,733000,636000,8,14,10078,4,14,1,4,5,6,1,3,3,3
42.18,2012,31.74285,-101.420765,0,29000,0,683500,529000,3,12,10072,4,14,1,3.38334824206795,3.76729126886909,17,6,2,3,11
21.352,2011,31.75049,-101.420765,125000,34000,0,811000,490000,9,16,9596,4,14,1,4,5,5,7,1,3,3
19.268,2011,31.75775,-101.420765,225000,33000,0,831195,691000,11,16,10076,4,14,1,3,4,4,6,1,3,3
18.056,2011,31.73012,-101.420765,225000,34500,0,831195,675500,11,16,10148,4,14,1,3,4,6,1,1,3,3
36.568,2011,31.84179,-101.420765,0,13500,0,831195,831195,5,6,8664,4,27,1,1,3,5,7,2,3,11
25.364,2011,31.89422,-101.420765,0,0,0,831195,831195,6,6,8317,4,27,1,5,5,5,7,3,3,6
28.784,2011,31.73061,-101.420765,0,24066,0,663000,24066,9,16,9678,6,4,1,4,5,6,1,1,3,6.11016238313874
46.584,2011,31.95503,-101.420765,0,14112,0,831195,831195,5,2,7445,4,13,1,4,4,13,1,2,3,6
74.564,2011,31.96223,-101.420765,0,12096,0,786080,831195,6,2,7588,4,13,1,3.63701395008176,3.84534662771751,6,1,3,3,6
73.544,2011,31.91226,-101.420765,0,16500,0,831195,831195,8,8,10070,4,27,1,4,3,17,6,3,3,11
129.9206302,2011,31.98098,-101.420765,0,0,0,831195,831195,7,5,6507,4,27,1,1,5,17,6,3,1,1
51.348,2011,31.98844,-101.420765,0,0,0,831195,831195,10,5,6314,4,27,1,1,1,17,6,1,1,1
16.16,2011,31.68682,-101.420765,416000,26300,0,741000,780300,7,12,10158,6,14,1,3,5,9,4,3,3,3
423.792,2011,31.6577,-101.420765,121807.853129542,27032.7210618342,60416.7772977019,787214.912928726,670349.574292067,7,12,9804,6,18,1,3,1,14,3,3,3,1
152.468,2011,31.67198,-101.420765,0,15500,831195,831195,831195,5,9,9816,6,19,1,4,1,23,3,2,3,8
26.888,2011,31.70065,-101.420765,0,24108,0,562000,24108,3,16,9714,6,4,1,3,5,6,1,2,3,7.84476201073981
39.84,2011,31.86166,-101.420765,0,13500,0,831195,831195,7,8,10200,4,27,1,1,2,17,6,3,3,6
257.668,2011,31.66448,-101.420765,113364.648602585,27768.224875879,66695.441764004,707232.291763417,602490.994229273,12,12,9948,6,18,1,4,1,15,4,4,3,1
43.24659366,2011,31.77637,-101.420765,831195,0,0,831195,831195,8,1,6918,4,25,1,4,1,9,4,3,3,3
17.936,2011,31.77097,-101.420765,831195,0,0,831195,831195,5,1,7288,4,25,1,1,5,6,1,2,3,3
25.468,2011,31.77794,-101.420765,831195,0,0,831195,831195,5,1,6990,4,25,1,4,4,6,1,2,3,3
21.2,2011,31.72146,-101.420765,236000,32700,0,831195,777700,6,15,10590,6,14,1,1,5,7,2,3,1,1
24.084,2011,31.71955,-101.420765,129000,32000,0,831195,757000,8,14,9496,6,14,1,1,5,6,1,3,3,3
6.988,2011,31.72083,-101.420765,111000,29000,0,831195,537000,10,14,9424,6,14,1,4,5,5,7,1,3,3
23.62,2011,31.72947,-101.420765,129000,23000,0,627000,529000,7,10,9374,6,14,1,3,5,10,6,3,3,3
26.516,2011,31.66599,-101.4159,111000,30000,0,831195,539500,8,14,9248,6,14,1,1,5,18,7,3,3,3
32.736,2011,31.65419,-101.420765,108000,26000,0,762000,502500,8,12,9330,6,14,1,3,5,11,7,3,3,3
97.304,2011,31.93507,-101.420765,831195,26000,0,689000,831195,11,4,10104,4,31,1,4,5,21,1,1,3,9
59.932,2011,31.81948,-101.420765,831195,0,0,831195,831195,6,1,7380,4,6,1,4,2,8,3,3,3,3
35.636,2011,31.81484,-101.420765,831195,0,0,831195,831195,7,1,7300,4,6,1,4,3,8,3,3,3,3
88.32861051,2011,31.65687,-101.420765,108298.36045874,20295.3876122003,148999.613119507,742282.313922264,645327.111303977,6,12,9884,6,18,1,4,4,13,1,3,3,1
10.636,2011,31.67115,-101.420765,831195,15120,0,831195,831195,6,2,7080,6,13,1,4,4,9,4,3,3,3
46.308,2011,31.96436,-101.420765,0,831195,0,253700,831195,9,2,8629,4,5,1,3,4,21,1,1,3,11
109.128,2011,31.72321,-101.420765,831195,12096,0,831195,831195,8,2,7050,6,13,1,3,4,9,4,3,3,3
153.18,2011,31.92965,-101.420765,0,10,0,831195,650545,9,11,10584,4,5,1,4,1,23,3,1,1,1
29.21941362,2011,31.97763,-101.420765,0,16500,0,831195,831195,10,8,10033,4,27,1,4,1,17,6,1,3,6
19.164,2011,31.97724,-101.420765,0,18000,0,831195,831195,8,8,9977,4,27,1,4,1,17,6,3,3,6
29.81065115,2011,31.69677,-101.420765,174500,32000,0,785500,571500,9,14,9704,6,14,1,3,5,6,1,1,3,3
25.35257157,2011,31.71565,-101.420765,219000,32000,0,827000,601000,8,14,9790,6,14,1,4,5,6,1,3,3,3
22.844,2011,31.68876,-101.420765,122000,27000,0,637000,452000,9,12,9506,6,14,1,3,5,6,1,1,3,3
74.448,2011,31.85591,-101.420765,0,15000,0,831195,831195,10,8,10242,4,27,1,1,4,17,6,1,3,11
107.0470321,2011,31.95678,-101.420765,0,16500,0,831195,831195,10,6,8300,4,27,1,3,5,13,1,1,3,11
3.42574173,2011,31.7026,-101.420765,0,151200,0,125000,151200,10,2,6484,6,3,1,4,3,13,1,1,3,7.51175794656301
124.084,2011,31.82485,-101.420765,831195,0,0,831195,831195,7,1,7510,4,11,1,3,5,8,3,3,3,3
1.219311577,2011,31.69103,-101.420765,831195,0,0,128790,831195,9,1,6440,6,3,1,4,4,19,8,1,3,3
46.9,2011,31.98601,-101.420765,0,26040,0,612000,26040,8,16,9937,4,4,1,1,5,6,1,3,3,6.52309994652641
95.452,2011,31.81348,-101.420765,831195,0,0,831195,831195,8,1,7978,4,11,1,4,5,23,3,3,3,3
41.792,2011,31.72296,-101.420765,226000,29000,0,823000,667500,9,15,9993,6,14,1,3,1,13,1,1,3,3
76.148,2012,31.84035,-101.420765,831195,0,0,831195,831195,10,1,7530,4,6,1,3.16766542722615,3.31694211396509,6,1,1,3,3
57.424,2011,31.83123,-101.420765,831195,0,0,831195,831195,8,1,7436,4,6,1,3.26264899059102,3.45930044965966,6,1,3,3,3
113.708,2011,31.65719,-101.420765,218245.146022165,11900.0394091209,21950.3906149443,660670.695510988,564743.633222796,12,1,5964,6,18,1,4,5,14,3,4,3,1
28.564,2011,31.7156,-101.420765,111000,28000,0,752000,564500,11,14,9770,6,14,1,4,4,17,6,1,3,3
29.872,2012,31.73101,-101.420765,0,30000,0,811800,589000,2,14,9730,6,14,1,3.08557407921312,4.5477721540469,13,1,4,3,11
29.108,2011,31.72394,-101.420765,552000,29000,0,789000,581000,10,14,9634,6,14,1,5,5,17,6,1,3,3
12.116,2011,31.72073,-101.420765,111000,29000,0,795000,542000,11,14,9660,6,14,1,4,1,17,6,1,3,3
49.16,2011,31.83431,-101.420765,206500,0,0,484688,656000,7,7,10139,4,2,1,4,2,27,8,3,3,11
35.588,2011,31.81407,-101.420765,831195,0,0,831195,831195,7,1,7324,4,6,1,1,3,12,8,3,3,3
45.868,2011,31.67721,-101.420765,96000,29000,0,820000,552000,12,14,9578,6,14,1,3,5,6,1,4,3,3
26.248,2012,31.72177,-101.420765,0,30000,0,831195,572500,4,14,9526,6,14,1,3.53936323266765,4.27985829359283,17,6,2,3,11
48.432,2011,31.6918,-101.420765,111000,29000,0,831195,547000,11,14,9502,6,14,1,4,5,13,1,1,3,3
57.56,2011,31.68399,-101.41708,111000,25000,0,737500,474000,11,12,9340,6,14,1,3,5,13,1,1,3,3
25.476,2012,31.72681,-101.420765,125000,33000,0,831195,658500,2,16,9688,6,14,1,4,5,17,6,4,3,3
36.408,2011,31.66999,-101.420765,111000,29000,0,831195,557000,12,14,9414,6,14,1,4,5,13,1,4,3,3
44.064,2011,31.68065,-101.420765,111000,29000,0,831195,557000,10,14,9360,6,14,1,3,5,13,1,1,3,3
41.33660355,2011,31.68975,-101.420765,614000,31000,0,8e+05,645000,9,14,9750,6,14,1,3,5,6,1,1,3,3
60.20299007,2011,31.80579,-101.420765,831195,0,0,831195,831195,9,1,7977,4,11,1,3,5,23,3,1,3,3
29.636,2011,31.72597,-101.420765,0,20580,0,552400,20580,9,15,9556,6,4,1,3,5,13,1,1,3,6.08660026181865
37.312,2011,31.86995,-101.420765,831195,16500,0,831195,831195,12,8,10200,4,27,1,3,1,13,1,4,3,3
85.224,2011,31.8012,-101.420765,0,16500,0,831195,831195,12,8,10089,4,27,1,3,3,17,6,4,3,11
27.888,2011,31.9019,-101.420765,0,0,0,831195,831195,11,5,6647,4,27,1,1,1,4,6,1,1,1
5.964764826,2011,31.69898,-101.420765,104449.29632057,17812.4173292891,29434.7796264597,140000,344548.949166421,8,1,6528,6,3,1,4,3,19,8,3,3,6.04035433595681
29.444,2011,31.71173,-101.420765,0,1008,0,703000,1008,10,9,9584,6,4,1,4,1,13,1,1,3,6.02532850731157
38.444,2011,31.88806,-101.420765,0,16500,0,831195,831195,12,8,9944,4,27,1,5,5,13,1,4,3,11
64.552,2011,31.97468,-101.420765,706782,16500,0,831195,831195,12,8,9977,4,27,1,4,5,13,1,4,3,11
185.44,2011,31.86062,-101.420765,735000,0,0,623671,735000,9,1,8600,4,6,1,3,3,21,1,1,3,3
44.108,2011,31.93998,-101.420765,0,0,0,685031,656040,9,11,10640,4,5,1,3,4,27,8,1,3,6
19.624,2011,31.97478,-101.420765,0,0,0,831195,831195,10,12,10790,4,5,1,2.7687329328783,3.288692024646,24,4,1,3,6
15.236,2011,31.97805,-101.420765,0,0,0,831195,831195,12,12,10842,4,5,1,3.00310703938581,3.66944558696707,18.0148771276462,4.01582401102282,4,3,11
20.088,2011,31.95466,-101.420765,0,0,0,767118,682782,8,9,10866,4,5,1,2,3,24,4,3,3,6
39.168,2012,31.92229,-101.420765,0,12000,0,831195,831195,5,18,10498,4,5,1,3.06163278913753,3.92131807429479,27,8,2,3,11
43.46283285,2012,31.93254,-101.420765,0,13000,0,831195,831195,5,20,10664,4,5,1,3,4,27,8,2,3,6
49.112,2011,31.89498,-101.420765,0,15000,0,831195,831195,11,8,10146,4,27,1,1,3,13,1,1,3,11
