WellID,Completion.Year,Surface.Latitude,Surface.Longitude,Depth.Total.Driller..ft.,Frac.Stages,Treatment.Records,Fluid.Water..Gals.,Acid..Gals.,Gel.x.link..Gals.,Other..Gals.,Proppant...Total..lbs.,Fluid...Total..lbs.,EUR_o..Mstb.,Completion.Month,Number,Depth.Top,Depth.Base,Propping.Agent.Amount,Subarea,Operator,County,Completion.Date,WB.Spacing.Proxy,SPBY.Spacing.Proxy,Between_Zone,Top_Zone,Deepest_Zone,Completion.Season,Type,Fluid.Type
53,2007,31.72145,-101.420765,9844,4,8,0,10750,268997,0,207880,279747,18.328,2,8,8424,8539,158996,3,2,1,2007-02-17,NA,NA,26,5,7,4,3,11
54,2007,31.71903,-101.420765,9853,5,6,0,3000,0,0,506200,3000,13.684,2,6,9556,9676,18170,3,2,1,2007-02-22,4,3,5,1,7,4,3,NA
55,2006,31.65737,-101.420765,8177,1,1,241752,0,0,0,61500,241752,55.3862174,12,1,6272,7306,61500,6,2,1,2006-12-03,4,3,5,1,7,4,3,9
58,2007,31.70227,-101.420765,8851,4,4,273756,0,0,0,449160,273756,31.07150317,2,4,8400,8440,108332,6,27,1,2007-02-28,1,2,18,3,7,4,3,3
59,2006,31.69705,-101.420765,8835,3,3,244692,0,0,0,350761,244692,46.04231632,8,3,8190,8230,135248,6,27,1,2006-08-10,1,3,18,3,7,3,3,3
60,2007,31.73249,-101.420765,9792,6,12,0,14250,412047,0,523253,426297,13.624,1,12,6876,7027,134736,4,2,1,2007-01-26,4,3,18,3,7,4,3,11
61,2007,31.74408,-101.420765,9850,6,12,0,14250,385924,0,535260,400174,20.67705873,1,12,6864,7032,146540,4,2,1,2007-01-14,1,3,5,1,7,4,3,11
63,2006,31.65592,-101.420765,8103,2,2,353400,0,0,0,123000,353400,30.18,7,2,7659,7959,61500,6,2,1,2006-07-12,3,3,5,1,7,3,3,9
64,2007,31.72402,-101.420765,9782,5,10,0,11250,350595,0,505220,361845,12.671,3,10,6869,7022,125270,4,2,1,2007-03-20,3,3,5,1,7,2,3,11
66,2007,31.73191,-101.420765,9496,3,7,0,12000,261394,0,267520,273394,6.904,4,7,7525,7713,84000,4,27,1,2007-04-26,3,4,11,2,7,2,3,11
67,2007,31.96402,-101.420765,10840,1,1,649698,0,0,0,802700,649698,45.27229149,5,1,6862,9418,802700,4,13,1,2007-05-04,3,4,13,3,1,2,3,3
68,2007,31.95298,-101.420765,10510,4,4,546126,0,0,0,799108,546126,44.02376458,5,4,6878,9429,50000,4,13,1,2007-05-03,4,4,13,3,1,2,3,NA
69,2007,31.73285,-101.420765,9487,5,10,0,13750,315647,0,225120,329397,25.31341516,4,10,7973,8104,155100,4,27,1,2007-04-26,3,4,26,5,7,2,3,11
70,2007,31.97911,-101.420765,9808,5,13,0,21000,747058,0,406120,768058,42.268,8,13,8277,8348,117244,4,27,1,2007-08-22,1,5,26,5,7,3,3,6
72,2007,31.66779,-101.420765,8181,2,2,366450,0,0,0,123000,366450,15.424,1,2,7689,8011,61500,6,2,1,2007-01-11,1,4,5,1,7,4,3,3
73,2007,31.77384,-101.420765,8492,2,2,365484,0,0,0,123000,365484,34.88893209,2,2,8193,8413,61500,4,2,1,2007-02-08,5,3,5,1,7,4,3,3
74,2007,31.74921,-101.420765,8750,4,7,0,9520,592788,0,603100,602308,20.11541731,6,7,8142,8438,141700,4,14,1,2007-06-22,3,1,18,3,7,3,3,6
76,2007,31.74169,-101.420765,8547,4,4,0,0,633108,0,584800,633108,20.072,7,4,6477,6775,199000,4,14,1,2007-07-02,4,1,18,3,7,3,3,6
79,2007,31.72677,-101.420765,9510,4,8,0,10750,245788,0,234101,256538,12.64935437,6,8,7943,8026,165641,6,27,1,2007-06-01,1,3,26,5,7,3,3,11
82,2007,31.75205,-101.420765,8750,3,4,536943,4000,0,0,610000,540943,20.7,6,4,8288,8467,400000,4,14,1,2007-06-24,4,1,18,3,7,3,3,3
86,2008,31.76536,-101.420765,9894,6,12,0,14250,403229,0,600723,417479,17.63959573,3,12,6911,7065,138461,4,2,1,2008-03-29,4,3,5,1,7,2,3,11
87,2007,31.71962,-101.420765,9840,5,10,0,8250,486631,0,591188,494881,28.09232775,9,10,6990,7058,182011,3,2,1,2007-09-01,4,3,18,3,7,1,3,11
89,2008,31.65722,-101.420765,8252,2,2,258392,0,0,0,466275,258392,22.11157295,4,2,7672,8113,214875,6,2,1,2008-04-22,4,4,18,3,7,2,3,9
90,2007,31.72807,-101.420765,9900,5,10,0,16500,451507,0,561280,468007,10.56,11,10,6900,7048,183837,4,2,1,2007-11-20,4,3,5,1,7,1,3,11
91,2007,31.85385,-101.420765,10499,1,1,616476,0,0,0,799820,616476,40.092,11,1,6606,10318,799820,4,13,1,2007-11-29,1,5,1,1,1,1,3,3
93,2008,31.72585,-101.420765,9886,6,12,0,14250,369411,0,474363,383661,8.086191594,5,12,6982,7125,140817,3,2,1,2008-05-02,4,3,18,3,7,2,3,11
94,2008,31.71945,-101.420765,9878,6,12,0,14250,384132,0,522900,398382,8.808,4,12,6920,7073,140167,4,2,1,2008-04-09,4,3,18,3,7,2,3,11
95,2008,31.76379,-101.420765,9880,6,12,0,17000,484369,0,539400,501369,24.40562809,4,12,6934,7086,130834,3,2,1,2008-04-24,3,3,5,1,7,2,3,11
96,2008,31.76703,-101.420765,9876,6,12,0,15100,468244,0,545820,483344,42.25256061,5,12,6931,7082,133719,3,2,1,2008-05-14,3,3,5,1,7,2,3,11
97,2008,31.97212,-101.420765,9983,7,14,0,19000,552036,0,552180,571036,21.94799122,6,14,6427,6480,130467,4,27,1,2008-06-27,3,5,5,1,7,3,3,11
98,2008,31.71701,-101.420765,9890,6,12,0,14250,403696,0,474820,417946,9.735,3,12,6974,7131,133680,3,2,1,2008-03-17,NA,NA,18,3,7,2,3,11
99,2008,31.7278,-101.420765,9878,6,12,0,14250,451957,0,638440,466207,11.934,2,12,6875,7027,142580,4,2,1,2008-02-18,3,3,18,3,7,4,3,11
102,2007,31.96851,-101.420765,10660,1,1,15848,0,0,0,831195,15848,49.36,11,1,6875,10087,831195,4,13,1,2007-11-03,4,4,18,3,7,1,3,9
103,2008,31.71347,-101.420765,9598,6,12,0,17250,357076,0,526821,374326,25.04,1,12,6451,6460,136241,6,27,1,2008-01-11,1,3,18,3,7,4,3,11
105,2008,31.81536,-101.420765,8704,3,6,0,5250,172916,0,470520,178166,48.844,2,6,6914,7071,135304,4,27,1,2008-02-22,5,2,18,3,7,4,3,11
106,2008,31.79785,-101.420765,10255,4,8,0,7500,221728,0,222173,229228,25.376,3,8,6525,6595,137039,4,27,1,2008-03-02,3,4,5,1,7,2,3,11
107,2008,31.79072,-101.420765,10176,6,12,0,13500,431728,0,514420,445228,24.14,3,12,6523,6552,137543,4,27,1,2008-03-14,1,3,5,1,7,2,3,11
110,2008,31.9583,-101.420765,10500,8,16,10000,29000,508689,0,413900,547689,66.2739258,3,16,10024,10074,NA,4,4,1,2008-03-09,4,5,4,1,6,2,3,9
112,2008,31.68924,-101.420765,8362,4,8,0,6000,211068,0,606324,217068,32.076,4,8,6540,6680,139450,6,27,1,2008-04-06,1,3,16,3,5,2,3,11
113,2008,31.68763,-101.420765,8338,4,8,0,6000,217988,0,580155,223988,22.828,4,8,6506,6622,140070,6,27,1,2008-04-27,4,3,16,3,5,2,3,11
114,2008,31.69162,-101.420765,8295,4,8,0,6000,232412,0,579200,238412,15.55114674,5,8,6481,6601,135287,6,27,1,2008-05-02,4,3,3,1,5,2,3,11
115,2008,31.72171,-101.420765,9882,7,14,0,12000,547628,0,602280,559628,11.188,11,14,7082,7174,130934,3,2,1,2008-11-22,4,3,18,3,7,1,3,11
116,2008,31.71538,-101.420765,9876,7,14,0,20000,676928,0,648070,696928,25.4251233,11,14,6990,7060,134130,3,2,1,2008-11-24,4,3,18,3,7,1,3,11
118,2008,31.71336,-101.420765,9886,7,14,0,19000,570219,0,621902,589219,16.768,11,14,6997,7068,141147,3,2,1,2008-11-26,4,3,18,3,7,1,3,11
120,2008,31.85353,-101.420765,10511,1,2,0,16128,831195,0,831195,831195,45.376,8,2,6556,10005,831195,4,13,1,2008-08-27,3,3,1,1,1,3,3,6
121,2008,31.98413,-101.420765,9976,11,22,0,18000,679906,0,831195,697906,17.38,11,22,7267,7341,177573,4,27,1,2008-11-10,4,5,11,2,7,1,3,11
122,2008,31.74877,-101.420765,9535,4,8,0,34146,0,0,402403,34146,35.256,6,8,9254,9407,0,4,22,1,2008-06-19,4,4,26,5,7,3,1,1
124,2009,31.99172,-101.420765,10030,6,12,0,10500,563526,0,224088,574026,14.11666124,5,12,7818,7828,16598,4,27,1,2009-05-26,1,5,26,5,7,2,3,11
125,2009,31.97545,-101.420765,9996,6,12,0,14000,831195,0,449794,831195,55.764,1,12,8006,8030,136963,4,27,1,2009-01-15,3,5,26,5,7,4,3,11
129,2008,31.70944,-101.420765,10200,5,10,0,12080,474075,0,318295,486155,28.724,12,10,9742,9942,40104,6,4,1,2008-12-11,1,5,21,5,1,4,3,11
131,2008,31.76686,-101.420765,10568,7,14,0,12000,755718,0,672071,767718,19.24918288,11,14,6463,6493,122013,4,27,1,2008-11-27,3,4,18,3,7,1,3,11
132,2008,31.77082,-101.420765,10404,4,9,0,12500,460671,0,257881,473171,62.13588059,11,9,8442,8456,41265,4,27,1,2008-11-27,3,1,21,5,1,1,3,11
133,2008,31.75941,-101.420765,9500,NA,1,NA,NA,NA,NA,NA,NA,68.40805807,10,1,7450,9342,NA,4,22,1,2008-10-24,5,3,11,2,7,1,4,NA
135,2008,31.76303,-101.420765,10430,6,12,0,10500,624937,0,695140,635437,27.776,10,12,6423,6474,134806,4,27,1,2008-10-09,4,5,18,3,7,1,3,11
136,2009,31.97958,-101.420765,10017,8,16,0,13500,831195,0,744620,831195,55.332,3,16,7684,7777,180500,4,27,1,2009-03-19,1,5,26,5,7,2,3,11
138,2009,31.77052,-101.420765,10488,5,13,0,141527,321339,57594,516840,520460,16.288,1,13,6473,6767,131780,4,27,1,2009-01-25,3,3,17,3,6,4,3,11
142,2009,31.79265,-101.420765,10161,6,12,0,10000,443297,0,554580,453297,39.94539112,5,12,6555,6560,183892,4,27,1,2009-05-14,1,4,18,3,7,2,3,11
143,2009,31.76336,-101.420765,10091,6,12,0,10500,418005,0,563980,428505,55.758,2,12,6559,6564,112994,4,27,1,2009-02-14,1,3,18,3,7,4,3,11
145,2009,31.76546,-101.420765,10108,6,12,0,10500,514797,0,562960,525297,30.744,1,12,6522,6668,115720,4,27,1,2009-01-30,4,4,18,3,7,4,3,11
146,2010,31.98761,-101.420765,10100,7,14,0,12000,831195,0,831195,831195,63.824,8,14,6480,6698,181008,4,27,1,2010-08-12,1,5,18,3,7,3,3,11
147,2009,31.79046,-101.420765,10034,6,12,0,10000,487524,0,413620,497524,71.54,3,12,7609,7667,157957,4,27,1,2009-03-14,5,3,11,2,7,2,3,11
149,2011,31.77154,-101.420765,10040,4,8,0,0,831195,0,831195,831195,21.28,3,8,9689,9904,121444,4,27,1,2011-03-22,3,1,5,1,7,2,3,11
150,2009,31.75976,-101.420765,10006,7,14,0,10000,605580,0,666840,615580,18.724,5,14,6429,6553,156657,4,27,1,2009-05-14,4,5,18,3,7,2,3,11
152,2009,31.89392,-101.420765,9582,6,12,0,9500,576654,0,485020,586154,36.49085403,6,12,7591,7619,132735,4,27,1,2009-06-05,4,1,11,2,7,3,3,11
153,2009,31.92043,-101.420765,10300,1,2,817824,10000,0,0,831195,827824,34.6978439,10,2,7388,10146,717200,4,5,1,2009-10-15,1,4,10,2,6,1,3,6
154,2009,31.9457,-101.420765,10560,1,3,9828,14070,831195,0,831195,831195,69.756,11,3,6879,10450,831195,4,13,1,2009-11-19,4,3,13,3,1,1,3,11
155,2010,31.71028,-101.420765,9937,1,1,831195,0,0,0,797164,831195,34.512,2,1,7154,9833,797164,6,14,1,2010-02-04,1,5,10,2,6,4,3,9
158,2009,31.95289,-101.420765,10262,1,2,722358,12696,0,0,314800,735054,26.556,11,2,7864,10152,314800,4,5,1,2009-11-02,1,5,6,2,1,1,3,9
159,2010,31.96948,-101.420765,10095,8,16,0,13500,831195,0,696467,831195,25.224,6,16,6662,6667,142720,4,27,1,2010-06-17,1,1,18,3,7,3,3,11
160,2010,31.69581,-101.420765,9905,1,1,768857,0,0,0,609217,768857,19.788,6,1,7042,9805,609217,6,14,1,2010-06-29,3,5,6,2,1,3,3,9
163,2010,31.87677,-101.420765,10235,8,16,0,75000,831195,0,831195,831195,49.828,10,16,6750,6871,150091,4,27,1,2010-10-06,5,5,18,3,7,1,3,11
164,2010,31.94541,-101.420765,10850,1,2,0,12492,0,0,831195,12492,73.936,4,2,9752,10746,243600,4,5,1,2010-04-09,4,1,27,5,8,2,3,NA
171,2010,31.74359,-101.420765,10771,7,13,0,50700,719000,0,831195,769700,47.484,8,13,10500,10720,0,4,14,1,2010-08-19,4,5,2,1,4,3,1,1
172,2010,31.67693,-101.420765,10230,1,2,0,11592,831195,0,831195,831195,28.372,10,2,7857,10135,831195,6,13,1,2010-10-14,4,4,25,5,6,1,3,6
173,2010,31.75784,-101.420765,10901,10,20,0,49000,831195,0,831195,831195,41.77,8,20,10650,10661,50000,4,14,1,2010-08-04,4,5,2,1,4,3,3,6
174,2010,31.7382,-101.420765,10856,8,16,0,55000,723000,0,831195,778000,36.072,9,16,10060,10812,0,4,14,1,2010-09-10,4,1,2,1,4,1,1,1
176,2010,31.86384,-101.420765,10752,8,16,0,13500,831195,0,831195,831195,37.35049321,10,16,6967,7203,204399,4,27,1,2010-10-24,3,4,18,3,7,1,3,11
178,2010,31.71895,-101.420765,9990,1,1,831195,0,0,0,831195,831195,61.80434803,9,1,6046,9891,831195,6,14,1,2010-09-09,4,1,4,1,6,1,3,9
182,2011,31.844,-101.420765,10510,1,2,831195,12600,0,0,831195,831195,53.388,1,2,6602,10419,831195,4,13,1,2011-01-09,4,1,13,3,1,4,3,3
183,2011,31.82076,-101.420765,10863,7,7,237250,0,449500,0,522438,686750,35.412,4,7,10016,10326,16500,4,2,1,2011-04-01,4,1,27,5,8,2,3,11
184,2011,31.82961,-101.420765,10848,5,6,0,1000,616300,0,533788,617300,53.116,4,6,10764,10766,6000,4,2,1,2011-04-29,3,4,24,5,4,2,3,6
187,2011,31.81269,-101.420765,10438,1,1,831195,0,0,0,831195,831195,84.72,2,1,6910,10366,831195,4,11,1,2011-02-05,3,5,6,2,1,4,3,3
189,2010,31.6895,-101.420765,10613,1,2,0,15834,24110,0,831195,39944,41.68,12,2,6170,10474,831195,6,13,1,2010-12-08,4,5,15,3,4,4,3,6
191,2011,31.87397,-101.420765,10306,3,6,0,16500,831195,0,831195,831195,23.642,4,6,8380,10103,601501,4,27,1,2011-04-12,4,4,18,3,7,2,3,11
192,2011,31.97912,-101.420765,10401,3,6,0,0,831195,0,831195,831195,23.042,5,6,8225,10056,831195,4,27,1,2011-05-02,4,1,17,3,6,2,3,11
194,2010,31.96115,-101.420765,10579,5,13,0,25116,0,0,398000,25116,32.96370677,11,13,10024,10204,37000,4,4,1,2010-11-21,1,5,6,2,1,1,3,NA
196,2010,31.8471,-101.420765,10415,6,12,0,20034,0,0,402000,20034,13.372,12,12,9934,10084,25000,4,4,1,2010-12-02,4,5,21,5,1,4,3,NA
200,2011,31.68072,-101.420765,10540,1,2,0,22092,831195,0,831195,831195,58.952,1,2,6906,10394,831195,6,13,1,2011-01-17,4,1,8,2,3,4,3,6
201,2010,31.67846,-101.420765,10025,5,10,831195,16000,0,0,831195,831195,90.188,11,10,9709,9866,183400,6,19,1,2010-11-16,1,2,21,5,1,1,3,9
202,2010,31.69121,-101.420765,10080,6,12,0,22600,0,831195,831195,831195,98.23186666,12,12,9746,9919,230600,6,19,1,2010-12-17,4,5,21,5,1,4,3,8
204,2011,31.95992,-101.420765,10992,1,2,0,17000,679602,0,831195,696602,75.576,1,2,8350,10651,413100,4,5,1,2011-01-21,3,5,23,5,3,4,3,11
205,2011,31.97697,-101.420765,9975,4,8,0,16500,831195,0,831195,831195,41.86032034,12,8,9849,9926,173526,4,27,1,2011-12-08,3,5,4,1,6,4,3,11
206,2011,31.96872,-101.420765,10523,2,4,636720,8190,0,0,713440,644910,35.212,3,4,10182,10267,50000,4,5,1,2011-03-16,3,4,25,5,6,2,3,3
207,2011,31.73955,-101.420765,10985,7,7,0,0,831195,0,831195,831195,94.12444184,4,7,10839,10902,100000,4,2,1,2011-04-21,4,4,2,1,4,2,3,6
208,2011,31.75303,-101.420765,11000,7,7,0,0,831195,0,831195,831195,82.72679578,4,7,10809,10908,49750,4,2,1,2011-04-15,1,4,15,3,4,2,3,6
209,2011,31.94875,-101.420765,10191,3,6,0,13500,831195,0,831195,831195,182.758,4,6,8346,9964,557409,4,27,1,2011-04-03,5,5,17,3,6,2,3,6
210,2011,31.73672,-101.420765,9980,8,16,0,22000,0,0,650000,22000,9.968,7,16,9607,9741,80000,6,4,1,2011-07-31,4,5,6,2,1,3,3,NA
212,2011,31.97423,-101.420765,9903,2,4,0,16500,831195,0,831195,831195,4.196,5,4,7496,9673,831195,4,27,1,2011-05-04,5,5,4,1,6,2,3,11
213,2011,31.69479,-101.420765,10622,1,2,0,15120,831195,0,831195,831195,36.92,3,2,6211,10509,831195,6,13,1,2011-03-08,4,1,15,3,4,2,3,6
217,2011,31.93995,-101.420765,10330,4,8,0,15000,831195,0,831195,831195,64.232,5,8,10126,10182,87885,4,27,1,2011-05-16,3,3,4,1,6,2,3,11
219,2011,31.75392,-101.420765,10885,1,1,831195,0,0,0,NA,831195,95.636,4,2,6479,10872,0,4,14,1,2011-04-30,4,1,2,1,4,2,1,1
220,2011,31.73674,-101.420765,10800,1,2,831195,4404,0,0,791000,831195,56.668,4,2,6508,10375,0,4,14,1,2011-04-26,4,3,13,3,1,2,1,1
221,2011,31.8576,-101.420765,10295,8,16,0,24360,0,0,510500,24360,15.792,2,16,9951,10144,52500,4,4,1,2011-02-26,4,4,6,2,1,4,3,NA
222,2011,31.84445,-101.420765,10370,8,16,0,24612,0,0,520500,24612,23.312,6,16,9892,10096,29000,4,4,1,2011-06-13,1,5,6,2,1,3,3,NA
224,2011,31.70158,-101.420765,9993,7,14,0,28014,0,0,501500,28014,19.484,1,14,9737,9876,29000,6,4,1,2011-01-29,1,5,21,5,1,4,3,NA
228,2011,31.75591,-101.420765,10715,8,16,100000,33000,513000,0,831195,646000,36.824,11,16,10099,10294,51000,4,14,1,2011-11-14,3,1,1,1,1,1,3,3
229,2011,31.75941,-101.420765,10834,8,16,218000,34000,412000,0,740000,664000,41.876,11,16,10700,10719,50000,4,14,1,2011-11-13,3,1,9,2,4,1,3,3
230,2011,31.76037,-101.420765,10908,8,16,344000,37000,435000,0,831195,816000,30.524,8,16,10510,10709,50000,4,14,1,2011-08-03,3,5,15,3,4,3,3,3
231,2011,31.7623,-101.420765,10896,7,14,248000,34000,466000,0,831195,748000,27.412,8,14,10046,10301,78000,4,14,1,2011-08-03,4,5,13,3,1,3,3,3
232,2011,31.75537,-101.420765,10710,7,14,423000,34000,290000,0,831195,747000,31.096,8,14,10051,10271,75000,4,14,1,2011-08-03,4,5,13,3,1,3,3,3
234,2011,31.73636,-101.420765,10689,7,14,232000,32000,455000,0,776000,719000,30.76,7,14,10014,10315,75000,4,14,1,2011-07-09,3,1,6,2,1,3,3,3
235,2011,31.74163,-101.420765,10710,7,14,213000,32000,414000,0,738000,659000,30.044,7,14,10030,10313,75000,4,14,1,2011-07-25,4,5,6,2,1,3,3,3
236,2011,31.73728,-101.420765,10593,7,13,226000,26000,356000,0,685000,608000,30.492,10,13,10004,10297,75000,4,14,1,2011-10-20,3,1,6,2,1,1,3,3
237,2011,31.74802,-101.420765,10801,7,14,226500,32500,377000,0,733000,636000,29.132,8,14,10078,10325,75000,4,14,1,2011-08-12,4,5,6,2,1,3,3,3
239,2012,31.74285,-101.420765,10880,6,12,0,29000,500000,0,683500,529000,42.18,3,12,10072,10189,75000,4,14,1,2012-03-01,NA,NA,17,3,6,2,3,11
240,2011,31.75049,-101.420765,10676,8,16,125000,34000,331000,0,811000,490000,21.352,9,16,9596,9918,95000,4,14,1,2011-09-29,4,5,5,1,7,1,3,3
243,2011,31.75775,-101.420765,10898,8,16,225000,33000,433000,0,831195,691000,19.268,11,16,10076,10177,51000,4,14,1,2011-11-10,3,4,4,1,6,1,3,3
246,2011,31.73012,-101.420765,10818,8,16,225000,34500,416000,0,831195,675500,18.056,11,16,10148,10489,75000,4,14,1,2011-11-10,3,4,6,2,1,1,3,3
247,2011,31.84179,-101.420765,10405,3,6,0,13500,831195,0,831195,831195,36.568,5,6,8664,10041,573189,4,27,1,2011-05-10,1,3,5,1,7,2,3,11
248,2011,31.89422,-101.420765,10125,3,6,0,0,831195,0,831195,831195,25.364,6,6,8317,9815,562654,4,27,1,2011-06-09,5,5,5,1,7,3,3,6
250,2011,31.73061,-101.420765,9985,8,16,0,24066,0,0,663000,24066,28.784,9,16,9678,9816,78000,6,4,1,2011-09-16,4,5,6,2,1,1,3,NA
251,2011,31.95503,-101.420765,10654,1,2,0,14112,831195,0,831195,831195,46.584,5,2,7445,10586,831195,4,13,1,2011-05-14,4,4,13,3,1,2,3,6
252,2011,31.96223,-101.420765,10622,1,2,0,12096,831195,0,786080,831195,74.564,6,2,7588,10550,786080,4,13,1,2011-06-18,NA,NA,6,2,1,3,3,6
253,2011,31.91226,-101.420765,10275,4,8,0,16500,831195,0,831195,831195,73.544,8,8,10070,10182,119785,4,27,1,2011-08-31,4,3,17,3,6,3,3,11
254,2011,31.98098,-101.420765,10198,4,4,0,0,831195,0,831195,831195,129.9206302,7,5,6507,10022,0,4,27,1,2011-07-09,1,5,17,3,6,3,1,1
255,2011,31.98844,-101.420765,10187,4,4,0,0,831195,0,831195,831195,51.348,10,5,6314,9918,0,4,27,1,2011-10-15,1,1,17,3,6,1,1,1
256,2011,31.68682,-101.420765,10559,6,12,416000,26300,338000,0,741000,780300,16.16,7,12,10158,10305,50000,6,14,1,2011-07-03,3,5,9,2,4,3,3,3
258,2011,31.6577,-101.420765,10200,12,12,NA,NA,NA,NA,NA,NA,423.792,7,12,9804,10061,0,6,18,1,2011-07-13,3,1,14,3,3,3,3,1
