WellID,Completion.Year,Surface.Latitude,Surface.Longitude,Depth.Total.Driller..ft.,Frac.Stages,Treatment.Records,Fluid.Water..Gals.,Acid..Gals.,Gel.x.link..Gals.,Other..Gals.,Proppant...Total..lbs.,Fluid...Total..lbs.,EUR_o..Mstb.,Completion.Month,Number,Depth.Top,Depth.Base,Fluid.Amount,Propping.Agent.Amount,Subarea,Operator,County,Completion.Date,WB.Spacing.Proxy,SPBY.Spacing.Proxy,Deepest_Zone,Between_Zone,Top_Zone,Deepest_Zone2,Completion.Season,Type,Fluid.Units,Fluid.Type,Propping.Agent.Units,Propping.Agent.Type
26,2004,31.7163,-101.420765,10550,1,1,0,0,317478,0,384990,317478,38.49591628,1,1,6155,8823,317478,384990,F,ENDEAVOR ENERGY RESOURCES LIMITED PRTS,GLASSCOCK,2004-01-26,160,20,WFMP,SPBR_U --> WFMP,SPBR_U,WFMP,winter,FRAC,GAL,X-LINKGEL,LB,SAND
31,2004,31.65926,-101.420765,8560,3,6,0,5000,183918,0,472190,188918,51.73461391,11,6,6748,6928,54138,131493,E,PIONEER NATURAL RESOURCES USA INC,GLASSCOCK,2004-11-26,160,40,WFMP,SPBR_U --> WFMP,SPBR_U,WFMP,autumm,FRAC,GAL,X-LINKGEL,LB,SAND
32,2005,31.67149,-101.420765,8240,4,8,0,10500,270297,0,488570,280797,28.60094527,2,8,6386,6520,53970,133448,F,PIONEER NATURAL RESOURCES USA INC,GLASSCOCK,2005-02-02,80,20,WFMP,SPBR_U --> WFMP,SPBR_U,WFMP,winter,FRAC,GAL,X-LINKGEL,LB,SAND
33,2005,31.77613,-101.420765,10255,1,1,398454,0,0,0,521740,398454,39.1412402,5,1,5802,9299,398454,521740,D,ENDEAVOR ENERGY RESOURCES LIMITED PRTS,GLASSCOCK,2005-05-17,80,80,WFMP,CLFK --> WFMP,CLFK,WFMP,spring,FRAC,GAL,FLUD,LB,SAND
35,2006,31.65334,-101.420765,8064,2,2,383200,0,0,0,100450,383200,42.264,2,2,7641,7938,131800,49250,F,APACHE CORPORATION,GLASSCOCK,2006-02-09,40,40,WFMP,CLFK --> WFMP,CLFK,WFMP,winter,FRAC,GAL,W,LB,SAND
36,2006,31.70647,-101.420765,8243,2,2,383200,0,0,0,100450,383200,12.48,2,2,6311,7347,251400,51200,F,APACHE CORPORATION,GLASSCOCK,2006-02-24,160,40,WFMP,CLFK --> WFMP,CLFK,WFMP,winter,FRAC,GAL,W,LB,SAND
37,2006,31.71755,-101.420765,8255,2,2,497600,0,0,0,155650,497600,18.55149194,4,2,7411,8052,252900,99750,F,APACHE CORPORATION,GLASSCOCK,2006-04-19,80,40,WFMP,SPBR_U --> WFMP,SPBR_U,WFMP,spring,FRAC,GAL,W,LB,SAND
38,2006,31.70983,-101.420765,8223,2,2,497600,0,0,0,155650,497600,39.468,4,2,7356,7961,252900,99750,F,APACHE CORPORATION,GLASSCOCK,2006-04-13,80,40,WFMP,SPBR_U --> WFMP,SPBR_U,WFMP,spring,FRAC,GAL,W,LB,SAND
40,2006,31.70857,-101.420765,8205,2,2,383600,0,0,0,101720,383600,12.164,4,2,6275,7328,251600,51350,F,APACHE CORPORATION,GLASSCOCK,2006-04-22,160,80,WFMP,CLFK --> WFMP,CLFK,WFMP,spring,FRAC,GAL,W,LB,SAND
42,2006,31.69948,-101.420765,8283,2,2,374500,0,0,0,100975,374500,10.876,5,2,7453,8133,167700,58975,F,APACHE CORPORATION,GLASSCOCK,2006-05-07,160,80,WFMP,CLFK --> WFMP,CLFK,WFMP,spring,FRAC,GAL,W,LB,SAND
44,2006,31.75812,-101.420765,9843,6,12,0,15750,424784,0,523700,440534,30.20941884,10,12,8913,9151,73425,18182,D,APACHE CORPORATION,GLASSCOCK,2006-10-21,80,40,WFMP,SPBR_U --> WFMP,SPBR_U,WFMP,autumm,FRAC,GAL,GEL,LB,SAND
46,2006,31.77755,-101.420765,9882,7,14,0,17250,476075,0,553160,493325,29.40701198,9,14,9252,9538,78753,16847,C,APACHE CORPORATION,GLASSCOCK,2006-09-06,80,40,WFMP,SPBR_U --> WFMP,SPBR_U,WFMP,autumm,FRAC,GAL,GEL,LB,SAND
48,2007,31.74807,-101.420765,9775,5,9,0,9750,316903,0,702360,326653,19.20842649,2,9,6857,7025,55157,128358,D,APACHE CORPORATION,GLASSCOCK,2007-02-20,40,40,WFMP,CLFK --> WFMP,CLFK,WFMP,winter,FRAC,GAL,X-LINKGEL,LB,SAND
49,2006,31.74469,-101.420765,9806,5,9,0,9750,348769,0,505100,358519,14.8,11,9,8956,9041,66985,17637,D,APACHE CORPORATION,GLASSCOCK,2006-11-30,40,40,WFMP,CLFK --> WFMP,CLFK,WFMP,autumm,FRAC,GAL,GEL,LB,SAND
52,2006,31.72326,-101.420765,9843,6,11,0,12750,433981,0,522940,446731,23.14,12,11,6928,7096,51612,133871,D,APACHE CORPORATION,GLASSCOCK,2006-12-16,80,40,WFMP,SPBR_U --> WFMP,SPBR_U,WFMP,winter,FRAC,GAL,X-LINKGEL,LB,SAND
53,2007,31.72145,-101.420765,9844,4,8,0,10750,268997,0,207880,279747,18.328,2,8,8424,8539,58616,158996,C,APACHE CORPORATION,GLASSCOCK,2007-02-17,NA,NA,WFMP,WFMP --> WFMP,WFMP,WFMP,winter,FRAC,GAL,X-LINKGEL,LB,SAND
55,2006,31.65737,-101.420765,8177,1,1,241752,0,0,0,61500,241752,55.3862174,12,1,6272,7306,241752,61500,F,APACHE CORPORATION,GLASSCOCK,2006-12-03,80,40,WFMP,CLFK --> WFMP,CLFK,WFMP,winter,FRAC,GAL,W,LB,SAND
58,2007,31.70227,-101.420765,8851,4,4,273756,0,0,0,449160,273756,31.07150317,2,4,8400,8440,74004,108332,F,PIONEER NATURAL RESOURCES USA INC,GLASSCOCK,2007-02-28,160,20,WFMP,SPBR_U --> WFMP,SPBR_U,WFMP,winter,FRAC,GAL,FLUD,LB,SAND
59,2006,31.69705,-101.420765,8835,3,3,244692,0,0,0,350761,244692,46.04231632,8,3,8190,8230,98658,135248,F,PIONEER NATURAL RESOURCES USA INC,GLASSCOCK,2006-08-10,160,40,WFMP,SPBR_U --> WFMP,SPBR_U,WFMP,summer,FRAC,GAL,FLUD,LB,SAND
60,2007,31.73249,-101.420765,9792,6,12,0,14250,412047,0,523253,426297,13.624,1,12,6876,7027,45604,134736,D,APACHE CORPORATION,GLASSCOCK,2007-01-26,80,40,WFMP,SPBR_U --> WFMP,SPBR_U,WFMP,winter,FRAC,GAL,X-LINKGEL,LB,SAND
61,2007,31.74408,-101.420765,9850,6,12,0,14250,385924,0,535260,400174,20.67705873,1,12,6864,7032,51540,146540,D,APACHE CORPORATION,GLASSCOCK,2007-01-14,160,40,WFMP,CLFK --> WFMP,CLFK,WFMP,winter,FRAC,GAL,X-LINKGEL,LB,SAND
63,2006,31.65592,-101.420765,8103,2,2,353400,0,0,0,123000,353400,30.18,7,2,7659,7959,128000,61500,F,APACHE CORPORATION,GLASSCOCK,2006-07-12,40,40,WFMP,CLFK --> WFMP,CLFK,WFMP,summer,FRAC,GAL,W,LB,SAND
64,2007,31.72402,-101.420765,9782,5,10,0,11250,350595,0,505220,361845,12.671,3,10,6869,7022,47343,125270,D,APACHE CORPORATION,GLASSCOCK,2007-03-20,40,40,WFMP,CLFK --> WFMP,CLFK,WFMP,spring,FRAC,GAL,X-LINKGEL,LB,SAND
66,2007,31.73191,-101.420765,9496,3,7,0,12000,261394,0,267520,273394,6.904,4,7,7525,7713,140345,84000,D,PIONEER NATURAL RESOURCES USA INC,GLASSCOCK,2007-04-26,40,80,WFMP,SPBR_L --> WFMP,SPBR_L,WFMP,spring,FRAC,GAL,X-LINKGEL,LB,SAND
67,2007,31.96402,-101.420765,10840,1,1,649698,0,0,0,802700,649698,45.27229149,5,1,6862,9418,649698,802700,D,ENDEAVOR ENERGY RESOURCES LIMITED PRTS,GLASSCOCK,2007-05-04,40,80,ATOKA,SPBR_U --> ATOKA,SPBR_U,ATOKA,spring,FRAC,GAL,FLUD,LB,SAND
69,2007,31.73285,-101.420765,9487,5,10,0,13750,315647,0,225120,329397,25.31341516,4,10,7973,8104,52237,155100,D,PIONEER NATURAL RESOURCES USA INC,GLASSCOCK,2007-04-26,40,80,WFMP,WFMP --> WFMP,WFMP,WFMP,spring,FRAC,GAL,X-LINKGEL,LB,SAND
70,2007,31.97911,-101.420765,9808,5,13,0,21000,747058,0,406120,768058,42.268,8,13,8277,8348,146666,117244,D,PIONEER NATURAL RESOURCES USA INC,GLASSCOCK,2007-08-22,160,Over 160,WFMP,WFMP --> WFMP,WFMP,WFMP,summer,FRAC,GAL,GEL,LB,SAND
72,2007,31.66779,-101.420765,8181,2,2,366450,0,0,0,123000,366450,15.424,1,2,7689,8011,124698,61500,F,APACHE CORPORATION,GLASSCOCK,2007-01-11,160,80,WFMP,CLFK --> WFMP,CLFK,WFMP,winter,FRAC,GAL,FLUD,LB,SAND
73,2007,31.77384,-101.420765,8492,2,2,365484,0,0,0,123000,365484,34.88893209,2,2,8193,8413,123732,61500,D,APACHE CORPORATION,GLASSCOCK,2007-02-08,Over 160,40,WFMP,CLFK --> WFMP,CLFK,WFMP,winter,FRAC,GAL,FLUD,LB,SAND
74,2007,31.74921,-101.420765,8750,4,7,0,9520,592788,0,603100,602308,20.11541731,6,7,8142,8438,89690,141700,D,ENERGEN RESOURCES CORPORATION,GLASSCOCK,2007-06-22,40,160,WFMP,SPBR_U --> WFMP,SPBR_U,WFMP,summer,FRAC,GAL,GEL,LB,SAND
76,2007,31.74169,-101.420765,8547,4,4,0,0,633108,0,584800,633108,20.072,7,4,6477,6775,189756,199000,D,ENERGEN RESOURCES CORPORATION,GLASSCOCK,2007-07-02,80,160,WFMP,SPBR_U --> WFMP,SPBR_U,WFMP,summer,FRAC,GAL,GEL,LB,SAND
79,2007,31.72677,-101.420765,9510,4,8,0,10750,245788,0,234101,256538,12.64935437,6,8,7943,8026,57767,165641,F,PIONEER NATURAL RESOURCES USA INC,GLASSCOCK,2007-06-01,160,40,WFMP,WFMP --> WFMP,WFMP,WFMP,summer,FRAC,GAL,X-LINKGEL,LB,SAND
82,2007,31.75205,-101.420765,8750,3,4,536943,4000,0,0,610000,540943,20.7,6,4,8288,8467,341928,4e+05,D,ENERGEN RESOURCES CORPORATION,GLASSCOCK,2007-06-24,80,160,WFMP,SPBR_U --> WFMP,SPBR_U,WFMP,summer,FRAC,GAL,FLUD,LB,SAND
86,2008,31.76536,-101.420765,9894,6,12,0,14250,403229,0,600723,417479,17.63959573,3,12,6911,7065,47393,138461,D,APACHE CORPORATION,GLASSCOCK,2008-03-29,80,40,WFMP,CLFK --> WFMP,CLFK,WFMP,spring,FRAC,GAL,X-LINKGEL,LB,SAND
87,2007,31.71962,-101.420765,9840,5,10,0,8250,486631,0,591188,494881,28.09232775,9,10,6990,7058,46429,182011,C,APACHE CORPORATION,GLASSCOCK,2007-09-01,80,40,WFMP,SPBR_U --> WFMP,SPBR_U,WFMP,autumm,FRAC,GAL,X-LINKGEL,LB,SAND
89,2008,31.65722,-101.420765,8252,2,2,258392,0,0,0,466275,258392,22.11157295,4,2,7672,8113,174688,214875,F,APACHE CORPORATION,GLASSCOCK,2008-04-22,80,80,WFMP,SPBR_U --> WFMP,SPBR_U,WFMP,spring,FRAC,GAL,W,LB,SAND
90,2007,31.72807,-101.420765,9900,5,10,0,16500,451507,0,561280,468007,10.56,11,10,6900,7048,72210,183837,D,APACHE CORPORATION,GLASSCOCK,2007-11-20,80,40,WFMP,CLFK --> WFMP,CLFK,WFMP,autumm,FRAC,GAL,X-LINKGEL,LB,SAND
91,2007,31.85385,-101.420765,10499,1,1,616476,0,0,0,799820,616476,40.092,11,1,6606,10318,616476,799820,D,ENDEAVOR ENERGY RESOURCES LIMITED PRTS,GLASSCOCK,2007-11-29,160,Over 160,ATOKA,CLFK --> ATOKA,CLFK,ATOKA,autumm,FRAC,GAL,FLUD,LB,SAND
93,2008,31.72585,-101.420765,9886,6,12,0,14250,369411,0,474363,383661,8.086191594,5,12,6982,7125,52601,140817,C,APACHE CORPORATION,GLASSCOCK,2008-05-02,80,40,WFMP,SPBR_U --> WFMP,SPBR_U,WFMP,spring,FRAC,GAL,X-LINKGEL,LB,SAND
94,2008,31.71945,-101.420765,9878,6,12,0,14250,384132,0,522900,398382,8.808,4,12,6920,7073,48792,140167,D,APACHE CORPORATION,GLASSCOCK,2008-04-09,80,40,WFMP,SPBR_U --> WFMP,SPBR_U,WFMP,spring,FRAC,GAL,X-LINKGEL,LB,SAND
95,2008,31.76379,-101.420765,9880,6,12,0,17000,484369,0,539400,501369,24.40562809,4,12,6934,7086,44767,130834,C,APACHE CORPORATION,GLASSCOCK,2008-04-24,40,40,WFMP,CLFK --> WFMP,CLFK,WFMP,spring,FRAC,GAL,X-LINKGEL,LB,SAND
96,2008,31.76703,-101.420765,9876,6,12,0,15100,468244,0,545820,483344,42.25256061,5,12,6931,7082,53706,133719,C,APACHE CORPORATION,GLASSCOCK,2008-05-14,40,40,WFMP,CLFK --> WFMP,CLFK,WFMP,spring,FRAC,GAL,X-LINKGEL,LB,SAND
97,2008,31.97212,-101.420765,9983,7,14,0,19000,552036,0,552180,571036,21.94799122,6,14,6427,6480,46609,130467,D,PIONEER NATURAL RESOURCES USA INC,GLASSCOCK,2008-06-27,40,Over 160,WFMP,CLFK --> WFMP,CLFK,WFMP,summer,FRAC,GAL,X-LINKGEL,LB,SAND
99,2008,31.7278,-101.420765,9878,6,12,0,14250,451957,0,638440,466207,11.934,2,12,6875,7027,48842,142580,D,APACHE CORPORATION,GLASSCOCK,2008-02-18,40,40,WFMP,SPBR_U --> WFMP,SPBR_U,WFMP,winter,FRAC,GAL,X-LINKGEL,LB,SAND
102,2007,31.96851,-101.420765,10660,1,1,15848,0,0,0,831195,15848,49.36,11,1,6875,10087,15848,831195,D,ENDEAVOR ENERGY RESOURCES LIMITED PRTS,GLASSCOCK,2007-11-03,80,80,WFMP,SPBR_U --> WFMP,SPBR_U,WFMP,autumm,FRAC,GAL,W,LB,SAND
103,2008,31.71347,-101.420765,9598,6,12,0,17250,357076,0,526821,374326,25.04,1,12,6451,6460,46629,136241,F,PIONEER NATURAL RESOURCES USA INC,GLASSCOCK,2008-01-11,160,40,WFMP,SPBR_U --> WFMP,SPBR_U,WFMP,winter,FRAC,GAL,X-LINKGEL,LB,SAND
105,2008,31.81536,-101.420765,8704,3,6,0,5250,172916,0,470520,178166,48.844,2,6,6914,7071,47820,135304,D,PIONEER NATURAL RESOURCES USA INC,GLASSCOCK,2008-02-22,Over 160,20,WFMP,SPBR_U --> WFMP,SPBR_U,WFMP,winter,FRAC,GAL,X-LINKGEL,LB,SAND
106,2008,31.79785,-101.420765,10255,4,8,0,7500,221728,0,222173,229228,25.376,3,8,6525,6595,49643,137039,D,PIONEER NATURAL RESOURCES USA INC,GLASSCOCK,2008-03-02,40,80,WFMP,CLFK --> WFMP,CLFK,WFMP,spring,FRAC,GAL,X-LINKGEL,LB,SAND
107,2008,31.79072,-101.420765,10176,6,12,0,13500,431728,0,514420,445228,24.14,3,12,6523,6552,53621,137543,D,PIONEER NATURAL RESOURCES USA INC,GLASSCOCK,2008-03-14,160,40,WFMP,CLFK --> WFMP,CLFK,WFMP,spring,FRAC,GAL,X-LINKGEL,LB,SAND
112,2008,31.68924,-101.420765,8362,4,8,0,6000,211068,0,606324,217068,32.076,4,8,6540,6680,44167,139450,F,PIONEER NATURAL RESOURCES USA INC,GLASSCOCK,2008-04-06,160,40,SPBR_L,SPBR_U --> SPBR_L,SPBR_U,SPBR_L,spring,FRAC,GAL,X-LINKGEL,LB,SAND
113,2008,31.68763,-101.420765,8338,4,8,0,6000,217988,0,580155,223988,22.828,4,8,6506,6622,51788,140070,F,PIONEER NATURAL RESOURCES USA INC,GLASSCOCK,2008-04-27,80,40,SPBR_L,SPBR_U --> SPBR_L,SPBR_U,SPBR_L,spring,FRAC,GAL,X-LINKGEL,LB,SAND
114,2008,31.69162,-101.420765,8295,4,8,0,6000,232412,0,579200,238412,15.55114674,5,8,6481,6601,54204,135287,F,PIONEER NATURAL RESOURCES USA INC,GLASSCOCK,2008-05-02,80,40,SPBR_L,CLFK --> SPBR_L,CLFK,SPBR_L,spring,FRAC,GAL,X-LINKGEL,LB,SAND
115,2008,31.72171,-101.420765,9882,7,14,0,12000,547628,0,602280,559628,11.188,11,14,7082,7174,42873,130934,C,APACHE CORPORATION,GLASSCOCK,2008-11-22,80,40,WFMP,SPBR_U --> WFMP,SPBR_U,WFMP,autumm,FRAC,GAL,X-LINKGEL,LB,SAND
116,2008,31.71538,-101.420765,9876,7,14,0,20000,676928,0,648070,696928,25.4251233,11,14,6990,7060,52794,134130,C,APACHE CORPORATION,GLASSCOCK,2008-11-24,80,40,WFMP,SPBR_U --> WFMP,SPBR_U,WFMP,autumm,FRAC,GAL,X-LINKGEL,LB,SAND
118,2008,31.71336,-101.420765,9886,7,14,0,19000,570219,0,621902,589219,16.768,11,14,6997,7068,48079,141147,C,APACHE CORPORATION,GLASSCOCK,2008-11-26,80,40,WFMP,SPBR_U --> WFMP,SPBR_U,WFMP,autumm,FRAC,GAL,X-LINKGEL,LB,SAND
120,2008,31.85353,-101.420765,10511,1,2,0,16128,831195,0,831195,831195,45.376,8,2,6556,10005,831195,831195,D,ENDEAVOR ENERGY RESOURCES LIMITED PRTS,GLASSCOCK,2008-08-27,40,40,ATOKA,CLFK --> ATOKA,CLFK,ATOKA,summer,FRAC,GAL,GEL,LB,SAND
121,2008,31.98413,-101.420765,9976,11,22,0,18000,679906,0,831195,697906,17.38,11,22,7267,7341,73222,177573,D,PIONEER NATURAL RESOURCES USA INC,GLASSCOCK,2008-11-10,80,Over 160,WFMP,SPBR_L --> WFMP,SPBR_L,WFMP,autumm,FRAC,GAL,X-LINKGEL,LB,SAND
124,2009,31.99172,-101.420765,10030,6,12,0,10500,563526,0,224088,574026,14.11666124,5,12,7818,7828,27231,16598,D,PIONEER NATURAL RESOURCES USA INC,GLASSCOCK,2009-05-26,160,Over 160,WFMP,WFMP --> WFMP,WFMP,WFMP,spring,FRAC,GAL,X-LINKGEL,LB,SAND
125,2009,31.97545,-101.420765,9996,6,12,0,14000,831195,0,449794,831195,55.764,1,12,8006,8030,195873,136963,D,PIONEER NATURAL RESOURCES USA INC,GLASSCOCK,2009-01-15,40,Over 160,WFMP,WFMP --> WFMP,WFMP,WFMP,winter,FRAC,GAL,X-LINKGEL,LB,SAND
129,2008,31.70944,-101.420765,10200,5,10,0,12080,474075,0,318295,486155,28.724,12,10,9742,9942,84620,40104,F,ATHLON FE OPERATING LLC,GLASSCOCK,2008-12-11,160,Over 160,ATOKA,WFMP --> ATOKA,WFMP,ATOKA,winter,FRAC,GAL,X-LINKGEL,LB,SAND
131,2008,31.76686,-101.420765,10568,7,14,0,12000,755718,0,672071,767718,19.24918288,11,14,6463,6493,57414,122013,D,PIONEER NATURAL RESOURCES USA INC,GLASSCOCK,2008-11-27,40,80,WFMP,SPBR_U --> WFMP,SPBR_U,WFMP,autumm,FRAC,GAL,X-LINKGEL,LB,SAND
132,2008,31.77082,-101.420765,10404,4,9,0,12500,460671,0,257881,473171,62.13588059,11,9,8442,8456,51236,41265,D,PIONEER NATURAL RESOURCES USA INC,GLASSCOCK,2008-11-27,40,160,ATOKA,WFMP --> ATOKA,WFMP,ATOKA,autumm,FRAC,GAL,X-LINKGEL,LB,SAND
135,2008,31.76303,-101.420765,10430,6,12,0,10500,624937,0,695140,635437,27.776,10,12,6423,6474,47962,134806,D,PIONEER NATURAL RESOURCES USA INC,GLASSCOCK,2008-10-09,80,Over 160,WFMP,SPBR_U --> WFMP,SPBR_U,WFMP,autumm,FRAC,GAL,X-LINKGEL,LB,SAND
136,2009,31.97958,-101.420765,10017,8,16,0,13500,831195,0,744620,831195,55.332,3,16,7684,7777,74676,180500,D,PIONEER NATURAL RESOURCES USA INC,GLASSCOCK,2009-03-19,160,Over 160,WFMP,WFMP --> WFMP,WFMP,WFMP,spring,FRAC,GAL,X-LINKGEL,LB,SAND
138,2009,31.77052,-101.420765,10488,5,13,0,141527,321339,57594,516840,520460,16.288,1,13,6473,6767,51408,131780,D,PIONEER NATURAL RESOURCES USA INC,GLASSCOCK,2009-01-25,40,40,STRAWN,SPBR_U --> STRAWN,SPBR_U,STRAWN,winter,FRAC,GAL,X-LINKGEL,LB,SAND
142,2009,31.79265,-101.420765,10161,6,12,0,10000,443297,0,554580,453297,39.94539112,5,12,6555,6560,68764,183892,D,PIONEER NATURAL RESOURCES USA INC,GLASSCOCK,2009-05-14,160,80,WFMP,SPBR_U --> WFMP,SPBR_U,WFMP,spring,FRAC,GAL,X-LINKGEL,LB,SAND
143,2009,31.76336,-101.420765,10091,6,12,0,10500,418005,0,563980,428505,55.758,2,12,6559,6564,59934,112994,D,PIONEER NATURAL RESOURCES USA INC,GLASSCOCK,2009-02-14,160,40,WFMP,SPBR_U --> WFMP,SPBR_U,WFMP,winter,FRAC,GAL,X-LINKGEL,LB,SAND
145,2009,31.76546,-101.420765,10108,6,12,0,10500,514797,0,562960,525297,30.744,1,12,6522,6668,38661,115720,D,PIONEER NATURAL RESOURCES USA INC,GLASSCOCK,2009-01-30,80,80,WFMP,SPBR_U --> WFMP,SPBR_U,WFMP,winter,FRAC,GAL,X-LINKGEL,LB,SAND
146,2010,31.98761,-101.420765,10100,7,14,0,12000,831195,0,831195,831195,63.824,8,14,6480,6698,73378,181008,D,PIONEER NATURAL RESOURCES USA INC,GLASSCOCK,2010-08-12,160,Over 160,WFMP,SPBR_U --> WFMP,SPBR_U,WFMP,summer,FRAC,GAL,X-LINKGEL,LB,SAND
147,2009,31.79046,-101.420765,10034,6,12,0,10000,487524,0,413620,497524,71.54,3,12,7609,7667,67150,157957,D,PIONEER NATURAL RESOURCES USA INC,GLASSCOCK,2009-03-14,Over 160,40,WFMP,SPBR_L --> WFMP,SPBR_L,WFMP,spring,FRAC,GAL,X-LINKGEL,LB,SAND
149,2011,31.77154,-101.420765,10040,4,8,0,0,831195,0,831195,831195,21.28,3,8,9689,9904,250962,121444,D,PIONEER NATURAL RESOURCES USA INC,GLASSCOCK,2011-03-22,40,160,WFMP,CLFK --> WFMP,CLFK,WFMP,spring,FRAC,GAL,X-LINKGEL,LB,SAND
150,2009,31.75976,-101.420765,10006,7,14,0,10000,605580,0,666840,615580,18.724,5,14,6429,6553,50568,156657,D,PIONEER NATURAL RESOURCES USA INC,GLASSCOCK,2009-05-14,80,Over 160,WFMP,SPBR_U --> WFMP,SPBR_U,WFMP,spring,FRAC,GAL,X-LINKGEL,LB,SAND
152,2009,31.89392,-101.420765,9582,6,12,0,9500,576654,0,485020,586154,36.49085403,6,12,7591,7619,62286,132735,D,PIONEER NATURAL RESOURCES USA INC,GLASSCOCK,2009-06-05,80,160,WFMP,SPBR_L --> WFMP,SPBR_L,WFMP,summer,FRAC,GAL,X-LINKGEL,LB,SAND
153,2009,31.92043,-101.420765,10300,1,2,817824,10000,0,0,831195,827824,34.6978439,10,2,7388,10146,817824,717200,D,BERRY OIL COMPANY,GLASSCOCK,2009-10-15,160,80,STRAWN,SPBR_L --> STRAWN,SPBR_L,STRAWN,autumm,FRAC,GAL,GEL,LB,SAND
154,2009,31.9457,-101.420765,10560,1,3,9828,14070,831195,0,831195,831195,69.756,11,3,6879,10450,831195,831195,D,ENDEAVOR ENERGY RESOURCES LIMITED PRTS,GLASSCOCK,2009-11-19,80,40,ATOKA,SPBR_U --> ATOKA,SPBR_U,ATOKA,autumm,FRAC,GAL,X-LINKGEL,LB,SAND
155,2010,31.71028,-101.420765,9937,1,1,831195,0,0,0,797164,831195,34.512,2,1,7154,9833,831195,797164,F,ENERGEN RESOURCES CORPORATION,GLASSCOCK,2010-02-04,160,Over 160,STRAWN,SPBR_L --> STRAWN,SPBR_L,STRAWN,winter,FRAC,GAL,W,LB,SAND
