EUR_o..Mstb.,Subarea,Operator,County,Completion.Year,Surface.Latitude,Depth.Total.Driller..ft.,WB.Spacing.Proxy,SPBY.Spacing.Proxy,Top_Zone,Deepest_Zone,Frac.Stages,Treatment.Records,Proppant...Total..lbs.,Fluid...Total..lbs.,Type,Depth.Top,Fluid.Amount,Fluid.Type,Propping.Agent.Amount,Propping.Agent.Type,Additive,Mesh.Size,BEND..KHW.
18.328,3,2,1,2007,31.72145,9844,3.5703266933,2.9538684327,5,7,4,8,207880,279747,3,8424,58616,11,158996,3,16,6,10641.31
13.684,3,2,1,2007,31.71903,9853,4,3,1,7,5,6,506200,3000,3,9556,82204.6368926667,8.8933989932,18170,3,16.2814988752,6,10620.47
55.3862174,6,2,1,2006,31.65737,8177,4,3,1,7,1,1,61500,241752,3,6272,241752,9,61500,3,17,6,10211.43
31.07150317,6,27,1,2007,31.70227,8851,1,2,3,7,4,4,449160,273756,3,8400,74004,3,108332,3,15.6551245618,5.9107481743,10412.86
46.04231632,6,27,1,2006,31.69705,8835,1,3,3,7,3,3,350761,244692,3,8190,98658,3,135248,3,16.3848465469,5.9499192289,10369.86
13.624,4,2,1,2007,31.73249,9792,4,3,3,7,6,12,523253,426297,3,6876,45604,11,134736,3,16.2110021207,6,10570.53
20.67705873,4,2,1,2007,31.74408,9850,1,3,1,7,6,12,535260,400174,3,6864,51540,11,146540,3,16,6,10541.32
30.18,6,2,1,2006,31.65592,8103,3,3,1,7,2,2,123000,353400,3,7659,128000,9,61500,3,17,6,10132.91
12.671,4,2,1,2007,31.72402,9782,3,3,1,7,5,10,505220,361845,3,6869,47343,11,125270,3,16,6,10575.36
6.904,4,27,1,2007,31.73191,9496,3,4,2,7,3,7,267520,273394,3,7525,140345,11,84000,3,14.8895330553,6,10276.44
45.27229149,4,13,1,2007,31.96402,10840,3,4,3,1,1,1,802700,649698,3,6862,649698,3,802700,3,14.6294147912,5.4516841583,10290.82
44.02376458,4,13,1,2007,31.95298,10510,4,4,3,1,4,4,799108,546126,3,6878,245067.858096458,7.6158281219,50000,3,13.6571115,1,10287.07
25.31341516,4,27,1,2007,31.73285,9487,3,4,5,7,5,10,225120,329397,3,7973,52237,11,155100,3,16,6,10264.08
42.268,4,27,1,2007,31.97911,9808,1,5,5,7,5,13,406120,768058,3,8277,146666,6,117244,3,16.1406221642,6,10145.22
15.424,6,2,1,2007,31.66779,8181,1,4,1,7,2,2,123000,366450,3,7689,124698,3,61500,3,15.8514107438,6,10164.06
34.88893209,4,2,1,2007,31.77384,8492,5,3,1,7,2,2,123000,365484,3,8193,123732,3,61500,3,15.7783972251,6,10506.85
20.11541731,4,14,1,2007,31.74921,8750,3,1,3,7,4,7,603100,602308,3,8142,89690,6,141700,3,20,6,10290.86
20.072,4,14,1,2007,31.74169,8547,4,1,3,7,4,4,584800,633108,3,6477,189756,6,199000,3,10,5,10283.24
12.64935437,6,27,1,2007,31.72677,9510,1,3,5,7,4,8,234101,256538,3,7943,57767,11,165641,3,16,6,10248.51
20.7,4,14,1,2007,31.75205,8750,4,1,3,7,3,4,610000,540943,3,8288,341928,3,400000,3,13.8216448143,6,10317.45
17.63959573,4,2,1,2008,31.76536,9894,4,3,1,7,6,12,600723,417479,3,6911,47393,11,138461,3,16.2218402495,6,10552.91
28.09232775,3,2,1,2007,31.71962,9840,4,3,3,7,5,10,591188,494881,3,6990,46429,11,182011,3,16,6,10650.8
22.11157295,6,2,1,2008,31.65722,8252,4,4,3,7,2,2,466275,258392,3,7672,174688,9,214875,3,17,6,10163.42
10.56,4,2,1,2007,31.72807,9900,4,3,1,7,5,10,561280,468007,3,6900,72210,11,183837,3,16.377573591,6,10588.7
40.092,4,13,1,2007,31.85385,10499,1,5,1,1,1,1,799820,616476,3,6606,616476,3,799820,3,11,5.4558910307,10346.13
8.086191594,3,2,1,2008,31.72585,9886,4,3,3,7,6,12,474363,383661,3,6982,52601,11,140817,3,17.2765745109,6,10626.84
8.808,4,2,1,2008,31.71945,9878,4,3,3,7,6,12,522900,398382,3,6920,48792,11,140167,3,16.7673683839,6,10588.53
24.40562809,3,2,1,2008,31.76379,9880,3,3,1,7,6,12,539400,501369,3,6934,44767,11,130834,3,16.1836836181,3,10556.48
42.25256061,3,2,1,2008,31.76703,9876,3,3,1,7,6,12,545820,483344,3,6931,53706,11,133719,3,16.0023246203,6,10542.75
21.94799122,4,27,1,2008,31.97212,9983,3,5,1,7,7,14,552180,571036,3,6427,46609,11,130467,3,16.8738515105,6,10120.27
9.735,3,2,1,2008,31.71701,9890,3.7294336432,2.929776215,3,7,6,12,474820,417946,3,6974,53626,11,133680,3,18.2732965148,6,10649.17
11.934,4,2,1,2008,31.7278,9878,3,3,3,7,6,12,638440,466207,3,6875,48842,11,142580,3,16.6820147232,6,10568.3
49.36,4,13,1,2007,31.96851,10660,4,4,3,7,1,1,902460,15848,3,6875,15848,9,902460,3,14.5066232022,5.5031363031,10282.61
25.04,6,27,1,2008,31.71347,9598,1,3,3,7,6,12,526821,374326,3,6451,46629,11,136241,3,17.4886146483,6,10282.93
48.844,4,27,1,2008,31.81536,8704,5,2,3,7,3,6,470520,178166,3,6914,47820,11,135304,3,15.2064246493,6,10468.94
25.376,4,27,1,2008,31.79785,10255,3,4,1,7,4,8,222173,229228,3,6525,49643,11,137039,3,16.9481789801,6,10334.67
24.14,4,27,1,2008,31.79072,10176,1,3,1,7,6,12,514420,445228,3,6523,53621,11,137543,3,17.8659412532,1,10339.12
66.2739258,4,4,1,2008,31.9583,10500,4,5,1,6,8,16,413900,547689,3,10024,10000,9,126947.105148869,3.1108563321,12.4470974062,6.0807112151,10162.78
32.076,6,27,1,2008,31.68924,8362,1,3,3,5,4,8,606324,217068,3,6540,44167,11,139450,3,17.9555289147,6,10357.14
22.828,6,27,1,2008,31.68763,8338,4,3,3,5,4,8,580155,223988,3,6506,51788,11,140070,3,16.9775368261,6,10339.52
15.55114674,6,27,1,2008,31.69162,8295,4,3,1,5,4,8,579200,238412,3,6481,54204,11,135287,3,17.3614419923,6,10328.66
11.188,3,2,1,2008,31.72171,9882,4,3,3,7,7,14,602280,559628,3,7082,42873,11,130934,3,20,6,10639.7
25.4251233,3,2,1,2008,31.71538,9876,4,3,3,7,7,14,648070,696928,3,6990,52794,11,134130,3,18.6022584496,6,10640.77
16.768,3,2,1,2008,31.71336,9886,4,3,3,7,7,14,621902,589219,3,6997,48079,11,141147,3,18.1981706356,6,10655.03
45.376,4,13,1,2008,31.85353,10511,3,3,1,1,1,2,1221471.973,1020768,3,6556,1004640,6,1090000,3,9,7.9435339766,10324.62
17.38,4,27,1,2008,31.98413,9976,4,5,2,7,11,22,1328840,697906,3,7267,73222,11,177573,3,20,6,10268.33
35.256,4,22,1,2008,31.74877,9535,4,4,5,7,4,8,402403,34146,1,9254,9030,1,0,6,11,5.865959977,10487.18
14.11666124,4,27,1,2009,31.99172,10030,1,5,5,7,6,12,224088,574026,3,7818,27231,11,16598,3,20,6,10288.6471355429
55.764,4,27,1,2009,31.97545,9996,3,5,5,7,6,12,449794,878409,3,8006,195873,11,136963,3,20,6,10103.34
28.724,6,4,1,2008,31.70944,10200,1,5,5,1,5,10,318295,486155,3,9742,84620,11,40104,3,20,6,9963.17
19.24918288,4,27,1,2008,31.76686,10568,3,4,3,7,7,14,672071,767718,3,6463,57414,11,122013,3,20,6,10283.2
62.13588059,4,27,1,2008,31.77082,10404,3,1,5,1,4,9,257881,473171,3,8442,51236,11,41265,3,20,6,10234.47
27.776,4,27,1,2008,31.76303,10430,4,5,3,7,6,12,695140,635437,3,6423,47962,11,134806,3,20,6,10228.05
55.332,4,27,1,2009,31.97958,10017,1,5,5,7,8,16,744620,992712,3,7684,74676,11,180500,3,20,6,10089.71
16.288,4,27,1,2009,31.77052,10488,3,3,3,6,5,13,516840,520460,3,6473,51408,11,131780,3,20,6,10282.27
39.94539112,4,27,1,2009,31.79265,10161,1,4,3,7,6,12,554580,453297,3,6555,68764,11,183892,3,20,6,10319.64
55.758,4,27,1,2009,31.76336,10091,1,3,3,7,6,12,563980,428505,3,6559,59934,11,112994,3,20,6,10332.99
30.744,4,27,1,2009,31.76546,10108,4,4,3,7,6,12,562960,525297,3,6522,38661,11,115720,3,20,6,10305.63
63.824,4,27,1,2010,31.98761,10100,1,5,3,7,7,14,1018714,1371338,3,6480,73378,11,181008,3,20,6,10138.24
71.54,4,27,1,2009,31.79046,10034,5,3,2,7,6,12,413620,497524,3,7609,67150,11,157957,3,20,6,10261.78
21.28,4,27,1,2011,31.77154,10040,3,1,1,7,4,8,1335256,1401510,3,9689,250962,11,121444,3,20,7.0757543968,10227.86
18.724,4,27,1,2009,31.75976,10006,4,5,3,7,7,14,666840,615580,3,6429,50568,11,156657,3,20,6,10246.88
36.49085403,4,27,1,2009,31.89392,9582,4,1,2,7,6,12,485020,586154,3,7591,62286,11,132735,3,20,6,10281.81
34.6978439,4,5,1,2009,31.92043,10300,1,4,2,6,1,2,2610608,827824,3,7388,817824,6,717200,3,9,6,10224.25
69.756,4,13,1,2009,31.9457,10560,4,3,3,1,1,3,1373343.945,1040046,3,6879,1016148,11,1226000,3,13.4861004792,7.5181976819,10302.4
34.512,6,14,1,2010,31.71028,9937,1,5,2,6,1,1,797164,799113.543295587,3,7154,595148.115696562,9,797164,3,9,7.9506424596,9966.3
26.556,4,5,1,2009,31.95289,10262,1,5,2,1,1,2,314800,735054,3,7864,722358,9,314800,3,12.4971644455,6,10231.85
25.224,4,27,1,2010,31.96948,10095,1,1,3,7,8,16,696467,891294,3,6662,56544,11,142720,3,20,6,10211.57
19.788,6,14,1,2010,31.69581,9905,3,5,2,1,1,1,609217,768857,3,7042,768857,9,609217,3,9,7.8581533171,10119.9709270421
49.828,4,27,1,2010,31.87677,10235,5,5,3,7,8,16,1124217,1427004,3,6750,60312,11,150091,3,20,1,10336.49
73.936,4,5,1,2010,31.94541,10850,4,1,5,8,1,2,886704,12492,3,9752,257567.343403686,7.0722207407,243600,3,13.1179635249,2,10231.54
47.484,4,14,1,2010,31.74359,10771,4,5,1,4,7,13,931000,769700,1,10500,28700,1,0,6,11,5.9407824627,10268.35
28.372,6,13,1,2010,31.67693,10230,4,4,5,6,1,2,1145088.027,1131564,3,7857,1119972,6,1022000,3,9,7.6620981567,10299.82
41.77,4,14,1,2010,31.75784,10901,4,5,1,4,10,20,952000,973000,3,10650,81000,6,50000,3,9,6,10273.26
36.072,4,14,1,2010,31.7382,10856,4,1,1,4,8,16,884000,778000,1,10060,21000,1,0,6,11,5.8599616994,10331.9
37.35049321,4,27,1,2010,31.86384,10752,3,4,3,7,8,16,1152937,1095929,3,6967,72408,11,204399,3,20,1,10385.17
61.80434803,6,14,1,2010,31.71895,9990,4,1,1,6,1,1,877792,1068228,3,6046,1068228,9,877792,3,9,7.506518581,10000.78
53.388,4,13,1,2011,31.844,10510,4,1,3,1,1,2,5208000,1051596,3,6602,1038996,3,4650000,3,9,8.3537213648,10330.11
35.412,4,2,1,2011,31.82076,10863,4,1,5,8,7,7,522438,686750,3,10016,43000,11,16500,3,20,5.7446340615,10020.99
53.116,4,2,1,2011,31.82961,10848,3,4,5,4,5,6,533788,617300,3,10764,14500,6,6000,3,3,5.8734781151,10072.04
84.72,4,11,1,2011,31.81269,10438,3,5,2,1,1,1,985400,951720,3,6910,951720,3,985400,3,11.5488203034,8.4728633129,10218.11
41.68,6,13,1,2010,31.6895,10613,4,5,3,4,1,2,565128.219487107,39944,3,6170,24110,6,294307.592407176,3,9,6.3948797329,10067.46
23.642,4,27,1,2011,31.87397,10306,4,4,3,7,3,6,1285422,1639377.184,3,8380,1283184,11,601501,3,20,7.9903957375,10350.67
23.042,4,27,1,2011,31.97912,10401,4,1,3,6,3,6,1353425,1533212.367,3,8225,1282260,11,849581,3,20,10,10202.48
32.96370677,4,4,1,2010,31.96115,10579,1,5,2,1,5,13,398000,25116,3,10024,173599.599846462,6.6496414347,37000,3,10.8998763809,5.4321599698,10177.38
13.372,4,4,1,2010,31.8471,10415,4,5,5,1,6,12,402000,20034,3,9934,130969.462374882,7.7857342274,25000,3,11.6952603792,5.6926659277,10140.55
58.952,6,13,1,2011,31.68072,10540,4,1,2,3,1,2,1139711.973,1144710,3,6906,1122618,6,1018000,3,9,7.0104733579,10087.36
90.188,6,19,1,2010,31.67846,10025,1,2,5,1,5,10,1266600,1948000,3,9709,306600,9,183400,3,11.9668015391,6.9924780488,9958.12
98.23186666,6,19,1,2010,31.69121,10080,4,5,5,1,6,12,1317700,2378800,3,9746,491400,8,230600,3,17,6.9930857131,9972.07
75.576,4,5,1,2011,31.95992,10992,3,5,5,3,1,2,1503684,696602,3,8350,679602,11,413100,4,20,7.0641692488,10184.87
41.86032034,4,27,1,2011,31.97697,9975,3,5,1,6,4,8,1483342,1212862,3,9849,302878,11,173526,3,9,9,10114.04
35.212,4,5,1,2011,31.96872,10523,3,4,5,6,2,4,713440,644910,3,10182,73878,3,50000,3,12.1382755938,6,10285.82
94.12444184,4,2,1,2011,31.73955,10985,4,4,1,4,7,7,993540,1134264,3,10839,40000,6,100000,3,13.7221281084,7.3118318431,10351.41
82.72679578,4,2,1,2011,31.75303,11000,1,4,3,4,7,7,1084729,1201204,3,10809,40000,6,49750,3,13.4852158964,7.0052994164,10355.62
182.758,4,27,1,2011,31.94875,10191,5,5,3,6,3,6,1175163,1115891,3,8346,836252,6,557409,3,9,7.9292260197,10149.81
9.968,6,4,1,2011,31.73672,9980,4,5,2,1,8,16,650000,22000,3,9607,324114.717407404,4.426522597,80000,3,10.2748649508,6.0401382132,9709.08
4.196,4,27,1,2011,31.97423,9903,5,5,1,6,2,4,1484532,1524504,3,7496,1228962,11,902190,3,20,7.5796153403,9972.84
36.92,6,13,1,2011,31.69479,10622,4,1,3,4,1,2,1329888.027,1118880,3,6211,1103760,6,1188000,3,9,6.7485021538,10088.07
64.232,4,27,1,2011,31.93995,10330,3,3,1,6,4,8,1333245,1346749,3,10126,118694,11,87885,3,20,8.1252066656,10276.84
95.636,4,14,1,2011,31.75392,10885,4,1,1,4,1,1,1073875.77787527,1055334,1,6479,969,1,0,6,11,7.143024298,10316.84
56.668,4,14,1,2011,31.73674,10800,4,3,3,1,1,2,791000,895854,1,6508,4404,1,0,6,11,5.9332840263,10297.5
15.792,4,4,1,2011,31.8576,10295,4,4,2,1,8,16,510500,24360,3,9951,185119.283127531,6.9705061375,52500,3,11.0461786078,5.9753030295,10140.43
23.312,4,4,1,2011,31.84445,10370,1,5,2,1,8,16,520500,24612,3,9892,265320.829330947,7.0490883716,29000,3,10.3364537542,6.4688488784,10182.19
19.484,6,4,1,2011,31.70158,9993,1,5,5,1,7,14,501500,28014,3,9737,256991.227092959,6.0964005004,29000,3,13.1283378902,5.9999999635,9911.0089180065
36.824,4,14,1,2011,31.75591,10715,3,1,1,1,8,16,846000,646000,3,10099,100000,3,51000,3,3,6,10278.08
41.876,4,14,1,2011,31.75941,10834,3,1,2,4,8,16,740000,664000,3,10700,108000,3,50000,3,4,6,10277.8
30.524,4,14,1,2011,31.76037,10908,3,5,3,4,8,16,873000,816000,3,10510,96000,3,50000,3,3,6,10281.13
27.412,4,14,1,2011,31.7623,10896,4,5,3,1,7,14,862000,748000,3,10046,118000,3,78000,3,3,6,10261.05
31.096,4,14,1,2011,31.75537,10710,4,5,3,1,7,14,843000,747000,3,10051,118000,3,75000,3,3,6,10260.7
30.76,4,14,1,2011,31.73636,10689,3,1,2,1,7,14,776000,719000,3,10014,116000,3,75000,3,3,6,10262.56
30.044,4,14,1,2011,31.74163,10710,4,5,2,1,7,14,738000,659000,3,10030,110000,3,75000,3,3,6,10233.28
30.492,4,14,1,2011,31.73728,10593,3,1,2,1,7,13,685000,608000,3,10004,123000,3,75000,3,4,6,10248.87
29.132,4,14,1,2011,31.74802,10801,4,5,2,1,7,14,733000,636000,3,10078,110000,3,75000,3,3,6,10242.7
42.18,4,14,1,2012,31.74285,10880,3.426117598,3.1996224783,3,6,6,12,683500,529000,3,10072,108000,11,75000,3,3,6,10294.78
21.352,4,14,1,2011,31.75049,10676,4,5,1,7,8,16,811000,490000,3,9596,125000,3,95000,3,4,6,10272.41
19.268,4,14,1,2011,31.75775,10898,3,4,1,6,8,16,898500,691000,3,10076,110000,3,51000,3,3,6,10308.11
18.056,4,14,1,2011,31.73012,10818,3,4,2,1,8,16,834000,675500,3,10148,110000,3,75000,3,3,6,10315.3
36.568,4,27,1,2011,31.84179,10405,1,3,1,7,3,6,1212034,1165066,3,8664,855820,11,573189,3,20,7.8604066818,10439.56
25.364,4,27,1,2011,31.89422,10125,5,5,1,7,3,6,1178247,1110038,3,8317,829533,6,562654,3,9,9,10236.2
28.784,6,4,1,2011,31.73061,9985,4,5,2,1,8,16,663000,24066,3,9678,345706.427247784,4.8793134152,78000,3,11.2095568705,5.9999999573,9735.62
46.584,4,13,1,2011,31.95503,10654,4,4,3,1,1,2,972860,993174,3,7445,979062,6,972860,3,9,6.6255235421,10323.85
74.564,4,13,1,2011,31.96223,10622,3.2987573112,3.5069216502,2,1,1,2,786080,963942,3,7588,951846,6,786080,3,9,7.3199463706,10289.12
73.544,4,27,1,2011,31.91226,10275,4,3,3,6,4,8,1494110,1360358,3,10070,175680,11,119785,3,9,9,10292.05
129.9206302,4,27,1,2011,31.98098,10198,1,5,3,6,4,4,1391744,1369538,1,6507,6120,1,0,6,11,8.235255237,10151.24
51.348,4,27,1,2011,31.98844,10187,1,1,3,6,4,4,1452522,1291704,1,6314,12922,1,0,6,11,7.4015240113,10256.3350363915
16.16,6,14,1,2011,31.68682,10559,3,5,2,4,6,12,741000,780300,3,10158,98000,3,50000,3,17,6,10165.4579166691
423.792,6,18,1,2011,31.6577,10200,3,1,3,3,12,12,853160.79940084,685708.667346307,3,9804,252978.076315051,1,0,6,11,6.561674318,10141.6111408305
152.468,6,19,1,2011,31.67198,10373,4,1,5,3,5,9,1167000,2031500,3,9816,420000,8,258000,3,17,8.3663414472,10035.5
26.888,6,4,1,2011,31.70065,10200,3,5,2,1,8,16,562000,24108,3,9714,170349.194217593,6.2337189768,10000,3,12.6772986958,5.9685815741,9964
39.84,4,27,1,2011,31.86166,10340,1,2,3,6,4,8,1380160,1252851,3,10200,182505,6,130227,3,10.9113388075,8.3494059167,10403.79
257.668,6,18,1,2011,31.66448,10346,4,1,3,4,12,12,731120.238027697,655706.817927545,3,9948,167785.191764834,1,0,6,11,6.2346451252,10227.930515679
43.24659366,4,25,1,2011,31.77637,11328,4,1,2,4,1,1,1207360,915348,3,6918,915348,3,1078000,3,11.1320382871,6.9578464867,10193.28
17.936,4,25,1,2011,31.77097,10398,1,5,2,1,1,1,1306143.945,1116402,3,7288,1116402,3,1166000,3,11.9519385603,8.5043576588,10174.17
25.468,4,25,1,2011,31.77794,10500,4,4,2,1,1,1,914711,922488,3,6990,922488,3,914711,3,11.3808177434,7.8507979024,10173.11
21.2,6,14,1,2011,31.72146,10705,1,5,2,2,7,15,840000,777700,1,10590,2200,1,0,6,11,6.0944224469,9872.73
24.084,6,14,1,2011,31.71955,10080,1,5,2,1,7,14,885000,757000,3,9496,129000,3,95000,3,3,6,9903.98
6.988,6,14,1,2011,31.72083,10057,4,5,1,7,7,14,839500,537000,3,9424,111000,3,97500,3,3,6,9963.31
23.62,6,14,1,2011,31.72947,10092,3,5,2,6,5,10,627000,529000,3,9374,129000,3,95000,3,3,6,9811.97
26.516,6,14,1,2011,31.66599,10135,1,5,3,7,7,14,851500,539500,3,9248,111000,3,97500,3,17,6,10074.6059917689
32.736,6,14,1,2011,31.65419,10093,3,5,2,7,6,12,762000,502500,3,9330,108000,3,80000,3,3,6,10016.8626578284
97.304,4,31,1,2011,31.93507,10350,4,5,5,1,2,4,689000,1428800,3,10104,252000,9,115000,3,13.3149011637,7.5496915763,10203.48
59.932,4,6,1,2011,31.81948,10798,4,2,2,3,1,1,1283520,1083306,3,7380,1083306,3,1146000,3,13.6115467956,6.3610542371,10385.88
35.636,4,6,1,2011,31.81484,10870,4,3,2,3,1,1,1261120,1001406,3,7300,1001406,3,1126000,3,11.5815697493,7.6924258905,10399.29
88.32861051,6,18,1,2011,31.65687,10144,4,4,3,1,12,12,827845.188082492,775958.120721998,3,9884,277049.260110488,1,0,6,11,6.6544862658,10042.35
10.636,6,13,1,2011,31.67115,10680,4,4,2,4,1,2,905898,1105860,3,7080,1090740,3,905898,3,10.7554570138,8.2566691805,10067.77
46.308,4,5,1,2011,31.96436,10255,3,4,5,1,1,2,253700,10381990,3,8629,382000,11,253700,3,20,9,10175.38
109.128,6,13,1,2011,31.72321,10533,3,4,2,4,1,2,866438,940044,3,7050,927948,3,866438,3,9,6.517876879,10030.15
153.18,4,5,1,2011,31.92965,10913,4,1,5,3,10,11,866588,650545,1,10584,10,1,0,6,1,5.9073146774,10204.71
29.21941362,4,27,1,2011,31.97763,10285,4,1,3,6,4,8,1525120,1306628,3,10033,162030,6,113000,3,2,6,10205.17
19.164,4,27,1,2011,31.97724,10166,4,1,3,6,4,8,2904943,1622730,3,9977,167382,6,1210000,3,20,9,10169.95
29.81065115,6,14,1,2011,31.69677,10080,3,5,2,1,7,14,785500,571500,3,9704,63500,3,50000,3,3,6,10029.5146518301
25.35257157,6,14,1,2011,31.71565,10086,4,5,2,1,7,14,827000,601000,3,9790,81000,3,50000,3,4,6,9960.49
22.844,6,14,1,2011,31.68876,10075,3,5,2,1,6,12,637000,452000,3,9506,122000,3,95000,3,3,6,10015.8733391605
74.448,4,27,1,2011,31.85591,10406,1,4,3,6,4,8,1302146,1225372,3,10242,157865,11,120132,3,3,9,10432.77
107.0470321,4,27,1,2011,31.95678,10232,3,5,3,1,3,6,1513148,1317458,3,8300,989269,11,717834,3,9,8.5744161294,10157.72
3.42574173,6,3,1,2011,31.7026,10610,4,3,3,1,1,2,125000,151200,3,6484,592813.351835135,6.9061424815,125000,3,13.8002444994,8,10278.2
124.084,4,11,1,2011,31.82485,10539,3,5,2,3,1,1,955869,1028748,3,7510,1028748,3,955869,3,13.6595722168,7.7425538485,10192.25
1.219311577,6,3,1,2011,31.69103,10795,4,4,3,8,1,1,128790,1318758,3,6440,1318758,3,128790,3,14.0366440907,6,10277.21
46.9,4,4,1,2011,31.98601,10370,1,5,2,1,8,16,612000,26040,3,9937,288423.635698017,6.3862832888,71000,3,10.4047871867,6.5255104377,10156.45
95.452,4,11,1,2011,31.81348,10505,4,5,5,3,1,1,884922,1013334,3,7978,1013334,3,884922,3,13.1582083564,8.3444179668,10147.23
41.792,6,14,1,2011,31.72296,10711,3,1,3,1,8,15,823000,667500,3,9993,123000,3,75000,3,4,6,10156.24
76.148,4,6,1,2012,31.84035,10848,3.0605627753,3.197888898,2,1,1,1,1155840,945504,3,7530,945504,3,1032000,3,13.1502385808,7.0944048132,10409.88
57.424,4,6,1,2011,31.83123,10920,3.3704768899,2.9810604708,2,1,1,1,1556800,1041852,3,7436,1041852,3,1390000,3,13.1942108173,7.886191372,10407.52
113.708,6,18,1,2011,31.65719,10277,4,5,3,3,1,1,761201.170880148,697078.744704867,3,5964,457778.643855144,1,0,6,11,6.6302055329,10217.2558229568
28.564,6,14,1,2011,31.7156,10922,4,4,3,6,7,14,752000,564500,3,9770,111000,3,81000,3,3,6,10149.22
29.872,6,14,1,2012,31.73101,10772,3.5293295375,3.9783375334,3,1,7,14,811800,589000,3,9730,135500,11,87800,3,3,6,10034.51
