Completion.Year,Surface.Latitude,Surface.Longitude,Fluid.Water..Gals.,Acid..Gals.,Other..Gals.,Proppant...Total..lbs.,Fluid...Total..lbs.,EUR_o..Mstb.,Completion.Month,Number,Depth.Top,Subarea,Operator,County,WB.Spacing.Proxy,SPBY.Spacing.Proxy,Between_Zone,Deepest_Zone,Completion.Season,Type,Fluid.Type
2006,31.65737,-101.420765,241752,0,0,61500,241752,55.3862174,12,1,6272,6,2,1,4,3,5,7,4,3,9
2007,31.70227,-101.420765,273756,0,0,449160,273756,31.07150317,2,4,8400,6,27,1,1,2,18,7,4,3,3
2006,31.69705,-101.420765,244692,0,0,350761,244692,46.04231632,8,3,8190,6,27,1,1,3,18,7,3,3,3
2007,31.73249,-101.420765,0,14250,0,523253,426297,13.624,1,12,6876,4,2,1,4,3,18,7,4,3,11
2007,31.74408,-101.420765,0,14250,0,535260,400174,20.67705873,1,12,6864,4,2,1,1,3,5,7,4,3,11
2006,31.65592,-101.420765,353400,0,0,123000,353400,30.18,7,2,7659,6,2,1,3,3,5,7,3,3,9
2007,31.72402,-101.420765,0,11250,0,505220,361845,12.671,3,10,6869,4,2,1,3,3,5,7,2,3,11
2007,31.73191,-101.420765,0,12000,0,267520,273394,6.904,4,7,7525,4,27,1,3,4,11,7,2,3,11
2007,31.96402,-101.420765,649698,0,0,802700,649698,45.27229149,5,1,6862,4,13,1,3,4,13,1,2,3,3
2007,31.95298,-101.420765,546126,0,0,799108,546126,44.02376458,5,4,6878,4,13,1,4,4,13,1,2,3,NA
2007,31.73285,-101.420765,0,13750,0,225120,329397,25.31341516,4,10,7973,4,27,1,3,4,26,7,2,3,11
2007,31.97911,-101.420765,0,21000,0,406120,768058,42.268,8,13,8277,4,27,1,1,5,26,7,3,3,6
2007,31.66779,-101.420765,366450,0,0,123000,366450,15.424,1,2,7689,6,2,1,1,4,5,7,4,3,3
2007,31.77384,-101.420765,365484,0,0,123000,365484,34.88893209,2,2,8193,4,2,1,5,3,5,7,4,3,3
2007,31.74921,-101.420765,0,9520,0,603100,602308,20.11541731,6,7,8142,4,14,1,3,1,18,7,3,3,6
2007,31.74169,-101.420765,0,0,0,584800,633108,20.072,7,4,6477,4,14,1,4,1,18,7,3,3,6
2007,31.72677,-101.420765,0,10750,0,234101,256538,12.64935437,6,8,7943,6,27,1,1,3,26,7,3,3,11
2007,31.75205,-101.420765,536943,4000,0,610000,540943,20.7,6,4,8288,4,14,1,4,1,18,7,3,3,3
2008,31.76536,-101.420765,0,14250,0,600723,417479,17.63959573,3,12,6911,4,2,1,4,3,5,7,2,3,11
2007,31.71962,-101.420765,0,8250,0,591188,494881,28.09232775,9,10,6990,3,2,1,4,3,18,7,1,3,11
2008,31.65722,-101.420765,258392,0,0,466275,258392,22.11157295,4,2,7672,6,2,1,4,4,18,7,2,3,9
2007,31.72807,-101.420765,0,16500,0,561280,468007,10.56,11,10,6900,4,2,1,4,3,5,7,1,3,11
2007,31.85385,-101.420765,616476,0,0,799820,616476,40.092,11,1,6606,4,13,1,1,5,1,1,1,3,3
2008,31.72585,-101.420765,0,14250,0,474363,383661,8.086191594,5,12,6982,3,2,1,4,3,18,7,2,3,11
2008,31.71945,-101.420765,0,14250,0,522900,398382,8.808,4,12,6920,4,2,1,4,3,18,7,2,3,11
2008,31.76379,-101.420765,0,17000,0,539400,501369,24.40562809,4,12,6934,3,2,1,3,3,5,7,2,3,11
2008,31.76703,-101.420765,0,15100,0,545820,483344,42.25256061,5,12,6931,3,2,1,3,3,5,7,2,3,11
2008,31.97212,-101.420765,0,19000,0,552180,571036,21.94799122,6,14,6427,4,27,1,3,5,5,7,3,3,11
2008,31.71701,-101.420765,0,14250,0,474820,417946,9.735,3,12,6974,3,2,1,NA,NA,18,7,2,3,11
2008,31.7278,-101.420765,0,14250,0,638440,466207,11.934,2,12,6875,4,2,1,3,3,18,7,4,3,11
2007,31.96851,-101.420765,15848,0,0,831195,15848,49.36,11,1,6875,4,13,1,4,4,18,7,1,3,9
2008,31.71347,-101.420765,0,17250,0,526821,374326,25.04,1,12,6451,6,27,1,1,3,18,7,4,3,11
2008,31.81536,-101.420765,0,5250,0,470520,178166,48.844,2,6,6914,4,27,1,5,2,18,7,4,3,11
2008,31.79785,-101.420765,0,7500,0,222173,229228,25.376,3,8,6525,4,27,1,3,4,5,7,2,3,11
2008,31.79072,-101.420765,0,13500,0,514420,445228,24.14,3,12,6523,4,27,1,1,3,5,7,2,3,11
2008,31.9583,-101.420765,10000,29000,0,413900,547689,66.2739258,3,16,10024,4,4,1,4,5,4,6,2,3,9
2008,31.68924,-101.420765,0,6000,0,606324,217068,32.076,4,8,6540,6,27,1,1,3,16,5,2,3,11
2008,31.68763,-101.420765,0,6000,0,580155,223988,22.828,4,8,6506,6,27,1,4,3,16,5,2,3,11
2008,31.69162,-101.420765,0,6000,0,579200,238412,15.55114674,5,8,6481,6,27,1,4,3,3,5,2,3,11
2008,31.72171,-101.420765,0,12000,0,602280,559628,11.188,11,14,7082,3,2,1,4,3,18,7,1,3,11
2008,31.71538,-101.420765,0,20000,0,648070,696928,25.4251233,11,14,6990,3,2,1,4,3,18,7,1,3,11
2008,31.71336,-101.420765,0,19000,0,621902,589219,16.768,11,14,6997,3,2,1,4,3,18,7,1,3,11
2008,31.85353,-101.420765,0,16128,0,831195,831195,45.376,8,2,6556,4,13,1,3,3,1,1,3,3,6
2008,31.98413,-101.420765,0,18000,0,831195,697906,17.38,11,22,7267,4,27,1,4,5,11,7,1,3,11
2008,31.74877,-101.420765,0,34146,0,402403,34146,35.256,6,8,9254,4,22,1,4,4,26,7,3,1,1
2009,31.99172,-101.420765,0,10500,0,224088,574026,14.11666124,5,12,7818,4,27,1,1,5,26,7,2,3,11
2009,31.97545,-101.420765,0,14000,0,449794,831195,55.764,1,12,8006,4,27,1,3,5,26,7,4,3,11
2008,31.70944,-101.420765,0,12080,0,318295,486155,28.724,12,10,9742,6,4,1,1,5,21,1,4,3,11
2008,31.76686,-101.420765,0,12000,0,672071,767718,19.24918288,11,14,6463,4,27,1,3,4,18,7,1,3,11
2008,31.77082,-101.420765,0,12500,0,257881,473171,62.13588059,11,9,8442,4,27,1,3,1,21,1,1,3,11
2008,31.75941,-101.420765,NA,NA,NA,NA,NA,68.40805807,10,1,7450,4,22,1,5,3,11,7,1,4,NA
2008,31.76303,-101.420765,0,10500,0,695140,635437,27.776,10,12,6423,4,27,1,4,5,18,7,1,3,11
2009,31.97958,-101.420765,0,13500,0,744620,831195,55.332,3,16,7684,4,27,1,1,5,26,7,2,3,11
2009,31.77052,-101.420765,0,141527,57594,516840,520460,16.288,1,13,6473,4,27,1,3,3,17,6,4,3,11
2009,31.79265,-101.420765,0,10000,0,554580,453297,39.94539112,5,12,6555,4,27,1,1,4,18,7,2,3,11
2009,31.76336,-101.420765,0,10500,0,563980,428505,55.758,2,12,6559,4,27,1,1,3,18,7,4,3,11
2009,31.76546,-101.420765,0,10500,0,562960,525297,30.744,1,12,6522,4,27,1,4,4,18,7,4,3,11
2010,31.98761,-101.420765,0,12000,0,831195,831195,63.824,8,14,6480,4,27,1,1,5,18,7,3,3,11
2009,31.79046,-101.420765,0,10000,0,413620,497524,71.54,3,12,7609,4,27,1,5,3,11,7,2,3,11
2011,31.77154,-101.420765,0,0,0,831195,831195,21.28,3,8,9689,4,27,1,3,1,5,7,2,3,11
2009,31.75976,-101.420765,0,10000,0,666840,615580,18.724,5,14,6429,4,27,1,4,5,18,7,2,3,11
2009,31.89392,-101.420765,0,9500,0,485020,586154,36.49085403,6,12,7591,4,27,1,4,1,11,7,3,3,11
2009,31.92043,-101.420765,817824,10000,0,831195,827824,34.6978439,10,2,7388,4,5,1,1,4,10,6,1,3,6
2009,31.9457,-101.420765,9828,14070,0,831195,831195,69.756,11,3,6879,4,13,1,4,3,13,1,1,3,11
2010,31.71028,-101.420765,831195,0,0,797164,831195,34.512,2,1,7154,6,14,1,1,5,10,6,4,3,9
2009,31.95289,-101.420765,722358,12696,0,314800,735054,26.556,11,2,7864,4,5,1,1,5,6,1,1,3,9
2010,31.96948,-101.420765,0,13500,0,696467,831195,25.224,6,16,6662,4,27,1,1,1,18,7,3,3,11
2010,31.69581,-101.420765,768857,0,0,609217,768857,19.788,6,1,7042,6,14,1,3,5,6,1,3,3,9
2010,31.87677,-101.420765,0,75000,0,831195,831195,49.828,10,16,6750,4,27,1,5,5,18,7,1,3,11
2010,31.94541,-101.420765,0,12492,0,831195,12492,73.936,4,2,9752,4,5,1,4,1,27,8,2,3,NA
2010,31.74359,-101.420765,0,50700,0,831195,769700,47.484,8,13,10500,4,14,1,4,5,2,4,3,1,1
2010,31.67693,-101.420765,0,11592,0,831195,831195,28.372,10,2,7857,6,13,1,4,4,25,6,1,3,6
2010,31.75784,-101.420765,0,49000,0,831195,831195,41.77,8,20,10650,4,14,1,4,5,2,4,3,3,6
2010,31.7382,-101.420765,0,55000,0,831195,778000,36.072,9,16,10060,4,14,1,4,1,2,4,1,1,1
2010,31.86384,-101.420765,0,13500,0,831195,831195,37.35049321,10,16,6967,4,27,1,3,4,18,7,1,3,11
2010,31.71895,-101.420765,831195,0,0,831195,831195,61.80434803,9,1,6046,6,14,1,4,1,4,6,1,3,9
2011,31.844,-101.420765,831195,12600,0,831195,831195,53.388,1,2,6602,4,13,1,4,1,13,1,4,3,3
2011,31.82076,-101.420765,237250,0,0,522438,686750,35.412,4,7,10016,4,2,1,4,1,27,8,2,3,11
2011,31.82961,-101.420765,0,1000,0,533788,617300,53.116,4,6,10764,4,2,1,3,4,24,4,2,3,6
2011,31.81269,-101.420765,831195,0,0,831195,831195,84.72,2,1,6910,4,11,1,3,5,6,1,4,3,3
2010,31.6895,-101.420765,0,15834,0,831195,39944,41.68,12,2,6170,6,13,1,4,5,15,4,4,3,6
2011,31.87397,-101.420765,0,16500,0,831195,831195,23.642,4,6,8380,4,27,1,4,4,18,7,2,3,11
2011,31.97912,-101.420765,0,0,0,831195,831195,23.042,5,6,8225,4,27,1,4,1,17,6,2,3,11
2010,31.96115,-101.420765,0,25116,0,398000,25116,32.96370677,11,13,10024,4,4,1,1,5,6,1,1,3,NA
2010,31.8471,-101.420765,0,20034,0,402000,20034,13.372,12,12,9934,4,4,1,4,5,21,1,4,3,NA
2011,31.68072,-101.420765,0,22092,0,831195,831195,58.952,1,2,6906,6,13,1,4,1,8,3,4,3,6
2010,31.67846,-101.420765,831195,16000,0,831195,831195,90.188,11,10,9709,6,19,1,1,2,21,1,1,3,9
2010,31.69121,-101.420765,0,22600,831195,831195,831195,98.23186666,12,12,9746,6,19,1,4,5,21,1,4,3,8
2011,31.95992,-101.420765,0,17000,0,831195,696602,75.576,1,2,8350,4,5,1,3,5,23,3,4,3,11
2011,31.97697,-101.420765,0,16500,0,831195,831195,41.86032034,12,8,9849,4,27,1,3,5,4,6,4,3,11
2011,31.96872,-101.420765,636720,8190,0,713440,644910,35.212,3,4,10182,4,5,1,3,4,25,6,2,3,3
2011,31.73955,-101.420765,0,0,0,831195,831195,94.12444184,4,7,10839,4,2,1,4,4,2,4,2,3,6
2011,31.75303,-101.420765,0,0,0,831195,831195,82.72679578,4,7,10809,4,2,1,1,4,15,4,2,3,6
2011,31.94875,-101.420765,0,13500,0,831195,831195,182.758,4,6,8346,4,27,1,5,5,17,6,2,3,6
2011,31.73672,-101.420765,0,22000,0,650000,22000,9.968,7,16,9607,6,4,1,4,5,6,1,3,3,NA
2011,31.97423,-101.420765,0,16500,0,831195,831195,4.196,5,4,7496,4,27,1,5,5,4,6,2,3,11
2011,31.69479,-101.420765,0,15120,0,831195,831195,36.92,3,2,6211,6,13,1,4,1,15,4,2,3,6
2011,31.93995,-101.420765,0,15000,0,831195,831195,64.232,5,8,10126,4,27,1,3,3,4,6,2,3,11
2011,31.75392,-101.420765,831195,0,0,NA,831195,95.636,4,2,6479,4,14,1,4,1,2,4,2,1,1
2011,31.73674,-101.420765,831195,4404,0,791000,831195,56.668,4,2,6508,4,14,1,4,3,13,1,2,1,1
2011,31.8576,-101.420765,0,24360,0,510500,24360,15.792,2,16,9951,4,4,1,4,4,6,1,4,3,NA
2011,31.84445,-101.420765,0,24612,0,520500,24612,23.312,6,16,9892,4,4,1,1,5,6,1,3,3,NA
2011,31.70158,-101.420765,0,28014,0,501500,28014,19.484,1,14,9737,6,4,1,1,5,21,1,4,3,NA
2011,31.75591,-101.420765,1e+05,33000,0,831195,646000,36.824,11,16,10099,4,14,1,3,1,1,1,1,3,3
2011,31.75941,-101.420765,218000,34000,0,740000,664000,41.876,11,16,10700,4,14,1,3,1,9,4,1,3,3
2011,31.76037,-101.420765,344000,37000,0,831195,816000,30.524,8,16,10510,4,14,1,3,5,15,4,3,3,3
2011,31.7623,-101.420765,248000,34000,0,831195,748000,27.412,8,14,10046,4,14,1,4,5,13,1,3,3,3
2011,31.75537,-101.420765,423000,34000,0,831195,747000,31.096,8,14,10051,4,14,1,4,5,13,1,3,3,3
2011,31.73636,-101.420765,232000,32000,0,776000,719000,30.76,7,14,10014,4,14,1,3,1,6,1,3,3,3
2011,31.74163,-101.420765,213000,32000,0,738000,659000,30.044,7,14,10030,4,14,1,4,5,6,1,3,3,3
2011,31.73728,-101.420765,226000,26000,0,685000,608000,30.492,10,13,10004,4,14,1,3,1,6,1,1,3,3
2011,31.74802,-101.420765,226500,32500,0,733000,636000,29.132,8,14,10078,4,14,1,4,5,6,1,3,3,3
2012,31.74285,-101.420765,0,29000,0,683500,529000,42.18,3,12,10072,4,14,1,NA,NA,17,6,2,3,11
2011,31.75049,-101.420765,125000,34000,0,811000,490000,21.352,9,16,9596,4,14,1,4,5,5,7,1,3,3
2011,31.75775,-101.420765,225000,33000,0,831195,691000,19.268,11,16,10076,4,14,1,3,4,4,6,1,3,3
2011,31.73012,-101.420765,225000,34500,0,831195,675500,18.056,11,16,10148,4,14,1,3,4,6,1,1,3,3
2011,31.84179,-101.420765,0,13500,0,831195,831195,36.568,5,6,8664,4,27,1,1,3,5,7,2,3,11
2011,31.89422,-101.420765,0,0,0,831195,831195,25.364,6,6,8317,4,27,1,5,5,5,7,3,3,6
2011,31.73061,-101.420765,0,24066,0,663000,24066,28.784,9,16,9678,6,4,1,4,5,6,1,1,3,NA
2011,31.95503,-101.420765,0,14112,0,831195,831195,46.584,5,2,7445,4,13,1,4,4,13,1,2,3,6
2011,31.96223,-101.420765,0,12096,0,786080,831195,74.564,6,2,7588,4,13,1,NA,NA,6,1,3,3,6
2011,31.91226,-101.420765,0,16500,0,831195,831195,73.544,8,8,10070,4,27,1,4,3,17,6,3,3,11
2011,31.98098,-101.420765,0,0,0,831195,831195,129.9206302,7,5,6507,4,27,1,1,5,17,6,3,1,1
2011,31.98844,-101.420765,0,0,0,831195,831195,51.348,10,5,6314,4,27,1,1,1,17,6,1,1,1
2011,31.68682,-101.420765,416000,26300,0,741000,780300,16.16,7,12,10158,6,14,1,3,5,9,4,3,3,3
2011,31.6577,-101.420765,NA,NA,NA,NA,NA,423.792,7,12,9804,6,18,1,3,1,14,3,3,3,1
2011,31.67198,-101.420765,0,15500,831195,831195,831195,152.468,5,9,9816,6,19,1,4,1,23,3,2,3,8
2011,31.70065,-101.420765,0,24108,0,562000,24108,26.888,3,16,9714,6,4,1,3,5,6,1,2,3,NA
2011,31.86166,-101.420765,0,13500,0,831195,831195,39.84,7,8,10200,4,27,1,1,2,17,6,3,3,6
2011,31.66448,-101.420765,NA,NA,NA,NA,NA,257.668,12,12,9948,6,18,1,4,1,15,4,4,3,1
2011,31.77637,-101.420765,831195,0,0,831195,831195,43.24659366,8,1,6918,4,25,1,4,1,9,4,3,3,3
2011,31.77097,-101.420765,831195,0,0,831195,831195,17.936,5,1,7288,4,25,1,1,5,6,1,2,3,3
2011,31.77794,-101.420765,831195,0,0,831195,831195,25.468,5,1,6990,4,25,1,4,4,6,1,2,3,3
2011,31.72146,-101.420765,236000,32700,0,831195,777700,21.2,6,15,10590,6,14,1,1,5,7,2,3,1,1
2011,31.71955,-101.420765,129000,32000,0,831195,757000,24.084,8,14,9496,6,14,1,1,5,6,1,3,3,3
2011,31.72083,-101.420765,111000,29000,0,831195,537000,6.988,10,14,9424,6,14,1,4,5,5,7,1,3,3
2011,31.72947,-101.420765,129000,23000,0,627000,529000,23.62,7,10,9374,6,14,1,3,5,10,6,3,3,3
2011,31.66599,-101.4159,111000,30000,0,831195,539500,26.516,8,14,9248,6,14,1,1,5,18,7,3,3,3
2011,31.65419,-101.420765,108000,26000,0,762000,502500,32.736,8,12,9330,6,14,1,3,5,11,7,3,3,3
2011,31.93507,-101.420765,831195,26000,0,689000,831195,97.304,11,4,10104,4,31,1,4,5,21,1,1,3,9
2011,31.81948,-101.420765,831195,0,0,831195,831195,59.932,6,1,7380,4,6,1,4,2,8,3,3,3,3
2011,31.81484,-101.420765,831195,0,0,831195,831195,35.636,7,1,7300,4,6,1,4,3,8,3,3,3,3
2011,31.65687,-101.420765,NA,NA,NA,NA,NA,88.32861051,6,12,9884,6,18,1,4,4,13,1,3,3,1
2011,31.67115,-101.420765,831195,15120,0,831195,831195,10.636,6,2,7080,6,13,1,4,4,9,4,3,3,3
2011,31.96436,-101.420765,0,831195,0,253700,831195,46.308,9,2,8629,4,5,1,3,4,21,1,1,3,11
2011,31.72321,-101.420765,831195,12096,0,831195,831195,109.128,8,2,7050,6,13,1,3,4,9,4,3,3,3
2011,31.92965,-101.420765,0,10,0,831195,650545,153.18,9,11,10584,4,5,1,4,1,23,3,1,1,1
2011,31.97763,-101.420765,0,16500,0,831195,831195,29.21941362,10,8,10033,4,27,1,4,1,17,6,1,3,6
2011,31.97724,-101.420765,0,18000,0,831195,831195,19.164,8,8,9977,4,27,1,4,1,17,6,3,3,6
2011,31.69677,-101.420765,174500,32000,0,785500,571500,29.81065115,9,14,9704,6,14,1,3,5,6,1,1,3,3
2011,31.71565,-101.420765,219000,32000,0,827000,601000,25.35257157,8,14,9790,6,14,1,4,5,6,1,3,3,3
2011,31.68876,-101.420765,122000,27000,0,637000,452000,22.844,9,12,9506,6,14,1,3,5,6,1,1,3,3
2011,31.85591,-101.420765,0,15000,0,831195,831195,74.448,10,8,10242,4,27,1,1,4,17,6,1,3,11
2011,31.95678,-101.420765,0,16500,0,831195,831195,107.0470321,10,6,8300,4,27,1,3,5,13,1,1,3,11
2011,31.7026,-101.420765,0,151200,0,125000,151200,3.42574173,10,2,6484,6,3,1,4,3,13,1,1,3,NA
2011,31.82485,-101.420765,831195,0,0,831195,831195,124.084,7,1,7510,4,11,1,3,5,8,3,3,3,3
2011,31.69103,-101.420765,831195,0,0,128790,831195,1.219311577,9,1,6440,6,3,1,4,4,19,8,1,3,3
2011,31.98601,-101.420765,0,26040,0,612000,26040,46.9,8,16,9937,4,4,1,1,5,6,1,3,3,NA
2011,31.81348,-101.420765,831195,0,0,831195,831195,95.452,8,1,7978,4,11,1,4,5,23,3,3,3,3
2011,31.72296,-101.420765,226000,29000,0,823000,667500,41.792,9,15,9993,6,14,1,3,1,13,1,1,3,3
2012,31.84035,-101.420765,831195,0,0,831195,831195,76.148,10,1,7530,4,6,1,NA,NA,6,1,1,3,3
2011,31.83123,-101.420765,831195,0,0,831195,831195,57.424,8,1,7436,4,6,1,NA,NA,6,1,3,3,3
2011,31.65719,-101.420765,NA,NA,NA,NA,NA,113.708,12,1,5964,6,18,1,4,5,14,3,4,3,1
2011,31.7156,-101.420765,111000,28000,0,752000,564500,28.564,11,14,9770,6,14,1,4,4,17,6,1,3,3
2012,31.73101,-101.420765,0,30000,0,811800,589000,29.872,2,14,9730,6,14,1,NA,NA,13,1,4,3,11
2011,31.72394,-101.420765,552000,29000,0,789000,581000,29.108,10,14,9634,6,14,1,5,5,17,6,1,3,3
2011,31.72073,-101.420765,111000,29000,0,795000,542000,12.116,11,14,9660,6,14,1,4,1,17,6,1,3,3
2011,31.83431,-101.420765,206500,0,0,484688,656000,49.16,7,7,10139,4,2,1,4,2,27,8,3,3,11
2011,31.81407,-101.420765,831195,0,0,831195,831195,35.588,7,1,7324,4,6,1,1,3,12,8,3,3,3
2011,31.67721,-101.420765,96000,29000,0,820000,552000,45.868,12,14,9578,6,14,1,3,5,6,1,4,3,3
2012,31.72177,-101.420765,0,30000,0,831195,572500,26.248,4,14,9526,6,14,1,NA,NA,17,6,2,3,11
2011,31.6918,-101.420765,111000,29000,0,831195,547000,48.432,11,14,9502,6,14,1,4,5,13,1,1,3,3
2011,31.68399,-101.41708,111000,25000,0,737500,474000,57.56,11,12,9340,6,14,1,3,5,13,1,1,3,3
2012,31.72681,-101.420765,125000,33000,0,831195,658500,25.476,2,16,9688,6,14,1,4,5,17,6,4,3,3
2011,31.66999,-101.420765,111000,29000,0,831195,557000,36.408,12,14,9414,6,14,1,4,5,13,1,4,3,3
2011,31.68065,-101.420765,111000,29000,0,831195,557000,44.064,10,14,9360,6,14,1,3,5,13,1,1,3,3
2011,31.68975,-101.420765,614000,31000,0,8e+05,645000,41.33660355,9,14,9750,6,14,1,3,5,6,1,1,3,3
2011,31.80579,-101.420765,831195,0,0,831195,831195,60.20299007,9,1,7977,4,11,1,3,5,23,3,1,3,3
2011,31.72597,-101.420765,0,20580,0,552400,20580,29.636,9,15,9556,6,4,1,3,5,13,1,1,3,NA
2011,31.86995,-101.420765,831195,16500,0,831195,831195,37.312,12,8,10200,4,27,1,3,1,13,1,4,3,3
2011,31.8012,-101.420765,0,16500,0,831195,831195,85.224,12,8,10089,4,27,1,3,3,17,6,4,3,11
2011,31.9019,-101.420765,0,0,0,831195,831195,27.888,11,5,6647,4,27,1,1,1,4,6,1,1,1
2011,31.69898,-101.420765,NA,NA,NA,140000,NA,5.964764826,8,1,6528,6,3,1,4,3,19,8,3,3,NA
2011,31.71173,-101.420765,0,1008,0,703000,1008,29.444,10,9,9584,6,4,1,4,1,13,1,1,3,NA
2011,31.88806,-101.420765,0,16500,0,831195,831195,38.444,12,8,9944,4,27,1,5,5,13,1,4,3,11
2011,31.97468,-101.420765,706782,16500,0,831195,831195,64.552,12,8,9977,4,27,1,4,5,13,1,4,3,11
2011,31.86062,-101.420765,735000,0,0,623671,735000,185.44,9,1,8600,4,6,1,3,3,21,1,1,3,3
2011,31.93998,-101.420765,0,0,0,685031,656040,44.108,9,11,10640,4,5,1,3,4,27,8,1,3,6
2011,31.97478,-101.420765,0,0,0,831195,831195,19.624,10,12,10790,4,5,1,NA,NA,24,4,1,3,6
2011,31.97805,-101.420765,0,0,0,831195,831195,15.236,12,12,10842,4,5,1,NA,NA,NA,NA,4,3,11
2011,31.95466,-101.420765,0,0,0,767118,682782,20.088,8,9,10866,4,5,1,2,3,24,4,3,3,6
2012,31.92229,-101.420765,0,12000,0,831195,831195,39.168,5,18,10498,4,5,1,NA,NA,27,8,2,3,11
2012,31.93254,-101.420765,0,13000,0,831195,831195,43.46283285,5,20,10664,4,5,1,3,4,27,8,2,3,6
2011,31.89498,-101.420765,0,15000,0,831195,831195,49.112,11,8,10146,4,27,1,1,3,13,1,1,3,11
2011,31.8478222,-101.420765,0,16500,0,831195,831195,44.632,12,8,10150,4,27,1,1,3,4,6,4,3,11
2012,31.96321,-101.420765,0,11000,831195,740000,831195,20.592,1,2,8222,4,4,1,NA,NA,21,1,4,3,8
2011,31.85151,-101.420765,0,0,0,74000,88200,11.548,11,1,7858,4,4,1,4,5,21,1,1,3,11
2011,31.72877,-101.420765,168000,0,0,NA,168000,57.912,11,1,6876,6,4,1,NA,NA,NA,NA,1,3,3
2011,31.8386,-101.420765,339700,0,0,609263,809200,26.81893188,10,8,10143,4,2,1,3,4,24,4,1,3,11
2012,31.82267,-101.420765,831195,0,0,831195,831195,24.56,3,1,7468,4,11,1,4,5,NA,NA,2,3,3
