Subarea,Operator,County,Completion.Year,Surface.Latitude,Surface.Longitude,Depth.Total.Driller..ft.,WB.Spacing.Proxy,SPBY.Spacing.Proxy,Deepest_Zone,Top_Zone,Frac.Stages,Treatment.Records,Proppant...Total..lbs.,Fluid...Total..lbs.,EUR_o..Mstb.
6,2,1,2006,31.70983,-101.54853,8223,5,4,7,3,2,2,155650,497600,39.468
6,2,1,2006,31.70857,-101.57012,8205,2,5,7,1,2,2,101720,383600,12.164
6,2,1,2006,31.69948,-101.57606,8283,2,5,7,1,2,2,100975,374500,10.876
4,2,1,2006,31.75812,-101.75965,9843,5,4,7,3,6,12,523700,440534,30.20941884
3,2,1,2006,31.76793,-101.7662,9902,4,4,7,3,5,11,507200,374212,31.73182787
3,2,1,2006,31.77755,-101.77365,9882,5,4,7,3,7,14,553160,493325,29.40701198
4,2,1,2007,31.74807,-101.72345,9775,4,4,7,1,5,9,702360,326653,19.20842649
4,2,1,2006,31.74469,-101.72234,9806,4,4,7,1,5,9,505100,358519,14.8
4,2,1,2006,31.72326,-101.74759,9843,5,4,7,3,6,11,522940,446731,23.14
3,2,1,2007,31.72145,-101.75576,9844,1,1,7,5,4,8,207880,279747,18.328
3,2,1,2007,31.71903,-101.75111,9853,5,4,7,1,5,6,506200,3000,13.684
6,2,1,2006,31.65737,-101.56293,8177,5,4,7,1,1,1,61500,241752,55.3862174
6,27,1,2007,31.70227,-101.6474,8851,2,3,7,3,4,4,449160,273756,31.07150317
6,27,1,2006,31.69705,-101.63656,8835,2,4,7,3,3,3,350761,244692,46.04231632
4,2,1,2007,31.73249,-101.74037,9792,5,4,7,3,6,12,523253,426297,13.624
4,2,1,2007,31.74408,-101.73978,9850,2,4,7,1,6,12,535260,400174,20.67705873
6,2,1,2006,31.65592,-101.53639,8103,4,4,7,1,2,2,123000,353400,30.18
4,2,1,2007,31.72402,-101.72892,9782,4,4,7,1,5,10,505220,361845,12.671
4,27,1,2007,31.73191,-101.59911,9496,4,5,7,2,3,7,267520,273394,6.904
4,13,1,2007,31.96402,-101.7528,10840,4,5,1,3,1,1,802700,649698,45.27229149
4,13,1,2007,31.95298,-101.75386,10510,5,5,1,3,4,4,799108,546126,44.02376458
4,27,1,2007,31.73285,-101.59494,9487,4,5,7,5,5,10,225120,329397,25.31341516
4,27,1,2007,31.97911,-101.6871,9808,2,6,7,5,5,13,406120,768058,42.268
6,2,1,2007,31.66779,-101.55234,8181,2,5,7,1,2,2,123000,366450,15.424
4,2,1,2007,31.77384,-101.71001,8492,6,4,7,1,2,2,123000,365484,34.88893209
4,14,1,2007,31.74921,-101.60913,8750,4,2,7,3,4,7,603100,602308,20.11541731
4,14,1,2007,31.74169,-101.6067,8547,5,2,7,3,4,4,584800,633108,20.072
6,27,1,2007,31.72677,-101.58867,9510,2,4,7,5,4,8,234101,256538,12.64935437
4,14,1,2007,31.75205,-101.6277,8750,5,2,7,3,3,4,610000,540943,20.7
4,2,1,2008,31.76536,-101.76084,9894,5,4,7,1,6,12,600723,417479,17.63959573
3,2,1,2007,31.71962,-101.76398,9840,5,4,7,3,5,10,591188,494881,28.09232775
6,2,1,2008,31.65722,-101.54181,8252,5,5,7,3,2,2,466275,258392,22.11157295
4,2,1,2007,31.72807,-101.74337,9900,5,4,7,1,5,10,561280,468007,10.56
4,13,1,2007,31.85385,-101.66055,10499,2,6,1,1,1,1,799820,616476,40.092
3,2,1,2008,31.72585,-101.75281,9886,5,4,7,3,6,12,474363,383661,8.086191594
4,2,1,2008,31.71945,-101.73191,9878,5,4,7,3,6,12,522900,398382,8.808
3,2,1,2008,31.76379,-101.76925,9880,4,4,7,1,6,12,539400,501369,24.40562809
3,2,1,2008,31.76703,-101.77028,9876,4,4,7,1,6,12,545820,483344,42.25256061
4,27,1,2008,31.97212,-101.68489,9983,4,6,7,1,7,14,552180,571036,21.94799122
3,2,1,2008,31.71701,-101.75875,9890,1,1,7,3,6,12,474820,417946,9.735
4,2,1,2008,31.7278,-101.72911,9878,4,4,7,3,6,12,638440,466207,11.934
4,13,1,2007,31.96851,-101.76248,10660,5,5,7,3,1,1,902460,15848,49.36
6,27,1,2008,31.71347,-101.59782,9598,2,4,7,3,6,12,526821,374326,25.04
4,27,1,2008,31.81536,-101.74153,8704,6,3,7,3,3,6,470520,178166,48.844
4,27,1,2008,31.79785,-101.64239,10255,4,5,7,1,4,8,222173,229228,25.376
4,27,1,2008,31.79072,-101.64008,10176,2,4,7,1,6,12,514420,445228,24.14
4,4,1,2008,31.9583,-101.69382,10500,5,6,6,1,8,16,413900,547689,66.2739258
6,27,1,2008,31.68924,-101.62125,8362,2,4,5,3,4,8,606324,217068,32.076
6,27,1,2008,31.68763,-101.61187,8338,5,4,5,3,4,8,580155,223988,22.828
6,27,1,2008,31.69162,-101.60838,8295,5,4,5,1,4,8,579200,238412,15.55114674
3,2,1,2008,31.72171,-101.77145,9882,5,4,7,3,7,14,602280,559628,11.188
3,2,1,2008,31.71538,-101.76703,9876,5,4,7,3,7,14,648070,696928,25.4251233
3,2,1,2008,31.71336,-101.77513,9886,5,4,7,3,7,14,621902,589219,16.768
4,13,1,2008,31.85353,-101.65011,10511,4,4,1,1,1,2,1221471.973,1020768,45.376
4,27,1,2008,31.98413,-101.73284,9976,5,6,7,2,11,22,1328840,697906,17.38
4,22,1,2008,31.74877,-101.68896,9535,5,5,7,5,4,8,402403,34146,35.256
4,27,1,2009,31.99172,-101.66464,10030,2,6,7,5,6,12,224088,574026,14.11666124
4,27,1,2009,31.97545,-101.66831,9996,4,6,7,5,6,12,449794,878409,55.764
6,4,1,2008,31.70944,-101.48711,10200,2,6,1,5,5,10,318295,486155,28.724
4,27,1,2008,31.76686,-101.61135,10568,4,5,7,3,7,14,672071,767718,19.24918288
4,27,1,2008,31.77082,-101.59428,10404,4,2,1,5,4,9,257881,473171,62.13588059
4,22,1,2008,31.75941,-101.72288,9500,6,4,7,2,NA,1,NA,NA,68.40805807
4,27,1,2008,31.76303,-101.59157,10430,5,6,7,3,6,12,695140,635437,27.776
4,27,1,2009,31.97958,-101.652,10017,2,6,7,5,8,16,744620,992712,55.332
4,27,1,2009,31.77052,-101.6114,10488,4,4,6,3,5,13,516840,520460,16.288
4,27,1,2009,31.79265,-101.63186,10161,2,5,7,3,6,12,554580,453297,39.94539112
4,27,1,2009,31.76336,-101.62769,10091,2,4,7,3,6,12,563980,428505,55.758
4,27,1,2009,31.76546,-101.61875,10108,5,5,7,3,6,12,562960,525297,30.744
4,27,1,2010,31.98761,-101.681,10100,2,6,7,3,7,14,1018714,1371338,63.824
4,27,1,2009,31.79046,-101.60914,10034,6,4,7,2,6,12,413620,497524,71.54
4,27,1,2011,31.77154,-101.59111,10040,4,2,7,1,4,8,1335256,1401510,21.28
4,27,1,2009,31.75976,-101.59489,10006,5,6,7,3,7,14,666840,615580,18.724
4,27,1,2009,31.89392,-101.7133,9582,5,2,7,2,6,12,485020,586154,36.49085403
4,5,1,2009,31.92043,-101.7098,10300,2,5,6,2,1,2,2610608,827824,34.6978439
4,13,1,2009,31.9457,-101.75215,10560,5,4,1,3,1,3,1373343.945,1040046,69.756
4,5,1,2009,31.95289,-101.72332,10262,2,6,1,2,1,2,314800,735054,26.556
4,27,1,2010,31.96948,-101.71061,10095,2,2,7,3,8,16,696467,891294,25.224
6,14,1,2010,31.69581,-101.44731,9905,4,6,1,2,1,1,609217,768857,19.788
4,27,1,2010,31.87677,-101.70701,10235,6,6,7,3,8,16,1124217,1427004,49.828
4,5,1,2010,31.94541,-101.73029,10850,5,2,8,5,1,2,886704,12492,73.936
4,14,1,2010,31.74359,-101.59842,10771,5,6,4,1,7,13,931000,769700,47.484
6,13,1,2010,31.67693,-101.59032,10230,5,5,6,5,1,2,1145088.027,1131564,28.372
4,14,1,2010,31.75784,-101.60308,10901,5,6,4,1,10,20,952000,973000,41.77
4,14,1,2010,31.7382,-101.61949,10856,5,2,4,1,8,16,884000,778000,36.072
4,27,1,2010,31.86384,-101.72647,10752,4,5,7,3,8,16,1152937,1095929,37.35049321
6,14,1,2010,31.71895,-101.50778,9990,5,2,6,1,1,1,877792,1068228,61.80434803
4,13,1,2011,31.844,-101.652,10510,5,2,1,3,1,2,5208000,1051596,53.388
4,2,1,2011,31.82076,-101.53848,10863,5,2,8,5,7,7,522438,686750,35.412
4,2,1,2011,31.82961,-101.55073,10848,4,5,4,5,5,6,533788,617300,53.116
4,11,1,2011,31.81269,-101.59484,10438,4,6,1,2,1,1,985400,951720,84.72
4,27,1,2011,31.87397,-101.72086,10306,5,5,7,3,3,6,1285422,1639377.184,23.642
4,27,1,2011,31.97912,-101.70475,10401,5,2,6,3,3,6,1353425,1533212.367,23.042
4,4,1,2010,31.96115,-101.68141,10579,2,6,1,2,5,13,398000,25116,32.96370677
4,4,1,2010,31.8471,-101.57354,10415,5,6,1,5,6,12,402000,20034,13.372
6,13,1,2011,31.68072,-101.52661,10540,5,2,3,2,1,2,1139711.973,1144710,58.952
6,19,1,2010,31.67846,-101.47281,10025,2,3,1,5,5,10,1266600,1948000,90.188
6,19,1,2010,31.69121,-101.4814,10080,5,6,1,5,6,12,1317700,2378800,98.23186666
4,5,1,2011,31.95992,-101.70317,10992,4,6,3,5,1,2,1503684,696602,75.576
4,27,1,2011,31.97697,-101.66415,9975,4,6,6,1,4,8,1483342,1212862,41.86032034
4,5,1,2011,31.96872,-101.7499,10523,4,5,6,5,2,4,713440,644910,35.212
4,2,1,2011,31.73955,-101.62893,10985,5,5,4,1,7,7,993540,1134264,94.12444184
4,2,1,2011,31.75303,-101.63589,11000,2,5,4,3,7,7,1084729,1201204,82.72679578
4,27,1,2011,31.94875,-101.68634,10191,6,6,6,3,3,6,1175163,1115891,182.758
6,4,1,2011,31.73672,-101.43366,9980,5,6,1,2,8,16,650000,22000,9.968
4,27,1,2011,31.97423,-101.59722,9903,6,6,6,1,2,4,1484532,1524504,4.196
6,13,1,2011,31.69479,-101.53103,10622,5,2,4,3,1,2,1329888.027,1118880,36.92
4,27,1,2011,31.93995,-101.74466,10330,4,4,6,1,4,8,1333245,1346749,64.232
4,14,1,2011,31.75392,-101.6194,10885,5,2,4,1,1,1,NA,1055334,95.636
4,14,1,2011,31.73674,-101.6095,10800,5,4,1,3,1,2,791000,895854,56.668
4,4,1,2011,31.8576,-101.57674,10295,5,5,1,2,8,16,510500,24360,15.792
4,4,1,2011,31.84445,-101.58629,10370,2,6,1,2,8,16,520500,24612,23.312
6,4,1,2011,31.70158,-101.42258,9993,2,6,1,5,7,14,501500,28014,19.484
4,14,1,2011,31.75591,-101.6113,10715,4,2,1,1,8,16,846000,646000,36.824
4,14,1,2011,31.75941,-101.61243,10834,4,2,4,2,8,16,740000,664000,41.876
4,14,1,2011,31.76037,-101.60834,10908,4,6,4,3,8,16,873000,816000,30.524
4,14,1,2011,31.7623,-101.60013,10896,5,6,1,3,7,14,862000,748000,27.412
4,14,1,2011,31.75537,-101.59803,10710,5,6,1,3,7,14,843000,747000,31.096
4,14,1,2011,31.73636,-101.59605,10689,4,2,1,2,7,14,776000,719000,30.76
4,14,1,2011,31.74163,-101.59273,10710,5,6,1,2,7,14,738000,659000,30.044
4,14,1,2011,31.73728,-101.59195,10593,4,2,1,2,7,13,685000,608000,30.492
4,14,1,2011,31.74802,-101.59546,10801,5,6,1,2,7,14,733000,636000,29.132
4,14,1,2012,31.74285,-101.61588,10880,1,1,6,3,6,12,683500,529000,42.18
4,14,1,2011,31.75049,-101.60108,10676,5,6,7,1,8,16,811000,490000,21.352
4,14,1,2011,31.75775,-101.62181,10898,4,5,6,1,8,16,898500,691000,19.268
4,14,1,2011,31.73012,-101.62132,10818,4,5,1,2,8,16,834000,675500,18.056
4,27,1,2011,31.84179,-101.69247,10405,2,4,7,1,3,6,1212034,1165066,36.568
4,27,1,2011,31.89422,-101.69491,10125,6,6,7,1,3,6,1178247,1110038,25.364
6,4,1,2011,31.73061,-101.42734,9985,5,6,1,2,8,16,663000,24066,28.784
4,13,1,2011,31.95503,-101.75882,10654,5,5,1,3,1,2,972860,993174,46.584
4,13,1,2011,31.96223,-101.76108,10622,1,1,1,2,1,2,786080,963942,74.564
4,27,1,2011,31.91226,-101.74536,10275,5,4,6,3,4,8,1494110,1360358,73.544
4,27,1,2011,31.98098,-101.67887,10198,2,6,6,3,4,4,1391744,1369538,129.9206302
4,27,1,2011,31.98844,-101.65041,10187,2,2,6,3,4,4,1452522,1291704,51.348
6,14,1,2011,31.68682,-101.45337,10559,4,6,4,2,6,12,741000,780300,16.16
6,18,1,2011,31.6577,-101.43634,10200,4,2,3,3,12,12,NA,NA,423.792
6,19,1,2011,31.67198,-101.49734,10373,5,2,3,5,5,9,1167000,2031500,152.468
6,4,1,2011,31.70065,-101.48874,10200,4,6,1,2,8,16,562000,24108,26.888
4,27,1,2011,31.86166,-101.70396,10340,2,3,6,3,4,8,1380160,1252851,39.84
6,18,1,2011,31.66448,-101.45051,10346,5,2,4,3,12,12,NA,NA,257.668
4,25,1,2011,31.77637,-101.5826,11328,5,2,4,2,1,1,1207360,915348,43.24659366
4,25,1,2011,31.77097,-101.57667,10398,2,6,1,2,1,1,1306143.945,1116402,17.936
4,25,1,2011,31.77794,-101.57806,10500,5,5,1,2,1,1,914711,922488,25.468
6,14,1,2011,31.72146,-101.46417,10705,2,6,2,2,7,15,840000,777700,21.2
6,14,1,2011,31.71955,-101.47231,10080,2,6,1,2,7,14,885000,757000,24.084
6,14,1,2011,31.72083,-101.49947,10057,5,6,7,1,7,14,839500,537000,6.988
6,14,1,2011,31.72947,-101.44898,10092,4,6,6,2,5,10,627000,529000,23.62
6,14,1,2011,31.66599,-101.4159,10135,2,6,7,3,7,14,851500,539500,26.516
6,14,1,2011,31.65419,-101.4212,10093,4,6,7,2,6,12,762000,502500,32.736
4,31,1,2011,31.93507,-101.70192,10350,5,6,1,5,2,4,689000,1428800,97.304
4,6,1,2011,31.81948,-101.66278,10798,5,3,3,2,1,1,1283520,1083306,59.932
4,6,1,2011,31.81484,-101.66631,10870,5,4,3,2,1,1,1261120,1001406,35.636
6,18,1,2011,31.65687,-101.50167,10144,5,5,1,3,12,12,NA,NA,88.32861051
6,13,1,2011,31.67115,-101.52251,10680,5,5,4,2,1,2,905898,1105860,10.636
4,5,1,2011,31.96436,-101.70016,10255,4,5,1,5,1,2,253700,10381990,46.308
6,13,1,2011,31.72321,-101.52211,10533,4,5,4,2,1,2,866438,940044,109.128
4,5,1,2011,31.92965,-101.70684,10913,5,2,3,5,10,11,866588,650545,153.18
4,27,1,2011,31.97763,-101.71255,10285,5,2,6,3,4,8,1525120,1306628,29.21941362
4,27,1,2011,31.97724,-101.69533,10166,5,2,6,3,4,8,2904943,1622730,19.164
6,14,1,2011,31.69677,-101.44318,10080,4,6,1,2,7,14,785500,571500,29.81065115
6,14,1,2011,31.71565,-101.48907,10086,5,6,1,2,7,14,827000,601000,25.35257157
6,14,1,2011,31.68876,-101.4452,10075,4,6,1,2,6,12,637000,452000,22.844
4,27,1,2011,31.85591,-101.71452,10406,2,5,6,3,4,8,1302146,1225372,74.448
4,27,1,2011,31.95678,-101.70281,10232,4,6,1,3,3,6,1513148,1317458,107.0470321
6,3,1,2011,31.7026,-101.59822,10610,5,4,1,3,1,2,125000,151200,3.42574173
4,11,1,2011,31.82485,-101.58966,10539,4,6,3,2,1,1,955869,1028748,124.084
6,3,1,2011,31.69103,-101.59466,10795,5,5,8,3,1,1,128790,1318758,1.219311577
4,4,1,2011,31.98601,-101.68949,10370,2,6,1,2,8,16,612000,26040,46.9
4,11,1,2011,31.81348,-101.57206,10505,5,6,3,5,1,1,884922,1013334,95.452
6,14,1,2011,31.72296,-101.55754,10711,4,2,1,3,8,15,823000,667500,41.792
4,6,1,2012,31.84035,-101.71894,10848,1,1,1,2,1,1,1155840,945504,76.148
4,6,1,2011,31.83123,-101.72503,10920,1,1,1,2,1,1,1556800,1041852,57.424
6,18,1,2011,31.65719,-101.43094,10277,5,6,3,3,1,1,NA,NA,113.708
6,14,1,2011,31.7156,-101.55288,10922,5,5,6,3,7,14,752000,564500,28.564
6,14,1,2012,31.73101,-101.53716,10772,1,1,1,3,7,14,811800,589000,29.872
6,14,1,2011,31.72394,-101.53538,10919,6,6,6,3,7,14,789000,581000,29.108
6,14,1,2011,31.72073,-101.53835,10464,5,2,6,3,7,14,795000,542000,12.116
4,2,1,2011,31.83431,-101.54715,10880,5,3,8,5,7,7,484688,656000,49.16
4,6,1,2011,31.81407,-101.65145,10827,2,4,8,2,1,1,999200,969192,35.588
6,14,1,2011,31.67721,-101.44663,10016,4,6,1,2,7,14,820000,552000,45.868
6,14,1,2012,31.72177,-101.49537,10087,1,1,6,3,7,14,856000,572500,26.248
6,14,1,2011,31.6918,-101.49471,9988,5,6,1,3,7,14,873500,547000,48.432
6,14,1,2011,31.68399,-101.41708,10036,4,6,1,3,6,12,737500,474000,57.56
6,14,1,2012,31.72681,-101.54065,10902,5,6,6,3,8,16,886000,658500,25.476
6,14,1,2011,31.66999,-101.44441,10067,5,6,1,3,7,14,896000,557000,36.408
6,14,1,2011,31.68065,-101.43381,10088,4,6,1,3,7,14,888000,557000,44.064
6,14,1,2011,31.68975,-101.44101,10085,4,6,1,2,7,14,800000,645000,41.33660355
4,11,1,2011,31.80579,-101.59201,10625,4,6,3,5,1,1,930100,893970,60.20299007
6,4,1,2011,31.72597,-101.44786,9990,4,6,1,3,7,15,552400,20580,29.636
4,27,1,2011,31.86995,-101.71895,10376,4,2,1,3,4,8,1414833,1469999,37.312
4,27,1,2011,31.8012,-101.64413,10287,4,4,6,3,4,8,1412896,1472640,85.224
4,27,1,2011,31.9019,-101.71142,10245,2,2,6,1,4,4,1472808,949223,27.888
6,3,1,2011,31.69898,-101.61162,10925,5,4,8,3,1,1,140000,NA,5.964764826
6,4,1,2011,31.71173,-101.44339,9989,5,2,1,3,8,9,703000,1008,29.444
4,27,1,2011,31.88806,-101.67531,10184,6,6,1,3,4,8,1398631,1280860,38.444
4,27,1,2011,31.97468,-101.69011,10201,5,6,1,3,4,8,1432848,1390904,64.552
4,6,1,2011,31.86062,-101.7288,10880,4,4,1,5,1,1,623671,735000,185.44
4,5,1,2011,31.93998,-101.74156,11400,4,5,8,5,11,11,685031,656040,44.108
4,5,1,2011,31.97478,-101.73801,11050,1,1,4,5,12,12,1061120,889938,19.624
4,5,1,2011,31.97805,-101.7447,11500,1,1,NA,NA,12,12,898544,849450,15.236
4,5,1,2011,31.95466,-101.74615,11461,3,4,4,5,9,9,767118,682782,20.088
4,5,1,2012,31.92229,-101.70388,10880,1,1,8,5,9,18,853791,889944,39.168
4,5,1,2012,31.93254,-101.7128,11320,4,5,8,5,10,20,991305,949662,43.46283285
4,27,1,2011,31.89498,-101.72244,10451,2,4,1,3,4,8,1390858,1398056,49.112
4,27,1,2011,31.8478222,-101.6853695,10344,2,4,6,1,4,8,1424293,1367077,44.632
4,4,1,2012,31.96321,-101.69098,10310,1,1,1,5,1,2,740000,1119758,20.592
4,4,1,2011,31.85151,-101.58852,10327,5,6,1,5,1,1,74000,88200,11.548
6,4,1,2011,31.72877,-101.43556,9980,1,1,NA,NA,1,1,NA,168000,57.912
4,2,1,2011,31.8386,-101.54503,10935,4,5,4,5,8,8,609263,809200,26.81893188
4,11,1,2012,31.82267,-101.5843,10567,5,6,NA,NA,1,1,935200,936726,24.56
4,11,1,2012,31.80385,-101.58227,10669,4,6,4,2,1,1,944021,1074780,218.792
6,4,1,2011,31.67558,-101.51621,10272,1,1,NA,NA,1,1,110000,NA,87.312
4,4,1,2012,31.84969,-101.57873,10430,5,6,NA,NA,1,2,960000,1163414,20.472
6,18,1,2012,31.67199,-101.46035,8738,5,6,7,2,1,1,NA,NA,61.836
4,27,1,2012,31.91239,-101.68314,10562,6,6,1,3,3,6,1348977,1219954,79.94
4,26,1,2012,31.96911,-101.67954,10251,4,6,NA,NA,1,2,2771860,656428,30.164
4,27,1,2012,31.9694,-101.69667,10229,1,1,NA,NA,4,7,1344000,1506732,32.396
4,27,1,2012,31.97211,-101.68047,10076,4,6,NA,NA,4,8,1249577,1360277,21.284
6,18,1,2012,31.66467,-101.43187,8637,4,6,7,3,1,1,NA,NA,61.80248271
6,14,1,2012,31.7182,-101.48035,10057,1,1,NA,NA,7,14,889000,592000,32.164
6,14,1,2011,31.69927,-101.44853,10064,5,6,6,3,7,14,446000,527000,15.6
6,14,1,2012,31.71186,-101.50558,10182,1,1,NA,NA,7,14,826000,552000,19.74
6,14,1,2012,31.68765,-101.41755,10015,1,1,NA,NA,7,14,910000,602000,38.58
4,27,1,2011,31.83816,-101.59794,10152,4,6,NA,NA,4,8,1451372,1519371,113.672
4,4,1,2011,31.79269,-101.56571,10039,1,1,NA,NA,1,2,79000,2016,80.704
6,14,1,2012,31.71403,-101.49735,10068,1,1,NA,NA,7,14,839000,564000,23.02
6,14,1,2012,31.68625,-101.5025,10173,4,6,NA,NA,7,14,843000,555500,84.304
6,14,1,2011,31.70137,-101.45425,10024,1,1,NA,NA,7,15,849500,563500,36.36439764
4,27,1,2012,31.92037,-101.70037,10162,1,1,NA,NA,4,8,1450084,1141207,56.136
4,2,1,2012,31.82001,-101.54341,10900,1,1,NA,NA,7,8,520188,695000,34.8
6,18,1,2012,31.65633,-101.51698,8831,6,4,7,2,1,1,NA,NA,78.092
4,2,1,2012,31.81814,-101.53517,10790,1,1,NA,NA,7,7,508694,686750,20.904
4,27,1,2012,31.97544,-101.73516,10326,1,1,NA,NA,4,8,1236550,1276470,53.216
4,27,1,2012,31.90837,-101.69998,10222,1,1,NA,NA,4,8,1454339,1366475,50.388
4,2,1,2011,31.8308,-101.54607,10885,1,1,NA,NA,7,7,520438,694000,15.464
4,27,1,2012,31.9998,-101.65399,10178,5,2,NA,NA,3,6,1375887,1236605,94.26
6,14,1,2012,31.72497,-101.46528,10120,1,1,NA,NA,7,14,827000,562500,37.772
4,27,1,2012,31.88452,-101.73701,10457,1,1,NA,NA,4,7,1426469,1433542,91.968
6,18,1,2012,31.66163,-101.4309,9895,4,6,NA,NA,1,1,NA,NA,46.25013093
6,4,1,2012,31.73041,-101.44487,9900,1,1,NA,NA,1,2,110000,1396522,29.63266871
4,2,1,2012,31.81294,-101.54123,10980,1,1,NA,NA,7,8,520437,695008,10.788
4,27,1,2012,31.98156,-101.72766,10743,5,6,3,2,5,9,1238986,1235601,17.556
6,4,1,2012,31.67782,-101.50887,10240,1,1,NA,NA,1,2,112000,1645170,44.73512294
4,11,1,2012,31.81143,-101.56201,10623,1,1,NA,NA,1,1,627400,732312,18.684
4,4,1,2012,31.80143,-101.56103,10236,1,1,NA,NA,1,2,175000,1344942,82.908
6,14,1,2012,31.67874,-101.44229,10091,4,6,1,3,7,14,940800,653000,58.692
6,14,1,2012,31.67599,-101.41896,9920,1,1,NA,NA,7,14,879800,598000,10.816
6,14,1,2012,31.72459,-101.48299,10034,1,1,NA,NA,7,14,838500,561500,24.288
6,14,1,2012,31.6878,-101.44929,10122,4,6,1,3,7,14,845000,567000,9.5
4,11,1,2012,31.81841,-101.56479,10615,2,6,NA,NA,1,1,809068,907368,27.64
6,14,1,2012,31.67853,-101.42438,10035,1,1,NA,NA,7,14,845000,578000,19.944
4,5,1,2012,31.94439,-101.73731,11420,5,3,2,5,9,19,754603,914684,20.776
6,4,1,2012,31.74152,-101.43141,9828,1,1,NA,NA,1,2,130000,1977668,31.532
4,5,1,2012,31.95066,-101.7749,11245,1,1,4,5,9,18,948376,1096176,65.64977319
6,18,1,2012,31.67496,-101.45422,9965,5,6,6,5,1,1,NA,NA,26.6
4,5,1,2012,31.94586,-101.72011,10956,1,1,4,5,10,20,1222148,1091074,45.732
4,5,1,2012,31.92375,-101.73075,11015,1,1,8,5,10,20,1089724,871380,67.44403123
4,4,1,2012,31.85376,-101.58113,10261,5,2,1,2,1,2,940000,1192478,19.408
4,11,1,2012,31.81542,-101.57769,10531,5,6,3,2,1,1,892700,861630,21.264
4,11,1,2012,31.98833,-101.67703,10540,1,1,3,2,1,1,1124480,1127196,51.748
6,18,1,2012,31.65509,-101.43738,9906,4,2,6,5,1,1,NA,NA,25.276
6,4,1,2012,31.72554,-101.43571,9915,5,6,1,2,1,1,NA,NA,3.256
4,5,1,2012,31.93689,-101.70848,10815,1,1,8,5,8,16,970699,850532,28.48
4,2,1,2012,31.8485,-101.567,10922,5,6,4,5,8,9,514927,723516,24.28251337
4,2,1,2012,31.85048,-101.56154,10928,1,1,4,5,8,8,621813,805500,39.964
4,2,1,2012,31.82608,-101.54967,10887,4,4,4,5,8,8,635152,808500,231.404
6,18,1,2012,31.66281,-101.45887,9922,2,2,6,5,1,1,NA,NA,39.552
4,19,1,2012,31.79513,-101.55325,11041,1,1,8,5,1,1,NA,NA,45.796
6,4,1,2012,31.66753,-101.49968,10256,5,6,1,2,1,1,NA,NA,25.952
4,34,1,2012,31.92888,-101.7731,10655,2,4,6,2,1,1,1818880,295008,107.336
4,25,1,2012,31.74934,-101.59212,10634,1,1,NA,NA,1,1,1429120,2213862,333.52
1,13,2,2003,31.76507,-102.01066,11000,4,2,7,1,1,1,401920,421008,68.90641599
1,12,2,2003,31.77244,-102.04362,10125,4,5,7,3,1,2,116500,303000,50.888
1,13,2,2003,31.7346,-102.0277,10500,2,5,7,3,4,7,247891,272650,38.20476317
1,13,2,2003,31.7466,-101.9916,10500,5,5,7,2,4,8,172588,293156,37.41851414
2,13,2,2003,31.71,-102.0196,10500,5,4,7,3,4,8,210542,283818,34.95435561
1,13,2,2003,31.7036,-102.1107,10515,2,4,6,3,5,9,301870,356635,26.8747488
