Subarea,Operator.Numeric,County.Numeric,Completion.Year,Surface.Latitude,Surface.Longitude,Depth.Total.Driller..ft.,Depth.Total.Log,WB.Spacing.Proxy,SPBY.Spacing.Proxy,DeepestZoneNumeric,Frac.Stages,Treatment.Records,Proppant...Total..lbs.,Propant.Total.Log,Fluid...Total..lbs.,Fluid.Total.Log,EUR_o..Mstb.
A,13,2,2003,31.76507,-102.01066,11000,9.3056505518,40,160,7,1,1,401920,12.9040083428,421008,12.9504071149,68.90641599
D,2,1,2011,31.8308,-101.54607,10885,9.2951409737,,,#VALUE!,7,7,520438,13.1624260437,694000,13.4502272395,15.464
E,27,1,2003,31.65753,-101.72135,8550,9.0536865619,160,40,7,3,6,471330,13.0633137646,190946,12.1597459445,40.2
E,27,3,2004,31.53355,-101.62035,8205,9.0124990035,80,40,7,3,6,473390,13.0676748521,200262,12.2073817882,28.67926976
A,3,2,2008,31.77224,-102.06153,10187,9.2288676766,80,40,7,8,16,538500,13.1965427756,22400,10.0168162378,45.716
A,2,2,2007,31.69502,-102.19268,10082,9.2185069346,80,40,7,7,14,539746,13.1988539375,475458,13.072033829,31.008
B,13,2,2004,31.6877,-102.0657,10520,9.2610334863,80,80,7,4,8,174296,12.0685102823,282080,12.5499459976,43.176
B,27,4,2012,31.50978,-102.02101,10907,9.2971600639,40,160,6,2,4,1113757,13.9232495428,1244056,14.0338875673,87.508
B,5,2,2011,31.6993,-101.94911,11731,9.3699901895,80,40,1,15,15,613084,13.3262572365,804672,13.59819002,0.292
B,2,4,2010,31.55987,-102.01531,10800,9.2873014131,40,40,7,3,3,NA,NA,NA,NA,66.76
B,2,4,2010,31.50843,-102.03808,10345,9.2442585902,40,160,7,3,3,459125,13.0370777831,554400,13.2256417269,64.33160572
A,13,2,2008,31.78995,-102.19231,10996,9.3052868493,80,80,6,1,1,605250,13.3133968748,615510,13.3302064714,28.148
B,10,4,2012,31.50543,-102.0815,10945,9.30063801,40,Over 160,7,1,1,792212,13.5825843117,1205526,14.0024265442,25.36517554
B,3,4,2010,31.62561,-102.072,10300,9.2398991742,160,40,7,1,2,6720000,15.7205987125,685916,13.4385104502,41.364
A,27,2,2003,31.74378,-101.97116,10520,9.2610334863,40,80,7,5,10,388286,12.8694974605,381034,12.850643889,46.92
B,13,2,2003,31.6616,-102.0168,10500,9.2591305361,40,80,7,5,10,274296,12.5219630942,330964,12.7097648871,45.17484084
F,13,3,2010,31.56234,-101.50168,9915,9.201804041,80,40,7,1,2,1144640,13.9506007351,1035888,13.8507695878,66.52
E,2,3,2003,31.48016,-101.63969,8218,9.0140821494,80,40,7,1,1,482040,13.0857823771,260484,12.4702967179,48.13532361
A,24,2,2003,31.79229,-102.02351,10900,9.2965180682,40,160,7,1,2,39200,10.5764320258,155500,11.9544010106,37.467
E,27,3,2006,31.51176,-101.73341,8491,9.046762058,160,40,5,3,6,470500,13.061551238,193178,12.1713673226,41.23692755
B,3,2,2008,31.66928,-102.09523,10055,9.2158253022,160,40,7,8,16,815400,13.6114340694,964596,13.7794646398,16.964
B,27,2,2008,31.65638,-101.97487,10513,9.2603678656,80,40,7,6,12,751509,13.5298384642,707777,13.4698843513,53.684
F,14,1,2012,31.67599,-101.41896,9920,9.2023082003,,,#VALUE!,7,14,879800,13.6874498879,598000,13.3013460329,10.816
E,2,3,2009,31.48339,-101.65834,8177,9.0090806142,20,40,5,2,2,268625,12.5010716339,297000,12.6014874178,17.03817508
D,4,1,2011,31.98601,-101.68949,10370,9.2466723012,160,Over 160,1,8,16,612000,13.3244875615,26040,10.1673890963,46.9
A,13,2,2003,31.76532,-101.99273,10520,9.2610334863,40,80,7,4,8,165500,12.0167264738,290388,12.5789732388,87.43651256
F,18,3,2010,31.56714,-101.42099,8510,9.0489972216,40,20,7,NA,1,NA,NA,NA,NA,44.716
E,27,3,2005,31.57009,-101.65913,8335,9.0282187952,160,40,5,3,6,480040,13.0816247127,190233,12.1560049156,17.988
A,10,2,2012,31.84494,-102.15148,11005,9.306104994,80,40,1,1,1,926180,13.7388238792,1445514,14.1839755256,67.568
E,27,3,2005,31.47772,-101.70042,9270,9.1345386586,40,40,7,5,11,506310,13.1349044089,359487,12.7924332942,63.044
D,5,1,2012,31.95066,-101.7749,11245,9.3276788644,,,4,9,18,948376,13.7625063271,1096176,13.9073383175,65.64977319
C,27,2,2011,31.83316,-101.97452,10860,9.2928415935,,,6,2,4,1027250,13.8423958867,1140396,13.9468861285,116.928
B,25,4,2012,31.6008,-101.97147,12152,9.4052490443,40,40,4,1,1,1263360,14.0492853963,1272138,14.0562095076,89.408
B,2,4,2010,31.55594,-101.91607,10786,9.2860042759,80,40,6,3,3,619627,13.3368729631,732000,13.5035357929,22.884
B,34,4,2011,31.55359,-102.00891,10907,9.2971600639,40,40,1,1,2,840066,13.6412357392,862680,13.6677991018,68.208
D,13,1,2007,31.96402,-101.7528,10840,9.290998275,40,80,1,1,1,802700,13.5957363241,649698,13.3842629185,45.27229149
C,27,2,2003,31.75038,-101.94247,10500,9.2591305361,80,160,7,5,10,388890,12.8710518063,361856,12.7990016216,29.12342212
A,12,2,2010,31.84541,-102.03526,10170,9.227197489,80,Sub 20,7,1,2,436450,12.9864291002,509300,13.1407925129,43.112
B,23,2,2011,31.70779,-101.93308,10873,9.294037931,40,40,7,1,2,892456,13.7017324917,638902,13.367506357,64.704
C,17,2,2004,31.89854,-101.90584,8962,9.1007486953,80,20,7,3,3,575000,13.2621253198,220000,12.3013828253,28.016
A,27,2,2006,31.87755,-102.02808,10330,9.2428075621,40,Sub 20,7,5,9,682912,13.4341212869,407413,12.9175826919,34.48
A,2,2,2008,31.79339,-102.16256,10005,9.210840247,80,40,7,5,10,564100,13.2429868197,534815,13.1896761717,37.72997991
B,27,2,2007,31.72431,-101.92502,10540,9.2629328221,40,40,7,7,13,549019,13.2158883283,457646,13.0338512385,51.112
D,27,1,2003,31.70902,-101.71715,8650,9.0653145999,40,40,7,3,8,471570,13.0638228324,200787,12.2099999237,54.56512178
B,10,4,2010,31.50249,-102.0936,10630,9.2714354713,40,Over 160,7,1,2,684500,13.4364439237,22214,10.0084779997,34.192
B,13,4,2007,31.6496,-102.0355,10599,9.268514936,80,80,7,1,1,800820,13.5933914817,1072134,13.8851616128,25.244
F,18,3,2008,31.55993,-101.42533,8720,9.0733745169,80,20,7,NA,9,NA,NA,NA,NA,44.144
B,28,4,2008,31.56122,-101.97573,10050,9.2153279135,40,80,7,5,5,221500,12.3081778685,573000,13.2586409957,58.388
A,10,2,2012,31.85546,-102.15482,11028,9.3081927721,40,80,1,1,2,843000,13.644722237,1295608,14.074490641,76.764
E,2,3,2005,31.43548,-101.65264,8239,9.0166342563,40,20,7,2,2,100450,11.5174153702,383200,12.8563123251,20.25828222
B,27,4,2008,31.49475,-101.99463,10540,9.2629328221,80,80,7,8,16,849260,13.652120661,708296,13.4706173644,46.4913173
F,18,3,2009,31.60025,-101.45459,8197,9.0115235127,80,40,7,7,7,NA,NA,NA,NA,13.256
A,14,2,2011,31.83423,-102.19834,10574,9.2661534368,80,80,7,1,1,805680,13.5994419203,1157520,13.9617903434,43.248
D,27,1,2008,31.79072,-101.64008,10176,9.2277872856,160,40,7,6,12,514420,13.1507953314,445228,13.0063417895,24.14
B,27,4,2012,31.49566,-101.98907,10983,9.3041039018,80,20,1,1,2,298750,12.6073623822,373632,12.8310266348,27.04989817
E,27,3,2003,31.54523,-101.62044,8198,9.0116455011,80,40,5,3,8,470740,13.0620612036,207337,12.2421007678,35.02434343
D,4,1,2012,31.84969,-101.57873,10430,9.252441548,80,Over 160,#VALUE!,1,2,960000,13.7746885634,1163414,13.9668693441,20.472
F,27,1,2007,31.70227,-101.6474,8851,9.088285726,160,20,7,4,4,449160,13.0151344507,273756,12.5199924777,31.07150317
A,13,2,2004,31.73909,-101.97508,11100,9.3147003873,40,Sub 20,7,1,1,349710,12.7648595186,426888,12.9642769627,39.38
C,13,2,2004,31.85985,-101.94259,11750,9.3716085196,40,20,7,1,1,434510,12.9819742384,305340,12.6291811888,67.268
C,27,2,2012,31.92695,-101.84699,10428,9.2522497751,40,40,7,3,6,1444110,14.1830037728,1392470,14.1465897066,123.4073116
F,2,3,2006,31.58415,-101.51374,8500,9.0478214425,80,40,7,2,2,151023,11.9251874221,492870,13.1080007266,30.248
D,27,1,2011,31.87397,-101.72086,10306,9.2404815289,80,80,7,3,6,1285422,14.0665976271,1639377.184,14.3098269618,23.642
F,2,1,2006,31.71755,-101.56402,8255,9.0185743564,80,40,7,2,2,155650,11.9553651759,497600,13.1175518204,18.55149194
A,13,2,2007,31.83971,-102.21262,11186,9.3224182754,80,Over 160,1,1,2,491380,13.1049730382,655116,13.3925675982,31.828
F,4,1,2011,31.70158,-101.42258,9993,9.2096401269,160,Over 160,1,7,14,501500,13.1253588864,28014,10.2404596642,19.484
D,27,1,2008,31.98413,-101.73284,9976,9.2079374874,80,Over 160,7,11,22,1328840,14.0998169392,697906,13.4558397022,17.38
B,10,4,2011,31.50493,-102.06801,10814,9.2885968699,40,160,7,1,1,698500,13.4566904577,1096074,13.9072452625,47.26
F,14,1,2011,31.72296,-101.55754,10711,9.2790265298,40,160,1,8,15,823000,13.6207114797,667500,13.4112946693,41.792
F,18,3,2008,31.57789,-101.40384,8700,9.0710783046,80,160,7,NA,7,NA,NA,NA,NA,26.296
A,13,2,2004,31.78397,-102.15479,11000,9.3056505518,160,80,7,1,1,357950,12.7881485908,457338,13.0331780026,33.5191448
E,27,3,2003,31.61864,-101.64783,8345,9.0294178361,160,40,7,3,6,472920,13.06668152,192976,12.1703211078,42.688
B,17,4,2012,31.55591,-102.12495,11318,9.3341496577,160,80,1,11,22,1164992,13.968224778,835204,13.6354312854,72.148
C,27,2,2012,31.88041,-101.9667,10810,9.2882269106,40,Sub 20,6,4,8,1506739,14.2254582708,1375652,14.1344383585,95.82
F,27,3,2009,31.56374,-101.39485,9098,9.1158098881,80,160,7,8,16,722180,13.4900296943,578138,13.2675678735,37.532
A,13,2,2003,31.8236,-102.0512,10503,9.2594162096,160,80,7,4,8,170000,12.043553716,265364,12.4888577474,23.48530212
E,27,1,2004,31.65926,-101.69933,8560,9.0548554691,160,40,7,3,6,472190,13.0651367259,188918,12.1490683375,51.73461391
B,28,4,2008,31.56216,-101.97163,10013,9.2116395277,40,40,7,3,3,356750,12.7847905353,454500,13.0269531926,36.436
E,27,3,2003,31.46127,-101.72219,9250,9.1323788305,80,20,7,3,8,471451,13.063570452,204202,12.226864979,33.312
D,2,1,2011,31.73955,-101.62893,10985,9.3042859848,80,80,4,7,7,993540,13.8090296019,1134264,13.9414945404,94.12444184
B,13,4,2010,31.50607,-102.10293,12700,9.4493572724,40,Over 160,4,1,2,572500,13.2577680144,987462,13.802893294,21.748
C,27,2,2005,31.78865,-101.82521,8850,9.088172738,80,20,7,2,4,370720,12.8232023397,154462,11.9477033904,31.136
F,2,3,2006,31.6287,-101.54973,8072,8.996156562,40,80,7,2,2,124500,11.7320609949,387700,12.8679871237,26.04
C,27,2,2007,31.83189,-101.96414,10243,9.2343498244,40,160,7,6,12,404060,12.9093186608,424314,12.9582290262,65.584
C,27,2,2005,31.81198,-101.85492,8814,9.0840966454,Over 160,20,7,2,4,336760,12.7271257895,137741,11.8331303891,33.076
C,27,2,2012,31.92667,-101.89737,10429,9.2523456661,80,80,7,3,6,1299161,14.0772292295,1101776,13.9124339812,14.904
D,11,1,2012,31.82267,-101.5843,10567,9.2654912164,80,Over 160,#VALUE!,1,1,935200,13.7485156891,936726,13.7501460958,24.56
F,18,3,2008,31.57057,-101.40396,8693,9.0702733831,40,160,7,7,7,NA,NA,NA,NA,20.18
F,13,3,2007,31.64282,-101.45287,8012,8.9886956968,Over 160,80,7,1,1,750420,13.5283883288,533778,13.1877353012,11.324
B,3,4,2010,31.63271,-102.07431,10110,9.221280312,80,40,7,6,12,720000,13.487006491,626940,13.3486061213,5.68
B,27,4,2011,31.51661,-101.98006,10900,9.2965180682,40,80,1,4,8,935460,13.7487936659,876800,13.6840341952,66.252
B,2,4,2012,31.51677,-102.01928,10845,9.2914594233,80,80,1,8,8,794375,13.5853109209,887500,13.6961638003,49.844
A,13,2,2006,31.83454,-102.21098,11176,9.3215239009,80,Over 160,7,1,1,550420,13.2184369022,606396,13.315288517,39.916
A,13,2,2003,31.7056,-102.1026,10527,9.2616986643,80,80,6,5,10,283000,12.5532021766,330795,12.7092541271,45.38
E,27,3,2010,31.5253,-101.74867,10675,9.2756598381,40,20,6,10,20,968831,13.7838454691,990020,13.8054804239,67.29519571
F,2,3,2009,31.62538,-101.53113,8500,9.0478214425,40,80,7,2,2,64750,11.0782889796,502250,13.1268532827,20.56059578
B,13,2,2004,31.7204,-101.9734,10500,9.2591305361,40,80,7,4,8,186700,12.1372583295,289110,12.5745625175,23.75980535
B,23,2,2011,31.71062,-101.93136,10952,9.301277367,40,80,6,1,2,530100,13.180820947,431800,12.9757177971,4.528
F,18,3,2010,31.56728,-101.4337,8518,9.0499368505,40,20,7,8,8,NA,NA,NA,NA,30.128
F,18,3,2010,31.60014,-101.44606,8648,9.0650833593,80,40,7,8,8,NA,NA,NA,NA,31.16
D,5,1,2012,31.94439,-101.73731,11420,9.3431214832,80,20,2,9,19,754603,13.5339470621,914684,13.7263339294,20.776
E,2,3,2005,31.50308,-101.63808,8265,9.0197850103,20,40,7,2,2,100450,11.5174153702,383200,12.8563123251,29.104
A,10,2,2011,31.8131,-102.17307,11445,9.3453082324,80,Over 160,1,1,1,782000,13.5696100195,1169910,13.9724373807,57.208
F,2,3,2006,31.58863,-101.51083,8526,9.0508755973,80,40,7,2,2,149700,11.9163885704,504800,13.1319175902,31.956
B,27,4,2010,31.60639,-102.02649,10892,9.2957838538,80,20,7,9,18,1012580,13.8280120872,1022406,13.8376692311,48.844
C,27,2,2012,31.82874,-101.79834,11147,9.3189256824,Over 160,40,3,4,8,1509415,14.2272327165,1688884,14.3395785137,69
E,2,3,2005,31.44672,-101.66954,8259,9.0190587938,80,40,7,2,2,100450,11.5174153702,383200,12.8563123251,20.695
E,2,3,2003,31.52689,-101.6323,8240,9.0167556229,40,40,7,1,1,290200,12.5783256194,197782,12.194920693,16.66110048
F,18,3,2009,31.60701,-101.40764,8208,9.0128645674,160,40,7,7,7,NA,NA,NA,NA,23.48
E,27,3,2003,31.58599,-101.73897,8620,9.0618403637,160,40,7,3,7,472280,13.065327309,197649,12.1942480093,24.501905
F,27,3,2007,31.55135,-101.60871,8213,9.0134735437,80,40,7,3,6,473820,13.0685827817,237986,12.3799671274,53.592
D,14,1,2007,31.74921,-101.60913,8750,9.0768089794,40,160,7,4,7,603100,13.3098382994,602308,13.3085242214,20.11541731
F,18,3,2011,31.54897,-101.42127,8500,9.0478214425,40,160,7,8,8,NA,NA,NA,NA,27.74933842
E,27,3,2004,31.45627,-101.69414,9208,9.1278279504,40,40,7,4,8,510150,13.1424600791,351969,12.7712983825,33.608
A,2,2,2008,31.79067,-102.15701,9902,9.2004920359,80,40,7,6,12,638540,13.3669395993,497377,13.1171035688,49.64048366
C,27,2,2006,31.83933,-101.94861,10093,9.2195973932,40,80,7,6,12,414280,12.9342973527,441148,12.997135699,67.74792166
C,27,2,2008,31.73613,-101.83289,9082,9.1140497117,40,20,7,3,6,456640,13.0316506133,174603,12.0702701044,16.264
A,20,2,2011,31.73831,-102.20196,10800,9.2873014131,40,160,1,1,1,600000,13.3046849342,840000,13.6411571708,165.852
F,18,3,2009,31.58535,-101.42071,8306,9.0247334242,80,40,7,7,7,NA,NA,NA,NA,39.328
A,27,2,2011,31.80353,-102.20111,10354,9.2451281975,40,Over 160,7,3,6,1308120,14.0841015499,1251750,14.0400531302,70.588
E,27,3,2005,31.46632,-101.68399,9206,9.1276107244,80,40,7,5,11,509690,13.1415579768,357066,12.7856759176,51.59316437
F,18,3,2008,31.5851,-101.39944,8495,9.0472330341,80,160,7,NA,1,NA,NA,NA,NA,19.908
C,27,2,2006,31.85219,-101.92604,10012,9.2115396526,40,80,7,5,10,686660,13.4395945433,553119,13.2233284472,59.18129168
E,27,3,2005,31.46522,-101.70543,9254,9.1328111695,80,40,7,5,10,509510,13.1412047585,330452,12.7082166932,21.748
E,27,3,2004,31.56653,-101.74174,8610,9.0606795974,40,40,7,3,6,471020,13.0626558349,204458,12.2281178544,55.96
C,27,2,2007,31.78086,-101.95682,10550,9.2638811389,40,160,7,6,12,576520,13.2647653102,441745,12.9984880715,41.824
A,24,2,2004,31.76622,-101.98814,11000,9.3056505518,40,80,7,1,2,329600,12.705635077,94900,11.4605789846,36.16
E,2,3,2003,31.54763,-101.67463,8237,9.0163914789,20,40,7,1,1,290360,12.5788768114,193372,12.1723710739,39.96278973
E,2,3,2005,31.54289,-101.64619,8360,9.0312137061,40,80,7,2,2,100450,11.5174153702,383200,12.8563123251,36.55831701
F,27,1,2003,31.65389,-101.62808,8335,9.0282187952,80,40,7,3,8,472820,13.0664700454,203996,12.2258556648,42.256
A,3,2,2012,31.73356,-102.08893,11350,9.3369730229,20,20,1,1,2,123000,11.7199396344,1541994,14.248586942,86.52
E,2,3,2004,31.47781,-101.61691,8210,9.0131082024,40,80,7,2,2,350000,12.7656884335,220506,12.3036801844,25.66
F,14,1,2012,31.7182,-101.48035,10057,9.2160241884,,,#VALUE!,7,14,889000,13.6978525145,592000,13.2912619139,32.164
B,10,4,2012,31.53922,-102.10145,11373,9.3389974042,40,160,1,1,1,910000,13.7211998785,1398978,14.151252528,80.144
D,27,1,2011,31.91226,-101.74536,10275,9.2374690394,80,40,6,4,8,1494110,14.2170412698,1360358,14.1232584584,73.544
F,2,1,2006,31.70857,-101.57012,8205,9.0124990035,160,80,7,2,2,101720,11.5299792195,383600,12.857355622,12.164
B,13,2,2003,31.70266,-102.03501,10700,9.2779990205,80,160,7,1,1,386540,12.8649906345,317940,12.6696179647,14.66478303
F,13,3,2011,31.64534,-101.51921,10313,9.2411605143,80,80,1,1,2,717166,13.483062613,864696,13.6701332791,55.38
E,2,3,2003,31.42459,-101.64939,8200,9.0118894333,40,40,7,1,1,135000,11.8130300574,90365,11.4116123033,49.95212264
A,13,2,2003,31.7462,-102.027,10542,9.2631225574,80,160,7,5,9,260479,12.4702775227,323611,12.6872974562,53.92
B,10,4,2011,31.50704,-102.05935,11487,9.3489712401,40,80,#VALUE!,1,1,996212,13.8117153653,1563240,14.2622711485,41.064
E,2,3,2003,31.5389,-101.68047,8246,9.0174835133,40,40,7,1,1,291000,12.5810785462,154000,11.9447078814,13.363
C,27,2,2008,31.78892,-101.95455,10538,9.2627430508,40,160,7,6,12,577240,13.2660134036,387303,12.8669626114,43.384
B,2,4,2012,31.56951,-101.90725,10832,9.2902599952,40,40,6,7,7,875000,13.6819791653,790000,13.5797882244,55.08842362
E,2,3,2003,31.52899,-101.6904,8310,9.0252148878,20,40,5,1,1,290680,12.5799782847,134832,11.811784838,36.78123071
E,2,3,2003,31.45887,-101.63308,8225,9.0149335756,40,40,7,1,1,290180,12.5782566991,185136,12.1288459691,40.292
F,18,3,2010,31.57076,-101.42029,8510,9.0489972216,80,80,7,8,8,NA,NA,NA,NA,30.7
E,2,3,2008,31.52342,-101.66206,8284,9.0220812225,40,40,7,2,2,293100,12.5882691267,242240,12.3976842492,23.904
E,27,3,2010,31.52215,-101.75427,8580,9.0571891925,40,40,5,4,8,556756,13.2298823619,241416,12.3942768655,38.064
F,14,1,2012,31.68625,-101.5025,10173,9.2274924308,40,Over 160,#VALUE!,7,14,843000,13.644722237,555500,13.2276238881,84.304
B,13,4,2004,31.6316,-102.0473,10500,9.2591305361,80,80,7,4,8,190460,12.1571974777,298768,12.6074226315,54.99745852
D,27,1,2011,31.86166,-101.70396,10340,9.2437751481,160,20,6,4,8,1380160,14.1377099924,1252851,14.0409323122,39.84
A,24,2,2004,31.77179,-101.98067,11000,9.3056505518,40,80,7,1,2,301000,12.6148655437,292000,12.5845090813,34.484
B,13,2,2003,31.68367,-102.08208,10520,9.2610334863,80,80,7,5,10,259800,12.4676673832,333255,12.7166632417,48.24447828
F,13,3,2010,31.56444,-101.53416,8525,9.0507583022,Over 160,80,7,1,2,2069536.055,14.5428350121,738024,13.5117316234,17.524
B,27,4,2011,31.52087,-101.97454,10890,9.2956002159,40,160,1,3,6,1082917,13.8951688841,857126,13.6613402113,61.344
E,20,3,2007,31.48161,-101.7329,9320,9.1399179077,160,40,7,1,1,610350,13.3217878421,676032,13.4239956912,54.768
F,18,3,2010,31.63639,-101.41144,8572,9.0562563566,80,Over 160,7,8,8,NA,NA,NA,NA,43.756
A,27,2,2006,31.87085,-102.05693,10341,9.2438718552,40,160,7,4,8,612489,13.3252862621,322923,12.6851691837,19.24822649
F,18,3,2010,31.62608,-101.42818,8260,9.0191798665,80,160,7,7,7,NA,NA,NA,NA,41.536
C,27,2,2006,31.84716,-101.96459,10243,9.2343498244,40,80,7,6,12,412940,12.9310575829,487816,13.0976935646,48.948
D,27,1,2011,31.8478222,-101.6853695,10344,9.2441619205,160,40,6,4,8,1424293,14.1691861082,1367077,14.1281854418,44.632
B,28,4,2008,31.56771,-101.9646,10033,9.2136349389,40,40,7,3,3,356750,12.7847905353,368000,12.8158382172,36.356
F,2,3,2007,31.63936,-101.54416,8171,9.0083465794,40,80,7,2,2,123000,11.7199396344,364490,12.8062543952,41.63943828
A,13,2,2007,31.7231,-102.0774,10571,9.2658696818,80,160,6,1,1,803710,13.5969937866,819294,13.6161982728,59.852
F,14,1,2011,31.69927,-101.44853,10064,9.2167199789,80,Over 160,6,7,14,446000,13.008074231,527000,13.1749558275,15.6
B,10,4,2011,31.49749,-102.05204,10665,9.2747226309,80,160,7,1,1,657000,13.3954392975,925778,13.7383897441,29.91337288
E,27,3,2006,31.53227,-101.72656,8500,9.0478214425,80,40,5,3,6,470820,13.0622311343,197074,12.1913345717,30.32445978
A,32,2,2011,31.75734,-102.14178,10555,9.2643549603,160,40,6,1,1,830181,13.6293990283,1314264,14.0887873711,84.592
F,2,3,2007,31.61928,-101.52545,8526,9.0508755973,40,40,7,2,2,319375,12.6741212399,383100,12.8560513307,34.8
F,2,3,2008,31.62604,-101.5624,8043,8.9925574269,40,20,7,2,2,293100,12.5882691267,242240,12.3976842492,10.508
F,27,3,2007,31.59881,-101.61528,8223,9.014690385,40,20,5,3,6,470499,13.0615491126,198577,12.1989322132,38.736
E,2,3,2003,31.46139,-101.63917,8238,9.016512875,20,40,7,1,1,291891,12.5841357239,189966,12.1546003878,35.07129045
E,2,3,2004,31.43409,-101.64222,8267,9.0200269653,40,40,7,2,2,360000,12.7938593104,367506,12.814494924,8.388
B,28,4,2007,31.54646,-101.95725,10010,9.2113398723,40,40,7,1,1,207348,12.2421538201,569436,13.2524016763,52.712
B,13,2,2005,31.7157,-101.9768,10530,9.2619836051,80,160,7,4,8,170481,12.0463791325,294428,12.59278977,46.052
F,2,3,2006,31.61703,-101.56814,8061,8.9947928973,160,40,7,2,2,100450,11.5174153702,383200,12.8563123251,27.472
F,14,1,2011,31.67721,-101.44663,10016,9.2119390933,40,Over 160,1,7,14,820000,13.6170596192,552000,13.2213033253,45.868
D,11,1,2012,31.81143,-101.56201,10623,9.2707767408,,,#VALUE!,1,1,627400,13.3493395747,732312,13.5039619316,18.684
E,2,3,2006,31.39727,-101.67185,8534,9.0518134637,40,80,7,2,2,170516,12.0465844129,480144,13.0818413379,21.62124164
B,27,4,2011,31.52425,-101.9599,10900,9.2965180682,40,40,1,3,6,1258004,14.0450368959,941472,13.7551998869,39.652
E,27,3,2005,31.47835,-101.71422,9274,9.134970065,80,40,7,5,10,509190,13.1405765068,345278,12.7521051686,29.26563545
C,27,2,2012,31.84783,-101.94692,10726,9.2804259795,40,80,1,4,8,1345603,14.1123527977,1363808,14.125791345,78.66
A,32,2,2012,31.72785,-102.14918,10667,9.2749101426,80,40,7,1,1,802974,13.5960776138,1161972,13.9656291197,125.6
D,11,1,2011,31.81269,-101.59484,10438,9.2532082722,40,Over 160,1,1,1,985400,13.8008029291,951720,13.7660261529,84.72
B,17,4,2010,31.55121,-102.0348,10900,9.2965180682,160,80,7,9,18,1053000,13.8671537911,36291,10.4993250556,81.38080816
D,27,1,2009,31.79265,-101.63186,10161,9.2263121415,160,80,7,6,12,554580,13.2259663495,453297,13.0243028188,39.94539112
F,2,3,2003,31.61,-101.56592,8000,8.9871968207,80,40,5,3,6,463200,13.0459142052,175000,12.0725412529,25.408
A,10,2,2011,31.85195,-102.15367,11042,9.3094614628,40,80,1,1,1,965380,13.7802770852,1476930,14.205476167,51.354
E,27,3,2010,31.53657,-101.75736,8660,9.0664700016,40,20,5,4,8,512012,13.1461033412,227400,12.3344658603,42.76791385
E,27,3,2006,31.51283,-101.74698,8539,9.0523991839,40,40,7,3,4,471140,13.0629105687,194730,12.1793692627,43.98483889
