WellID,Subarea,Operator,County,Completion.Date,Completion.Year,Surface.Latitude,Surface.Longitude,Depth.Total.Driller..ft.,WB.Spacing.Proxy,SPBY.Spacing.Proxy,Deepest_Zone,Top_Zone,Between_Zone,Frac.Stages,Treatment.Records,Fluid.Water..Gals.,Acid..Gals.,Gel.x.link..Gals.,Other..Gals.,Proppant...Total..lbs.,Fluid...Total..lbs.,EUR_o..Mstb.
107,4,27,1,03/12/2008 00:00:00,2008,31.79072,-101.64008,10176,2,4,7,1,5,6,12,0,13500,431728,0,514420,445228,24.14
110,4,4,1,03/07/2008 00:00:00,2008,31.9583,-101.69382,10500,5,6,6,1,4,8,16,10000,29000,508689,0,413900,547689,66.2739258
112,6,27,1,04/04/2008 00:00:00,2008,31.68924,-101.62125,8362,2,4,5,3,16,4,8,0,6000,211068,0,606324,217068,32.076
113,6,27,1,04/25/2008 00:00:00,2008,31.68763,-101.61187,8338,5,4,5,3,16,4,8,0,6000,217988,0,580155,223988,22.828
114,6,27,1,04/30/2008 00:00:00,2008,31.69162,-101.60838,8295,5,4,5,1,3,4,8,0,6000,232412,0,579200,238412,15.55114674
115,3,2,1,11/20/2008 00:00:00,2008,31.72171,-101.77145,9882,5,4,7,3,18,7,14,0,12000,547628,0,602280,559628,11.188
116,3,2,1,11/22/2008 00:00:00,2008,31.71538,-101.76703,9876,5,4,7,3,18,7,14,0,20000,676928,0,648070,696928,25.4251233
118,3,2,1,11/24/2008 00:00:00,2008,31.71336,-101.77513,9886,5,4,7,3,18,7,14,0,19000,570219,0,621902,589219,16.768
120,4,13,1,08/25/2008 00:00:00,2008,31.85353,-101.65011,10511,4,4,1,1,1,1,2,0,16128,1004640,0,1221471.973,1020768,45.376
121,4,27,1,11/08/2008 00:00:00,2008,31.98413,-101.73284,9976,5,6,7,2,11,11,22,0,18000,679906,0,1328840,697906,17.38
122,4,22,1,06/17/2008 00:00:00,2008,31.74877,-101.68896,9535,5,5,7,5,26,4,8,0,34146,0,0,402403,34146,35.256
124,4,27,1,05/24/2009 00:00:00,2009,31.99172,-101.66464,10030,2,6,7,5,26,6,12,0,10500,563526,0,224088,574026,14.11666124
125,4,27,1,01/13/2009 00:00:00,2009,31.97545,-101.66831,9996,4,6,7,5,26,6,12,0,14000,864409,0,449794,878409,55.764
129,6,4,1,12/09/2008 00:00:00,2008,31.70944,-101.48711,10200,2,6,1,5,21,5,10,0,12080,474075,0,318295,486155,28.724
131,4,27,1,11/25/2008 00:00:00,2008,31.76686,-101.61135,10568,4,5,7,3,18,7,14,0,12000,755718,0,672071,767718,19.24918288
132,4,27,1,11/25/2008 00:00:00,2008,31.77082,-101.59428,10404,4,2,1,5,21,4,9,0,12500,460671,0,257881,473171,62.13588059
133,4,22,1,10/22/2008 00:00:00,2008,31.75941,-101.72288,9500,6,4,7,2,11,NA,1,NA,NA,NA,NA,NA,NA,68.40805807
135,4,27,1,10/07/2008 00:00:00,2008,31.76303,-101.59157,10430,5,6,7,3,18,6,12,0,10500,624937,0,695140,635437,27.776
136,4,27,1,03/17/2009 00:00:00,2009,31.97958,-101.652,10017,2,6,7,5,26,8,16,0,13500,979212,0,744620,992712,55.332
138,4,27,1,01/23/2009 00:00:00,2009,31.77052,-101.6114,10488,4,4,6,3,17,5,13,0,141527,321339,57594,516840,520460,16.288
142,4,27,1,05/12/2009 00:00:00,2009,31.79265,-101.63186,10161,2,5,7,3,18,6,12,0,10000,443297,0,554580,453297,39.94539112
143,4,27,1,02/12/2009 00:00:00,2009,31.76336,-101.62769,10091,2,4,7,3,18,6,12,0,10500,418005,0,563980,428505,55.758
145,4,27,1,01/28/2009 00:00:00,2009,31.76546,-101.61875,10108,5,5,7,3,18,6,12,0,10500,514797,0,562960,525297,30.744
146,4,27,1,08/10/2010 00:00:00,2010,31.98761,-101.681,10100,2,6,7,3,18,7,14,0,12000,1359338,0,1018714,1371338,63.824
147,4,27,1,03/12/2009 00:00:00,2009,31.79046,-101.60914,10034,6,4,7,2,11,6,12,0,10000,487524,0,413620,497524,71.54
149,4,27,1,03/20/2011 00:00:00,2011,31.77154,-101.59111,10040,4,2,7,1,5,4,8,0,0,1401510,0,1335256,1401510,21.28
150,4,27,1,05/12/2009 00:00:00,2009,31.75976,-101.59489,10006,5,6,7,3,18,7,14,0,10000,605580,0,666840,615580,18.724
152,4,27,1,06/03/2009 00:00:00,2009,31.89392,-101.7133,9582,5,2,7,2,11,6,12,0,9500,576654,0,485020,586154,36.49085403
153,4,5,1,10/13/2009 00:00:00,2009,31.92043,-101.7098,10300,2,5,6,2,10,1,2,817824,10000,0,0,2610608,827824,34.6978439
154,4,13,1,11/17/2009 00:00:00,2009,31.9457,-101.75215,10560,5,4,1,3,13,1,3,9828,14070,1016148,0,1373343.945,1040046,69.756
158,4,5,1,10/31/2009 00:00:00,2009,31.95289,-101.72332,10262,2,6,1,2,6,1,2,722358,12696,0,0,314800,735054,26.556
159,4,27,1,06/15/2010 00:00:00,2010,31.96948,-101.71061,10095,2,2,7,3,18,8,16,0,13500,877794,0,696467,891294,25.224
160,6,14,1,06/27/2010 00:00:00,2010,31.69581,-101.44731,9905,4,6,1,2,6,1,1,768857,0,0,0,609217,768857,19.788
163,4,27,1,10/04/2010 00:00:00,2010,31.87677,-101.70701,10235,6,6,7,3,18,8,16,0,75000,1352004,0,1124217,1427004,49.828
164,4,5,1,04/07/2010 00:00:00,2010,31.94541,-101.73029,10850,5,2,8,5,27,1,2,0,12492,0,0,886704,12492,73.936
171,4,14,1,08/17/2010 00:00:00,2010,31.74359,-101.59842,10771,5,6,4,1,2,7,13,0,50700,719000,0,931000,769700,47.484
172,6,13,1,10/12/2010 00:00:00,2010,31.67693,-101.59032,10230,5,5,6,5,25,1,2,0,11592,1119972,0,1145088.027,1131564,28.372
173,4,14,1,08/02/2010 00:00:00,2010,31.75784,-101.60308,10901,5,6,4,1,2,10,20,0,49000,924000,0,952000,973000,41.77
174,4,14,1,09/08/2010 00:00:00,2010,31.7382,-101.61949,10856,5,2,4,1,2,8,16,0,55000,723000,0,884000,778000,36.072
176,4,27,1,10/22/2010 00:00:00,2010,31.86384,-101.72647,10752,4,5,7,3,18,8,16,0,13500,1082429,0,1152937,1095929,37.35049321
178,6,14,1,09/07/2010 00:00:00,2010,31.71895,-101.50778,9990,5,2,6,1,4,1,1,1068228,0,0,0,877792,1068228,61.80434803
182,4,13,1,01/07/2011 00:00:00,2011,31.844,-101.652,10510,5,2,1,3,13,1,2,1038996,12600,0,0,5208000,1051596,53.388
183,4,2,1,03/30/2011 00:00:00,2011,31.82076,-101.53848,10863,5,2,8,5,27,7,7,237250,0,449500,0,522438,686750,35.412
184,4,2,1,04/27/2011 00:00:00,2011,31.82961,-101.55073,10848,4,5,4,5,24,5,6,0,1000,616300,0,533788,617300,53.116
187,4,11,1,02/03/2011 00:00:00,2011,31.81269,-101.59484,10438,4,6,1,2,6,1,1,951720,0,0,0,985400,951720,84.72
191,4,27,1,04/10/2011 00:00:00,2011,31.87397,-101.72086,10306,5,5,7,3,18,3,6,0,16500,1622877.184,0,1285422,1639377.184,23.642
192,4,27,1,04/30/2011 00:00:00,2011,31.97912,-101.70475,10401,5,2,6,3,17,3,6,0,0,1533212.367,0,1353425,1533212.367,23.042
194,4,4,1,11/19/2010 00:00:00,2010,31.96115,-101.68141,10579,2,6,1,2,6,5,13,0,25116,0,0,398000,25116,32.96370677
196,4,4,1,11/30/2010 00:00:00,2010,31.8471,-101.57354,10415,5,6,1,5,21,6,12,0,20034,0,0,402000,20034,13.372
200,6,13,1,01/15/2011 00:00:00,2011,31.68072,-101.52661,10540,5,2,3,2,8,1,2,0,22092,1122618,0,1139711.973,1144710,58.952
201,6,19,1,11/14/2010 00:00:00,2010,31.67846,-101.47281,10025,2,3,1,5,21,5,10,1932000,16000,0,0,1266600,1948000,90.188
202,6,19,1,12/15/2010 00:00:00,2010,31.69121,-101.4814,10080,5,6,1,5,21,6,12,0,22600,0,2356200,1317700,2378800,98.23186666
204,4,5,1,01/19/2011 00:00:00,2011,31.95992,-101.70317,10992,4,6,3,5,23,1,2,0,17000,679602,0,1503684,696602,75.576
205,4,27,1,12/06/2011 00:00:00,2011,31.97697,-101.66415,9975,4,6,6,1,4,4,8,0,16500,1196362,0,1483342,1212862,41.86032034
206,4,5,1,03/14/2011 00:00:00,2011,31.96872,-101.7499,10523,4,5,6,5,25,2,4,636720,8190,0,0,713440,644910,35.212
207,4,2,1,04/19/2011 00:00:00,2011,31.73955,-101.62893,10985,5,5,4,1,2,7,7,0,0,1134264,0,993540,1134264,94.12444184
208,4,2,1,04/13/2011 00:00:00,2011,31.75303,-101.63589,11000,2,5,4,3,15,7,7,0,0,1201204,0,1084729,1201204,82.72679578
209,4,27,1,04/01/2011 00:00:00,2011,31.94875,-101.68634,10191,6,6,6,3,17,3,6,0,13500,1102391,0,1175163,1115891,182.758
210,6,4,1,07/29/2011 00:00:00,2011,31.73672,-101.43366,9980,5,6,1,2,6,8,16,0,22000,0,0,650000,22000,9.968
212,4,27,1,05/02/2011 00:00:00,2011,31.97423,-101.59722,9903,6,6,6,1,4,2,4,0,16500,1508004,0,1484532,1524504,4.196
213,6,13,1,03/06/2011 00:00:00,2011,31.69479,-101.53103,10622,5,2,4,3,15,1,2,0,15120,1103760,0,1329888.027,1118880,36.92
217,4,27,1,05/14/2011 00:00:00,2011,31.93995,-101.74466,10330,4,4,6,1,4,4,8,0,15000,1331749,0,1333245,1346749,64.232
219,4,14,1,04/28/2011 00:00:00,2011,31.75392,-101.6194,10885,5,2,4,1,2,1,1,1055334,0,0,0,NA,1055334,95.636
220,4,14,1,04/24/2011 00:00:00,2011,31.73674,-101.6095,10800,5,4,1,3,13,1,2,891450,4404,0,0,791000,895854,56.668
221,4,4,1,02/24/2011 00:00:00,2011,31.8576,-101.57674,10295,5,5,1,2,6,8,16,0,24360,0,0,510500,24360,15.792
222,4,4,1,06/11/2011 00:00:00,2011,31.84445,-101.58629,10370,2,6,1,2,6,8,16,0,24612,0,0,520500,24612,23.312
224,6,4,1,01/27/2011 00:00:00,2011,31.70158,-101.42258,9993,2,6,1,5,21,7,14,0,28014,0,0,501500,28014,19.484
228,4,14,1,11/12/2011 00:00:00,2011,31.75591,-101.6113,10715,4,2,1,1,1,8,16,100000,33000,513000,0,846000,646000,36.824
229,4,14,1,11/11/2011 00:00:00,2011,31.75941,-101.61243,10834,4,2,4,2,9,8,16,218000,34000,412000,0,740000,664000,41.876
230,4,14,1,08/01/2011 00:00:00,2011,31.76037,-101.60834,10908,4,6,4,3,15,8,16,344000,37000,435000,0,873000,816000,30.524
231,4,14,1,08/01/2011 00:00:00,2011,31.7623,-101.60013,10896,5,6,1,3,13,7,14,248000,34000,466000,0,862000,748000,27.412
232,4,14,1,08/01/2011 00:00:00,2011,31.75537,-101.59803,10710,5,6,1,3,13,7,14,423000,34000,290000,0,843000,747000,31.096
234,4,14,1,07/07/2011 00:00:00,2011,31.73636,-101.59605,10689,4,2,1,2,6,7,14,232000,32000,455000,0,776000,719000,30.76
235,4,14,1,07/23/2011 00:00:00,2011,31.74163,-101.59273,10710,5,6,1,2,6,7,14,213000,32000,414000,0,738000,659000,30.044
236,4,14,1,10/18/2011 00:00:00,2011,31.73728,-101.59195,10593,4,2,1,2,6,7,13,226000,26000,356000,0,685000,608000,30.492
237,4,14,1,08/10/2011 00:00:00,2011,31.74802,-101.59546,10801,5,6,1,2,6,7,14,226500,32500,377000,0,733000,636000,29.132
239,4,14,1,02/28/2012 00:00:00,2012,31.74285,-101.61588,10880,1,1,6,3,17,6,12,0,29000,500000,0,683500,529000,42.18
240,4,14,1,09/27/2011 00:00:00,2011,31.75049,-101.60108,10676,5,6,7,1,5,8,16,125000,34000,331000,0,811000,490000,21.352
243,4,14,1,11/08/2011 00:00:00,2011,31.75775,-101.62181,10898,4,5,6,1,4,8,16,225000,33000,433000,0,898500,691000,19.268
246,4,14,1,11/08/2011 00:00:00,2011,31.73012,-101.62132,10818,4,5,1,2,6,8,16,225000,34500,416000,0,834000,675500,18.056
247,4,27,1,05/08/2011 00:00:00,2011,31.84179,-101.69247,10405,2,4,7,1,5,3,6,0,13500,1151566,0,1212034,1165066,36.568
248,4,27,1,06/07/2011 00:00:00,2011,31.89422,-101.69491,10125,6,6,7,1,5,3,6,0,0,1110038,0,1178247,1110038,25.364
250,6,4,1,09/14/2011 00:00:00,2011,31.73061,-101.42734,9985,5,6,1,2,6,8,16,0,24066,0,0,663000,24066,28.784
251,4,13,1,05/12/2011 00:00:00,2011,31.95503,-101.75882,10654,5,5,1,3,13,1,2,0,14112,979062,0,972860,993174,46.584
252,4,13,1,06/16/2011 00:00:00,2011,31.96223,-101.76108,10622,1,1,1,2,6,1,2,0,12096,951846,0,786080,963942,74.564
253,4,27,1,08/29/2011 00:00:00,2011,31.91226,-101.74536,10275,5,4,6,3,17,4,8,0,16500,1343858,0,1494110,1360358,73.544
254,4,27,1,07/07/2011 00:00:00,2011,31.98098,-101.67887,10198,2,6,6,3,17,4,4,0,0,1369538,0,1391744,1369538,129.9206302
255,4,27,1,10/13/2011 00:00:00,2011,31.98844,-101.65041,10187,2,2,6,3,17,4,4,0,0,1291704,0,1452522,1291704,51.348
256,6,14,1,07/01/2011 00:00:00,2011,31.68682,-101.45337,10559,4,6,4,2,9,6,12,416000,26300,338000,0,741000,780300,16.16
258,6,18,1,07/11/2011 00:00:00,2011,31.6577,-101.43634,10200,4,2,3,3,14,12,12,NA,NA,NA,NA,NA,NA,423.792
259,6,19,1,05/02/2011 00:00:00,2011,31.67198,-101.49734,10373,5,2,3,5,23,5,9,0,15500,0,2016000,1167000,2031500,152.468
261,6,4,1,03/24/2011 00:00:00,2011,31.70065,-101.48874,10200,4,6,1,2,6,8,16,0,24108,0,0,562000,24108,26.888
263,4,27,1,07/18/2011 00:00:00,2011,31.86166,-101.70396,10340,2,3,6,3,17,4,8,0,13500,1239351,0,1380160,1252851,39.84
265,6,18,1,12/04/2011 00:00:00,2011,31.66448,-101.45051,10346,5,2,4,3,15,12,12,NA,NA,NA,NA,NA,NA,257.668
266,4,25,1,08/22/2011 00:00:00,2011,31.77637,-101.5826,11328,5,2,4,2,9,1,1,915348,0,0,0,1207360,915348,43.24659366
267,4,25,1,05/24/2011 00:00:00,2011,31.77097,-101.57667,10398,2,6,1,2,6,1,1,1116402,0,0,0,1306143.945,1116402,17.936
268,4,25,1,05/11/2011 00:00:00,2011,31.77794,-101.57806,10500,5,5,1,2,6,1,1,922488,0,0,0,914711,922488,25.468
269,6,14,1,06/28/2011 00:00:00,2011,31.72146,-101.46417,10705,2,6,2,2,7,7,15,236000,32700,509000,0,840000,777700,21.2
270,6,14,1,08/26/2011 00:00:00,2011,31.71955,-101.47231,10080,2,6,1,2,6,7,14,129000,32000,596000,0,885000,757000,24.084
271,6,14,1,10/27/2011 00:00:00,2011,31.72083,-101.49947,10057,5,6,7,1,5,7,14,111000,29000,397000,0,839500,537000,6.988
272,6,14,1,07/10/2011 00:00:00,2011,31.72947,-101.44898,10092,4,6,6,2,10,5,10,129000,23000,377000,0,627000,529000,23.62
273,6,14,1,08/12/2011 00:00:00,2011,31.66599,-101.4159,10135,2,6,7,3,18,7,14,111000,30000,398500,0,851500,539500,26.516
275,6,14,1,08/15/2011 00:00:00,2011,31.65419,-101.4212,10093,4,6,7,2,11,6,12,108000,26000,368500,0,762000,502500,32.736
277,4,31,1,10/30/2011 00:00:00,2011,31.93507,-101.70192,10350,5,6,1,5,21,2,4,1402800,26000,0,0,689000,1428800,97.304
279,4,6,1,06/16/2011 00:00:00,2011,31.81948,-101.66278,10798,5,3,3,2,8,1,1,1083306,0,0,0,1283520,1083306,59.932
280,4,6,1,07/12/2011 00:00:00,2011,31.81484,-101.66631,10870,5,4,3,2,8,1,1,1001406,0,0,0,1261120,1001406,35.636
281,6,18,1,05/30/2011 00:00:00,2011,31.65687,-101.50167,10144,5,5,1,3,13,12,12,NA,NA,NA,NA,NA,NA,88.32861051
282,6,13,1,05/31/2011 00:00:00,2011,31.67115,-101.52251,10680,5,5,4,2,9,1,2,1090740,15120,0,0,905898,1105860,10.636
284,4,5,1,09/13/2011 00:00:00,2011,31.96436,-101.70016,10255,4,5,1,5,21,1,2,0,9999990,382000,0,253700,10381990,46.308
286,6,13,1,08/16/2011 00:00:00,2011,31.72321,-101.52211,10533,4,5,4,2,9,1,2,927948,12096,0,0,866438,940044,109.128
288,4,5,1,09/07/2011 00:00:00,2011,31.92965,-101.70684,10913,5,2,3,5,23,10,11,0,10,650535,0,866588,650545,153.18
289,4,27,1,10/13/2011 00:00:00,2011,31.97763,-101.71255,10285,5,2,6,3,17,4,8,0,16500,1290128,0,1525120,1306628,29.21941362
290,4,27,1,08/09/2011 00:00:00,2011,31.97724,-101.69533,10166,5,2,6,3,17,4,8,0,18000,1604730,0,2904943,1622730,19.164
291,6,14,1,09/12/2011 00:00:00,2011,31.69677,-101.44318,10080,4,6,1,2,6,7,14,174500,32000,365000,0,785500,571500,29.81065115
292,6,14,1,08/17/2011 00:00:00,2011,31.71565,-101.48907,10086,5,6,1,2,6,7,14,219000,32000,350000,0,827000,601000,25.35257157
293,6,14,1,09/27/2011 00:00:00,2011,31.68876,-101.4452,10075,4,6,1,2,6,6,12,122000,27000,303000,0,637000,452000,22.844
294,4,27,1,10/13/2011 00:00:00,2011,31.85591,-101.71452,10406,2,5,6,3,17,4,8,0,15000,1210372,0,1302146,1225372,74.448
296,4,27,1,10/13/2011 00:00:00,2011,31.95678,-101.70281,10232,4,6,1,3,13,3,6,0,16500,1300958,0,1513148,1317458,107.0470321
297,6,3,1,10/03/2011 00:00:00,2011,31.7026,-101.59822,10610,5,4,1,3,13,1,2,0,151200,0,0,125000,151200,3.42574173
298,4,11,1,07/02/2011 00:00:00,2011,31.82485,-101.58966,10539,4,6,3,2,8,1,1,1028748,0,0,0,955869,1028748,124.084
