@relation 'well_data2-weka.filters.unsupervised.attribute.Remove-R1,5-weka.filters.unsupervised.attribute.Remove-R2-weka.filters.unsupervised.attribute.StringToNominal-R7,8-weka.filters.unsupervised.attribute.Remove-R11-weka.filters.unsupervised.attribute.Remove-R12-weka.filters.unsupervised.attribute.Remove-R12-15-weka.filters.unsupervised.attribute.Remove-R29-weka.filters.unsupervised.attribute.Remove-R6-weka.filters.unsupervised.attribute.Remove-R31-weka.filters.unsupervised.attribute.Remove-R33-weka.filters.unsupervised.attribute.Remove-R30,32'

@attribute Subarea {B,A,C,E,D,F}
@attribute County {MIDLAND,UPTON,REAGAN,GLASSCOCK}
@attribute Completion.Year numeric
@attribute Surface.Latitude numeric
@attribute Surface.Longitude numeric
@attribute WB.Spacing.Proxy {160,80,'Over 160',40,20,'Sub 20'}
@attribute SPBY.Spacing.Proxy {40,80,20,160,'Sub 20','Over 160'}
@attribute Deepest_Zone {WFMP,STRAWN,ATOKA,SPBR_L,WOOD,SIL_DEV,MISS,FUSS}
@attribute Top_Zone {WFMP,SPBR_U,CLFK,SPBR_L,STRAWN}
@attribute Frac.Stages numeric
@attribute Proppant...Total..lbs. numeric
@attribute Fluid...Total..lbs. numeric
@attribute CLFK..KHW. numeric
@attribute U_SPBR..KHW. numeric
@attribute L_SPBR..KHW. numeric
@attribute WFMP..KHW. numeric
@attribute WFMP_L..KHW. numeric
@attribute WFMP_ATB..KH numeric
@attribute CLINE..KHW. numeric
@attribute STRN..KHW. numeric
@attribute ATOK..KHW. numeric
@attribute BEND..KHW. numeric
@attribute ATOKA_L..KHW numeric
@attribute MPLM..KHW. numeric
@attribute WDFD..KHW. numeric
@attribute DVNN..KHW. numeric
@attribute Number numeric
@attribute Depth.Top numeric
@attribute Depth.Base numeric
@attribute Fluid.Type {A,W,X-LINKGEL,GEL,FLUD,F,WTR,G,O,FRAC,SLKW}
@attribute Propping.Agent.Type {undefined,SAND,CER,SANDCER,RCSD,SANDRCSD}
@attribute Injection.Rate numeric
@attribute Additive {HCL,GELA,SCIN,XLNK,FECL,SFAC,WGEL,WPLY,PFCL,FRDC,NEFE,GLST,KCL,CACL,BIOC,ACET,BRKR,ACIN,CRIN,NECL}
@attribute Mesh.Size {20/40,'20/40 & 16/3',16/30,20/20,30/70,'20 /40',40/70,20/04,30/50,18/40,20/50,MIXED}
@attribute EUR_o..Mstb. numeric

@data
E,REAGAN,2003,31.49233,-101.65237,40,40,SPBR_L,SPBR_U,1,284000,140135,5500.7,6456.6,7019.61,8021.86,8289.77,8628.83,9802.35,10176.03,10259.45,10371.11,10486.88,10610.56,10749.67,10791.97,1,6467,7450,GEL,SAND,?,?,20/40,33.270034
A,MIDLAND,2003,31.74844,-102.01795,80,40,WFMP,SPBR_U,1,447660,284844,6777,7643,8208,9169,9509,9942,10505.47,10771.16,10876.87,11034.26,11299.6,11784.59,11978.87,12008.68,1,7666,9964,W,SAND,?,?,?,59.864122
A,MIDLAND,2003,31.8037,-102.0052,40,40,WFMP,SPBR_L,4,194524,342682,6705,7592,8158,9158,9501.17,9928.29,10361,10669.19,10816.81,10921.77,11163.95,11598,11813.47,11920.11,4,8396,8482,W,SAND,?,GELA,?,29.684
E,REAGAN,2003,31.47219,-101.62448,40,40,WFMP,SPBR_U,1,291310,197292,5326.17,6284.68,6849.53,7853.96,8170.32,8530.77,9733.05,10067.38,10170.74,?,10370.2,10490.96,10638.2,10678.29,1,6308,7984,GEL,SAND,?,?,20/40,43.108
E,REAGAN,2003,31.49026,-101.64712,20,40,WFMP,SPBR_U,1,290230,192696,5476.13,6421.2,6979.68,7992.66,8269.95,8612.07,9789.59,10157.57,10244.58,10367.77,10465.85,10589.02,10729.32,10772.14,1,6440,8127,GEL,SAND,?,?,20/40,21.030304
C,MIDLAND,2003,31.71408,-101.80575,160,40,WFMP,SPBR_U,3,471920,215336,6136.7,7050,7626.76,8627,8914.83,9360.05,10187.15,10459.16,10619.83,10653.02,10795.44,11193.73,11351.84,11443.8,3,7055,7262,X-LINKGEL,SAND,?,?,20/40,44.628
E,MIDLAND,2003,31.68201,-101.78707,80,20,WFMP,SPBR_U,3,312520,200384,6081,6994,7560,8554,8876.87,9333.54,10188.34,10497.28,10650.95,10710.6,10874.05,11208.43,11369.54,11449.17,7,7011,7196,X-LINKGEL,SAND,?,?,20/40,72.617068
C,MIDLAND,2003,31.68504,-101.81851,80,40,WFMP,SPBR_U,3,471640,213110,6176,7069,7656,8647,8952.94,9432.98,10224.78,10531.79,10681.35,10738.41,10891.64,11262.57,11460.22,11544.11,3,7082,7258,X-LINKGEL,SAND,?,?,?,34.404
E,REAGAN,2003,31.47097,-101.64569,40,40,WFMP,SPBR_U,1,292190,185517,5411.67,6381.81,6945.25,7953.91,8252.27,8593.13,9796.27,10142.96,10244.73,10369.36,10457.6,10601.47,10744.14,10782.71,1,6403,8078,GEL,SAND,?,?,20/40,27.419624
E,REAGAN,2003,31.45887,-101.63308,40,40,WFMP,SPBR_U,1,290180,185136,5308.83,6304.7,6869.44,7868.37,8188.61,8536.15,9760.04,10087.39,10193.3,?,10395.53,10539.28,10685.13,10718.92,1,6328,7992,GEL,SAND,?,?,20/40,40.292
B,MIDLAND,2003,31.71,-102.0196,80,40,WFMP,SPBR_U,4,210542,283818,6763,7665,8222,9199,9546,9944,10476.39,10805.42,10962.78,11061.13,11234.22,11906.41,12058.95,12099.92,8,10195,10369,W,SAND,?,GELA,?,34.954356
C,MIDLAND,2003,31.72589,-101.85365,80,40,WFMP,SPBR_U,3,313940,192330,6343,7255,7774,8808,9131.95,9504.28,10329.51,10571.89,10729.94,10793.29,10969.95,11346.22,11565.4,11628.98,3,7248,7435,X-LINKGEL,SAND,?,?,20/40,23.532905
C,MIDLAND,2003,31.71044,-101.83959,'Over 160',40,WFMP,SPBR_U,3,473510,222736,6291,7151,7723,8734,9047.12,9494.95,10257.77,10515.4,10679.15,10720.29,10876.98,11259,11471.6,11551.8,3,7158,7372,X-LINKGEL,SAND,?,?,20/40,42.628078
E,REAGAN,2003,31.46139,-101.63917,20,40,WFMP,SPBR_U,1,291891,189966,5345.29,6336.01,6897.04,7899.72,8212.73,8556.27,9776.47,10109.53,10214.23,?,10420.77,10568.45,10713.86,10748.7,1,6354,8022,GEL,SAND,?,?,20/40,35.07129
A,MIDLAND,2003,31.78472,-102.04792,80,40,WFMP,SPBR_U,1,390000,283000,6812.78,7711,8290.81,9244,9579.69,9981.75,10408,10647.92,10817.59,10923.1,11215.18,11697.15,11912.88,12004.03,2,7728,10430,W,SAND,?,GELA,20/40,45.712
E,REAGAN,2003,31.48299,-101.64487,20,40,WFMP,SPBR_U,1,290030,186984,5440.93,6386.6,6950.91,7961.78,8252.85,8596.45,9782.15,10142.3,10236.84,10362.43,10451.84,10582.57,10724.2,10766.92,1,6404,8077,GEL,SAND,?,GELA,20/40,34.331987
E,REAGAN,2003,31.54204,-101.64998,40,40,WFMP,CLFK,1,291500,187216,5584.22,6521.12,7095.06,8113.24,8354.29,8677.24,9826.77,10219.93,10289.43,10400.76,10511.63,10649.92,10781.2,10822.29,1,6548,8132,GEL,SAND,?,?,20/40,36.516218
E,REAGAN,2003,31.47291,-101.63801,40,40,WFMP,SPBR_U,1,290390,181546,5385.54,6336.65,6898.14,7899.9,8226.17,8574.74,9774.99,10119.49,10221.67,?,10428.95,10563.19,10708.37,10747.61,1,6352,8016,GEL,SAND,?,?,20/40,44.500833
A,MIDLAND,2003,31.77244,-102.04362,40,80,WFMP,SPBR_U,1,116500,303000,6845,7736,8286,9253,9611,9929,10423.74,10689.48,10859.09,10947.19,11230.09,11744.53,11955.48,12034.37,2,9428,10002,W,SAND,?,?,?,50.888
A,MIDLAND,2003,31.78587,-102.03544,40,80,WFMP,SPBR_U,1,366000,303000,6794,7649,8229.48,9216,9590.14,9983.49,10398,10641.66,10872.64,10907.98,11168.61,11666.1,11877.9,11971.84,2,7689,9983,W,SAND,?,GELA,20/40,54.188
B,MIDLAND,2003,31.69204,-101.99936,40,160,WFMP,SPBR_U,4,293688,352536,6763,7611,8206,9195,9546,10010,10633.45,10918.13,11077.58,11170.81,11299.36,12033.58,12142.31,12203.19,7,10204,10416,GEL,SAND,?,?,?,75.676
E,GLASSCOCK,2003,31.65753,-101.72135,160,40,WFMP,SPBR_U,3,471330,190946,5930.49,6804,7377,8402,8656.68,9117.13,10064.14,10401.03,10549.76,10605.62,10753.48,10994.41,11166.23,11218.13,5,6825,7004,X-LINKGEL,SAND,24,HCL,20/40,40.2
D,GLASSCOCK,2003,31.71566,-101.71787,40,40,WFMP,CLFK,3,476570,206390,5929.27,6835,7373,8396,8655.04,9065.5,10017.55,10334.61,10479.53,10565.34,10709.51,10953.88,11091.11,11161.15,3,6832,7011,A,undefined,29,HCL,?,39.050383
E,REAGAN,2003,31.47761,-101.63429,40,40,WFMP,SPBR_U,1,289940,222222,5383.2,6322.86,6885.6,7893.12,8215.88,8567.85,9761.89,10108.15,10208.49,?,10414.84,10541.75,10687.04,10727.81,1,6345,8004,GEL,SAND,?,?,20/40,26.207459
E,REAGAN,2003,31.45684,-101.64135,20,40,WFMP,SPBR_U,1,290050,209197,5338.47,6320.26,6882.56,7881.38,8216.21,8552.22,9781.63,10112.14,10218.22,?,10423.18,10580.33,10725.37,10758.32,1,6342,8004,GEL,SAND,?,GELA,20/40,55.292
E,REAGAN,2003,31.4544,-101.63619,40,40,WFMP,SPBR_U,1,290950,212226,5309.97,6298.48,6863.02,7863.76,8200.83,8537.52,9771.14,10096.65,10203.17,?,10404.86,10559.59,10705.13,10737.04,1,6322,7982,GEL,SAND,?,?,20/40,31.192372
E,REAGAN,2003,31.54763,-101.67463,20,40,WFMP,SPBR_U,1,290360,193372,5643.84,6582.75,7149.32,8175.7,8436.67,8756.4,9883.83,10292.68,10348.32,10430.53,10598.13,10749.66,10887.93,10931.1,1,6605,8175,GEL,SAND,?,GELA,20/40,39.96279
E,REAGAN,2003,31.54827,-101.63901,40,40,WFMP,SPBR_U,1,289640,189533,5547.93,6499.02,7066.92,8090.34,8329.36,8656.13,9813.08,10203.81,10276.17,10397.67,10483.15,10623.5,10760.01,10800.13,1,6521,8153,GEL,SAND,?,?,20/40,29.197165
E,REAGAN,2003,31.56464,-101.76736,'Over 160',40,WFMP,SPBR_U,3,307850,200972,6015,6892.73,7479,8484.55,8798.96,9150.03,10199.14,10537.31,10666.85,10632.08,10863.32,11250.69,11367.39,11425.6,3,6913,7062,X-LINKGEL,SAND,?,?,20/40,59.672811
E,REAGAN,2003,31.63317,-101.65242,160,40,SPBR_L,SPBR_U,3,311100,202316,5758.93,6589,7158,8169,8467.23,8879.65,9907.31,10253.49,10381.99,10451.44,10588.3,10787.45,10937.71,10982.1,3,6604,6934,X-LINKGEL,SAND,?,?,20/40,36.283996
E,REAGAN,2003,31.52689,-101.6323,40,40,WFMP,SPBR_U,1,290200,197782,5503.51,6488.43,7053.65,8073.54,8270.3,8603.45,9769.45,10153.9,10225.09,10368.86,10431.4,10555.56,10689.37,10730.44,1,6495,8147,GEL,SAND,?,GELA,20/40,16.6611
F,GLASSCOCK,2003,31.70024,-101.52357,80,80,WFMP,CLFK,1,265000,247212,5266,6156.01,6670.47,7758.41,8192.68,8394.65,9475.9,9808.25,9926.03,10056.55,10103.16,10244.89,10382.44,10426.28,1,6155,8690,W,SAND,?,?,?,22.156
B,MIDLAND,2003,31.7089,-101.9754,80,160,WFMP,SPBR_U,4,312260,351629,6724,7569,8184,9156,9545,9898,10535.52,10853.88,11019.63,11035.01,11254.86,11951.94,12076.8,12128.29,8,10212,10369,GEL,SAND,?,?,?,65.232
B,MIDLAND,2003,31.6616,-102.0168,40,80,WFMP,SPBR_U,5,274296,330964,6817,7699,8257,9239,9581,10011,10561.59,10912.37,11044.78,11031.44,11252.42,12002.76,12125.44,12211.85,10,10235,10391,GEL,SAND,?,?,?,45.174841
A,MIDLAND,2003,31.76902,-102.07469,80,80,WFMP,SPBR_U,2,243000,474550,6874,7771,8309,9237,9597,9895,10354.43,10616.03,10717.82,10855.93,11142.11,11689.6,11908.53,12004.18,4,8051,8641,W,SAND,?,?,?,38.332
E,REAGAN,2003,31.54523,-101.62044,80,40,SPBR_L,SPBR_U,3,470740,207337,5539.58,6446.59,7012.17,8036.73,8261.6,8595.41,9769.38,10148.97,10223.04,10376.21,10415.39,10555.15,10682.37,10721.66,3,6458,6633,X-LINKGEL,SAND,?,?,20/40,35.024343
C,UPTON,2003,31.56046,-101.84707,80,40,WFMP,SPBR_U,3,466630,206474,6278,7179.36,7831.32,8768.51,9056.29,9333.95,10334.07,10617.99,10771.73,10710.52,10956.7,11554.58,11636.32,11709.8,6,7191,7378,X-LINKGEL,SAND,?,GELA,20/40,29.576
A,MIDLAND,2003,31.76507,-102.01066,40,160,WFMP,CLFK,1,401920,421008,6744.29,7644,8201,9188,9547,9853,10505.56,10774.66,10937.08,11032.85,11302.79,11740.16,11941.33,12009.11,1,7651,10345,W,SAND,?,?,?,68.906416
C,MIDLAND,2003,31.86433,-101.9524,40,'Sub 20',WFMP,SPBR_U,1,403560,304080,6645.08,7500.36,8096.53,9066.32,9390,9775.66,10319.5,10580.22,10711.81,10764.69,10883.47,11260.43,11505.34,11620.2,1,7508,9907,W,SAND,?,?,?,32.36
E,REAGAN,2003,31.47572,-101.64258,40,40,WFMP,SPBR_U,1,290750,243264,5411.59,6358.01,6924.09,7930.31,8244.07,8589.35,9785.07,10134.06,10234.8,10367.15,10446.85,10582.32,10725.8,10765.57,1,6382,8046,GEL,SAND,?,GELA,20/40,42.468
C,MIDLAND,2003,31.85098,-101.94733,40,40,WFMP,SPBR_U,1,525460,3044034,6609.81,7447.07,8034.03,8996,9308,9729.35,10212.44,10404.42,10541.89,10629.58,10815.69,11172.48,11425.14,11531.57,1,7455,9845,W,SAND,?,?,?,13.256
E,REAGAN,2003,31.62843,-101.74845,'Over 160',40,SPBR_L,SPBR_U,3,668600,196946,5998,6847,7444,8450,8741.03,9165.55,10143.83,10480.51,10628.84,10640.84,10803.85,11112.65,11283.65,11335.18,6,6882,7050,X-LINKGEL,SAND,?,?,20/40,26.152
E,REAGAN,2003,31.53781,-101.6181,80,40,SPBR_L,CLFK,3,468860,201980,5492.61,6414.17,6981.53,8000.74,8242.74,8577.92,9754.29,10131.67,10206.04,10367.06,10397.39,10528.1,10655.58,10694.76,3,6413,6590,X-LINKGEL,SAND,?,?,20/40,29.088
C,MIDLAND,2003,31.7633,-101.85252,160,40,WFMP,CLFK,3,2048353.973,205114,6336.38,7224.07,7800.24,8801.61,9143.41,9428.42,10295.86,10542.98,10687.82,10748.97,10910.9,11280.4,11516.12,11575.24,6,7214,7433,A,undefined,28,HCL,?,35.081716
E,REAGAN,2003,31.6031,-101.74503,40,40,SPBR_L,SPBR_U,3,472550,2541052,5922,6799,7395,8395.22,8686.93,9080.36,10091.46,10447.33,10584.56,10580.05,10792.83,11090.5,11238.13,11290.3,3,6827,7004,GEL,SAND,?,?,20/40,32.709938
E,REAGAN,2003,31.61882,-101.7411,160,40,WFMP,CLFK,3,472100,194042,5923,6821,7400,8404,8699,9109.84,10104.08,10453.08,10595.76,10603.19,10790.77,11075.83,11240.13,11290.75,6,6820,7010,X-LINKGEL,SAND,?,?,20/40,40.412
E,GLASSCOCK,2003,31.69134,-101.72307,'Over 160',40,WFMP,SPBR_U,3,318180,201636,5792,6829,7366,8390,8656.19,9133.99,10050.2,10368.02,10515.05,10590.94,10729.45,10995.26,11136.53,11201.25,8,6839,7027,A,undefined,28,HCL,?,45.276
E,GLASSCOCK,2003,31.66554,-101.71945,160,40,WFMP,SPBR_U,3,471280,212551,5809,6805,7355,8351,8646.49,9116.74,10056,10388.32,10535.72,10599.31,10749.94,10988.02,11151.83,11206.48,7,6816,6970,X-LINKGEL,SAND,?,?,20/40,57.805695
E,REAGAN,2003,31.60893,-101.75121,160,40,WFMP,CLFK,3,470980,200760,5961,6837.52,7411.87,8415.88,8719.5,9124.44,10129.96,10471.39,10613.53,10607.26,10815.51,11127.74,11275.97,11329.68,3,6830,7018,X-LINKGEL,SAND,?,?,20/40,45.448
E,REAGAN,2003,31.61728,-101.73197,40,40,WFMP,CLFK,3,470820,193546,5867,6746,7326,8335,8646.8,9051.29,10049.59,10409.53,10546.29,10561.11,10753.74,11014.93,11180.91,11227.95,7,6760,6938,A,undefined,30,HCL,?,44.124
E,REAGAN,2003,31.47996,-101.62649,40,40,WFMP,SPBR_U,1,289330,220500,5367,6304,6866,7878,8186.99,8543.98,9736.38,10079.09,10178.44,?,10381.29,10496.47,10642.54,10687.33,1,6317,7944,GEL,SAND,?,GELA,20/40,26.956027
E,REAGAN,2003,31.5389,-101.68047,40,40,WFMP,SPBR_U,1,291000,154000,5662.97,6597.4,7162.89,8190.15,8445.46,8767.2,9897.08,10310.98,10361.19,10432.75,10612.53,10773.26,10909.81,10955.99,1,6602,8218,GEL,SAND,?,GELA,20/40,13.363
E,REAGAN,2003,31.48383,-101.62316,40,40,WFMP,SPBR_U,1,284000,113000,5348.61,6273.04,6833.78,7838.13,8162.34,8520.19,9709.14,10053.19,10152.22,?,10352.16,10461.69,10607.91,10670.61,1,6305,8136,GEL,SAND,?,?,20/40,41.02
E,REAGAN,2003,31.4242,-101.63561,40,20,WFMP,CLFK,1,289000,166295,5265.96,6213.82,6778.74,7771.37,8152.36,8431.37,9738.73,10063.1,10171.9,?,10336.11,10564.16,10702.77,10728.92,1,6200,7888,GEL,SAND,?,?,20/40,39.063212
B,MIDLAND,2003,31.7195,-101.9959,80,80,WFMP,SPBR_L,4,166834,291233,6729,7615,8186,9198,9539,10011,10552.32,10830.61,10995.1,11062.33,11256.92,11904.14,12055.09,12095.89,8,10214,10292,W,SAND,?,GELA,?,37.027789
F,REAGAN,2003,31.64331,-101.55852,80,40,WFMP,CLFK,4,504000,286770,5231,6279.95,6832.19,7886.79,8161.84,8503.77,9646.75,9976.69,10092.31,10206.85,10205.72,10462.63,10590.44,10627.55,8,8062,8178,W,SAND,?,?,20/40,36.911603
C,MIDLAND,2003,31.95258,-101.83381,80,40,WFMP,SPBR_U,4,489980,273917,6118,7086,7648,8611,8866,9226,9930.96,10249.74,10385.68,10440.57,10487.35,10767.34,11086.59,11168.44,9,7122,7322,A,undefined,?,HCL,?,58.376
F,REAGAN,2003,31.60975,-101.51736,80,80,WFMP,SPBR_U,4,498500,271200,5025,6132.22,6686.72,7754.09,8045.42,8391.52,9547.33,9920.9,10023.29,?,10064.25,10403.24,10467.72,10504.36,8,7901,8387,A,undefined,?,HCL,?,65.908594
A,MIDLAND,2003,31.7346,-102.0277,160,80,WFMP,SPBR_U,4,247891,272650,6785,7678,8238,9206,9559,9862,10488.76,10724.37,10833.8,11049.19,11313.98,11847.13,12033.4,12044.04,7,9778,9980,GEL,SAND,?,?,?,38.204763
A,MIDLAND,2003,31.75031,-102.00977,40,80,WFMP,SPBR_U,1,341850,340998,6732,7622,8190,9186,9504,9908,10507.53,10794.32,10921.45,11042.83,11304.58,11761.89,11955.78,11996.86,1,7630,10193,W,SAND,?,?,?,35.397
F,REAGAN,2003,31.55151,-101.59197,40,40,WFMP,CLFK,3,472560,197595,5326.98,6323.89,6890.58,7914.38,8153.71,8507.39,9697.85,10071.05,10151.73,10331.08,10307.09,10468.51,10591.05,10630.65,8,6321,6653,A,undefined,?,HCL,?,28.912225
E,REAGAN,2003,31.4905,-101.66057,80,40,WFMP,CLFK,1,289760,172536,5507.82,6474.09,7033.06,8048.83,8300.46,8635.5,9806.9,10184.58,10266.02,10360.01,10502.24,10631,10771.13,10813.79,1,6472,8122,GEL,SAND,?,?,20/40,15.787189
F,REAGAN,2003,31.54521,-101.58526,80,40,WFMP,CLFK,3,470760,201236,5134.61,6309.48,6873.18,7905.67,8135.59,8502.52,9694.93,10060.49,10142.55,10338.57,10294.34,10447.5,10564.28,10600.58,6,6308,6468,X-LINKGEL,SAND,30,HCL,20/40,38.48
F,REAGAN,2003,31.55065,-101.59574,40,40,WFMP,SPBR_U,3,487320,212501,5433.47,6342.1,6902.09,7927.22,8175.99,8525.43,9714.72,10087.39,10167.97,10344.59,10328.68,10485.81,10608.24,10646.96,8,6368,6508,A,undefined,32,?,?,56.83181
E,REAGAN,2003,31.64919,-101.66118,80,40,WFMP,CLFK,3,471640,218452,5532,6620,7179,8204,8481.17,8922.32,9917.24,10255.19,10381.63,10463.86,10606.41,10789.45,10944.45,10992.28,7,6626,6796,A,undefined,?,HCL,?,21.748
B,MIDLAND,2003,31.70266,-102.03501,80,160,WFMP,SPBR_U,1,386540,317940,6792,7684.45,8239.31,9199.75,9537.42,9872.14,10497.25,10750.61,10933.86,10983.82,11211.7,11909.03,12068.7,12121.99,1,7704,10613,FLUD,SAND,?,?,?,14.664783
C,MIDLAND,2003,31.78129,-101.93888,40,80,WFMP,SPBR_U,6,535133,400910,6543,7404,7967,8980,9335,9667,10370.73,10639.33,10769.22,10860.01,11020.05,11445.69,11686.83,11746.63,14,10144,10154,A,undefined,32,HCL,?,48.244296
F,REAGAN,2003,31.63937,-101.57493,160,40,SPBR_L,SPBR_U,3,461800,177200,5302.8,6311.12,6872.05,7918.59,8204.89,8542.45,9691.3,10016.28,10139.37,10253.53,10264.05,10509.99,10645.47,10687.55,6,6360,6370,GEL,SAND,?,GELA,20/40,33.075151
E,REAGAN,2003,31.4866,-101.62778,80,40,WFMP,CLFK,1,288550,141194,5386.94,6318.75,6879.44,7886.32,8205,8558.47,9743.82,10094.54,10190.98,?,10393.95,10507.43,10651.87,10694.9,1,6316,7946,GEL,SAND,?,GELA,20/40,24.752
F,REAGAN,2003,31.6183,-101.54685,40,20,SPBR_L,SPBR_U,3,460600,175200,5084,6234,6806,7870,8129.65,8452.78,9600.6,9979.33,10083.34,10199.99,10160.47,10471.75,10562.52,10597.13,6,6266,6276,GEL,SAND,?,GELA,20/40,34.895674
F,REAGAN,2003,31.61,-101.56592,80,40,SPBR_L,SPBR_U,3,463200,175000,5079,6281,6852,7893,8158.82,8491.88,9634.65,10027.24,10127.27,10255.59,10229.58,10508.57,10617.73,10655.09,6,6316,6326,GEL,SAND,?,GELA,20/40,25.408
A,MIDLAND,2003,31.75426,-102.00885,40,40,WFMP,SPBR_L,1,257320,197232,6746,7611,8170,9149,9468,9881,10471.11,10761.95,10906.18,11021.82,11282.11,11723.87,11920.22,11967.48,1,8396,10172,W,SAND,?,?,?,35.866823
