WellID,Subarea,Operator Numeric,County Numeric,Completion.Date,Completion.Year,Surface.Latitude,Surface.Longitude,Depth.Total.Driller..ft.,WB.Spacing.Proxy,SPBY.Spacing.Proxy,DeepestZoneNumeric,Frac.Stages,Treatment.Records,Proppant...Total..lbs.,Fluid...Total..lbs.,EUR_o..Mstb.
184,D,2,1,40660,2011,31.82961,-101.55073,10848,40,80,4,5,6,533788,617300,53.116
187,D,11,1,40577,2011,31.81269,-101.59484,10438,40,Over 160,1,1,1,985400,951720,84.72
191,D,27,1,40643,2011,31.87397,-101.72086,10306,80,80,7,3,6,1285422,1639377.184,23.642
192,D,27,1,40663,2011,31.97912,-101.70475,10401,80,160,6,3,6,1353425,1533212.367,23.042
194,D,4,1,40501,2010,31.96115,-101.68141,10579,160,Over 160,1,5,13,398000,25116,32.96370677
196,D,4,1,40512,2010,31.8471,-101.57354,10415,80,Over 160,1,6,12,402000,20034,13.372
200,F,13,1,40558,2011,31.68072,-101.52661,10540,80,160,3,1,2,1139711.973,1144710,58.952
201,F,19,1,40496,2010,31.67846,-101.47281,10025,160,20,1,5,10,1266600,1948000,90.188
202,F,19,1,40527,2010,31.69121,-101.4814,10080,80,Over 160,1,6,12,1317700,2378800,98.23186666
204,D,5,1,40562,2011,31.95992,-101.70317,10992,40,Over 160,3,1,2,1503684,696602,75.576
205,D,27,1,40883,2011,31.97697,-101.66415,9975,40,Over 160,6,4,8,1483342,1212862,41.86032034
206,D,5,1,40616,2011,31.96872,-101.7499,10523,40,80,6,2,4,713440,644910,35.212
207,D,2,1,40652,2011,31.73955,-101.62893,10985,80,80,4,7,7,993540,1134264,94.12444184
208,D,2,1,40646,2011,31.75303,-101.63589,11000,160,80,4,7,7,1084729,1201204,82.72679578
209,D,27,1,40634,2011,31.94875,-101.68634,10191,Over 160,Over 160,6,3,6,1175163,1115891,182.758
210,F,4,1,40753,2011,31.73672,-101.43366,9980,80,Over 160,1,8,16,650000,22000,9.968
212,D,27,1,40665,2011,31.97423,-101.59722,9903,Over 160,Over 160,6,2,4,1484532,1524504,4.196
213,F,13,1,40608,2011,31.69479,-101.53103,10622,80,160,4,1,2,1329888.027,1118880,36.92
217,D,27,1,40677,2011,31.93995,-101.74466,10330,40,40,6,4,8,1333245,1346749,64.232
219,D,14,1,40661,2011,31.75392,-101.6194,10885,80,160,4,1,1,NA,1055334,95.636
220,D,14,1,40657,2011,31.73674,-101.6095,10800,80,40,1,1,2,791000,895854,56.668
221,D,4,1,40598,2011,31.8576,-101.57674,10295,80,80,1,8,16,510500,24360,15.792
222,D,4,1,40705,2011,31.84445,-101.58629,10370,160,Over 160,1,8,16,520500,24612,23.312
224,F,4,1,40570,2011,31.70158,-101.42258,9993,160,Over 160,1,7,14,501500,28014,19.484
228,D,14,1,40859,2011,31.75591,-101.6113,10715,40,160,1,8,16,846000,646000,36.824
229,D,14,1,40858,2011,31.75941,-101.61243,10834,40,160,4,8,16,740000,664000,41.876
230,D,14,1,40756,2011,31.76037,-101.60834,10908,40,Over 160,4,8,16,873000,816000,30.524
231,D,14,1,40756,2011,31.7623,-101.60013,10896,80,Over 160,1,7,14,862000,748000,27.412
232,D,14,1,40756,2011,31.75537,-101.59803,10710,80,Over 160,1,7,14,843000,747000,31.096
234,D,14,1,40731,2011,31.73636,-101.59605,10689,40,160,1,7,14,776000,719000,30.76
235,D,14,1,40747,2011,31.74163,-101.59273,10710,80,Over 160,1,7,14,738000,659000,30.044
236,D,14,1,40834,2011,31.73728,-101.59195,10593,40,160,1,7,13,685000,608000,30.492
237,D,14,1,40765,2011,31.74802,-101.59546,10801,80,Over 160,1,7,14,733000,636000,29.132
239,D,14,1,40967,2012,31.74285,-101.61588,10880,,,6,6,12,683500,529000,42.18
240,D,14,1,40813,2011,31.75049,-101.60108,10676,80,Over 160,7,8,16,811000,490000,21.352
243,D,14,1,40855,2011,31.75775,-101.62181,10898,40,80,6,8,16,898500,691000,19.268
246,D,14,1,40855,2011,31.73012,-101.62132,10818,40,80,1,8,16,834000,675500,18.056
247,D,27,1,40671,2011,31.84179,-101.69247,10405,160,40,7,3,6,1212034,1165066,36.568
248,D,27,1,40701,2011,31.89422,-101.69491,10125,Over 160,Over 160,7,3,6,1178247,1110038,25.364
250,F,4,1,40800,2011,31.73061,-101.42734,9985,80,Over 160,1,8,16,663000,24066,28.784
251,D,13,1,40675,2011,31.95503,-101.75882,10654,80,80,1,1,2,972860,993174,46.584
252,D,13,1,40710,2011,31.96223,-101.76108,10622,,,1,1,2,786080,963942,74.564
253,D,27,1,40784,2011,31.91226,-101.74536,10275,80,40,6,4,8,1494110,1360358,73.544
254,D,27,1,40731,2011,31.98098,-101.67887,10198,160,Over 160,6,4,4,1391744,1369538,129.9206302
255,D,27,1,40829,2011,31.98844,-101.65041,10187,160,160,6,4,4,1452522,1291704,51.348
256,F,14,1,40725,2011,31.68682,-101.45337,10559,40,Over 160,4,6,12,741000,780300,16.16
259,F,19,1,40665,2011,31.67198,-101.49734,10373,80,160,3,5,9,1167000,2031500,152.468
261,F,4,1,40626,2011,31.70065,-101.48874,10200,40,Over 160,1,8,16,562000,24108,26.888
263,D,27,1,40742,2011,31.86166,-101.70396,10340,160,20,6,4,8,1380160,1252851,39.84
265,F,18,1,40881,2011,31.66448,-101.45051,10346,80,160,4,12,12,NA,NA,257.668
266,D,25,1,40777,2011,31.77637,-101.5826,11328,80,160,4,1,1,1207360,915348,43.24659366
267,D,25,1,40687,2011,31.77097,-101.57667,10398,160,Over 160,1,1,1,1306143.945,1116402,17.936
268,D,25,1,40674,2011,31.77794,-101.57806,10500,80,80,1,1,1,914711,922488,25.468
269,F,14,1,40722,2011,31.72146,-101.46417,10705,160,Over 160,2,7,15,840000,777700,21.2
270,F,14,1,40781,2011,31.71955,-101.47231,10080,160,Over 160,1,7,14,885000,757000,24.084
271,F,14,1,40843,2011,31.72083,-101.49947,10057,80,Over 160,7,7,14,839500,537000,6.988
272,F,14,1,40734,2011,31.72947,-101.44898,10092,40,Over 160,6,5,10,627000,529000,23.62
273,F,14,1,40767,2011,31.66599,-101.4159,10135,160,Over 160,7,7,14,851500,539500,26.516
275,F,14,1,40770,2011,31.65419,-101.4212,10093,40,Over 160,7,6,12,762000,502500,32.736
277,D,31,1,40846,2011,31.93507,-101.70192,10350,80,Over 160,1,2,4,689000,1428800,97.304
279,D,6,1,40710,2011,31.81948,-101.66278,10798,80,20,3,1,1,1283520,1083306,59.932
280,D,6,1,40736,2011,31.81484,-101.66631,10870,80,40,3,1,1,1261120,1001406,35.636
282,F,13,1,40694,2011,31.67115,-101.52251,10680,80,80,4,1,2,905898,1105860,10.636
284,D,5,1,40799,2011,31.96436,-101.70016,10255,40,80,1,1,2,253700,10381990,46.308
286,F,13,1,40771,2011,31.72321,-101.52211,10533,40,80,4,1,2,866438,940044,109.128
288,D,5,1,40793,2011,31.92965,-101.70684,10913,80,160,3,10,11,866588,650545,153.18
289,D,27,1,40829,2011,31.97763,-101.71255,10285,80,160,6,4,8,1525120,1306628,29.21941362
290,D,27,1,40764,2011,31.97724,-101.69533,10166,80,160,6,4,8,2904943,1622730,19.164
291,F,14,1,40798,2011,31.69677,-101.44318,10080,40,Over 160,1,7,14,785500,571500,29.81065115
292,F,14,1,40772,2011,31.71565,-101.48907,10086,80,Over 160,1,7,14,827000,601000,25.35257157
293,F,14,1,40813,2011,31.68876,-101.4452,10075,40,Over 160,1,6,12,637000,452000,22.844
294,D,27,1,40829,2011,31.85591,-101.71452,10406,160,80,6,4,8,1302146,1225372,74.448
296,D,27,1,40829,2011,31.95678,-101.70281,10232,40,Over 160,1,3,6,1513148,1317458,107.0470321
297,F,3,1,40819,2011,31.7026,-101.59822,10610,80,40,1,1,2,125000,151200,3.42574173
298,D,11,1,40726,2011,31.82485,-101.58966,10539,40,Over 160,3,1,1,955869,1028748,124.084
303,D,4,1,40781,2011,31.98601,-101.68949,10370,160,Over 160,1,8,16,612000,26040,46.9
304,D,11,1,40754,2011,31.81348,-101.57206,10505,80,Over 160,3,1,1,884922,1013334,95.452
306,F,14,1,40794,2011,31.72296,-101.55754,10711,40,160,1,8,15,823000,667500,41.792
308,D,6,1,41197,2012,31.84035,-101.71894,10848,,,1,1,1,1155840,945504,76.148
309,D,6,1,40761,2011,31.83123,-101.72503,10920,,,1,1,1,1556800,1041852,57.424
314,F,18,1,40883,2011,31.65719,-101.43094,10277,80,Over 160,3,1,1,NA,NA,113.708
315,F,14,1,40866,2011,31.7156,-101.55288,10922,80,80,6,7,14,752000,564500,28.564
316,F,14,1,40957,2012,31.73101,-101.53716,10772,,,1,7,14,811800,589000,29.872
317,F,14,1,40835,2011,31.72394,-101.53538,10919,Over 160,Over 160,6,7,14,789000,581000,29.108
318,F,14,1,40870,2011,31.72073,-101.53835,10464,80,160,6,7,14,795000,542000,12.116
319,D,2,1,40751,2011,31.83431,-101.54715,10880,80,20,8,7,7,484688,656000,49.16
321,D,6,1,40738,2011,31.81407,-101.65145,10827,160,40,8,1,1,999200,969192,35.588
322,F,14,1,40888,2011,31.67721,-101.44663,10016,40,Over 160,1,7,14,820000,552000,45.868
323,F,14,1,41023,2012,31.72177,-101.49537,10087,,,6,7,14,856000,572500,26.248
324,F,14,1,40853,2011,31.6918,-101.49471,9988,80,Over 160,1,7,14,873500,547000,48.432
325,F,14,1,40863,2011,31.68399,-101.41708,10036,40,Over 160,1,6,12,737500,474000,57.56
327,F,14,1,40945,2012,31.72681,-101.54065,10902,80,Over 160,6,8,16,886000,658500,25.476
332,F,14,1,40898,2011,31.66999,-101.44441,10067,80,Over 160,1,7,14,896000,557000,36.408
333,F,14,1,40833,2011,31.68065,-101.43381,10088,40,Over 160,1,7,14,888000,557000,44.064
336,F,14,1,40790,2011,31.68975,-101.44101,10085,40,Over 160,1,7,14,800000,645000,41.33660355
337,D,11,1,40791,2011,31.80579,-101.59201,10625,40,Over 160,3,1,1,930100,893970,60.20299007
338,F,4,1,40792,2011,31.72597,-101.44786,9990,40,Over 160,1,7,15,552400,20580,29.636
339,D,27,1,40906,2011,31.86995,-101.71895,10376,40,160,1,4,8,1414833,1469999,37.312
340,D,27,1,40885,2011,31.8012,-101.64413,10287,40,40,6,4,8,1412896,1472640,85.224
341,D,27,1,40869,2011,31.9019,-101.71142,10245,160,160,6,4,4,1472808,949223,27.888
342,F,3,1,40784,2011,31.69898,-101.61162,10925,80,40,8,1,1,140000,NA,5.964764826
343,F,4,1,40815,2011,31.71173,-101.44339,9989,80,160,1,8,9,703000,1008,29.444
344,D,27,1,40876,2011,31.88806,-101.67531,10184,Over 160,Over 160,1,4,8,1398631,1280860,38.444
345,D,27,1,40885,2011,31.97468,-101.69011,10201,80,Over 160,1,4,8,1432848,1390904,64.552
349,D,6,1,40813,2011,31.86062,-101.7288,10880,40,40,1,1,1,623671,735000,185.44
350,D,5,1,40813,2011,31.93998,-101.74156,11400,40,80,8,11,11,685031,656040,44.108
351,D,5,1,40840,2011,31.97478,-101.73801,11050,,,4,12,12,1061120,889938,19.624
352,D,5,1,40877,2011,31.97805,-101.7447,11500,,,#VALUE!,12,12,898544,849450,15.236
353,D,5,1,40782,2011,31.95466,-101.74615,11461,20,40,4,9,9,767118,682782,20.088
354,D,5,1,41040,2012,31.92229,-101.70388,10880,,,8,9,18,853791,889944,39.168
355,D,5,1,41041,2012,31.93254,-101.7128,11320,40,80,8,10,20,991305,949662,43.46283285
356,D,27,1,40869,2011,31.89498,-101.72244,10451,160,40,1,4,8,1390858,1398056,49.112
357,D,27,1,40876,2011,31.8478222,-101.6853695,10344,160,40,6,4,8,1424293,1367077,44.632
358,D,4,1,40933,2012,31.96321,-101.69098,10310,,,1,1,2,740000,1119758,20.592
359,D,4,1,40855,2011,31.85151,-101.58852,10327,80,Over 160,1,1,1,74000,88200,11.548
360,F,4,1,40852,2011,31.72877,-101.43556,9980,,,#VALUE!,1,1,NA,168000,57.912
362,D,2,1,40835,2011,31.8386,-101.54503,10935,40,80,4,8,8,609263,809200,26.81893188
367,D,11,1,40993,2012,31.82267,-101.5843,10567,80,Over 160,#VALUE!,1,1,935200,936726,24.56
368,D,11,1,41122,2012,31.80385,-101.58227,10669,40,Over 160,4,1,1,944021,1074780,218.792
369,F,4,1,40878,2011,31.67558,-101.51621,10272,,,#VALUE!,1,1,110000,NA,87.312
370,D,4,1,40980,2012,31.84969,-101.57873,10430,80,Over 160,#VALUE!,1,2,960000,1163414,20.472
371,F,18,1,40910,2012,31.67199,-101.46035,8738,80,Over 160,7,1,1,NA,NA,61.836
372,D,27,1,41092,2012,31.91239,-101.68314,10562,Over 160,Over 160,1,3,6,1348977,1219954,79.94
375,D,26,1,40939,2012,31.96911,-101.67954,10251,40,Over 160,#VALUE!,1,2,2771860,656428,30.164
378,D,27,1,41037,2012,31.9694,-101.69667,10229,,,#VALUE!,4,7,1344000,1506732,32.396
379,D,27,1,40955,2012,31.97211,-101.68047,10076,40,Over 160,#VALUE!,4,8,1249577,1360277,21.284
386,F,14,1,40935,2012,31.7182,-101.48035,10057,,,#VALUE!,7,14,889000,592000,32.164
387,F,14,1,40886,2011,31.69927,-101.44853,10064,80,Over 160,6,7,14,446000,527000,15.6
389,F,14,1,41007,2012,31.71186,-101.50558,10182,,,#VALUE!,7,14,826000,552000,19.74
392,F,14,1,40951,2012,31.68765,-101.41755,10015,,,#VALUE!,7,14,910000,602000,38.58
393,D,27,1,40907,2011,31.83816,-101.59794,10152,40,Over 160,#VALUE!,4,8,1451372,1519371,113.672
394,D,4,1,40892,2011,31.79269,-101.56571,10039,,,#VALUE!,1,2,79000,2016,80.704
395,F,14,1,41047,2012,31.71403,-101.49735,10068,,,#VALUE!,7,14,839000,564000,23.02
396,F,14,1,40989,2012,31.68625,-101.5025,10173,40,Over 160,#VALUE!,7,14,843000,555500,84.304
398,F,14,1,40884,2011,31.70137,-101.45425,10024,,,#VALUE!,7,15,849500,563500,36.36439764
399,D,27,1,40981,2012,31.92037,-101.70037,10162,,,#VALUE!,4,8,1450084,1141207,56.136
401,D,2,1,40974,2012,31.82001,-101.54341,10900,,,#VALUE!,7,8,520188,695000,34.8
402,F,18,1,40911,2012,31.65633,-101.51698,8831,Over 160,40,7,1,1,NA,NA,78.092
403,D,2,1,40931,2012,31.81814,-101.53517,10790,,,#VALUE!,7,7,508694,686750,20.904
404,D,27,1,41037,2012,31.97544,-101.73516,10326,,,#VALUE!,4,8,1236550,1276470,53.216
406,D,27,1,41040,2012,31.90837,-101.69998,10222,,,#VALUE!,4,8,1454339,1366475,50.388
407,D,2,1,40902,2011,31.8308,-101.54607,10885,,,#VALUE!,7,7,520438,694000,15.464
408,D,27,1,41036,2012,31.9998,-101.65399,10178,80,160,#VALUE!,3,6,1375887,1236605,94.26
410,F,14,1,40972,2012,31.72497,-101.46528,10120,,,#VALUE!,7,14,827000,562500,37.772
413,D,27,1,41025,2012,31.88452,-101.73701,10457,,,#VALUE!,4,7,1426469,1433542,91.968
415,F,4,1,40981,2012,31.73041,-101.44487,9900,,,#VALUE!,1,2,110000,1396522,29.63266871
418,D,2,1,40992,2012,31.81294,-101.54123,10980,,,#VALUE!,7,8,520437,695008,10.788
419,D,27,1,41130,2012,31.98156,-101.72766,10743,80,Over 160,3,5,9,1238986,1235601,17.556
421,F,4,1,41013,2012,31.67782,-101.50887,10240,,,#VALUE!,1,2,112000,1645170,44.73512294
422,D,11,1,41025,2012,31.81143,-101.56201,10623,,,#VALUE!,1,1,627400,732312,18.684
423,D,4,1,40968,2012,31.80143,-101.56103,10236,,,#VALUE!,1,2,175000,1344942,82.908
425,F,14,1,41106,2012,31.67874,-101.44229,10091,40,Over 160,1,7,14,940800,653000,58.692
426,F,14,1,40990,2012,31.67599,-101.41896,9920,,,#VALUE!,7,14,879800,598000,10.816
428,F,14,1,41046,2012,31.72459,-101.48299,10034,,,#VALUE!,7,14,838500,561500,24.288
429,F,14,1,41119,2012,31.6878,-101.44929,10122,40,Over 160,1,7,14,845000,567000,9.5
430,D,11,1,41031,2012,31.81841,-101.56479,10615,160,Over 160,#VALUE!,1,1,809068,907368,27.64
431,F,14,1,41014,2012,31.67853,-101.42438,10035,,,#VALUE!,7,14,845000,578000,19.944
432,D,5,1,41013,2012,31.94439,-101.73731,11420,80,20,2,9,19,754603,914684,20.776
434,F,4,1,41051,2012,31.74152,-101.43141,9828,,,#VALUE!,1,2,130000,1977668,31.532
436,D,5,1,41098,2012,31.95066,-101.7749,11245,,,4,9,18,948376,1096176,65.64977319
438,D,5,1,41119,2012,31.94586,-101.72011,10956,,,4,10,20,1222148,1091074,45.732
439,D,5,1,41059,2012,31.92375,-101.73075,11015,,,8,10,20,1089724,871380,67.44403123
440,D,4,1,41065,2012,31.85376,-101.58113,10261,80,160,1,1,2,940000,1192478,19.408
