WellID,Operator Numeric,County Numeric,Completion.Date,Completion.Year,Surface.Latitude,Surface.Longitude,Depth.Total.Driller..ft.,WB.Spacing.Proxy,SPBY.Spacing.Proxy,DeepestZoneNumeric,Frac.Stages,Treatment.Records,Proppant...Total..lbs.,Fluid...Total..lbs.,EUR_o..Mstb.
61,2,1,39094,2007,31.74408,-101.73978,9850,160,40,7,6,12,535260,400174,20.67705873
63,2,1,38908,2006,31.65592,-101.53639,8103,40,40,7,2,2,123000,353400,30.18
64,2,1,39159,2007,31.72402,-101.72892,9782,40,40,7,5,10,505220,361845,12.671
66,27,1,39196,2007,31.73191,-101.59911,9496,40,80,7,3,7,267520,273394,6.904
67,13,1,39204,2007,31.96402,-101.7528,10840,40,80,1,1,1,802700,649698,45.27229149
68,13,1,39203,2007,31.95298,-101.75386,10510,80,80,1,4,4,799108,546126,44.02376458
69,27,1,39196,2007,31.73285,-101.59494,9487,40,80,7,5,10,225120,329397,25.31341516
70,27,1,39314,2007,31.97911,-101.6871,9808,160,Over 160,7,5,13,406120,768058,42.268
72,2,1,39091,2007,31.66779,-101.55234,8181,160,80,7,2,2,123000,366450,15.424
73,2,1,39119,2007,31.77384,-101.71001,8492,Over 160,40,7,2,2,123000,365484,34.88893209
74,14,1,39253,2007,31.74921,-101.60913,8750,40,160,7,4,7,603100,602308,20.11541731
76,14,1,39263,2007,31.74169,-101.6067,8547,80,160,7,4,4,584800,633108,20.072
79,27,1,39232,2007,31.72677,-101.58867,9510,160,40,7,4,8,234101,256538,12.64935437
82,14,1,39255,2007,31.75205,-101.6277,8750,80,160,7,3,4,610000,540943,20.7
86,2,1,39534,2008,31.76536,-101.76084,9894,80,40,7,6,12,600723,417479,17.63959573
87,2,1,39324,2007,31.71962,-101.76398,9840,80,40,7,5,10,591188,494881,28.09232775
89,2,1,39558,2008,31.65722,-101.54181,8252,80,80,7,2,2,466275,258392,22.11157295
90,2,1,39404,2007,31.72807,-101.74337,9900,80,40,7,5,10,561280,468007,10.56
91,13,1,39413,2007,31.85385,-101.66055,10499,160,Over 160,1,1,1,799820,616476,40.092
93,2,1,39568,2008,31.72585,-101.75281,9886,80,40,7,6,12,474363,383661,8.086191594
94,2,1,39545,2008,31.71945,-101.73191,9878,80,40,7,6,12,522900,398382,8.808
95,2,1,39560,2008,31.76379,-101.76925,9880,40,40,7,6,12,539400,501369,24.40562809
96,2,1,39580,2008,31.76703,-101.77028,9876,40,40,7,6,12,545820,483344,42.25256061
97,27,1,39624,2008,31.97212,-101.68489,9983,40,Over 160,7,7,14,552180,571036,21.94799122
98,2,1,39522,2008,31.71701,-101.75875,9890,NA,NA,7,6,12,474820,417946,9.735
99,2,1,39494,2008,31.7278,-101.72911,9878,40,40,7,6,12,638440,466207,11.934
102,13,1,39387,2007,31.96851,-101.76248,10660,80,80,7,1,1,902460,15848,49.36
103,27,1,39456,2008,31.71347,-101.59782,9598,160,40,7,6,12,526821,374326,25.04
105,27,1,39498,2008,31.81536,-101.74153,8704,Over 160,20,7,3,6,470520,178166,48.844
106,27,1,39507,2008,31.79785,-101.64239,10255,40,80,7,4,8,222173,229228,25.376
107,27,1,39519,2008,31.79072,-101.64008,10176,160,40,7,6,12,514420,445228,24.14
110,4,1,39514,2008,31.9583,-101.69382,10500,80,Over 160,6,8,16,413900,547689,66.2739258
112,27,1,39542,2008,31.68924,-101.62125,8362,160,40,5,4,8,606324,217068,32.076
113,27,1,39563,2008,31.68763,-101.61187,8338,80,40,5,4,8,580155,223988,22.828
114,27,1,39568,2008,31.69162,-101.60838,8295,80,40,5,4,8,579200,238412,15.55114674
115,2,1,39772,2008,31.72171,-101.77145,9882,80,40,7,7,14,602280,559628,11.188
116,2,1,39774,2008,31.71538,-101.76703,9876,80,40,7,7,14,648070,696928,25.4251233
118,2,1,39776,2008,31.71336,-101.77513,9886,80,40,7,7,14,621902,589219,16.768
120,13,1,39685,2008,31.85353,-101.65011,10511,40,40,1,1,2,1221471.973,1020768,45.376
121,27,1,39760,2008,31.98413,-101.73284,9976,80,Over 160,7,11,22,1328840,697906,17.38
122,21,1,39616,2008,31.74877,-101.68896,9535,80,80,7,4,8,402403,34146,35.256
124,27,1,39957,2009,31.99172,-101.66464,10030,160,Over 160,7,6,12,224088,574026,14.11666124
125,27,1,39826,2009,31.97545,-101.66831,9996,40,Over 160,7,6,12,449794,878409,55.764
129,4,1,39791,2008,31.70944,-101.48711,10200,160,Over 160,1,5,10,318295,486155,28.724
131,27,1,39777,2008,31.76686,-101.61135,10568,40,80,7,7,14,672071,767718,19.24918288
132,27,1,39777,2008,31.77082,-101.59428,10404,40,160,1,4,9,257881,473171,62.13588059
133,21,1,39743,2008,31.75941,-101.72288,9500,Over 160,40,7,NA,1,NA,NA,68.40805807
135,27,1,39728,2008,31.76303,-101.59157,10430,80,Over 160,7,6,12,695140,635437,27.776
136,27,1,39889,2009,31.97958,-101.652,10017,160,Over 160,7,8,16,744620,992712,55.332
138,27,1,39836,2009,31.77052,-101.6114,10488,40,40,6,5,13,516840,520460,16.288
142,27,1,39945,2009,31.79265,-101.63186,10161,160,80,7,6,12,554580,453297,39.94539112
143,27,1,39856,2009,31.76336,-101.62769,10091,160,40,7,6,12,563980,428505,55.758
145,27,1,39841,2009,31.76546,-101.61875,10108,80,80,7,6,12,562960,525297,30.744
146,27,1,40400,2010,31.98761,-101.681,10100,160,Over 160,7,7,14,1018714,1371338,63.824
147,27,1,39884,2009,31.79046,-101.60914,10034,Over 160,40,7,6,12,413620,497524,71.54
149,27,1,40622,2011,31.77154,-101.59111,10040,40,160,7,4,8,1335256,1401510,21.28
150,27,1,39945,2009,31.75976,-101.59489,10006,80,Over 160,7,7,14,666840,615580,18.724
152,27,1,39967,2009,31.89392,-101.7133,9582,80,160,7,6,12,485020,586154,36.49085403
153,5,1,40099,2009,31.92043,-101.7098,10300,160,80,6,1,2,2610608,827824,34.6978439
154,13,1,40134,2009,31.9457,-101.75215,10560,80,40,1,1,3,1373343.945,1040046,69.756
158,5,1,40117,2009,31.95289,-101.72332,10262,160,Over 160,1,1,2,314800,735054,26.556
159,27,1,40344,2010,31.96948,-101.71061,10095,160,160,7,8,16,696467,891294,25.224
160,14,1,40356,2010,31.69581,-101.44731,9905,40,Over 160,1,1,1,609217,768857,19.788
163,27,1,40455,2010,31.87677,-101.70701,10235,Over 160,Over 160,7,8,16,1124217,1427004,49.828
164,5,1,40275,2010,31.94541,-101.73029,10850,80,160,8,1,2,886704,12492,73.936
171,14,1,40407,2010,31.74359,-101.59842,10771,80,Over 160,4,7,13,931000,769700,47.484
172,13,1,40463,2010,31.67693,-101.59032,10230,80,80,6,1,2,1145088.027,1131564,28.372
173,14,1,40392,2010,31.75784,-101.60308,10901,80,Over 160,4,10,20,952000,973000,41.77
174,14,1,40429,2010,31.7382,-101.61949,10856,80,160,4,8,16,884000,778000,36.072
176,27,1,40473,2010,31.86384,-101.72647,10752,40,80,7,8,16,1152937,1095929,37.35049321
178,14,1,40428,2010,31.71895,-101.50778,9990,80,160,6,1,1,877792,1068228,61.80434803
182,13,1,40550,2011,31.844,-101.652,10510,80,160,1,1,2,5208000,1051596,53.388
183,2,1,40632,2011,31.82076,-101.53848,10863,80,160,8,7,7,522438,686750,35.412
184,2,1,40660,2011,31.82961,-101.55073,10848,40,80,4,5,6,533788,617300,53.116
187,11,1,40577,2011,31.81269,-101.59484,10438,40,Over 160,1,1,1,985400,951720,84.72
191,27,1,40643,2011,31.87397,-101.72086,10306,80,80,7,3,6,1285422,1639377.184,23.642
192,27,1,40663,2011,31.97912,-101.70475,10401,80,160,6,3,6,1353425,1533212.367,23.042
194,4,1,40501,2010,31.96115,-101.68141,10579,160,Over 160,1,5,13,398000,25116,32.96370677
196,4,1,40512,2010,31.8471,-101.57354,10415,80,Over 160,1,6,12,402000,20034,13.372
200,13,1,40558,2011,31.68072,-101.52661,10540,80,160,3,1,2,1139711.973,1144710,58.952
201,19,1,40496,2010,31.67846,-101.47281,10025,160,20,1,5,10,1266600,1948000,90.188
202,19,1,40527,2010,31.69121,-101.4814,10080,80,Over 160,1,6,12,1317700,2378800,98.23186666
204,5,1,40562,2011,31.95992,-101.70317,10992,40,Over 160,3,1,2,1503684,696602,75.576
205,27,1,40883,2011,31.97697,-101.66415,9975,40,Over 160,6,4,8,1483342,1212862,41.86032034
206,5,1,40616,2011,31.96872,-101.7499,10523,40,80,6,2,4,713440,644910,35.212
207,2,1,40652,2011,31.73955,-101.62893,10985,80,80,4,7,7,993540,1134264,94.12444184
208,2,1,40646,2011,31.75303,-101.63589,11000,160,80,4,7,7,1084729,1201204,82.72679578
209,27,1,40634,2011,31.94875,-101.68634,10191,Over 160,Over 160,6,3,6,1175163,1115891,182.758
210,4,1,40753,2011,31.73672,-101.43366,9980,80,Over 160,1,8,16,650000,22000,9.968
212,27,1,40665,2011,31.97423,-101.59722,9903,Over 160,Over 160,6,2,4,1484532,1524504,4.196
213,13,1,40608,2011,31.69479,-101.53103,10622,80,160,4,1,2,1329888.027,1118880,36.92
217,27,1,40677,2011,31.93995,-101.74466,10330,40,40,6,4,8,1333245,1346749,64.232
219,14,1,40661,2011,31.75392,-101.6194,10885,80,160,4,1,1,NA,1055334,95.636
220,14,1,40657,2011,31.73674,-101.6095,10800,80,40,1,1,2,791000,895854,56.668
221,4,1,40598,2011,31.8576,-101.57674,10295,80,80,1,8,16,510500,24360,15.792
222,4,1,40705,2011,31.84445,-101.58629,10370,160,Over 160,1,8,16,520500,24612,23.312
224,4,1,40570,2011,31.70158,-101.42258,9993,160,Over 160,1,7,14,501500,28014,19.484
228,14,1,40859,2011,31.75591,-101.6113,10715,40,160,1,8,16,846000,646000,36.824
229,14,1,40858,2011,31.75941,-101.61243,10834,40,160,4,8,16,740000,664000,41.876
230,14,1,40756,2011,31.76037,-101.60834,10908,40,Over 160,4,8,16,873000,816000,30.524
231,14,1,40756,2011,31.7623,-101.60013,10896,80,Over 160,1,7,14,862000,748000,27.412
232,14,1,40756,2011,31.75537,-101.59803,10710,80,Over 160,1,7,14,843000,747000,31.096
234,14,1,40731,2011,31.73636,-101.59605,10689,40,160,1,7,14,776000,719000,30.76
235,14,1,40747,2011,31.74163,-101.59273,10710,80,Over 160,1,7,14,738000,659000,30.044
236,14,1,40834,2011,31.73728,-101.59195,10593,40,160,1,7,13,685000,608000,30.492
237,14,1,40765,2011,31.74802,-101.59546,10801,80,Over 160,1,7,14,733000,636000,29.132
239,14,1,40967,2012,31.74285,-101.61588,10880,NA,NA,6,6,12,683500,529000,42.18
240,14,1,40813,2011,31.75049,-101.60108,10676,80,Over 160,7,8,16,811000,490000,21.352
243,14,1,40855,2011,31.75775,-101.62181,10898,40,80,6,8,16,898500,691000,19.268
246,14,1,40855,2011,31.73012,-101.62132,10818,40,80,1,8,16,834000,675500,18.056
247,27,1,40671,2011,31.84179,-101.69247,10405,160,40,7,3,6,1212034,1165066,36.568
248,27,1,40701,2011,31.89422,-101.69491,10125,Over 160,Over 160,7,3,6,1178247,1110038,25.364
250,4,1,40800,2011,31.73061,-101.42734,9985,80,Over 160,1,8,16,663000,24066,28.784
251,13,1,40675,2011,31.95503,-101.75882,10654,80,80,1,1,2,972860,993174,46.584
252,13,1,40710,2011,31.96223,-101.76108,10622,NA,NA,1,1,2,786080,963942,74.564
253,27,1,40784,2011,31.91226,-101.74536,10275,80,40,6,4,8,1494110,1360358,73.544
254,27,1,40731,2011,31.98098,-101.67887,10198,160,Over 160,6,4,4,1391744,1369538,129.9206302
255,27,1,40829,2011,31.98844,-101.65041,10187,160,160,6,4,4,1452522,1291704,51.348
256,14,1,40725,2011,31.68682,-101.45337,10559,40,Over 160,4,6,12,741000,780300,16.16
259,19,1,40665,2011,31.67198,-101.49734,10373,80,160,3,5,9,1167000,2031500,152.468
261,4,1,40626,2011,31.70065,-101.48874,10200,40,Over 160,1,8,16,562000,24108,26.888
263,27,1,40742,2011,31.86166,-101.70396,10340,160,20,6,4,8,1380160,1252851,39.84
265,18,1,40881,2011,31.66448,-101.45051,10346,80,160,4,12,12,NA,NA,257.668
266,25,1,40777,2011,31.77637,-101.5826,11328,80,160,4,1,1,1207360,915348,43.24659366
267,25,1,40687,2011,31.77097,-101.57667,10398,160,Over 160,1,1,1,1306143.945,1116402,17.936
268,25,1,40674,2011,31.77794,-101.57806,10500,80,80,1,1,1,914711,922488,25.468
269,14,1,40722,2011,31.72146,-101.46417,10705,160,Over 160,2,7,15,840000,777700,21.2
270,14,1,40781,2011,31.71955,-101.47231,10080,160,Over 160,1,7,14,885000,757000,24.084
271,14,1,40843,2011,31.72083,-101.49947,10057,80,Over 160,7,7,14,839500,537000,6.988
272,14,1,40734,2011,31.72947,-101.44898,10092,40,Over 160,6,5,10,627000,529000,23.62
273,14,1,40767,2011,31.66599,-101.4159,10135,160,Over 160,7,7,14,851500,539500,26.516
275,14,1,40770,2011,31.65419,-101.4212,10093,40,Over 160,7,6,12,762000,502500,32.736
277,31,1,40846,2011,31.93507,-101.70192,10350,80,Over 160,1,2,4,689000,1428800,97.304
279,6,1,40710,2011,31.81948,-101.66278,10798,80,20,3,1,1,1283520,1083306,59.932
280,6,1,40736,2011,31.81484,-101.66631,10870,80,40,3,1,1,1261120,1001406,35.636
282,13,1,40694,2011,31.67115,-101.52251,10680,80,80,4,1,2,905898,1105860,10.636
284,5,1,40799,2011,31.96436,-101.70016,10255,40,80,1,1,2,253700,10381990,46.308
286,13,1,40771,2011,31.72321,-101.52211,10533,40,80,4,1,2,866438,940044,109.128
288,5,1,40793,2011,31.92965,-101.70684,10913,80,160,3,10,11,866588,650545,153.18
289,27,1,40829,2011,31.97763,-101.71255,10285,80,160,6,4,8,1525120,1306628,29.21941362
290,27,1,40764,2011,31.97724,-101.69533,10166,80,160,6,4,8,2904943,1622730,19.164
291,14,1,40798,2011,31.69677,-101.44318,10080,40,Over 160,1,7,14,785500,571500,29.81065115
292,14,1,40772,2011,31.71565,-101.48907,10086,80,Over 160,1,7,14,827000,601000,25.35257157
293,14,1,40813,2011,31.68876,-101.4452,10075,40,Over 160,1,6,12,637000,452000,22.844
294,27,1,40829,2011,31.85591,-101.71452,10406,160,80,6,4,8,1302146,1225372,74.448
296,27,1,40829,2011,31.95678,-101.70281,10232,40,Over 160,1,3,6,1513148,1317458,107.0470321
297,3,1,40819,2011,31.7026,-101.59822,10610,80,40,1,1,2,125000,151200,3.42574173
298,11,1,40726,2011,31.82485,-101.58966,10539,40,Over 160,3,1,1,955869,1028748,124.084
303,4,1,40781,2011,31.98601,-101.68949,10370,160,Over 160,1,8,16,612000,26040,46.9
304,11,1,40754,2011,31.81348,-101.57206,10505,80,Over 160,3,1,1,884922,1013334,95.452
306,14,1,40794,2011,31.72296,-101.55754,10711,40,160,1,8,15,823000,667500,41.792
308,6,1,41197,2012,31.84035,-101.71894,10848,NA,NA,1,1,1,1155840,945504,76.148
309,6,1,40761,2011,31.83123,-101.72503,10920,NA,NA,1,1,1,1556800,1041852,57.424
314,18,1,40883,2011,31.65719,-101.43094,10277,80,Over 160,3,1,1,NA,NA,113.708
315,14,1,40866,2011,31.7156,-101.55288,10922,80,80,6,7,14,752000,564500,28.564
316,14,1,40957,2012,31.73101,-101.53716,10772,NA,NA,1,7,14,811800,589000,29.872
317,14,1,40835,2011,31.72394,-101.53538,10919,Over 160,Over 160,6,7,14,789000,581000,29.108
318,14,1,40870,2011,31.72073,-101.53835,10464,80,160,6,7,14,795000,542000,12.116
319,2,1,40751,2011,31.83431,-101.54715,10880,80,20,8,7,7,484688,656000,49.16
321,6,1,40738,2011,31.81407,-101.65145,10827,160,40,8,1,1,999200,969192,35.588
322,14,1,40888,2011,31.67721,-101.44663,10016,40,Over 160,1,7,14,820000,552000,45.868
323,14,1,41023,2012,31.72177,-101.49537,10087,NA,NA,6,7,14,856000,572500,26.248
324,14,1,40853,2011,31.6918,-101.49471,9988,80,Over 160,1,7,14,873500,547000,48.432
325,14,1,40863,2011,31.68399,-101.41708,10036,40,Over 160,1,6,12,737500,474000,57.56
327,14,1,40945,2012,31.72681,-101.54065,10902,80,Over 160,6,8,16,886000,658500,25.476
332,14,1,40898,2011,31.66999,-101.44441,10067,80,Over 160,1,7,14,896000,557000,36.408
333,14,1,40833,2011,31.68065,-101.43381,10088,40,Over 160,1,7,14,888000,557000,44.064
336,14,1,40790,2011,31.68975,-101.44101,10085,40,Over 160,1,7,14,800000,645000,41.33660355
337,11,1,40791,2011,31.80579,-101.59201,10625,40,Over 160,3,1,1,930100,893970,60.20299007
338,4,1,40792,2011,31.72597,-101.44786,9990,40,Over 160,1,7,15,552400,20580,29.636
339,27,1,40906,2011,31.86995,-101.71895,10376,40,160,1,4,8,1414833,1469999,37.312
340,27,1,40885,2011,31.8012,-101.64413,10287,40,40,6,4,8,1412896,1472640,85.224
341,27,1,40869,2011,31.9019,-101.71142,10245,160,160,6,4,4,1472808,949223,27.888
342,3,1,40784,2011,31.69898,-101.61162,10925,80,40,8,1,1,140000,NA,5.964764826
343,4,1,40815,2011,31.71173,-101.44339,9989,80,160,1,8,9,703000,1008,29.444
344,27,1,40876,2011,31.88806,-101.67531,10184,Over 160,Over 160,1,4,8,1398631,1280860,38.444
345,27,1,40885,2011,31.97468,-101.69011,10201,80,Over 160,1,4,8,1432848,1390904,64.552
349,6,1,40813,2011,31.86062,-101.7288,10880,40,40,1,1,1,623671,735000,185.44
350,5,1,40813,2011,31.93998,-101.74156,11400,40,80,8,11,11,685031,656040,44.108
351,5,1,40840,2011,31.97478,-101.73801,11050,NA,NA,4,12,12,1061120,889938,19.624
352,5,1,40877,2011,31.97805,-101.7447,11500,NA,NA,NA,12,12,898544,849450,15.236
353,5,1,40782,2011,31.95466,-101.74615,11461,20,40,4,9,9,767118,682782,20.088
354,5,1,41040,2012,31.92229,-101.70388,10880,NA,NA,8,9,18,853791,889944,39.168
355,5,1,41041,2012,31.93254,-101.7128,11320,40,80,8,10,20,991305,949662,43.46283285
356,27,1,40869,2011,31.89498,-101.72244,10451,160,40,1,4,8,1390858,1398056,49.112
357,27,1,40876,2011,31.8478222,-101.6853695,10344,160,40,6,4,8,1424293,1367077,44.632
358,4,1,40933,2012,31.96321,-101.69098,10310,NA,NA,1,1,2,740000,1119758,20.592
359,4,1,40855,2011,31.85151,-101.58852,10327,80,Over 160,1,1,1,74000,88200,11.548
360,4,1,40852,2011,31.72877,-101.43556,9980,NA,NA,NA,1,1,NA,168000,57.912
362,2,1,40835,2011,31.8386,-101.54503,10935,40,80,4,8,8,609263,809200,26.81893188
367,11,1,40993,2012,31.82267,-101.5843,10567,80,Over 160,NA,1,1,935200,936726,24.56
368,11,1,41122,2012,31.80385,-101.58227,10669,40,Over 160,4,1,1,944021,1074780,218.792
369,4,1,40878,2011,31.67558,-101.51621,10272,NA,NA,NA,1,1,110000,NA,87.312
370,4,1,40980,2012,31.84969,-101.57873,10430,80,Over 160,NA,1,2,960000,1163414,20.472
371,18,1,40910,2012,31.67199,-101.46035,8738,80,Over 160,7,1,1,NA,NA,61.836
372,27,1,41092,2012,31.91239,-101.68314,10562,Over 160,Over 160,1,3,6,1348977,1219954,79.94
375,26,1,40939,2012,31.96911,-101.67954,10251,40,Over 160,NA,1,2,2771860,656428,30.164
378,27,1,41037,2012,31.9694,-101.69667,10229,NA,NA,NA,4,7,1344000,1506732,32.396
379,27,1,40955,2012,31.97211,-101.68047,10076,40,Over 160,NA,4,8,1249577,1360277,21.284
386,14,1,40935,2012,31.7182,-101.48035,10057,NA,NA,NA,7,14,889000,592000,32.164
387,14,1,40886,2011,31.69927,-101.44853,10064,80,Over 160,6,7,14,446000,527000,15.6
389,14,1,41007,2012,31.71186,-101.50558,10182,NA,NA,NA,7,14,826000,552000,19.74
392,14,1,40951,2012,31.68765,-101.41755,10015,NA,NA,NA,7,14,910000,602000,38.58
393,27,1,40907,2011,31.83816,-101.59794,10152,40,Over 160,NA,4,8,1451372,1519371,113.672
394,4,1,40892,2011,31.79269,-101.56571,10039,NA,NA,NA,1,2,79000,2016,80.704
395,14,1,41047,2012,31.71403,-101.49735,10068,NA,NA,NA,7,14,839000,564000,23.02
396,14,1,40989,2012,31.68625,-101.5025,10173,40,Over 160,NA,7,14,843000,555500,84.304
398,14,1,40884,2011,31.70137,-101.45425,10024,NA,NA,NA,7,15,849500,563500,36.36439764
399,27,1,40981,2012,31.92037,-101.70037,10162,NA,NA,NA,4,8,1450084,1141207,56.136
401,2,1,40974,2012,31.82001,-101.54341,10900,NA,NA,NA,7,8,520188,695000,34.8
402,18,1,40911,2012,31.65633,-101.51698,8831,Over 160,40,7,1,1,NA,NA,78.092
403,2,1,40931,2012,31.81814,-101.53517,10790,NA,NA,NA,7,7,508694,686750,20.904
404,27,1,41037,2012,31.97544,-101.73516,10326,NA,NA,NA,4,8,1236550,1276470,53.216
406,27,1,41040,2012,31.90837,-101.69998,10222,NA,NA,NA,4,8,1454339,1366475,50.388
407,2,1,40902,2011,31.8308,-101.54607,10885,NA,NA,NA,7,7,520438,694000,15.464
408,27,1,41036,2012,31.9998,-101.65399,10178,80,160,NA,3,6,1375887,1236605,94.26
410,14,1,40972,2012,31.72497,-101.46528,10120,NA,NA,NA,7,14,827000,562500,37.772
413,27,1,41025,2012,31.88452,-101.73701,10457,NA,NA,NA,4,7,1426469,1433542,91.968
415,4,1,40981,2012,31.73041,-101.44487,9900,NA,NA,NA,1,2,110000,1396522,29.63266871
418,2,1,40992,2012,31.81294,-101.54123,10980,NA,NA,NA,7,8,520437,695008,10.788
419,27,1,41130,2012,31.98156,-101.72766,10743,80,Over 160,3,5,9,1238986,1235601,17.556
421,4,1,41013,2012,31.67782,-101.50887,10240,NA,NA,NA,1,2,112000,1645170,44.73512294
422,11,1,41025,2012,31.81143,-101.56201,10623,NA,NA,NA,1,1,627400,732312,18.684
423,4,1,40968,2012,31.80143,-101.56103,10236,NA,NA,NA,1,2,175000,1344942,82.908
425,14,1,41106,2012,31.67874,-101.44229,10091,40,Over 160,1,7,14,940800,653000,58.692
426,14,1,40990,2012,31.67599,-101.41896,9920,NA,NA,NA,7,14,879800,598000,10.816
428,14,1,41046,2012,31.72459,-101.48299,10034,NA,NA,NA,7,14,838500,561500,24.288
429,14,1,41119,2012,31.6878,-101.44929,10122,40,Over 160,1,7,14,845000,567000,9.5
430,11,1,41031,2012,31.81841,-101.56479,10615,160,Over 160,NA,1,1,809068,907368,27.64
431,14,1,41014,2012,31.67853,-101.42438,10035,NA,NA,NA,7,14,845000,578000,19.944
432,5,1,41013,2012,31.94439,-101.73731,11420,80,20,2,9,19,754603,914684,20.776
434,4,1,41051,2012,31.74152,-101.43141,9828,NA,NA,NA,1,2,130000,1977668,31.532
436,5,1,41098,2012,31.95066,-101.7749,11245,NA,NA,4,9,18,948376,1096176,65.64977319
438,5,1,41119,2012,31.94586,-101.72011,10956,NA,NA,4,10,20,1222148,1091074,45.732
439,5,1,41059,2012,31.92375,-101.73075,11015,NA,NA,8,10,20,1089724,871380,67.44403123
440,4,1,41065,2012,31.85376,-101.58113,10261,80,160,1,1,2,940000,1192478,19.408
442,11,1,41148,2012,31.81542,-101.57769,10531,80,Over 160,3,1,1,892700,861630,21.264
445,11,1,41150,2012,31.98833,-101.67703,10540,NA,NA,3,1,1,1124480,1127196,51.748
447,18,1,41090,2012,31.65509,-101.43738,9906,40,160,6,1,1,NA,NA,25.276
448,4,1,41090,2012,31.72554,-101.43571,9915,80,Over 160,1,1,1,NA,NA,3.256
450,5,1,41092,2012,31.93689,-101.70848,10815,NA,NA,8,8,16,970699,850532,28.48
452,2,1,41064,2012,31.8485,-101.567,10922,80,Over 160,4,8,9,514927,723516,24.28251337
453,2,1,41064,2012,31.85048,-101.56154,10928,NA,NA,4,8,8,621813,805500,39.964
454,2,1,41042,2012,31.82608,-101.54967,10887,40,40,4,8,8,635152,808500,231.404
457,19,1,41133,2012,31.79513,-101.55325,11041,NA,NA,8,1,1,NA,NA,45.796
458,4,1,41096,2012,31.66753,-101.49968,10256,80,Over 160,1,1,1,NA,NA,25.952
461,34,1,41134,2012,31.92888,-101.7731,10655,160,40,6,1,1,1818880,295008,107.336
