WellID,Subarea,Operator,County,Completion.Date,Completion.Year,Surface.Latitude,Surface.Longitude,Depth.Total.Driller..ft.,WB.Spacing.Proxy,SPBY.Spacing.Proxy,Deepest_Zone,Top_Zone,Between_Zone,Frac.Stages,Treatment.Records,Fluid.Water..Gals.,Acid..Gals.,Gel.x.link..Gals.,Other..Gals.,Proppant...Total..lbs.,Fluid...Total..lbs.,CLFK..KHW.,U_SPBR..KHW.,L_SPBR..KHW.,WFMP..KHW.,WFMP_L..KHW.,WFMP_ATB..KH,CLINE..KHW.,STRN..KHW.,ATOK..KHW.,BEND..KHW.,ATOKA_L..KHW,MPLM..KHW.,WDFD..KHW.,DVNN..KHW.,Number,Type,Depth.Top,Depth.Base,Fluid.Amount,Fluid.Units,Fluid.Type,Propping.Agent.Amount,Propping.Agent.Units,Propping.Agent.Type,Pressure.Breakdown,Injection.Rate,Additive,Mesh.Size,EUR_o..Mstb.
490,C,PIONEER NATURAL RESOURCES USA INC,MIDLAND,2003-02-10,2003,31.71044,-101.83959,8940,Over 160,40,WFMP,SPBR_U,SPBR_U --> WFMP,3,7,0,4000,218736,0,473510,222736,6291,7151,7723,8734,9047.12,9494.95,10257.77,10515.4,10679.15,10720.29,10876.98,11259,11471.6,11551.8,3,FRAC,7158,7372,59010,GAL,X-LINKGEL,138510,LB,SAND,NA,NA,,20/40,42.62807791
1543,E,APACHE CORPORATION,REAGAN,2003-02-24,2003,31.46139,-101.63917,8238,20,40,WFMP,SPBR_U,SPBR_U --> WFMP,1,1,0,0,189966,0,291891,189966,5345.29,6336.01,6897.04,7899.72,8212.73,8556.27,9776.47,10109.53,10214.23,NA,10420.77,10568.45,10713.86,10748.7,1,FRAC,6354,8022,189966,GAL,GEL,291891,LB,SAND,NA,NA,,20/40,35.07129045
505,A,MIDLAND ENERGY INCORPORATED,MIDLAND,2003-03-04,2003,31.78472,-102.04792,10525,80,40,WFMP,SPBR_U,SPBR_U --> WFMP,1,2,278000,5000,0,0,390000,283000,6812.78,7711,8290.81,9244,9579.69,9981.75,10408,10647.92,10817.59,10923.1,11215.18,11697.15,11912.88,12004.03,2,FRAC,7728,10430,278000,GAL,W,390000,LB,SAND,NA,NA,GELA,20/40,45.712
1538,E,APACHE CORPORATION,REAGAN,2003-03-04,2003,31.48299,-101.64487,8225,20,40,WFMP,SPBR_U,SPBR_U --> WFMP,1,1,0,0,186984,0,290030,186984,5440.93,6386.6,6950.91,7961.78,8252.85,8596.45,9782.15,10142.3,10236.84,10362.43,10451.84,10582.57,10724.2,10766.92,1,FRAC,6404,8077,186984,GAL,GEL,290030,LB,SAND,NA,NA,GELA,20/40,34.33198681
1567,E,APACHE CORPORATION,REAGAN,2003-03-04,2003,31.54204,-101.64998,8237,40,40,WFMP,CLFK,CLFK --> WFMP,1,1,0,0,187216,0,291500,187216,5584.22,6521.12,7095.06,8113.24,8354.29,8677.24,9826.77,10219.93,10289.43,10400.76,10511.63,10649.92,10781.2,10822.29,1,FRAC,6548,8132,187216,GAL,GEL,291500,LB,SAND,NA,NA,,20/40,36.51621832
1532,E,APACHE CORPORATION,REAGAN,2003-03-07,2003,31.47291,-101.63801,8235,40,40,WFMP,SPBR_U,SPBR_U --> WFMP,1,1,0,0,181546,0,290390,181546,5385.54,6336.65,6898.14,7899.9,8226.17,8574.74,9774.99,10119.49,10221.67,NA,10428.95,10563.19,10708.37,10747.61,1,FRAC,6352,8016,181546,GAL,GEL,290390,LB,SAND,NA,NA,,20/40,44.50083322
465,A,DISCOVERY OPERATING INCORPORATED,MIDLAND,2003-03-08,2003,31.77244,-102.04362,10125,40,80,WFMP,SPBR_U,SPBR_U --> WFMP,1,2,299000,4000,0,0,116500,303000,6845,7736,8286,9253,9611,9929,10423.74,10689.48,10859.09,10947.19,11230.09,11744.53,11955.48,12034.37,2,FRAC,9428,10002,299000,GAL,W,116500,LB,SAND,NA,NA,,,50.888
509,A,MIDLAND ENERGY INCORPORATED,MIDLAND,2003-03-09,2003,31.78587,-102.03544,10500,40,80,WFMP,SPBR_U,SPBR_U --> WFMP,1,2,298000,5000,0,0,366000,303000,6794,7649,8229.48,9216,9590.14,9983.49,10398,10641.66,10872.64,10907.98,11168.61,11666.1,11877.9,11971.84,2,FRAC,7689,9983,298000,GAL,W,366000,LB,SAND,NA,NA,GELA,20/40,54.188
512,B,ENDEAVOR ENERGY RESOURCES LIMITED PRTS,MIDLAND,2003-03-17,2003,31.69204,-101.99936,10500,40,160,WFMP,SPBR_U,SPBR_U --> WFMP,4,7,0,4000,348536,0,293688,352536,6763,7611,8206,9195,9546,10010,10633.45,10918.13,11077.58,11170.81,11299.36,12033.58,12142.31,12203.19,7,FRAC,10204,10416,67569,GAL,GEL,17200,LB,SAND,NA,NA,,,75.676
2,E,PIONEER NATURAL RESOURCES USA INC,GLASSCOCK,2003-03-18,2003,31.65753,-101.72135,8550,160,40,WFMP,SPBR_U,SPBR_U --> WFMP,3,6,0,3500,187446,0,471330,190946,5930.49,6804,7377,8402,8656.68,9117.13,10064.14,10401.03,10549.76,10605.62,10753.48,10994.41,11166.23,11218.13,5,FRAC,6825,7004,54558,GAL,X-LINKGEL,136330,LB,SAND,NA,24,HCL,20/40,40.2
3,D,PIONEER NATURAL RESOURCES USA INC,GLASSCOCK,2003-03-18,2003,31.71566,-101.71787,8550,40,40,WFMP,CLFK,CLFK --> WFMP,3,8,0,5000,201390,0,476570,206390,5929.27,6835,7373,8396,8655.04,9065.5,10017.55,10334.61,10479.53,10565.34,10709.51,10953.88,11091.11,11161.15,3,FLSH,6832,7011,1000,GAL,A,0,undefined,undefined,NA,29,HCL,,39.05038257
1537,E,APACHE CORPORATION,REAGAN,2003-03-19,2003,31.47761,-101.63429,8225,40,40,WFMP,SPBR_U,SPBR_U --> WFMP,1,1,0,0,222222,0,289940,222222,5383.2,6322.86,6885.6,7893.12,8215.88,8567.85,9761.89,10108.15,10208.49,NA,10414.84,10541.75,10687.04,10727.81,1,FRAC,6345,8004,222222,GAL,GEL,289940,LB,SAND,NA,NA,,20/40,26.20745867
1528,E,APACHE CORPORATION,REAGAN,2003-03-21,2003,31.45684,-101.64135,8245,20,40,WFMP,SPBR_U,SPBR_U --> WFMP,1,1,0,0,209197,0,290050,209197,5338.47,6320.26,6882.56,7881.38,8216.21,8552.22,9781.63,10112.14,10218.22,NA,10423.18,10580.33,10725.37,10758.32,1,FRAC,6342,8004,209197,GAL,GEL,290050,LB,SAND,NA,NA,GELA,20/40,55.292
1546,E,APACHE CORPORATION,REAGAN,2003-03-21,2003,31.4544,-101.63619,8225,40,40,WFMP,SPBR_U,SPBR_U --> WFMP,1,1,0,0,212226,0,290950,212226,5309.97,6298.48,6863.02,7863.76,8200.83,8537.52,9771.14,10096.65,10203.17,NA,10404.86,10559.59,10705.13,10737.04,1,FRAC,6322,7982,212226,GAL,GEL,290950,LB,SAND,NA,NA,,20/40,31.19237239
1549,E,APACHE CORPORATION,REAGAN,2003-03-21,2003,31.54763,-101.67463,8237,20,40,WFMP,SPBR_U,SPBR_U --> WFMP,1,1,0,0,193372,0,290360,193372,5643.84,6582.75,7149.32,8175.7,8436.67,8756.4,9883.83,10292.68,10348.32,10430.53,10598.13,10749.66,10887.93,10931.1,1,FRAC,6605,8175,193372,GAL,GEL,290360,LB,SAND,NA,NA,GELA,20/40,39.96278973
1568,E,APACHE CORPORATION,REAGAN,2003-03-23,2003,31.54827,-101.63901,8227,40,40,WFMP,SPBR_U,SPBR_U --> WFMP,1,1,0,0,189533,0,289640,189533,5547.93,6499.02,7066.92,8090.34,8329.36,8656.13,9813.08,10203.81,10276.17,10397.67,10483.15,10623.5,10760.01,10800.13,1,FRAC,6521,8153,189533,GAL,GEL,289640,LB,SAND,NA,NA,,20/40,29.19716485
1520,E,PIONEER NATURAL RESOURCES USA INC,REAGAN,2003-03-24,2003,31.56464,-101.76736,8660,Over 160,40,WFMP,SPBR_U,SPBR_U --> WFMP,3,8,0,5000,195972,0,307850,200972,6015,6892.73,7479,8484.55,8798.96,9150.03,10199.14,10537.31,10666.85,10632.08,10863.32,11250.69,11367.39,11425.6,3,FRAC,6913,7062,47376,GAL,X-LINKGEL,134850,LB,SAND,NA,NA,,20/40,59.67281149
1521,E,PIONEER NATURAL RESOURCES USA INC,REAGAN,2003-03-24,2003,31.63317,-101.65242,8355,160,40,SPBR_L,SPBR_U,SPBR_U --> SPBR_L,3,8,0,5000,197316,0,311100,202316,5758.93,6589,7158,8169,8467.23,8879.65,9907.31,10253.49,10381.99,10451.44,10588.3,10787.45,10937.71,10982.1,3,FRAC,6604,6934,61320,GAL,X-LINKGEL,138100,LB,SAND,NA,NA,,20/40,36.28399577
1577,E,APACHE CORPORATION,REAGAN,2003-03-31,2003,31.52689,-101.6323,8240,40,40,WFMP,SPBR_U,SPBR_U --> WFMP,1,1,0,0,197782,0,290200,197782,5503.51,6488.43,7053.65,8073.54,8270.3,8603.45,9769.45,10153.9,10225.09,10368.86,10431.4,10555.56,10689.37,10730.44,1,FRAC,6495,8147,197782,GAL,GEL,290200,LB,SAND,NA,NA,GELA,20/40,16.66110048
7,F,ENDEAVOR ENERGY RESOURCES LIMITED PRTS,GLASSCOCK,2003-04-03,2003,31.70024,-101.52357,8900,80,80,WFMP,CLFK,CLFK --> WFMP,1,1,247212,0,0,0,265000,247212,5266,6156.01,6670.47,7758.41,8192.68,8394.65,9475.9,9808.25,9926.03,10056.55,10103.16,10244.89,10382.44,10426.28,1,FRAC,6155,8690,247212,GAL,W,265000,LB,SAND,NA,NA,,,22.156
480,B,ENDEAVOR ENERGY RESOURCES LIMITED PRTS,MIDLAND,2003-04-05,2003,31.7089,-101.9754,10500,80,160,WFMP,SPBR_U,SPBR_U --> WFMP,4,8,0,5000,346629,0,312260,351629,6724,7569,8184,9156,9545,9898,10535.52,10853.88,11019.63,11035.01,11254.86,11951.94,12076.8,12128.29,8,FRAC,10212,10369,66935,GAL,GEL,17341,LB,SAND,NA,NA,,,65.232
510,B,ENDEAVOR ENERGY RESOURCES LIMITED PRTS,MIDLAND,2003-04-05,2003,31.6616,-102.0168,10500,40,80,WFMP,SPBR_U,SPBR_U --> WFMP,5,10,0,11000,319964,0,274296,330964,6817,7699,8257,9239,9581,10011,10561.59,10912.37,11044.78,11031.44,11252.42,12002.76,12125.44,12211.85,10,FRAC,10235,10391,66244,GAL,GEL,17500,LB,SAND,NA,NA,,,45.17484084
521,A,DISCOVERY OPERATING INCORPORATED,MIDLAND,2003-04-07,2003,31.76902,-102.07469,10115,80,80,WFMP,SPBR_U,SPBR_U --> WFMP,2,4,439000,35550,0,0,243000,474550,6874,7771,8309,9237,9597,9895,10354.43,10616.03,10717.82,10855.93,11142.11,11689.6,11908.53,12004.18,4,FRAC,8051,8641,134000,GAL,W,174000,LB,SAND,NA,NA,,,38.332
1523,E,PIONEER NATURAL RESOURCES USA INC,REAGAN,2003-04-08,2003,31.54523,-101.62044,8198,80,40,SPBR_L,SPBR_U,SPBR_U --> SPBR_L,3,8,0,5000,202337,0,470740,207337,5539.58,6446.59,7012.17,8036.73,8261.6,8595.41,9769.38,10148.97,10223.04,10376.21,10415.39,10555.15,10682.37,10721.66,3,FRAC,6458,6633,55356,GAL,X-LINKGEL,135740,LB,SAND,NA,NA,,20/40,35.02434343
2256,C,PIONEER NATURAL RESOURCES USA INC,UPTON,2003-04-08,2003,31.56046,-101.84707,8950,80,40,WFMP,SPBR_U,SPBR_U --> WFMP,3,6,0,5000,201474,0,466630,206474,6278,7179.36,7831.32,8768.51,9056.29,9333.95,10334.07,10617.99,10771.73,10710.52,10956.7,11554.58,11636.32,11709.8,6,FRAC,7191,7378,57414,GAL,X-LINKGEL,136630,LB,SAND,NA,NA,GELA,20/40,29.576
464,A,ENDEAVOR ENERGY RESOURCES LIMITED PRTS,MIDLAND,2003-04-09,2003,31.76507,-102.01066,11000,40,160,WFMP,CLFK,CLFK --> WFMP,1,1,421008,0,0,0,401920,421008,6744.29,7644,8201,9188,9547,9853,10505.56,10774.66,10937.08,11032.85,11302.79,11740.16,11941.33,12009.11,1,FRAC,7651,10345,421008,GAL,W,401920,LB,SAND,NA,NA,,,68.90641599
503,C,ENDEAVOR ENERGY RESOURCES LIMITED PRTS,MIDLAND,2003-04-09,2003,31.86433,-101.9524,10800,40,Sub 20,WFMP,SPBR_U,SPBR_U --> WFMP,1,1,304080,0,0,0,403560,304080,6645.08,7500.36,8096.53,9066.32,9390,9775.66,10319.5,10580.22,10711.81,10764.69,10883.47,11260.43,11505.34,11620.2,1,FRAC,7508,9907,304080,GAL,W,403560,LB,SAND,NA,NA,,,32.36
1531,E,APACHE CORPORATION,REAGAN,2003-04-10,2003,31.47572,-101.64258,8258,40,40,WFMP,SPBR_U,SPBR_U --> WFMP,1,1,0,0,243264,0,290750,243264,5411.59,6358.01,6924.09,7930.31,8244.07,8589.35,9785.07,10134.06,10234.8,10367.15,10446.85,10582.32,10725.8,10765.57,1,FRAC,6382,8046,243264,GAL,GEL,290750,LB,SAND,NA,NA,GELA,20/40,42.468
502,C,ENDEAVOR ENERGY RESOURCES LIMITED PRTS,MIDLAND,2003-04-11,2003,31.85098,-101.94733,10800,40,40,WFMP,SPBR_U,SPBR_U --> WFMP,1,1,3044034,0,0,0,525460,3044034,6609.81,7447.07,8034.03,8996,9308,9729.35,10212.44,10404.42,10541.89,10629.58,10815.69,11172.48,11425.14,11531.57,1,FRAC,7455,9845,3044034,GAL,W,525460,LB,SAND,NA,NA,,,13.256
1517,E,PIONEER NATURAL RESOURCES USA INC,REAGAN,2003-04-15,2003,31.62843,-101.74845,8590,Over 160,40,SPBR_L,SPBR_U,SPBR_U --> SPBR_L,3,6,0,1500,193946,1500,668600,196946,5998,6847,7444,8450,8741.03,9165.55,10143.83,10480.51,10628.84,10640.84,10803.85,11112.65,11283.65,11335.18,6,FRAC,6882,7050,60060,GAL,X-LINKGEL,334300,LB,SAND,NA,NA,,20/40,26.152
1524,E,PIONEER NATURAL RESOURCES USA INC,REAGAN,2003-04-15,2003,31.53781,-101.6181,8210,80,40,SPBR_L,CLFK,CLFK --> SPBR_L,3,8,0,5000,196980,0,468860,201980,5492.61,6414.17,6981.53,8000.74,8242.74,8577.92,9754.29,10131.67,10206.04,10367.06,10397.39,10528.1,10655.58,10694.76,3,FRAC,6413,6590,51492,GAL,X-LINKGEL,122328,LB,SAND,NA,NA,,20/40,29.088
507,C,PIONEER NATURAL RESOURCES USA INC,MIDLAND,2003-04-21,2003,31.7633,-101.85252,9018,160,40,WFMP,CLFK,CLFK --> WFMP,3,6,0,2000,203114,0,2048353.973,205114,6336.38,7224.07,7800.24,8801.61,9143.41,9428.42,10295.86,10542.98,10687.82,10748.97,10910.9,11280.4,11516.12,11575.24,6,ACID,7214,7433,1000,GAL,A,0,undefined,undefined,NA,28,HCL,,35.08171606
1519,E,PIONEER NATURAL RESOURCES USA INC,REAGAN,2003-04-21,2003,31.6031,-101.74503,8540,40,40,SPBR_L,SPBR_U,SPBR_U --> SPBR_L,3,8,0,45500,2495052,500,472550,2541052,5922,6799,7395,8395.22,8686.93,9080.36,10091.46,10447.33,10584.56,10580.05,10792.83,11090.5,11238.13,11290.3,3,FRAC,6827,7004,2337300,GAL,GEL,137550,LB,SAND,NA,NA,,20/40,32.70993787
1569,E,PIONEER NATURAL RESOURCES USA INC,REAGAN,2003-04-21,2003,31.61882,-101.7411,8590,160,40,WFMP,CLFK,CLFK --> WFMP,3,6,0,5000,189042,0,472100,194042,5923,6821,7400,8404,8699,9109.84,10104.08,10453.08,10595.76,10603.19,10790.77,11075.83,11240.13,11290.75,6,FRAC,6820,7010,53718,GAL,X-LINKGEL,136274,LB,SAND,NA,NA,,20/40,40.412
10,E,PIONEER NATURAL RESOURCES USA INC,GLASSCOCK,2003-04-22,2003,31.69134,-101.72307,8575,Over 160,40,WFMP,SPBR_U,SPBR_U --> WFMP,3,8,0,5000,196636,0,318180,201636,5792,6829,7366,8390,8656.19,9133.99,10050.2,10368.02,10515.05,10590.94,10729.45,10995.26,11136.53,11201.25,8,ACID,6839,7027,500,GAL,A,0,undefined,undefined,NA,28,HCL,,45.276
11,E,PIONEER NATURAL RESOURCES USA INC,GLASSCOCK,2003-04-22,2003,31.66554,-101.71945,8600,160,40,WFMP,SPBR_U,SPBR_U --> WFMP,3,7,0,5000,207551,0,471280,212551,5809,6805,7355,8351,8646.49,9116.74,10056,10388.32,10535.72,10599.31,10749.94,10988.02,11151.83,11206.48,7,FRAC,6816,6970,58044,GAL,X-LINKGEL,135080,LB,SAND,NA,NA,,20/40,57.8056949
1558,E,PIONEER NATURAL RESOURCES USA INC,REAGAN,2003-04-22,2003,31.60893,-101.75121,8690,160,40,WFMP,CLFK,CLFK --> WFMP,3,8,0,5000,195760,0,470980,200760,5961,6837.52,7411.87,8415.88,8719.5,9124.44,10129.96,10471.39,10613.53,10607.26,10815.51,11127.74,11275.97,11329.68,3,FRAC,6830,7018,50650,GAL,X-LINKGEL,138529,LB,SAND,NA,NA,,20/40,45.448
