Fluid.Water..Gals.,Acid..Gals.,Fluid...Total..lbs.,Fluid.Amount,Propping.Agent.Amount,Subarea,Operator,County,Completion.Year,WB.Spacing.Proxy,SPBY.Spacing.Proxy,Frac.Stages,Other..Gals.,EUR_o..Mstb.,Top_Zone,Deepest_Zone,Type,Depth.Top,Fluid.Type,Propping.Agent.Type,Additive,Mesh.Size
0,13500,992712,74676,180500,4,27,1,2009,1,5,8,0,55.332,5,7,3,7684,11,3,20,6
0,26000,520460,51408,131780,4,27,1,2009,3,3,5,57594,16.288,3,6,3,6473,11,3,20,6
0,10000,453297,68764,183892,4,27,1,2009,1,4,6,0,39.94539112,3,7,3,6555,11,3,20,6
0,10500,428505,59934,112994,4,27,1,2009,1,3,6,0,55.758,3,7,3,6559,11,3,20,6
0,10500,525297,38661,115720,4,27,1,2009,4,4,6,0,30.744,3,7,3,6522,11,3,20,6
0,12000,1371338,73378,181008,4,27,1,2010,1,5,7,0,63.824,3,7,3,6480,11,3,20,6
0,10000,497524,67150,157957,4,27,1,2009,5,3,6,0,71.54,2,7,3,7609,11,3,20,6
0,0,1401510,250962,121444,4,27,1,2011,3,1,4,0,21.28,1,7,3,9689,11,3,20,NA
0,10000,615580,50568,156657,4,27,1,2009,4,5,7,0,18.724,3,7,3,6429,11,3,20,6
0,9500,586154,62286,132735,4,27,1,2009,4,1,6,0,36.49085403,2,7,3,7591,11,3,20,6
817824,10000,827824,817824,717200,4,5,1,2009,1,4,1,0,34.6978439,2,6,3,7388,6,3,9,6
9828,14070,1040046,1016148,927236,4,13,1,2009,4,3,1,0,69.756,3,1,3,6879,11,3,NA,NA
1075580.1,0,1408201.2,1231011.6,797164,6,14,1,2010,1,5,1,0,34.512,2,6,3,7154,9,3,9,NA
722358,12696,735054,722358,314800,4,5,1,2009,1,5,1,0,26.556,2,1,3,7864,9,3,NA,6
0,13500,891294,56544,142720,4,27,1,2010,1,1,8,0,25.224,3,7,3,6662,11,3,20,6
768857,0,768857,768857,609217,6,14,1,2010,3,5,1,0,19.788,2,1,3,7042,9,3,9,NA
0,26000,1408201.2,60312,150091,4,27,1,2010,5,5,8,0,49.828,3,7,3,6750,11,3,20,1
0,12492,153212,NA,243600,4,5,1,2010,4,1,1,0,73.936,5,8,3,9752,NA,3,NA,2
0,26000,769700,28700,0,4,14,1,2010,4,5,7,0,47.484,1,4,1,10500,1,NA,11,NA
0,11592,1131564,1119972,927236,6,13,1,2010,4,4,1,0,28.372,5,6,3,7857,6,3,9,NA
0,26000,973000,81000,50000,4,14,1,2010,4,5,10,0,41.77,1,4,3,10650,6,3,9,6
0,26000,778000,23277.5,0,4,14,1,2010,4,1,8,0,36.072,1,4,1,10060,1,NA,11,NA
0,13500,1095929,72408,204399,4,27,1,2010,3,4,8,0,37.35049321,3,7,3,6967,11,3,20,1
1068228,0,1068228,1068228,877792,6,14,1,2010,4,1,1,0,61.80434803,1,6,3,6046,9,3,9,NA
1038996,12600,1051596,1038996,927236,4,13,1,2011,4,1,1,0,53.388,3,1,3,6602,3,3,9,NA
237250,0,686750,43000,16500,4,2,1,2011,4,1,7,0,35.412,5,8,3,10016,11,3,20,NA
0,1000,617300,23277.5,6000,4,2,1,2011,3,4,5,0,53.116,5,4,3,10764,6,3,3,NA
951720,0,951720,951720,927236,4,11,1,2011,3,5,1,0,84.72,2,1,3,6910,3,3,NA,NA
0,15834,153212,24110,927236,6,13,1,2010,4,5,1,0,41.68,3,4,3,6170,6,3,9,NA
0,16500,1408201.2,1231011.6,601501,4,27,1,2011,4,4,3,0,23.642,3,7,3,8380,11,3,20,NA
0,0,1408201.2,1231011.6,849581,4,27,1,2011,4,1,3,0,23.042,3,6,3,8225,11,3,20,10
0,25116,153212,NA,37000,4,4,1,2010,1,5,5,0,32.96370677,2,1,3,10024,NA,3,NA,NA
0,20034,153212,NA,25000,4,4,1,2010,4,5,6,0,13.372,5,1,3,9934,NA,3,NA,NA
0,22092,1144710,1122618,927236,6,13,1,2011,4,1,1,0,58.952,2,3,3,6906,6,3,9,NA
1075580.1,16000,1408201.2,306600,183400,6,19,1,2010,1,2,5,0,90.188,5,1,3,9709,9,3,NA,NA
0,22600,1408201.2,491400,230600,6,19,1,2010,4,5,6,2356200,98.23186666,5,1,3,9746,8,3,17,NA
0,17000,696602,679602,413100,4,5,1,2011,3,5,1,0,75.576,5,3,3,8350,11,4,20,NA
0,16500,1212862,302878,173526,4,27,1,2011,3,5,4,0,41.86032034,1,6,3,9849,11,3,9,9
636720,8190,644910,73878,50000,4,5,1,2011,3,4,2,0,35.212,5,6,3,10182,3,3,NA,6
0,0,1134264,40000,1e+05,4,2,1,2011,4,4,7,0,94.12444184,1,4,3,10839,6,3,NA,NA
0,0,1201204,40000,49750,4,2,1,2011,1,4,7,0,82.72679578,3,4,3,10809,6,3,NA,NA
0,13500,1115891,836252,557409,4,27,1,2011,5,5,3,0,182.758,3,6,3,8346,6,3,9,NA
0,22000,153212,NA,80000,6,4,1,2011,4,5,8,0,9.968,2,1,3,9607,NA,3,NA,NA
0,16500,1408201.2,1228962,902190,4,27,1,2011,5,5,2,0,4.196,1,6,3,7496,11,3,20,NA
0,15120,1118880,1103760,927236,6,13,1,2011,4,1,1,0,36.92,3,4,3,6211,6,3,9,NA
0,15000,1346749,118694,87885,4,27,1,2011,3,3,4,0,64.232,1,6,3,10126,11,3,20,NA
1055334,0,1055334,23277.5,0,4,14,1,2011,4,1,1,0,95.636,1,4,1,6479,1,NA,11,NA
891450,4404,895854,23277.5,0,4,14,1,2011,4,3,1,0,56.668,3,1,1,6508,1,NA,11,NA
0,24360,153212,NA,52500,4,4,1,2011,4,4,8,0,15.792,2,1,3,9951,NA,3,NA,NA
0,24612,153212,NA,29000,4,4,1,2011,1,5,8,0,23.312,2,1,3,9892,NA,3,NA,NA
0,26000,153212,NA,29000,6,4,1,2011,1,5,7,0,19.484,5,1,3,9737,NA,3,NA,NA
1e+05,26000,646000,1e+05,51000,4,14,1,2011,3,1,8,0,36.824,1,1,3,10099,3,3,3,6
218000,26000,664000,108000,50000,4,14,1,2011,3,1,8,0,41.876,2,4,3,10700,3,3,4,6
344000,26000,816000,96000,50000,4,14,1,2011,3,5,8,0,30.524,3,4,3,10510,3,3,3,6
248000,26000,748000,118000,78000,4,14,1,2011,4,5,7,0,27.412,3,1,3,10046,3,3,3,6
423000,26000,747000,118000,75000,4,14,1,2011,4,5,7,0,31.096,3,1,3,10051,3,3,3,6
232000,26000,719000,116000,75000,4,14,1,2011,3,1,7,0,30.76,2,1,3,10014,3,3,3,6
213000,26000,659000,110000,75000,4,14,1,2011,4,5,7,0,30.044,2,1,3,10030,3,3,3,6
226000,26000,608000,123000,75000,4,14,1,2011,3,1,7,0,30.492,2,1,3,10004,3,3,4,6
226500,26000,636000,110000,75000,4,14,1,2011,4,5,7,0,29.132,2,1,3,10078,3,3,3,6
0,26000,529000,108000,75000,4,14,1,2012,NA,NA,6,0,42.18,3,6,3,10072,11,3,3,6
125000,26000,490000,125000,95000,4,14,1,2011,4,5,8,0,21.352,1,7,3,9596,3,3,4,6
225000,26000,691000,110000,51000,4,14,1,2011,3,4,8,0,19.268,1,6,3,10076,3,3,3,6
225000,26000,675500,110000,75000,4,14,1,2011,3,4,8,0,18.056,2,1,3,10148,3,3,3,6
0,13500,1165066,855820,573189,4,27,1,2011,1,3,3,0,36.568,1,7,3,8664,11,3,20,NA
0,0,1110038,829533,562654,4,27,1,2011,5,5,3,0,25.364,1,7,3,8317,6,3,9,9
0,24066,153212,NA,78000,6,4,1,2011,4,5,8,0,28.784,2,1,3,9678,NA,3,NA,NA
0,14112,993174,979062,927236,4,13,1,2011,4,4,1,0,46.584,3,1,3,7445,6,3,9,NA
0,12096,963942,951846,786080,4,13,1,2011,NA,NA,1,0,74.564,2,1,3,7588,6,3,9,NA
0,16500,1360358,175680,119785,4,27,1,2011,4,3,4,0,73.544,3,6,3,10070,11,3,9,9
0,0,1369538,23277.5,0,4,27,1,2011,1,5,4,0,129.9206302,3,6,1,6507,1,NA,11,NA
0,0,1291704,23277.5,0,4,27,1,2011,1,1,4,0,51.348,3,6,1,6314,1,NA,11,NA
416000,26000,780300,98000,50000,6,14,1,2011,3,5,6,0,16.16,2,4,3,10158,3,3,17,6
NA,NA,NA,NA,0,6,18,1,2011,3,1,12,NA,423.792,3,3,3,9804,1,NA,11,NA
0,15500,1408201.2,420000,258000,6,19,1,2011,4,1,5,2016000,152.468,5,3,3,9816,8,3,17,NA
0,24108,153212,NA,10000,6,4,1,2011,3,5,8,0,26.888,2,1,3,9714,NA,3,NA,NA
0,13500,1252851,182505,130227,4,27,1,2011,1,2,4,0,39.84,3,6,3,10200,6,3,NA,NA
NA,NA,NA,NA,0,6,18,1,2011,4,1,12,NA,257.668,3,4,3,9948,1,NA,11,NA
915348,0,915348,915348,927236,4,25,1,2011,4,1,1,0,43.24659366,2,4,3,6918,3,3,NA,NA
1075580.1,0,1116402,1116402,927236,4,25,1,2011,1,5,1,0,17.936,2,1,3,7288,3,3,NA,NA
922488,0,922488,922488,914711,4,25,1,2011,4,4,1,0,25.468,2,1,3,6990,3,3,NA,NA
236000,26000,777700,23277.5,0,6,14,1,2011,1,5,7,0,21.2,2,2,1,10590,1,NA,11,NA
129000,26000,757000,129000,95000,6,14,1,2011,1,5,7,0,24.084,2,1,3,9496,3,3,3,6
111000,26000,537000,111000,97500,6,14,1,2011,4,5,7,0,6.988,1,7,3,9424,3,3,3,6
129000,23000,529000,129000,95000,6,14,1,2011,3,5,5,0,23.62,2,6,3,9374,3,3,3,6
111000,26000,539500,111000,97500,6,14,1,2011,1,5,7,0,26.516,3,7,3,9248,3,3,17,6
108000,26000,502500,108000,80000,6,14,1,2011,3,5,6,0,32.736,2,7,3,9330,3,3,3,6
1075580.1,26000,1408201.2,252000,115000,4,31,1,2011,4,5,2,0,97.304,5,1,3,10104,9,3,NA,NA
1075580.1,0,1083306,1083306,927236,4,6,1,2011,4,2,1,0,59.932,2,3,3,7380,3,3,NA,NA
1001406,0,1001406,1001406,927236,4,6,1,2011,4,3,1,0,35.636,2,3,3,7300,3,3,NA,NA
NA,NA,NA,NA,0,6,18,1,2011,4,4,12,NA,88.32861051,3,1,3,9884,1,NA,11,NA
1075580.1,15120,1105860,1090740,905898,6,13,1,2011,4,4,1,0,10.636,2,4,3,7080,3,3,NA,NA
0,26000,1408201.2,382000,253700,4,5,1,2011,3,4,1,0,46.308,5,1,3,8629,11,3,20,9
927948,12096,940044,927948,866438,6,13,1,2011,3,4,1,0,109.128,2,4,3,7050,3,3,9,NA
0,10,650545,23277.5,0,4,5,1,2011,4,1,10,0,153.18,5,3,1,10584,1,NA,1,NA
0,16500,1306628,162030,113000,4,27,1,2011,4,1,4,0,29.21941362,3,6,3,10033,6,3,2,6
0,18000,1408201.2,167382,927236,4,27,1,2011,4,1,4,0,19.164,3,6,3,9977,6,3,20,9
174500,26000,571500,63500,50000,6,14,1,2011,3,5,7,0,29.81065115,2,1,3,9704,3,3,3,6
219000,26000,601000,81000,50000,6,14,1,2011,4,5,7,0,25.35257157,2,1,3,9790,3,3,4,6
122000,26000,452000,122000,95000,6,14,1,2011,3,5,6,0,22.844,2,1,3,9506,3,3,3,6
0,15000,1225372,157865,120132,4,27,1,2011,1,4,4,0,74.448,3,6,3,10242,11,3,3,9
0,16500,1317458,989269,717834,4,27,1,2011,3,5,3,0,107.0470321,3,1,3,8300,11,3,9,NA
0,26000,153212,NA,125000,6,3,1,2011,4,3,1,0,3.42574173,3,1,3,6484,NA,3,NA,8
1028748,0,1028748,1028748,927236,4,11,1,2011,3,5,1,0,124.084,2,3,3,7510,3,3,NA,NA
1075580.1,0,1318758,1231011.6,128790,6,3,1,2011,4,4,1,0,1.219311577,3,8,3,6440,3,3,NA,6
0,26000,153212,NA,71000,4,4,1,2011,1,5,8,0,46.9,2,1,3,9937,NA,3,NA,NA
1013334,0,1013334,1013334,884922,4,11,1,2011,4,5,1,0,95.452,5,3,3,7978,3,3,NA,NA
226000,26000,667500,123000,75000,6,14,1,2011,3,1,8,0,41.792,3,1,3,9993,3,3,4,6
945504,0,945504,945504,927236,4,6,1,2012,NA,NA,1,0,76.148,2,1,3,7530,3,3,NA,NA
1041852,0,1041852,1041852,927236,4,6,1,2011,NA,NA,1,0,57.424,2,1,3,7436,3,3,NA,NA
NA,NA,NA,NA,0,6,18,1,2011,4,5,1,NA,113.708,3,3,3,5964,1,NA,11,NA
111000,26000,564500,111000,81000,6,14,1,2011,4,4,7,0,28.564,3,6,3,9770,3,3,3,6
0,26000,589000,135500,87800,6,14,1,2012,NA,NA,7,0,29.872,3,1,3,9730,11,3,3,6
552000,26000,581000,125000,75000,6,14,1,2011,5,5,7,0,29.108,3,6,3,9634,3,3,4,6
111000,26000,542000,111000,81000,6,14,1,2011,4,1,7,0,12.116,3,6,3,9660,3,3,3,6
206500,0,656000,43000,16500,4,2,1,2011,4,2,7,0,49.16,5,8,3,10139,11,3,NA,NA
969192,0,969192,969192,927236,4,6,1,2011,1,3,1,0,35.588,2,8,3,7324,3,3,NA,NA
96000,26000,552000,96000,85000,6,14,1,2011,3,5,7,0,45.868,2,1,3,9578,3,3,3,6
0,26000,572500,116000,91500,6,14,1,2012,NA,NA,7,0,26.248,3,6,3,9526,11,3,17,6
111000,26000,547000,111000,97500,6,14,1,2011,4,5,7,0,48.432,3,1,3,9502,3,3,3,6
111000,25000,474000,111000,97500,6,14,1,2011,3,5,6,0,57.56,3,1,3,9340,3,3,3,6
125000,26000,658500,125000,75000,6,14,1,2012,4,5,8,0,25.476,3,6,3,9688,3,3,3,6
111000,26000,557000,111000,98000,6,14,1,2011,4,5,7,0,36.408,3,1,3,9414,3,3,3,9
111000,26000,557000,111000,98000,6,14,1,2011,3,5,7,0,44.064,3,1,3,9360,3,3,4,6
614000,26000,645000,98000,50000,6,14,1,2011,3,5,7,0,41.33660355,2,1,3,9750,3,3,4,6
893970,0,893970,893970,927236,4,11,1,2011,3,5,1,0,60.20299007,5,3,3,7977,3,3,NA,NA
0,20580,153212,NA,78400,6,4,1,2011,3,5,7,0,29.636,3,1,3,9556,NA,3,NA,6
1075580.1,16500,1408201.2,195714,120471,4,27,1,2011,3,1,4,0,37.312,3,1,3,10200,3,3,3,9
0,16500,1408201.2,173063,119912,4,27,1,2011,3,3,4,0,85.224,3,6,3,10089,11,3,NA,NA
0,0,949223,23277.5,0,4,27,1,2011,1,1,4,0,27.888,1,6,1,6647,1,NA,11,NA
NA,NA,NA,NA,140000,6,3,1,2011,4,3,1,NA,5.964764826,3,8,3,6528,NA,3,NA,8
0,1008,153212,NA,64000,6,4,1,2011,4,1,8,0,29.444,3,1,3,9584,NA,3,NA,NA
0,16500,1280860,151787,104147,4,27,1,2011,5,5,4,0,38.444,3,1,3,9944,11,3,3,9
706782,16500,1390904,160182,130310,4,27,1,2011,4,5,4,0,64.552,3,1,3,9977,11,3,9,9
735000,0,735000,735000,623671,4,6,1,2011,3,3,1,0,185.44,5,1,3,8600,3,3,NA,NA
0,0,656040,37548,630,4,5,1,2011,3,4,11,0,44.108,5,8,3,10640,6,3,9,6
0,0,889938,23277.5,NA,4,5,1,2011,NA,NA,12,0,19.624,5,4,3,10790,6,NA,9,NA
0,0,849450,85470,40000,4,5,1,2011,NA,NA,12,0,15.236,NA,NA,3,10842,11,1,20,6
0,0,682782,71778,34885,4,5,1,2011,2,3,9,0,20.088,5,4,3,10866,6,2,9,6
0,12000,889944,112518,100020,4,5,1,2012,NA,NA,9,0,39.168,5,8,3,10498,11,1,20,6
0,13000,949662,116402,47388,4,5,1,2012,3,4,10,0,43.46283285,5,8,3,10664,6,1,9,6
0,15000,1398056,168191,120430,4,27,1,2011,1,3,4,0,49.112,3,1,3,10146,11,3,3,9
0,16500,1367077,189072,120714,4,27,1,2011,1,3,4,0,44.632,1,6,3,10150,11,3,4,9
0,11000,1119758,1108758,740000,4,4,1,2012,NA,NA,1,1108758,20.592,5,1,3,8222,8,5,17,NA
0,0,153212,88200,74000,4,4,1,2011,4,5,1,0,11.548,5,1,3,7858,11,3,NA,NA
168000,0,168000,168000,NA,6,4,1,2011,NA,NA,1,0,57.912,NA,NA,3,6876,3,NA,NA,NA
339700,0,809200,43000,16500,4,2,1,2011,3,4,8,0,26.81893188,5,4,3,10143,11,3,NA,NA
936726,0,936726,936726,927236,4,11,1,2012,4,5,1,0,24.56,NA,NA,3,7468,3,3,NA,NA
1074780,0,1074780,1074780,927236,4,11,1,2012,3,5,1,0,218.792,2,4,3,7338,3,3,NA,NA
NA,NA,NA,NA,110000,6,4,1,2011,NA,NA,1,NA,87.312,NA,NA,3,7202,NA,3,NA,NA
0,14000,1163414,1149414,927236,4,4,1,2012,4,5,1,1149414,20.472,NA,NA,3,7261,8,5,17,NA
NA,NA,NA,367906,448094,6,18,1,2012,4,5,1,NA,61.836,2,7,3,7038,3,3,4,12
0,12000,1219954,858204,736652,4,27,1,2012,5,5,3,0,79.94,3,1,3,8206,11,3,20,NA
639334,17094,656428,639334,761500,4,26,1,2012,3,5,1,0,30.164,NA,NA,3,7364,3,3,NA,NA
0,12000,1408201.2,202768,149573,4,27,1,2012,NA,NA,4,0,32.396,NA,NA,3,10042,11,3,20,9
0,15000,1360277,218356,142382,4,27,1,2012,3,5,4,0,21.284,NA,NA,3,9904,11,3,3,9
NA,NA,NA,639464,756852,6,18,1,2012,3,5,1,NA,61.80248271,3,7,3,5978,3,3,3,12
0,26000,592000,118000,83000,6,14,1,2012,NA,NA,7,118000,32.164,NA,NA,3,9480,8,3,3,6
101000,26000,527000,101000,55000,6,14,1,2011,4,5,7,0,15.6,3,6,3,9454,3,3,9,6
0,26000,552000,114000,88000,6,14,1,2012,NA,NA,7,0,19.74,NA,NA,3,9604,11,3,20,6
136000,26000,602000,136000,101000,6,14,1,2012,NA,NA,7,0,38.58,NA,NA,3,9528,3,3,3,6
0,16500,1408201.2,168084,82233,4,27,1,2011,3,5,4,0,113.672,NA,NA,3,9924,11,3,4,9
0,2016,153212,NA,79000,4,4,1,2011,NA,NA,1,0,80.704,NA,NA,3,7182,NA,5,NA,NA
0,26000,564000,114000,88000,6,14,1,2012,NA,NA,7,0,23.02,NA,NA,3,9500,11,3,20,6
0,26000,555500,108000,77000,6,14,1,2012,3,5,7,0,84.304,NA,NA,3,9788,11,3,20,6
