Fluid.Water..Gals.,Acid..Gals.,Gel.x.link..Gals.,Proppant...Total..lbs.,Fluid...Total..lbs.,Fluid.Amount,Propping.Agent.Amount,WellID,Subarea,Operator,County,Completion.Date,Completion.Year,Surface.Latitude,Surface.Longitude,Depth.Total.Driller..ft.,WB.Spacing.Proxy,SPBY.Spacing.Proxy,Between_Zone,Frac.Stages,Treatment.Records,Other..Gals.,EUR_o..Mstb.,Top_Zone,Deepest_Zone,Number,Type,Depth.Top,Depth.Base,Fluid.Units,Fluid.Type,Propping.Agent.Units,Propping.Agent.Type,Pressure.Breakdown,Injection.Rate,Additive,Mesh.Size
0,17250,476075,553160,493325,78753,16847,46,C,APACHE CORPORATION,GLASSCOCK,2006-09-06,2006,31.77755,-101.77365,9882,80,40,SPBR_U --> WFMP,7,14,0,29.40701198,SPBR_U,WFMP,14,FRAC,9252,9538,GAL,GEL,LB,SAND,NA,35,NA,20/40
0,9750,316903,702360,326653,55157,128358,48,D,APACHE CORPORATION,GLASSCOCK,2007-02-20,2007,31.74807,-101.72345,9775,40,40,CLFK --> WFMP,5,9,0,19.20842649,CLFK,WFMP,9,FRAC,6857,7025,GAL,X-LINKGEL,LB,SAND,NA,35,NA,20/40
0,9750,348769,505100,358519,66985,17637,49,D,APACHE CORPORATION,GLASSCOCK,2006-11-30,2006,31.74469,-101.72234,9806,40,40,CLFK --> WFMP,5,9,0,14.8,CLFK,WFMP,9,FRAC,8956,9041,GAL,GEL,LB,SAND,NA,51,NA,20/40
0,12750,433981,522940,446731,51612,133871,52,D,APACHE CORPORATION,GLASSCOCK,2006-12-16,2006,31.72326,-101.74759,9843,80,40,SPBR_U --> WFMP,6,11,0,23.14,SPBR_U,WFMP,11,FRAC,6928,7096,GAL,X-LINKGEL,LB,SAND,NA,33,NA,20/40
0,10750,268997,207880,279747,58616,158996,53,C,APACHE CORPORATION,GLASSCOCK,2007-02-17,2007,31.72145,-101.75576,9844,NA,NA,WFMP --> WFMP,4,8,0,18.328,WFMP,WFMP,8,FRAC,8424,8539,GAL,X-LINKGEL,LB,SAND,NA,40,SCIN,20/40
0,3000,0,506200,153212,NA,18170,54,C,APACHE CORPORATION,GLASSCOCK,2007-02-22,2007,31.71903,-101.75111,9853,80,40,CLFK --> WFMP,5,6,0,13.684,CLFK,WFMP,6,FRAC,9556,9676,NA,NA,LB,SAND,NA,NA,NA,20/40
241752,0,0,110277.1,241752,241752,61500,55,F,APACHE CORPORATION,GLASSCOCK,2006-12-03,2006,31.65737,-101.56293,8177,80,40,CLFK --> WFMP,1,1,0,55.3862174,CLFK,WFMP,1,FRAC,6272,7306,GAL,W,LB,SAND,NA,NA,SFAC,20/40
273756,0,0,449160,273756,74004,108332,58,F,PIONEER NATURAL RESOURCES USA INC,GLASSCOCK,2007-02-28,2007,31.70227,-101.6474,8851,160,20,SPBR_U --> WFMP,4,4,0,31.07150317,SPBR_U,WFMP,4,FRAC,8400,8440,GAL,FLUD,LB,SAND,NA,NA,NA,NA
244692,0,0,350761,244692,98658,135248,59,F,PIONEER NATURAL RESOURCES USA INC,GLASSCOCK,2006-08-10,2006,31.69705,-101.63656,8835,160,40,SPBR_U --> WFMP,3,3,0,46.04231632,SPBR_U,WFMP,3,FRAC,8190,8230,GAL,FLUD,LB,SAND,NA,NA,NA,NA
0,14250,412047,523253,426297,45604,134736,60,D,APACHE CORPORATION,GLASSCOCK,2007-01-26,2007,31.73249,-101.74037,9792,80,40,SPBR_U --> WFMP,6,12,0,13.624,SPBR_U,WFMP,12,FRAC,6876,7027,GAL,X-LINKGEL,LB,SAND,NA,35,NA,20/40
0,14250,385924,535260,400174,51540,146540,61,D,APACHE CORPORATION,GLASSCOCK,2007-01-14,2007,31.74408,-101.73978,9850,160,40,CLFK --> WFMP,6,12,0,20.67705873,CLFK,WFMP,12,FRAC,6864,7032,GAL,X-LINKGEL,LB,SAND,NA,33,SCIN,20/40
353400,0,0,123000,353400,128000,61500,63,F,APACHE CORPORATION,GLASSCOCK,2006-07-12,2006,31.65592,-101.53639,8103,40,40,CLFK --> WFMP,2,2,0,30.18,CLFK,WFMP,2,FRAC,7659,7959,GAL,W,LB,SAND,NA,NA,SFAC,20/40
0,11250,350595,505220,361845,47343,125270,64,D,APACHE CORPORATION,GLASSCOCK,2007-03-20,2007,31.72402,-101.72892,9782,40,40,CLFK --> WFMP,5,10,0,12.671,CLFK,WFMP,10,FRAC,6869,7022,GAL,X-LINKGEL,LB,SAND,NA,34,SCIN,20/40
0,12000,261394,267520,273394,140345,84000,66,D,PIONEER NATURAL RESOURCES USA INC,GLASSCOCK,2007-04-26,2007,31.73191,-101.59911,9496,40,80,SPBR_L --> WFMP,3,7,0,6.904,SPBR_L,WFMP,7,FRAC,7525,7713,GAL,X-LINKGEL,LB,SAND,NA,53,NA,20/40
649698,0,0,802700,649698,649698,802700,67,D,ENDEAVOR ENERGY RESOURCES LIMITED PRTS,GLASSCOCK,2007-05-04,2007,31.96402,-101.7528,10840,40,80,SPBR_U --> ATOKA,1,1,0,45.27229149,SPBR_U,ATOKA,1,FRAC,6862,9418,GAL,FLUD,LB,SAND,NA,NA,NA,NA
546126,0,0,799108,546126,NA,50000,68,D,ENDEAVOR ENERGY RESOURCES LIMITED PRTS,GLASSCOCK,2007-05-03,2007,31.95298,-101.75386,10510,80,80,SPBR_U --> ATOKA,4,4,0,44.02376458,SPBR_U,ATOKA,4,FRAC,6878,9429,NA,NA,LB,SAND,NA,NA,NA,16/30
0,13750,315647,225120,329397,52237,155100,69,D,PIONEER NATURAL RESOURCES USA INC,GLASSCOCK,2007-04-26,2007,31.73285,-101.59494,9487,40,80,WFMP --> WFMP,5,10,0,25.31341516,WFMP,WFMP,10,FRAC,7973,8104,GAL,X-LINKGEL,LB,SAND,4715,41.5,SCIN,20/40
0,21000,747058,406120,768058,146666,117244,70,D,PIONEER NATURAL RESOURCES USA INC,GLASSCOCK,2007-08-22,2007,31.97911,-101.6871,9808,160,Over 160,WFMP --> WFMP,5,13,0,42.268,WFMP,WFMP,13,FRAC,8277,8348,GAL,GEL,LB,SAND,NA,NA,NA,20/40
366450,0,0,123000,366450,124698,61500,72,F,APACHE CORPORATION,GLASSCOCK,2007-01-11,2007,31.66779,-101.55234,8181,160,80,CLFK --> WFMP,2,2,0,15.424,CLFK,WFMP,2,FRAC,7689,8011,GAL,FLUD,LB,SAND,NA,NA,NA,20/40
365484,0,0,123000,365484,123732,61500,73,D,APACHE CORPORATION,GLASSCOCK,2007-02-08,2007,31.77384,-101.71001,8492,Over 160,40,CLFK --> WFMP,2,2,0,34.88893209,CLFK,WFMP,2,FRAC,8193,8413,GAL,FLUD,LB,SAND,NA,NA,NA,20/40
0,9520,592788,603100,602308,89690,141700,74,D,ENERGEN RESOURCES CORPORATION,GLASSCOCK,2007-06-22,2007,31.74921,-101.60913,8750,40,160,SPBR_U --> WFMP,4,7,0,20.11541731,SPBR_U,WFMP,7,FRAC,8142,8438,GAL,GEL,LB,SAND,NA,NA,XLNK,20/40
0,0,633108,584800,633108,189756,199000,76,D,ENERGEN RESOURCES CORPORATION,GLASSCOCK,2007-07-02,2007,31.74169,-101.6067,8547,80,160,SPBR_U --> WFMP,4,4,0,20.072,SPBR_U,WFMP,4,FRAC,6477,6775,GAL,GEL,LB,SAND,NA,NA,GLST,20 /40
0,10750,245788,234101,256538,57767,165641,79,F,PIONEER NATURAL RESOURCES USA INC,GLASSCOCK,2007-06-01,2007,31.72677,-101.58867,9510,160,40,WFMP --> WFMP,4,8,0,12.64935437,WFMP,WFMP,8,FRAC,7943,8026,GAL,X-LINKGEL,LB,SAND,NA,40,SCIN,20/40
536943,4000,0,610000,540943,341928,4e+05,82,D,ENERGEN RESOURCES CORPORATION,GLASSCOCK,2007-06-24,2007,31.75205,-101.6277,8750,80,160,SPBR_U --> WFMP,3,4,0,20.7,SPBR_U,WFMP,4,FRAC,8288,8467,GAL,FLUD,LB,SAND,NA,NA,NA,20/40
0,14250,403229,600723,417479,47393,138461,86,D,APACHE CORPORATION,GLASSCOCK,2008-03-29,2008,31.76536,-101.76084,9894,80,40,CLFK --> WFMP,6,12,0,17.63959573,CLFK,WFMP,12,FRAC,6911,7065,GAL,X-LINKGEL,LB,SAND,NA,NA,NA,20/40
0,8250,486631,591188,494881,46429,182011,87,C,APACHE CORPORATION,GLASSCOCK,2007-09-01,2007,31.71962,-101.76398,9840,80,40,SPBR_U --> WFMP,5,10,0,28.09232775,SPBR_U,WFMP,10,FRAC,6990,7058,GAL,X-LINKGEL,LB,SAND,NA,35,SCIN,20/40
258392,0,0,466275,258392,174688,214875,89,F,APACHE CORPORATION,GLASSCOCK,2008-04-22,2008,31.65722,-101.54181,8252,80,80,SPBR_U --> WFMP,2,2,0,22.11157295,SPBR_U,WFMP,2,FRAC,7672,8113,GAL,W,LB,SAND,NA,NA,SFAC,20/40
0,16500,451507,561280,468007,72210,183837,90,D,APACHE CORPORATION,GLASSCOCK,2007-11-20,2007,31.72807,-101.74337,9900,80,40,CLFK --> WFMP,5,10,0,10.56,CLFK,WFMP,10,FRAC,6900,7048,GAL,X-LINKGEL,LB,SAND,NA,NA,NA,20/40
616476,0,0,799820,616476,616476,799820,91,D,ENDEAVOR ENERGY RESOURCES LIMITED PRTS,GLASSCOCK,2007-11-29,2007,31.85385,-101.66055,10499,160,Over 160,CLFK --> ATOKA,1,1,0,40.092,CLFK,ATOKA,1,FRAC,6606,10318,GAL,FLUD,LB,SAND,NA,NA,HCL,NA
0,14250,369411,474363,383661,52601,140817,93,C,APACHE CORPORATION,GLASSCOCK,2008-05-02,2008,31.72585,-101.75281,9886,80,40,SPBR_U --> WFMP,6,12,0,8.086191594,SPBR_U,WFMP,12,FRAC,6982,7125,GAL,X-LINKGEL,LB,SAND,NA,NA,NA,20/40
0,14250,384132,522900,398382,48792,140167,94,D,APACHE CORPORATION,GLASSCOCK,2008-04-09,2008,31.71945,-101.73191,9878,80,40,SPBR_U --> WFMP,6,12,0,8.808,SPBR_U,WFMP,12,FRAC,6920,7073,GAL,X-LINKGEL,LB,SAND,NA,NA,NA,20/40
0,17000,484369,539400,501369,44767,130834,95,C,APACHE CORPORATION,GLASSCOCK,2008-04-24,2008,31.76379,-101.76925,9880,40,40,CLFK --> WFMP,6,12,0,24.40562809,CLFK,WFMP,12,FRAC,6934,7086,GAL,X-LINKGEL,LB,SAND,NA,NA,NA,20/04
0,15100,468244,545820,483344,53706,133719,96,C,APACHE CORPORATION,GLASSCOCK,2008-05-14,2008,31.76703,-101.77028,9876,40,40,CLFK --> WFMP,6,12,0,42.25256061,CLFK,WFMP,12,FRAC,6931,7082,GAL,X-LINKGEL,LB,SAND,NA,NA,NA,20/40
0,19000,552036,552180,571036,46609,130467,97,D,PIONEER NATURAL RESOURCES USA INC,GLASSCOCK,2008-06-27,2008,31.97212,-101.68489,9983,40,Over 160,CLFK --> WFMP,7,14,0,21.94799122,CLFK,WFMP,14,FRAC,6427,6480,GAL,X-LINKGEL,LB,SAND,NA,NA,NA,20/40
0,14250,403696,474820,417946,53626,133680,98,C,APACHE CORPORATION,GLASSCOCK,2008-03-17,2008,31.71701,-101.75875,9890,NA,NA,SPBR_U --> WFMP,6,12,0,9.735,SPBR_U,WFMP,12,FRAC,6974,7131,GAL,X-LINKGEL,LB,SAND,NA,NA,NA,20/40
0,14250,451957,638440,466207,48842,142580,99,D,APACHE CORPORATION,GLASSCOCK,2008-02-18,2008,31.7278,-101.72911,9878,40,40,SPBR_U --> WFMP,6,12,0,11.934,SPBR_U,WFMP,12,FRAC,6875,7027,GAL,X-LINKGEL,LB,SAND,NA,NA,NA,20/40
15848,0,0,902460,153212,23277.5,902460,102,D,ENDEAVOR ENERGY RESOURCES LIMITED PRTS,GLASSCOCK,2007-11-03,2007,31.96851,-101.76248,10660,80,80,SPBR_U --> WFMP,1,1,0,49.36,SPBR_U,WFMP,1,FRAC,6875,10087,GAL,W,LB,SAND,NA,NA,NA,NA
0,17250,357076,526821,374326,46629,136241,103,F,PIONEER NATURAL RESOURCES USA INC,GLASSCOCK,2008-01-11,2008,31.71347,-101.59782,9598,160,40,SPBR_U --> WFMP,6,12,0,25.04,SPBR_U,WFMP,12,FRAC,6451,6460,GAL,X-LINKGEL,LB,SAND,NA,NA,NA,20/40
0,5250,172916,470520,178166,47820,135304,105,D,PIONEER NATURAL RESOURCES USA INC,GLASSCOCK,2008-02-22,2008,31.81536,-101.74153,8704,Over 160,20,SPBR_U --> WFMP,3,6,0,48.844,SPBR_U,WFMP,6,FRAC,6914,7071,GAL,X-LINKGEL,LB,SAND,NA,NA,NA,20/40
0,7500,221728,222173,229228,49643,137039,106,D,PIONEER NATURAL RESOURCES USA INC,GLASSCOCK,2008-03-02,2008,31.79785,-101.64239,10255,40,80,CLFK --> WFMP,4,8,0,25.376,CLFK,WFMP,8,FRAC,6525,6595,GAL,X-LINKGEL,LB,SAND,NA,NA,NA,20/40
0,13500,431728,514420,445228,53621,137543,107,D,PIONEER NATURAL RESOURCES USA INC,GLASSCOCK,2008-03-14,2008,31.79072,-101.64008,10176,160,40,CLFK --> WFMP,6,12,0,24.14,CLFK,WFMP,12,FRAC,6523,6552,GAL,X-LINKGEL,LB,SAND,NA,NA,NA,16/30
10000,26000,508689,413900,547689,23277.5,NA,110,D,ATHLON FE OPERATING LLC,GLASSCOCK,2008-03-09,2008,31.9583,-101.69382,10500,80,Over 160,CLFK --> STRAWN,8,16,0,66.2739258,CLFK,STRAWN,16,FRAC,10024,10074,GAL,W,NA,NA,NA,NA,NA,NA
0,6000,211068,606324,217068,44167,139450,112,F,PIONEER NATURAL RESOURCES USA INC,GLASSCOCK,2008-04-06,2008,31.68924,-101.62125,8362,160,40,SPBR_U --> SPBR_L,4,8,0,32.076,SPBR_U,SPBR_L,8,FRAC,6540,6680,GAL,X-LINKGEL,LB,SAND,NA,NA,NA,20/40
0,6000,217988,580155,223988,51788,140070,113,F,PIONEER NATURAL RESOURCES USA INC,GLASSCOCK,2008-04-27,2008,31.68763,-101.61187,8338,80,40,SPBR_U --> SPBR_L,4,8,0,22.828,SPBR_U,SPBR_L,8,FRAC,6506,6622,GAL,X-LINKGEL,LB,SAND,NA,NA,NA,20/40
0,6000,232412,579200,238412,54204,135287,114,F,PIONEER NATURAL RESOURCES USA INC,GLASSCOCK,2008-05-02,2008,31.69162,-101.60838,8295,80,40,CLFK --> SPBR_L,4,8,0,15.55114674,CLFK,SPBR_L,8,FRAC,6481,6601,GAL,X-LINKGEL,LB,SAND,NA,NA,NA,20/40
0,12000,547628,602280,559628,42873,130934,115,C,APACHE CORPORATION,GLASSCOCK,2008-11-22,2008,31.72171,-101.77145,9882,80,40,SPBR_U --> WFMP,7,14,0,11.188,SPBR_U,WFMP,14,FRAC,7082,7174,GAL,X-LINKGEL,LB,SAND,NA,NA,XLNK,20/40
0,20000,676928,648070,696928,52794,134130,116,C,APACHE CORPORATION,GLASSCOCK,2008-11-24,2008,31.71538,-101.76703,9876,80,40,SPBR_U --> WFMP,7,14,0,25.4251233,SPBR_U,WFMP,14,FRAC,6990,7060,GAL,X-LINKGEL,LB,SAND,NA,NA,NA,20/40
0,19000,570219,621902,589219,48079,141147,118,C,APACHE CORPORATION,GLASSCOCK,2008-11-26,2008,31.71336,-101.77513,9886,80,40,SPBR_U --> WFMP,7,14,0,16.768,SPBR_U,WFMP,14,FRAC,6997,7068,GAL,X-LINKGEL,LB,SAND,NA,NA,NA,20/40
0,16128,1004640,1221471.973,1020768,1004640,927236,120,D,ENDEAVOR ENERGY RESOURCES LIMITED PRTS,GLASSCOCK,2008-08-27,2008,31.85353,-101.65011,10511,40,40,CLFK --> ATOKA,1,2,0,45.376,CLFK,ATOKA,2,FRAC,6556,10005,GAL,GEL,LB,SAND,NA,NA,GELA,NA
0,18000,679906,1328840,697906,73222,177573,121,D,PIONEER NATURAL RESOURCES USA INC,GLASSCOCK,2008-11-10,2008,31.98413,-101.73284,9976,80,Over 160,SPBR_L --> WFMP,11,22,0,17.38,SPBR_L,WFMP,22,FRAC,7267,7341,GAL,X-LINKGEL,LB,SAND,NA,NA,XLNK,20/40
0,26000,0,402403,153212,23277.5,0,122,D,MERIT ENERGY COMPANY,GLASSCOCK,2008-06-19,2008,31.74877,-101.68896,9535,80,80,WFMP --> WFMP,4,8,0,35.256,WFMP,WFMP,8,ACID,9254,9407,GAL,A,NA,NA,NA,NA,HCL,NA
0,10500,563526,224088,574026,27231,16598,124,D,PIONEER NATURAL RESOURCES USA INC,GLASSCOCK,2009-05-26,2009,31.99172,-101.66464,10030,160,Over 160,WFMP --> WFMP,6,12,0,14.11666124,WFMP,WFMP,12,FRAC,7818,7828,GAL,X-LINKGEL,LB,SAND,NA,NA,XLNK,20/40
0,14000,864409,449794,878409,195873,136963,125,D,PIONEER NATURAL RESOURCES USA INC,GLASSCOCK,2009-01-15,2009,31.97545,-101.66831,9996,40,Over 160,WFMP --> WFMP,6,12,0,55.764,WFMP,WFMP,12,FRAC,8006,8030,GAL,X-LINKGEL,LB,SAND,NA,NA,XLNK,20/40
0,12080,474075,318295,486155,84620,40104,129,F,ATHLON FE OPERATING LLC,GLASSCOCK,2008-12-11,2008,31.70944,-101.48711,10200,160,Over 160,WFMP --> ATOKA,5,10,0,28.724,WFMP,ATOKA,10,FRAC,9742,9942,GAL,X-LINKGEL,LB,SAND,NA,NA,XLNK,20/40
0,12000,755718,672071,767718,57414,122013,131,D,PIONEER NATURAL RESOURCES USA INC,GLASSCOCK,2008-11-27,2008,31.76686,-101.61135,10568,40,80,SPBR_U --> WFMP,7,14,0,19.24918288,SPBR_U,WFMP,14,FRAC,6463,6493,GAL,X-LINKGEL,LB,SAND,NA,NA,XLNK,20/40
0,12500,460671,257881,473171,51236,41265,132,D,PIONEER NATURAL RESOURCES USA INC,GLASSCOCK,2008-11-27,2008,31.77082,-101.59428,10404,40,160,WFMP --> ATOKA,4,9,0,62.13588059,WFMP,ATOKA,9,FRAC,8442,8456,GAL,X-LINKGEL,LB,SAND,NA,NA,XLNK,20/40
NA,NA,NA,NA,NA,NA,NA,133,D,MERIT ENERGY COMPANY,GLASSCOCK,2008-10-24,2008,31.75941,-101.72288,9500,Over 160,40,SPBR_L --> WFMP,NA,1,NA,68.40805807,SPBR_L,WFMP,1,NTRL,7450,9342,NA,NA,NA,NA,NA,NA,NA,NA
0,10500,624937,695140,635437,47962,134806,135,D,PIONEER NATURAL RESOURCES USA INC,GLASSCOCK,2008-10-09,2008,31.76303,-101.59157,10430,80,Over 160,SPBR_U --> WFMP,6,12,0,27.776,SPBR_U,WFMP,12,FRAC,6423,6474,GAL,X-LINKGEL,LB,SAND,NA,NA,XLNK,20/40
0,13500,979212,744620,992712,74676,180500,136,D,PIONEER NATURAL RESOURCES USA INC,GLASSCOCK,2009-03-19,2009,31.97958,-101.652,10017,160,Over 160,WFMP --> WFMP,8,16,0,55.332,WFMP,WFMP,16,FRAC,7684,7777,GAL,X-LINKGEL,LB,SAND,NA,NA,XLNK,20/40
0,26000,321339,516840,520460,51408,131780,138,D,PIONEER NATURAL RESOURCES USA INC,GLASSCOCK,2009-01-25,2009,31.77052,-101.6114,10488,40,40,SPBR_U --> STRAWN,5,13,57594,16.288,SPBR_U,STRAWN,13,FRAC,6473,6767,GAL,X-LINKGEL,LB,SAND,NA,NA,XLNK,20/40
