WellID,Subarea,Operator,County,Completion.Date,Completion.Year,Surface.Latitude,Surface.Longitude,Depth.Total.Driller..ft.,WB.Spacing.Proxy,SPBY.Spacing.Proxy,Between_Zone,Frac.Stages,Treatment.Records,Fluid.Water..Gals.,Acid..Gals.,Gel.x.link..Gals.,Other..Gals.,Proppant...Total..lbs.,Fluid...Total..lbs.,EUR_o..Mstb.,Top_Zone,Deepest_Zone,Number,Type,Depth.Top,Depth.Base,Fluid.Amount,Fluid.Units,Fluid.Type,Propping.Agent.Amount,Propping.Agent.Units,Propping.Agent.Type,Pressure.Breakdown,Injection.Rate,Additive,Mesh.Size
22,D,PIONEER NATURAL RESOURCES USA INC,GLASSCOCK,2003-08-20,2003,31.71259,-101.71632,8635,40,40,CLFK --> WFMP,3,6,0,5000,183309,0,471030,188309,55.65707668,CLFK,WFMP,6,FRAC,6826,7201,50358,GAL,X-LINKGEL,124630,LB,SAND,NA,NA,,20/40
23,D,PIONEER NATURAL RESOURCES USA INC,GLASSCOCK,2003-10-01,2003,31.71139,-101.70645,8605,160,20,CLFK --> WFMP,3,8,0,5000,189252,0,471100,194252,40.04565233,CLFK,WFMP,8,ACID,6806,7178,500,GAL,A,0,undefined,undefined,NA,NA,HCL,
25,D,PIONEER NATURAL RESOURCES USA INC,GLASSCOCK,2003-10-01,2003,31.70902,-101.71715,8650,40,40,CLFK --> WFMP,3,8,0,5000,195787,0,471570,200787,54.56512178,CLFK,WFMP,8,ACID,6816,7184,500,GAL,A,0,undefined,undefined,NA,30,HCL,
26,F,ENDEAVOR ENERGY RESOURCES LIMITED PRTS,GLASSCOCK,2004-01-26,2004,31.7163,-101.52017,10550,160,20,SPBR_U --> WFMP,1,1,0,0,317478,0,384990,317478,38.49591628,SPBR_U,WFMP,1,FRAC,6155,8823,317478,GAL,X-LINKGEL,384990,LB,SAND,NA,NA,WGEL,
31,E,PIONEER NATURAL RESOURCES USA INC,GLASSCOCK,2004-11-26,2004,31.65926,-101.69933,8560,160,40,SPBR_U --> WFMP,3,6,0,5000,183918,0,472190,188918,51.73461391,SPBR_U,WFMP,6,FRAC,6748,6928,54138,GAL,X-LINKGEL,131493,LB,SAND,NA,30,,20/40
32,F,PIONEER NATURAL RESOURCES USA INC,GLASSCOCK,2005-02-02,2005,31.67149,-101.5849,8240,80,20,SPBR_U --> WFMP,4,8,0,10500,270297,0,488570,280797,28.60094527,SPBR_U,WFMP,8,FRAC,6386,6520,53970,GAL,X-LINKGEL,133448,LB,SAND,NA,33,,20/40
33,D,ENDEAVOR ENERGY RESOURCES LIMITED PRTS,GLASSCOCK,2005-05-17,2005,31.77613,-101.59246,10255,80,80,CLFK --> WFMP,1,1,398454,0,0,0,521740,398454,39.1412402,CLFK,WFMP,1,FRAC,5802,9299,398454,GAL,FLUD,521740,LB,SAND,NA,NA,SFAC,20/40
35,F,APACHE CORPORATION,GLASSCOCK,2006-02-09,2006,31.65334,-101.53122,8064,40,40,CLFK --> WFMP,2,2,383200,0,0,0,100450,383200,42.264,CLFK,WFMP,2,FRAC,7641,7938,131800,GAL,W,49250,LB,SAND,NA,NA,SFAC,20/40
36,F,APACHE CORPORATION,GLASSCOCK,2006-02-24,2006,31.70647,-101.5785,8243,160,40,CLFK --> WFMP,2,2,383200,0,0,0,100450,383200,12.48,CLFK,WFMP,2,FRAC,6311,7347,251400,GAL,W,51200,LB,SAND,NA,NA,,20/40
37,F,APACHE CORPORATION,GLASSCOCK,2006-04-19,2006,31.71755,-101.56402,8255,80,40,SPBR_U --> WFMP,2,2,497600,0,0,0,155650,497600,18.55149194,SPBR_U,WFMP,2,FRAC,7411,8052,252900,GAL,W,99750,LB,SAND,NA,NA,,20/40
38,F,APACHE CORPORATION,GLASSCOCK,2006-04-13,2006,31.70983,-101.54853,8223,80,40,SPBR_U --> WFMP,2,2,497600,0,0,0,155650,497600,39.468,SPBR_U,WFMP,2,FRAC,7356,7961,252900,GAL,W,99750,LB,SAND,NA,NA,SFAC,20/40
40,F,APACHE CORPORATION,GLASSCOCK,2006-04-22,2006,31.70857,-101.57012,8205,160,80,CLFK --> WFMP,2,2,383600,0,0,0,101720,383600,12.164,CLFK,WFMP,2,FRAC,6275,7328,251600,GAL,W,51350,LB,SAND,NA,NA,SFAC,20/20
42,F,APACHE CORPORATION,GLASSCOCK,2006-05-07,2006,31.69948,-101.57606,8283,160,80,CLFK --> WFMP,2,2,374500,0,0,0,100975,374500,10.876,CLFK,WFMP,2,FRAC,7453,8133,167700,GAL,W,58975,LB,SAND,NA,NA,,20/40
44,D,APACHE CORPORATION,GLASSCOCK,2006-10-21,2006,31.75812,-101.75965,9843,80,40,SPBR_U --> WFMP,6,12,0,15750,424784,0,523700,440534,30.20941884,SPBR_U,WFMP,12,FRAC,8913,9151,73425,GAL,GEL,18182,LB,SAND,NA,50,,20/40
45,C,APACHE CORPORATION,GLASSCOCK,2006-10-10,2006,31.76793,-101.7662,9902,40,40,SPBR_U --> WFMP,5,11,0,14250,359962,0,507200,374212,31.73182787,SPBR_U,WFMP,11,ACID,6923,9551,1000,GAL,A,0,undefined,undefined,NA,NA,,
46,C,APACHE CORPORATION,GLASSCOCK,2006-09-06,2006,31.77755,-101.77365,9882,80,40,SPBR_U --> WFMP,7,14,0,17250,476075,0,553160,493325,29.40701198,SPBR_U,WFMP,14,FRAC,9252,9538,78753,GAL,GEL,16847,LB,SAND,NA,35,,20/40
48,D,APACHE CORPORATION,GLASSCOCK,2007-02-20,2007,31.74807,-101.72345,9775,40,40,CLFK --> WFMP,5,9,0,9750,316903,0,702360,326653,19.20842649,CLFK,WFMP,9,FRAC,6857,7025,55157,GAL,X-LINKGEL,128358,LB,SAND,NA,35,,20/40
49,D,APACHE CORPORATION,GLASSCOCK,2006-11-30,2006,31.74469,-101.72234,9806,40,40,CLFK --> WFMP,5,9,0,9750,348769,0,505100,358519,14.8,CLFK,WFMP,9,FRAC,8956,9041,66985,GAL,GEL,17637,LB,SAND,NA,51,,20/40
52,D,APACHE CORPORATION,GLASSCOCK,2006-12-16,2006,31.72326,-101.74759,9843,80,40,SPBR_U --> WFMP,6,11,0,12750,433981,0,522940,446731,23.14,SPBR_U,WFMP,11,FRAC,6928,7096,51612,GAL,X-LINKGEL,133871,LB,SAND,NA,33,,20/40
53,C,APACHE CORPORATION,GLASSCOCK,2007-02-17,2007,31.72145,-101.75576,9844,,,WFMP --> WFMP,4,8,0,10750,268997,0,207880,279747,18.328,WFMP,WFMP,8,FRAC,8424,8539,58616,GAL,X-LINKGEL,158996,LB,SAND,NA,40,SCIN,20/40
54,C,APACHE CORPORATION,GLASSCOCK,2007-02-22,2007,31.71903,-101.75111,9853,80,40,CLFK --> WFMP,5,6,0,3000,0,0,506200,3000,13.684,CLFK,WFMP,6,FRAC,9556,9676,NA,,,18170,LB,SAND,NA,NA,,20/40
55,F,APACHE CORPORATION,GLASSCOCK,2006-12-03,2006,31.65737,-101.56293,8177,80,40,CLFK --> WFMP,1,1,241752,0,0,0,61500,241752,55.3862174,CLFK,WFMP,1,FRAC,6272,7306,241752,GAL,W,61500,LB,SAND,NA,NA,SFAC,20/40
58,F,PIONEER NATURAL RESOURCES USA INC,GLASSCOCK,2007-02-28,2007,31.70227,-101.6474,8851,160,20,SPBR_U --> WFMP,4,4,273756,0,0,0,449160,273756,31.07150317,SPBR_U,WFMP,4,FRAC,8400,8440,74004,GAL,FLUD,108332,LB,SAND,NA,NA,,
59,F,PIONEER NATURAL RESOURCES USA INC,GLASSCOCK,2006-08-10,2006,31.69705,-101.63656,8835,160,40,SPBR_U --> WFMP,3,3,244692,0,0,0,350761,244692,46.04231632,SPBR_U,WFMP,3,FRAC,8190,8230,98658,GAL,FLUD,135248,LB,SAND,NA,NA,,
60,D,APACHE CORPORATION,GLASSCOCK,2007-01-26,2007,31.73249,-101.74037,9792,80,40,SPBR_U --> WFMP,6,12,0,14250,412047,0,523253,426297,13.624,SPBR_U,WFMP,12,FRAC,6876,7027,45604,GAL,X-LINKGEL,134736,LB,SAND,NA,35,,20/40
61,D,APACHE CORPORATION,GLASSCOCK,2007-01-14,2007,31.74408,-101.73978,9850,160,40,CLFK --> WFMP,6,12,0,14250,385924,0,535260,400174,20.67705873,CLFK,WFMP,12,FRAC,6864,7032,51540,GAL,X-LINKGEL,146540,LB,SAND,NA,33,SCIN,20/40
63,F,APACHE CORPORATION,GLASSCOCK,2006-07-12,2006,31.65592,-101.53639,8103,40,40,CLFK --> WFMP,2,2,353400,0,0,0,123000,353400,30.18,CLFK,WFMP,2,FRAC,7659,7959,128000,GAL,W,61500,LB,SAND,NA,NA,SFAC,20/40
64,D,APACHE CORPORATION,GLASSCOCK,2007-03-20,2007,31.72402,-101.72892,9782,40,40,CLFK --> WFMP,5,10,0,11250,350595,0,505220,361845,12.671,CLFK,WFMP,10,FRAC,6869,7022,47343,GAL,X-LINKGEL,125270,LB,SAND,NA,34,SCIN,20/40
66,D,PIONEER NATURAL RESOURCES USA INC,GLASSCOCK,2007-04-26,2007,31.73191,-101.59911,9496,40,80,SPBR_L --> WFMP,3,7,0,12000,261394,0,267520,273394,6.904,SPBR_L,WFMP,7,FRAC,7525,7713,140345,GAL,X-LINKGEL,84000,LB,SAND,NA,53,,20/40
67,D,ENDEAVOR ENERGY RESOURCES LIMITED PRTS,GLASSCOCK,2007-05-04,2007,31.96402,-101.7528,10840,40,80,SPBR_U --> ATOKA,1,1,649698,0,0,0,802700,649698,45.27229149,SPBR_U,ATOKA,1,FRAC,6862,9418,649698,GAL,FLUD,802700,LB,SAND,NA,NA,,
68,D,ENDEAVOR ENERGY RESOURCES LIMITED PRTS,GLASSCOCK,2007-05-03,2007,31.95298,-101.75386,10510,80,80,SPBR_U --> ATOKA,4,4,546126,0,0,0,799108,546126,44.02376458,SPBR_U,ATOKA,4,FRAC,6878,9429,NA,,,50000,LB,SAND,NA,NA,,16/30
69,D,PIONEER NATURAL RESOURCES USA INC,GLASSCOCK,2007-04-26,2007,31.73285,-101.59494,9487,40,80,WFMP --> WFMP,5,10,0,13750,315647,0,225120,329397,25.31341516,WFMP,WFMP,10,FRAC,7973,8104,52237,GAL,X-LINKGEL,155100,LB,SAND,4715,41.5,SCIN,20/40
70,D,PIONEER NATURAL RESOURCES USA INC,GLASSCOCK,2007-08-22,2007,31.97911,-101.6871,9808,160,Over 160,WFMP --> WFMP,5,13,0,21000,747058,0,406120,768058,42.268,WFMP,WFMP,13,FRAC,8277,8348,146666,GAL,GEL,117244,LB,SAND,NA,NA,,20/40
72,F,APACHE CORPORATION,GLASSCOCK,2007-01-11,2007,31.66779,-101.55234,8181,160,80,CLFK --> WFMP,2,2,366450,0,0,0,123000,366450,15.424,CLFK,WFMP,2,FRAC,7689,8011,124698,GAL,FLUD,61500,LB,SAND,NA,NA,,20/40
73,D,APACHE CORPORATION,GLASSCOCK,2007-02-08,2007,31.77384,-101.71001,8492,Over 160,40,CLFK --> WFMP,2,2,365484,0,0,0,123000,365484,34.88893209,CLFK,WFMP,2,FRAC,8193,8413,123732,GAL,FLUD,61500,LB,SAND,NA,NA,,20/40
74,D,ENERGEN RESOURCES CORPORATION,GLASSCOCK,2007-06-22,2007,31.74921,-101.60913,8750,40,160,SPBR_U --> WFMP,4,7,0,9520,592788,0,603100,602308,20.11541731,SPBR_U,WFMP,7,FRAC,8142,8438,89690,GAL,GEL,141700,LB,SAND,NA,NA,XLNK,20/40
76,D,ENERGEN RESOURCES CORPORATION,GLASSCOCK,2007-07-02,2007,31.74169,-101.6067,8547,80,160,SPBR_U --> WFMP,4,4,0,0,633108,0,584800,633108,20.072,SPBR_U,WFMP,4,FRAC,6477,6775,189756,GAL,GEL,199000,LB,SAND,NA,NA,GLST,20 /40
79,F,PIONEER NATURAL RESOURCES USA INC,GLASSCOCK,2007-06-01,2007,31.72677,-101.58867,9510,160,40,WFMP --> WFMP,4,8,0,10750,245788,0,234101,256538,12.64935437,WFMP,WFMP,8,FRAC,7943,8026,57767,GAL,X-LINKGEL,165641,LB,SAND,NA,40,SCIN,20/40
82,D,ENERGEN RESOURCES CORPORATION,GLASSCOCK,2007-06-24,2007,31.75205,-101.6277,8750,80,160,SPBR_U --> WFMP,3,4,536943,4000,0,0,610000,540943,20.7,SPBR_U,WFMP,4,FRAC,8288,8467,341928,GAL,FLUD,400000,LB,SAND,NA,NA,,20/40
86,D,APACHE CORPORATION,GLASSCOCK,2008-03-29,2008,31.76536,-101.76084,9894,80,40,CLFK --> WFMP,6,12,0,14250,403229,0,600723,417479,17.63959573,CLFK,WFMP,12,FRAC,6911,7065,47393,GAL,X-LINKGEL,138461,LB,SAND,NA,NA,,20/40
87,C,APACHE CORPORATION,GLASSCOCK,2007-09-01,2007,31.71962,-101.76398,9840,80,40,SPBR_U --> WFMP,5,10,0,8250,486631,0,591188,494881,28.09232775,SPBR_U,WFMP,10,FRAC,6990,7058,46429,GAL,X-LINKGEL,182011,LB,SAND,NA,35,SCIN,20/40
89,F,APACHE CORPORATION,GLASSCOCK,2008-04-22,2008,31.65722,-101.54181,8252,80,80,SPBR_U --> WFMP,2,2,258392,0,0,0,466275,258392,22.11157295,SPBR_U,WFMP,2,FRAC,7672,8113,174688,GAL,W,214875,LB,SAND,NA,NA,SFAC,20/40
90,D,APACHE CORPORATION,GLASSCOCK,2007-11-20,2007,31.72807,-101.74337,9900,80,40,CLFK --> WFMP,5,10,0,16500,451507,0,561280,468007,10.56,CLFK,WFMP,10,FRAC,6900,7048,72210,GAL,X-LINKGEL,183837,LB,SAND,NA,NA,,20/40
91,D,ENDEAVOR ENERGY RESOURCES LIMITED PRTS,GLASSCOCK,2007-11-29,2007,31.85385,-101.66055,10499,160,Over 160,CLFK --> ATOKA,1,1,616476,0,0,0,799820,616476,40.092,CLFK,ATOKA,1,FRAC,6606,10318,616476,GAL,FLUD,799820,LB,SAND,NA,NA,HCL,
93,C,APACHE CORPORATION,GLASSCOCK,2008-05-02,2008,31.72585,-101.75281,9886,80,40,SPBR_U --> WFMP,6,12,0,14250,369411,0,474363,383661,8.086191594,SPBR_U,WFMP,12,FRAC,6982,7125,52601,GAL,X-LINKGEL,140817,LB,SAND,NA,NA,,20/40
94,D,APACHE CORPORATION,GLASSCOCK,2008-04-09,2008,31.71945,-101.73191,9878,80,40,SPBR_U --> WFMP,6,12,0,14250,384132,0,522900,398382,8.808,SPBR_U,WFMP,12,FRAC,6920,7073,48792,GAL,X-LINKGEL,140167,LB,SAND,NA,NA,,20/40
95,C,APACHE CORPORATION,GLASSCOCK,2008-04-24,2008,31.76379,-101.76925,9880,40,40,CLFK --> WFMP,6,12,0,17000,484369,0,539400,501369,24.40562809,CLFK,WFMP,12,FRAC,6934,7086,44767,GAL,X-LINKGEL,130834,LB,SAND,NA,NA,,20/04
96,C,APACHE CORPORATION,GLASSCOCK,2008-05-14,2008,31.76703,-101.77028,9876,40,40,CLFK --> WFMP,6,12,0,15100,468244,0,545820,483344,42.25256061,CLFK,WFMP,12,FRAC,6931,7082,53706,GAL,X-LINKGEL,133719,LB,SAND,NA,NA,,20/40
97,D,PIONEER NATURAL RESOURCES USA INC,GLASSCOCK,2008-06-27,2008,31.97212,-101.68489,9983,40,Over 160,CLFK --> WFMP,7,14,0,19000,552036,0,552180,571036,21.94799122,CLFK,WFMP,14,FRAC,6427,6480,46609,GAL,X-LINKGEL,130467,LB,SAND,NA,NA,,20/40
98,C,APACHE CORPORATION,GLASSCOCK,2008-03-17,2008,31.71701,-101.75875,9890,,,SPBR_U --> WFMP,6,12,0,14250,403696,0,474820,417946,9.735,SPBR_U,WFMP,12,FRAC,6974,7131,53626,GAL,X-LINKGEL,133680,LB,SAND,NA,NA,,20/40
99,D,APACHE CORPORATION,GLASSCOCK,2008-02-18,2008,31.7278,-101.72911,9878,40,40,SPBR_U --> WFMP,6,12,0,14250,451957,0,638440,466207,11.934,SPBR_U,WFMP,12,FRAC,6875,7027,48842,GAL,X-LINKGEL,142580,LB,SAND,NA,NA,,20/40
102,D,ENDEAVOR ENERGY RESOURCES LIMITED PRTS,GLASSCOCK,2007-11-03,2007,31.96851,-101.76248,10660,80,80,SPBR_U --> WFMP,1,1,15848,0,0,0,902460,15848,49.36,SPBR_U,WFMP,1,FRAC,6875,10087,15848,GAL,W,902460,LB,SAND,NA,NA,,
103,F,PIONEER NATURAL RESOURCES USA INC,GLASSCOCK,2008-01-11,2008,31.71347,-101.59782,9598,160,40,SPBR_U --> WFMP,6,12,0,17250,357076,0,526821,374326,25.04,SPBR_U,WFMP,12,FRAC,6451,6460,46629,GAL,X-LINKGEL,136241,LB,SAND,NA,NA,,20/40
105,D,PIONEER NATURAL RESOURCES USA INC,GLASSCOCK,2008-02-22,2008,31.81536,-101.74153,8704,Over 160,20,SPBR_U --> WFMP,3,6,0,5250,172916,0,470520,178166,48.844,SPBR_U,WFMP,6,FRAC,6914,7071,47820,GAL,X-LINKGEL,135304,LB,SAND,NA,NA,,20/40
106,D,PIONEER NATURAL RESOURCES USA INC,GLASSCOCK,2008-03-02,2008,31.79785,-101.64239,10255,40,80,CLFK --> WFMP,4,8,0,7500,221728,0,222173,229228,25.376,CLFK,WFMP,8,FRAC,6525,6595,49643,GAL,X-LINKGEL,137039,LB,SAND,NA,NA,,20/40
107,D,PIONEER NATURAL RESOURCES USA INC,GLASSCOCK,2008-03-14,2008,31.79072,-101.64008,10176,160,40,CLFK --> WFMP,6,12,0,13500,431728,0,514420,445228,24.14,CLFK,WFMP,12,FRAC,6523,6552,53621,GAL,X-LINKGEL,137543,LB,SAND,NA,NA,,16/30
110,D,ATHLON FE OPERATING LLC,GLASSCOCK,2008-03-09,2008,31.9583,-101.69382,10500,80,Over 160,CLFK --> STRAWN,8,16,10000,29000,508689,0,413900,547689,66.2739258,CLFK,STRAWN,16,FRAC,10024,10074,10000,GAL,W,NA,,,NA,NA,,
112,F,PIONEER NATURAL RESOURCES USA INC,GLASSCOCK,2008-04-06,2008,31.68924,-101.62125,8362,160,40,SPBR_U --> SPBR_L,4,8,0,6000,211068,0,606324,217068,32.076,SPBR_U,SPBR_L,8,FRAC,6540,6680,44167,GAL,X-LINKGEL,139450,LB,SAND,NA,NA,,20/40
113,F,PIONEER NATURAL RESOURCES USA INC,GLASSCOCK,2008-04-27,2008,31.68763,-101.61187,8338,80,40,SPBR_U --> SPBR_L,4,8,0,6000,217988,0,580155,223988,22.828,SPBR_U,SPBR_L,8,FRAC,6506,6622,51788,GAL,X-LINKGEL,140070,LB,SAND,NA,NA,,20/40
114,F,PIONEER NATURAL RESOURCES USA INC,GLASSCOCK,2008-05-02,2008,31.69162,-101.60838,8295,80,40,CLFK --> SPBR_L,4,8,0,6000,232412,0,579200,238412,15.55114674,CLFK,SPBR_L,8,FRAC,6481,6601,54204,GAL,X-LINKGEL,135287,LB,SAND,NA,NA,,20/40
115,C,APACHE CORPORATION,GLASSCOCK,2008-11-22,2008,31.72171,-101.77145,9882,80,40,SPBR_U --> WFMP,7,14,0,12000,547628,0,602280,559628,11.188,SPBR_U,WFMP,14,FRAC,7082,7174,42873,GAL,X-LINKGEL,130934,LB,SAND,NA,NA,XLNK,20/40
116,C,APACHE CORPORATION,GLASSCOCK,2008-11-24,2008,31.71538,-101.76703,9876,80,40,SPBR_U --> WFMP,7,14,0,20000,676928,0,648070,696928,25.4251233,SPBR_U,WFMP,14,FRAC,6990,7060,52794,GAL,X-LINKGEL,134130,LB,SAND,NA,NA,,20/40
118,C,APACHE CORPORATION,GLASSCOCK,2008-11-26,2008,31.71336,-101.77513,9886,80,40,SPBR_U --> WFMP,7,14,0,19000,570219,0,621902,589219,16.768,SPBR_U,WFMP,14,FRAC,6997,7068,48079,GAL,X-LINKGEL,141147,LB,SAND,NA,NA,,20/40
120,D,ENDEAVOR ENERGY RESOURCES LIMITED PRTS,GLASSCOCK,2008-08-27,2008,31.85353,-101.65011,10511,40,40,CLFK --> ATOKA,1,2,0,16128,1004640,0,1221471.973,1020768,45.376,CLFK,ATOKA,2,FRAC,6556,10005,1004640,GAL,GEL,1090000,LB,SAND,NA,NA,GELA,
121,D,PIONEER NATURAL RESOURCES USA INC,GLASSCOCK,2008-11-10,2008,31.98413,-101.73284,9976,80,Over 160,SPBR_L --> WFMP,11,22,0,18000,679906,0,1328840,697906,17.38,SPBR_L,WFMP,22,FRAC,7267,7341,73222,GAL,X-LINKGEL,177573,LB,SAND,NA,NA,XLNK,20/40
122,D,MERIT ENERGY COMPANY,GLASSCOCK,2008-06-19,2008,31.74877,-101.68896,9535,80,80,WFMP --> WFMP,4,8,0,34146,0,0,402403,34146,35.256,WFMP,WFMP,8,ACID,9254,9407,9030,GAL,A,0,undefined,undefined,NA,NA,HCL,
124,D,PIONEER NATURAL RESOURCES USA INC,GLASSCOCK,2009-05-26,2009,31.99172,-101.66464,10030,160,Over 160,WFMP --> WFMP,6,12,0,10500,563526,0,224088,574026,14.11666124,WFMP,WFMP,12,FRAC,7818,7828,27231,GAL,X-LINKGEL,16598,LB,SAND,NA,NA,XLNK,20/40
125,D,PIONEER NATURAL RESOURCES USA INC,GLASSCOCK,2009-01-15,2009,31.97545,-101.66831,9996,40,Over 160,WFMP --> WFMP,6,12,0,14000,864409,0,449794,878409,55.764,WFMP,WFMP,12,FRAC,8006,8030,195873,GAL,X-LINKGEL,136963,LB,SAND,NA,NA,XLNK,20/40
129,F,ATHLON FE OPERATING LLC,GLASSCOCK,2008-12-11,2008,31.70944,-101.48711,10200,160,Over 160,WFMP --> ATOKA,5,10,0,12080,474075,0,318295,486155,28.724,WFMP,ATOKA,10,FRAC,9742,9942,84620,GAL,X-LINKGEL,40104,LB,SAND,NA,NA,XLNK,20/40
131,D,PIONEER NATURAL RESOURCES USA INC,GLASSCOCK,2008-11-27,2008,31.76686,-101.61135,10568,40,80,SPBR_U --> WFMP,7,14,0,12000,755718,0,672071,767718,19.24918288,SPBR_U,WFMP,14,FRAC,6463,6493,57414,GAL,X-LINKGEL,122013,LB,SAND,NA,NA,XLNK,20/40
132,D,PIONEER NATURAL RESOURCES USA INC,GLASSCOCK,2008-11-27,2008,31.77082,-101.59428,10404,40,160,WFMP --> ATOKA,4,9,0,12500,460671,0,257881,473171,62.13588059,WFMP,ATOKA,9,FRAC,8442,8456,51236,GAL,X-LINKGEL,41265,LB,SAND,NA,NA,XLNK,20/40
133,D,MERIT ENERGY COMPANY,GLASSCOCK,2008-10-24,2008,31.75941,-101.72288,9500,Over 160,40,SPBR_L --> WFMP,NA,1,NA,NA,NA,NA,NA,NA,68.40805807,SPBR_L,WFMP,1,NTRL,7450,9342,NA,,,NA,,,NA,NA,,
135,D,PIONEER NATURAL RESOURCES USA INC,GLASSCOCK,2008-10-09,2008,31.76303,-101.59157,10430,80,Over 160,SPBR_U --> WFMP,6,12,0,10500,624937,0,695140,635437,27.776,SPBR_U,WFMP,12,FRAC,6423,6474,47962,GAL,X-LINKGEL,134806,LB,SAND,NA,NA,XLNK,20/40
136,D,PIONEER NATURAL RESOURCES USA INC,GLASSCOCK,2009-03-19,2009,31.97958,-101.652,10017,160,Over 160,WFMP --> WFMP,8,16,0,13500,979212,0,744620,992712,55.332,WFMP,WFMP,16,FRAC,7684,7777,74676,GAL,X-LINKGEL,180500,LB,SAND,NA,NA,XLNK,20/40
138,D,PIONEER NATURAL RESOURCES USA INC,GLASSCOCK,2009-01-25,2009,31.77052,-101.6114,10488,40,40,SPBR_U --> STRAWN,5,13,0,141527,321339,57594,516840,520460,16.288,SPBR_U,STRAWN,13,FRAC,6473,6767,51408,GAL,X-LINKGEL,131780,LB,SAND,NA,NA,XLNK,20/40
142,D,PIONEER NATURAL RESOURCES USA INC,GLASSCOCK,2009-05-14,2009,31.79265,-101.63186,10161,160,80,SPBR_U --> WFMP,6,12,0,10000,443297,0,554580,453297,39.94539112,SPBR_U,WFMP,12,FRAC,6555,6560,68764,GAL,X-LINKGEL,183892,LB,SAND,NA,NA,XLNK,20/40
