Fluid.Water..Gals.,Acid..Gals.,Gel.x.link..Gals.,Proppant...Total..lbs.,Fluid...Total..lbs.,Fluid.Amount,Propping.Agent.Amount,Subarea,Operator,County,Completion.Year,Surface.Latitude,Surface.Longitude,Depth.Total.Driller..ft.,WB.Spacing.Proxy,SPBY.Spacing.Proxy,Between_Zone,Frac.Stages,Treatment.Records,Other..Gals.,EUR_o..Mstb.,Top_Zone,Deepest_Zone,Number,Type,Depth.Top,Depth.Base,Fluid.Type,Propping.Agent.Type,Additive,Mesh.Size
0,3000,0,506200,153212,NA,18170,3,2,1,2007,31.71903,-101.75111,9853,4,3,5,5,6,0,13.684,1,7,6,3,9556,9676,NA,3,NA,6
241752,0,0,110277.1,241752,241752,61500,6,2,1,2006,31.65737,-101.56293,8177,4,3,5,1,1,0,55.3862174,1,7,1,3,6272,7306,9,3,17,6
273756,0,0,449160,273756,74004,108332,6,27,1,2007,31.70227,-101.6474,8851,1,2,18,4,4,0,31.07150317,3,7,4,3,8400,8440,3,3,NA,NA
244692,0,0,350761,244692,98658,135248,6,27,1,2006,31.69705,-101.63656,8835,1,3,18,3,3,0,46.04231632,3,7,3,3,8190,8230,3,3,NA,NA
0,14250,412047,523253,426297,45604,134736,4,2,1,2007,31.73249,-101.74037,9792,4,3,18,6,12,0,13.624,3,7,12,3,6876,7027,11,3,NA,6
0,14250,385924,535260,400174,51540,146540,4,2,1,2007,31.74408,-101.73978,9850,1,3,5,6,12,0,20.67705873,1,7,12,3,6864,7032,11,3,16,6
353400,0,0,123000,353400,128000,61500,6,2,1,2006,31.65592,-101.53639,8103,3,3,5,2,2,0,30.18,1,7,2,3,7659,7959,9,3,17,6
0,11250,350595,505220,361845,47343,125270,4,2,1,2007,31.72402,-101.72892,9782,3,3,5,5,10,0,12.671,1,7,10,3,6869,7022,11,3,16,6
0,12000,261394,267520,273394,140345,84000,4,27,1,2007,31.73191,-101.59911,9496,3,4,11,3,7,0,6.904,2,7,7,3,7525,7713,11,3,NA,6
649698,0,0,802700,649698,649698,802700,4,13,1,2007,31.96402,-101.7528,10840,3,4,13,1,1,0,45.27229149,3,1,1,3,6862,9418,3,3,NA,NA
546126,0,0,799108,546126,NA,50000,4,13,1,2007,31.95298,-101.75386,10510,4,4,13,4,4,0,44.02376458,3,1,4,3,6878,9429,NA,3,NA,1
0,13750,315647,225120,329397,52237,155100,4,27,1,2007,31.73285,-101.59494,9487,3,4,26,5,10,0,25.31341516,5,7,10,3,7973,8104,11,3,16,6
0,21000,747058,406120,768058,146666,117244,4,27,1,2007,31.97911,-101.6871,9808,1,5,26,5,13,0,42.268,5,7,13,3,8277,8348,6,3,NA,6
366450,0,0,123000,366450,124698,61500,6,2,1,2007,31.66779,-101.55234,8181,1,4,5,2,2,0,15.424,1,7,2,3,7689,8011,3,3,NA,6
365484,0,0,123000,365484,123732,61500,4,2,1,2007,31.77384,-101.71001,8492,5,3,5,2,2,0,34.88893209,1,7,2,3,8193,8413,3,3,NA,6
0,9520,592788,603100,602308,89690,141700,4,14,1,2007,31.74921,-101.60913,8750,3,1,18,4,7,0,20.11541731,3,7,7,3,8142,8438,6,3,20,6
0,0,633108,584800,633108,189756,199000,4,14,1,2007,31.74169,-101.6067,8547,4,1,18,4,4,0,20.072,3,7,4,3,6477,6775,6,3,10,5
0,10750,245788,234101,256538,57767,165641,6,27,1,2007,31.72677,-101.58867,9510,1,3,26,4,8,0,12.64935437,5,7,8,3,7943,8026,11,3,16,6
536943,4000,0,610000,540943,341928,4e+05,4,14,1,2007,31.75205,-101.6277,8750,4,1,18,3,4,0,20.7,3,7,4,3,8288,8467,3,3,NA,6
0,14250,403229,600723,417479,47393,138461,4,2,1,2008,31.76536,-101.76084,9894,4,3,5,6,12,0,17.63959573,1,7,12,3,6911,7065,11,3,NA,6
0,8250,486631,591188,494881,46429,182011,3,2,1,2007,31.71962,-101.76398,9840,4,3,18,5,10,0,28.09232775,3,7,10,3,6990,7058,11,3,16,6
258392,0,0,466275,258392,174688,214875,6,2,1,2008,31.65722,-101.54181,8252,4,4,18,2,2,0,22.11157295,3,7,2,3,7672,8113,9,3,17,6
0,16500,451507,561280,468007,72210,183837,4,2,1,2007,31.72807,-101.74337,9900,4,3,5,5,10,0,10.56,1,7,10,3,6900,7048,11,3,NA,6
616476,0,0,799820,616476,616476,799820,4,13,1,2007,31.85385,-101.66055,10499,1,5,1,1,1,0,40.092,1,1,1,3,6606,10318,3,3,11,NA
0,14250,369411,474363,383661,52601,140817,3,2,1,2008,31.72585,-101.75281,9886,4,3,18,6,12,0,8.086191594,3,7,12,3,6982,7125,11,3,NA,6
0,14250,384132,522900,398382,48792,140167,4,2,1,2008,31.71945,-101.73191,9878,4,3,18,6,12,0,8.808,3,7,12,3,6920,7073,11,3,NA,6
0,17000,484369,539400,501369,44767,130834,3,2,1,2008,31.76379,-101.76925,9880,3,3,5,6,12,0,24.40562809,1,7,12,3,6934,7086,11,3,NA,3
0,15100,468244,545820,483344,53706,133719,3,2,1,2008,31.76703,-101.77028,9876,3,3,5,6,12,0,42.25256061,1,7,12,3,6931,7082,11,3,NA,6
0,19000,552036,552180,571036,46609,130467,4,27,1,2008,31.97212,-101.68489,9983,3,5,5,7,14,0,21.94799122,1,7,14,3,6427,6480,11,3,NA,6
0,14250,403696,474820,417946,53626,133680,3,2,1,2008,31.71701,-101.75875,9890,NA,NA,18,6,12,0,9.735,3,7,12,3,6974,7131,11,3,NA,6
0,14250,451957,638440,466207,48842,142580,4,2,1,2008,31.7278,-101.72911,9878,3,3,18,6,12,0,11.934,3,7,12,3,6875,7027,11,3,NA,6
15848,0,0,902460,153212,23277.5,902460,4,13,1,2007,31.96851,-101.76248,10660,4,4,18,1,1,0,49.36,3,7,1,3,6875,10087,9,3,NA,NA
0,17250,357076,526821,374326,46629,136241,6,27,1,2008,31.71347,-101.59782,9598,1,3,18,6,12,0,25.04,3,7,12,3,6451,6460,11,3,NA,6
0,5250,172916,470520,178166,47820,135304,4,27,1,2008,31.81536,-101.74153,8704,5,2,18,3,6,0,48.844,3,7,6,3,6914,7071,11,3,NA,6
0,7500,221728,222173,229228,49643,137039,4,27,1,2008,31.79785,-101.64239,10255,3,4,5,4,8,0,25.376,1,7,8,3,6525,6595,11,3,NA,6
0,13500,431728,514420,445228,53621,137543,4,27,1,2008,31.79072,-101.64008,10176,1,3,5,6,12,0,24.14,1,7,12,3,6523,6552,11,3,NA,1
10000,26000,508689,413900,547689,23277.5,NA,4,4,1,2008,31.9583,-101.69382,10500,4,5,4,8,16,0,66.2739258,1,6,16,3,10024,10074,9,NA,NA,NA
0,6000,211068,606324,217068,44167,139450,6,27,1,2008,31.68924,-101.62125,8362,1,3,16,4,8,0,32.076,3,5,8,3,6540,6680,11,3,NA,6
0,6000,217988,580155,223988,51788,140070,6,27,1,2008,31.68763,-101.61187,8338,4,3,16,4,8,0,22.828,3,5,8,3,6506,6622,11,3,NA,6
0,6000,232412,579200,238412,54204,135287,6,27,1,2008,31.69162,-101.60838,8295,4,3,3,4,8,0,15.55114674,1,5,8,3,6481,6601,11,3,NA,6
0,12000,547628,602280,559628,42873,130934,3,2,1,2008,31.72171,-101.77145,9882,4,3,18,7,14,0,11.188,3,7,14,3,7082,7174,11,3,20,6
0,20000,676928,648070,696928,52794,134130,3,2,1,2008,31.71538,-101.76703,9876,4,3,18,7,14,0,25.4251233,3,7,14,3,6990,7060,11,3,NA,6
0,19000,570219,621902,589219,48079,141147,3,2,1,2008,31.71336,-101.77513,9886,4,3,18,7,14,0,16.768,3,7,14,3,6997,7068,11,3,NA,6
0,16128,1004640,1221471.973,1020768,1004640,927236,4,13,1,2008,31.85353,-101.65011,10511,3,3,1,1,2,0,45.376,1,1,2,3,6556,10005,6,3,9,NA
0,18000,679906,1328840,697906,73222,177573,4,27,1,2008,31.98413,-101.73284,9976,4,5,11,11,22,0,17.38,2,7,22,3,7267,7341,11,3,20,6
0,26000,0,402403,153212,23277.5,0,4,22,1,2008,31.74877,-101.68896,9535,4,4,26,4,8,0,35.256,5,7,8,1,9254,9407,1,NA,11,NA
0,10500,563526,224088,574026,27231,16598,4,27,1,2009,31.99172,-101.66464,10030,1,5,26,6,12,0,14.11666124,5,7,12,3,7818,7828,11,3,20,6
0,14000,864409,449794,878409,195873,136963,4,27,1,2009,31.97545,-101.66831,9996,3,5,26,6,12,0,55.764,5,7,12,3,8006,8030,11,3,20,6
0,12080,474075,318295,486155,84620,40104,6,4,1,2008,31.70944,-101.48711,10200,1,5,21,5,10,0,28.724,5,1,10,3,9742,9942,11,3,20,6
0,12000,755718,672071,767718,57414,122013,4,27,1,2008,31.76686,-101.61135,10568,3,4,18,7,14,0,19.24918288,3,7,14,3,6463,6493,11,3,20,6
0,12500,460671,257881,473171,51236,41265,4,27,1,2008,31.77082,-101.59428,10404,3,1,21,4,9,0,62.13588059,5,1,9,3,8442,8456,11,3,20,6
NA,NA,NA,NA,NA,NA,NA,4,22,1,2008,31.75941,-101.72288,9500,5,3,11,NA,1,NA,68.40805807,2,7,1,4,7450,9342,NA,NA,NA,NA
0,10500,624937,695140,635437,47962,134806,4,27,1,2008,31.76303,-101.59157,10430,4,5,18,6,12,0,27.776,3,7,12,3,6423,6474,11,3,20,6
0,13500,979212,744620,992712,74676,180500,4,27,1,2009,31.97958,-101.652,10017,1,5,26,8,16,0,55.332,5,7,16,3,7684,7777,11,3,20,6
0,26000,321339,516840,520460,51408,131780,4,27,1,2009,31.77052,-101.6114,10488,3,3,17,5,13,57594,16.288,3,6,13,3,6473,6767,11,3,20,6
0,10000,443297,554580,453297,68764,183892,4,27,1,2009,31.79265,-101.63186,10161,1,4,18,6,12,0,39.94539112,3,7,12,3,6555,6560,11,3,20,6
0,10500,418005,563980,428505,59934,112994,4,27,1,2009,31.76336,-101.62769,10091,1,3,18,6,12,0,55.758,3,7,12,3,6559,6564,11,3,20,6
0,10500,514797,562960,525297,38661,115720,4,27,1,2009,31.76546,-101.61875,10108,4,4,18,6,12,0,30.744,3,7,12,3,6522,6668,11,3,20,6
0,12000,1338664.45,1018714,1371338,73378,181008,4,27,1,2010,31.98761,-101.681,10100,1,5,18,7,14,0,63.824,3,7,14,3,6480,6698,11,3,20,6
0,10000,487524,413620,497524,67150,157957,4,27,1,2009,31.79046,-101.60914,10034,5,3,11,6,12,0,71.54,2,7,12,3,7609,7667,11,3,20,6
0,0,1338664.45,1335256,1401510,250962,121444,4,27,1,2011,31.77154,-101.59111,10040,3,1,5,4,8,0,21.28,1,7,8,3,9689,9904,11,3,20,NA
0,10000,605580,666840,615580,50568,156657,4,27,1,2009,31.75976,-101.59489,10006,4,5,18,7,14,0,18.724,3,7,14,3,6429,6553,11,3,20,6
0,9500,576654,485020,586154,62286,132735,4,27,1,2009,31.89392,-101.7133,9582,4,1,11,6,12,0,36.49085403,2,7,12,3,7591,7619,11,3,20,6
817824,10000,0,1398355.9,827824,817824,717200,4,5,1,2009,31.92043,-101.7098,10300,1,4,10,1,2,0,34.6978439,2,6,2,3,7388,10146,6,3,9,6
9828,14070,1016148,1373343.945,1040046,1016148,927236,4,13,1,2009,31.9457,-101.75215,10560,4,3,13,1,3,0,69.756,3,1,3,3,6879,10450,11,3,NA,NA
1075580.1,0,0,797164,1408201.2,1231011.6,797164,6,14,1,2010,31.71028,-101.49617,9937,1,5,10,1,1,0,34.512,2,6,1,3,7154,9833,9,3,9,NA
722358,12696,0,314800,735054,722358,314800,4,5,1,2009,31.95289,-101.72332,10262,1,5,6,1,2,0,26.556,2,1,2,3,7864,10152,9,3,NA,6
0,13500,877794,696467,891294,56544,142720,4,27,1,2010,31.96948,-101.71061,10095,1,1,18,8,16,0,25.224,3,7,16,3,6662,6667,11,3,20,6
768857,0,0,609217,768857,768857,609217,6,14,1,2010,31.69581,-101.44731,9905,3,5,6,1,1,0,19.788,2,1,1,3,7042,9805,9,3,9,NA
0,26000,1338664.45,1124217,1408201.2,60312,150091,4,27,1,2010,31.87677,-101.70701,10235,5,5,18,8,16,0,49.828,3,7,16,3,6750,6871,11,3,20,1
0,12492,0,886704,153212,NA,243600,4,5,1,2010,31.94541,-101.73029,10850,4,1,27,1,2,0,73.936,5,8,2,3,9752,10746,NA,3,NA,2
0,26000,719000,931000,769700,28700,0,4,14,1,2010,31.74359,-101.59842,10771,4,5,2,7,13,0,47.484,1,4,13,1,10500,10720,1,NA,11,NA
0,11592,1119972,1145088.027,1131564,1119972,927236,6,13,1,2010,31.67693,-101.59032,10230,4,4,25,1,2,0,28.372,5,6,2,3,7857,10135,6,3,9,NA
0,26000,924000,952000,973000,81000,50000,4,14,1,2010,31.75784,-101.60308,10901,4,5,2,10,20,0,41.77,1,4,20,3,10650,10661,6,3,9,6
0,26000,723000,884000,778000,23277.5,0,4,14,1,2010,31.7382,-101.61949,10856,4,1,2,8,16,0,36.072,1,4,16,1,10060,10812,1,NA,11,NA
0,13500,1082429,1152937,1095929,72408,204399,4,27,1,2010,31.86384,-101.72647,10752,3,4,18,8,16,0,37.35049321,3,7,16,3,6967,7203,11,3,20,1
1068228,0,0,877792,1068228,1068228,877792,6,14,1,2010,31.71895,-101.50778,9990,4,1,4,1,1,0,61.80434803,1,6,1,3,6046,9891,9,3,9,NA
1038996,12600,0,1398355.9,1051596,1038996,927236,4,13,1,2011,31.844,-101.652,10510,4,1,13,1,2,0,53.388,3,1,2,3,6602,10419,3,3,9,NA
237250,0,449500,522438,686750,43000,16500,4,2,1,2011,31.82076,-101.53848,10863,4,1,27,7,7,0,35.412,5,8,7,3,10016,10326,11,3,20,NA
0,1000,616300,533788,617300,23277.5,6000,4,2,1,2011,31.82961,-101.55073,10848,3,4,24,5,6,0,53.116,5,4,6,3,10764,10766,6,3,3,NA
951720,0,0,985400,951720,951720,927236,4,11,1,2011,31.81269,-101.59484,10438,3,5,6,1,1,0,84.72,2,1,1,3,6910,10366,3,3,NA,NA
0,15834,24110,1398355.9,153212,24110,927236,6,13,1,2010,31.6895,-101.52123,10613,4,5,15,1,2,0,41.68,3,4,2,3,6170,10474,6,3,9,NA
0,16500,1338664.45,1285422,1408201.2,1231011.6,601501,4,27,1,2011,31.87397,-101.72086,10306,4,4,18,3,6,0,23.642,3,7,6,3,8380,10103,11,3,20,NA
0,0,1338664.45,1353425,1408201.2,1231011.6,849581,4,27,1,2011,31.97912,-101.70475,10401,4,1,17,3,6,0,23.042,3,6,6,3,8225,10056,11,3,20,10
0,25116,0,398000,153212,NA,37000,4,4,1,2010,31.96115,-101.68141,10579,1,5,6,5,13,0,32.96370677,2,1,13,3,10024,10204,NA,3,NA,NA
0,20034,0,402000,153212,NA,25000,4,4,1,2010,31.8471,-101.57354,10415,4,5,21,6,12,0,13.372,5,1,12,3,9934,10084,NA,3,NA,NA
0,22092,1122618,1139711.973,1144710,1122618,927236,6,13,1,2011,31.68072,-101.52661,10540,4,1,8,1,2,0,58.952,2,3,2,3,6906,10394,6,3,9,NA
1075580.1,16000,0,1266600,1408201.2,306600,183400,6,19,1,2010,31.67846,-101.47281,10025,1,2,21,5,10,0,90.188,5,1,10,3,9709,9866,9,3,NA,NA
0,22600,0,1317700,1408201.2,491400,230600,6,19,1,2010,31.69121,-101.4814,10080,4,5,21,6,12,2356200,98.23186666,5,1,12,3,9746,9919,8,3,17,NA
0,17000,679602,1398355.9,696602,679602,413100,4,5,1,2011,31.95992,-101.70317,10992,3,5,23,1,2,0,75.576,5,3,2,3,8350,10651,11,4,20,NA
0,16500,1196362,1398355.9,1212862,302878,173526,4,27,1,2011,31.97697,-101.66415,9975,3,5,4,4,8,0,41.86032034,1,6,8,3,9849,9926,11,3,9,9
636720,8190,0,713440,644910,73878,50000,4,5,1,2011,31.96872,-101.7499,10523,3,4,25,2,4,0,35.212,5,6,4,3,10182,10267,3,3,NA,6
0,0,1134264,993540,1134264,40000,1e+05,4,2,1,2011,31.73955,-101.62893,10985,4,4,2,7,7,0,94.12444184,1,4,7,3,10839,10902,6,3,NA,NA
0,0,1201204,1084729,1201204,40000,49750,4,2,1,2011,31.75303,-101.63589,11000,1,4,15,7,7,0,82.72679578,3,4,7,3,10809,10908,6,3,NA,NA
0,13500,1102391,1175163,1115891,836252,557409,4,27,1,2011,31.94875,-101.68634,10191,5,5,17,3,6,0,182.758,3,6,6,3,8346,9964,6,3,9,NA
0,22000,0,650000,153212,NA,80000,6,4,1,2011,31.73672,-101.43366,9980,4,5,6,8,16,0,9.968,2,1,16,3,9607,9741,NA,3,NA,NA
0,16500,1338664.45,1398355.9,1408201.2,1228962,902190,4,27,1,2011,31.97423,-101.59722,9903,5,5,4,2,4,0,4.196,1,6,4,3,7496,9673,11,3,20,NA
0,15120,1103760,1329888.027,1118880,1103760,927236,6,13,1,2011,31.69479,-101.53103,10622,4,1,15,1,2,0,36.92,3,4,2,3,6211,10509,6,3,9,NA
0,15000,1331749,1333245,1346749,118694,87885,4,27,1,2011,31.93995,-101.74466,10330,3,3,4,4,8,0,64.232,1,6,8,3,10126,10182,11,3,20,NA
1055334,0,0,NA,1055334,23277.5,0,4,14,1,2011,31.75392,-101.6194,10885,4,1,2,1,1,0,95.636,1,4,2,1,6479,10872,1,NA,11,NA
891450,4404,0,791000,895854,23277.5,0,4,14,1,2011,31.73674,-101.6095,10800,4,3,13,1,2,0,56.668,3,1,2,1,6508,10375,1,NA,11,NA
0,24360,0,510500,153212,NA,52500,4,4,1,2011,31.8576,-101.57674,10295,4,4,6,8,16,0,15.792,2,1,16,3,9951,10144,NA,3,NA,NA
0,24612,0,520500,153212,NA,29000,4,4,1,2011,31.84445,-101.58629,10370,1,5,6,8,16,0,23.312,2,1,16,3,9892,10096,NA,3,NA,NA
0,26000,0,501500,153212,NA,29000,6,4,1,2011,31.70158,-101.42258,9993,1,5,21,7,14,0,19.484,5,1,14,3,9737,9876,NA,3,NA,NA
1e+05,26000,513000,846000,646000,1e+05,51000,4,14,1,2011,31.75591,-101.6113,10715,3,1,1,8,16,0,36.824,1,1,16,3,10099,10294,3,3,3,6
218000,26000,412000,740000,664000,108000,50000,4,14,1,2011,31.75941,-101.61243,10834,3,1,9,8,16,0,41.876,2,4,16,3,10700,10719,3,3,4,6
344000,26000,435000,873000,816000,96000,50000,4,14,1,2011,31.76037,-101.60834,10908,3,5,15,8,16,0,30.524,3,4,16,3,10510,10709,3,3,3,6
248000,26000,466000,862000,748000,118000,78000,4,14,1,2011,31.7623,-101.60013,10896,4,5,13,7,14,0,27.412,3,1,14,3,10046,10301,3,3,3,6
423000,26000,290000,843000,747000,118000,75000,4,14,1,2011,31.75537,-101.59803,10710,4,5,13,7,14,0,31.096,3,1,14,3,10051,10271,3,3,3,6
232000,26000,455000,776000,719000,116000,75000,4,14,1,2011,31.73636,-101.59605,10689,3,1,6,7,14,0,30.76,2,1,14,3,10014,10315,3,3,3,6
213000,26000,414000,738000,659000,110000,75000,4,14,1,2011,31.74163,-101.59273,10710,4,5,6,7,14,0,30.044,2,1,14,3,10030,10313,3,3,3,6
226000,26000,356000,685000,608000,123000,75000,4,14,1,2011,31.73728,-101.59195,10593,3,1,6,7,13,0,30.492,2,1,13,3,10004,10297,3,3,4,6
226500,26000,377000,733000,636000,110000,75000,4,14,1,2011,31.74802,-101.59546,10801,4,5,6,7,14,0,29.132,2,1,14,3,10078,10325,3,3,3,6
0,26000,5e+05,683500,529000,108000,75000,4,14,1,2012,31.74285,-101.61588,10880,NA,NA,17,6,12,0,42.18,3,6,12,3,10072,10189,11,3,3,6
125000,26000,331000,811000,490000,125000,95000,4,14,1,2011,31.75049,-101.60108,10676,4,5,5,8,16,0,21.352,1,7,16,3,9596,9918,3,3,4,6
225000,26000,433000,898500,691000,110000,51000,4,14,1,2011,31.75775,-101.62181,10898,3,4,4,8,16,0,19.268,1,6,16,3,10076,10177,3,3,3,6
225000,26000,416000,834000,675500,110000,75000,4,14,1,2011,31.73012,-101.62132,10818,3,4,6,8,16,0,18.056,2,1,16,3,10148,10489,3,3,3,6
0,13500,1151566,1212034,1165066,855820,573189,4,27,1,2011,31.84179,-101.69247,10405,1,3,5,3,6,0,36.568,1,7,6,3,8664,10041,11,3,20,NA
0,0,1110038,1178247,1110038,829533,562654,4,27,1,2011,31.89422,-101.69491,10125,5,5,5,3,6,0,25.364,1,7,6,3,8317,9815,6,3,9,9
0,24066,0,663000,153212,NA,78000,6,4,1,2011,31.73061,-101.42734,9985,4,5,6,8,16,0,28.784,2,1,16,3,9678,9816,NA,3,NA,NA
0,14112,979062,972860,993174,979062,927236,4,13,1,2011,31.95503,-101.75882,10654,4,4,13,1,2,0,46.584,3,1,2,3,7445,10586,6,3,9,NA
0,12096,951846,786080,963942,951846,786080,4,13,1,2011,31.96223,-101.76108,10622,NA,NA,6,1,2,0,74.564,2,1,2,3,7588,10550,6,3,9,NA
0,16500,1338664.45,1398355.9,1360358,175680,119785,4,27,1,2011,31.91226,-101.74536,10275,4,3,17,4,8,0,73.544,3,6,8,3,10070,10182,11,3,9,9
0,0,1338664.45,1391744,1369538,23277.5,0,4,27,1,2011,31.98098,-101.67887,10198,1,5,17,4,4,0,129.9206302,3,6,5,1,6507,10022,1,NA,11,NA
0,0,1291704,1398355.9,1291704,23277.5,0,4,27,1,2011,31.98844,-101.65041,10187,1,1,17,4,4,0,51.348,3,6,5,1,6314,9918,1,NA,11,NA
416000,26000,338000,741000,780300,98000,50000,6,14,1,2011,31.68682,-101.45337,10559,3,5,9,6,12,0,16.16,2,4,12,3,10158,10305,3,3,17,6
NA,NA,NA,NA,NA,NA,0,6,18,1,2011,31.6577,-101.43634,10200,3,1,14,12,12,NA,423.792,3,3,12,3,9804,10061,1,NA,11,NA
0,15500,0,1167000,1408201.2,420000,258000,6,19,1,2011,31.67198,-101.49734,10373,4,1,23,5,9,2016000,152.468,5,3,9,3,9816,10223,8,3,17,NA
0,24108,0,562000,153212,NA,10000,6,4,1,2011,31.70065,-101.48874,10200,3,5,6,8,16,0,26.888,2,1,16,3,9714,9946,NA,3,NA,NA
0,13500,1239351,1380160,1252851,182505,130227,4,27,1,2011,31.86166,-101.70396,10340,1,2,17,4,8,0,39.84,3,6,8,3,10200,10264,6,3,NA,NA
