WellID,CLFK..KHW.,U_SPBR..KHW.,L_SPBR..KHW.,WFMP..KHW.,WFMP_L..KHW.,WFMP_ATB..KH,CLINE..KHW.,STRN..KHW.,ATOK..KHW.,BEND..KHW.,ATOKA_L..KHW,MPLM..KHW.,WDFD..KHW.,DVNN..KHW.,CLEARFORK..MAP.,SPRABERRY_U..MAP.,SPRABERRY_L..MAP.,WOLFCAMP..MA,WOLFCAMP_L..,WFMP_ATB..MA,CLINE..MAP.,STRAWN..MAP.,ATOKA..MAP.,BEND..MAP.,ATOKA_L..MAP,MISSISSIPPIA,WOODFORD..MA,DEVINOAN_UNC
66,5593.75,6418.09,6974,8045,8302.39,8917,NA,NA,NA,NA,NA,NA,NA,NA,5602,6422.52,6974.9,8033.8,8309.29,8919.36,9729.57,10029.87,10166.12,10276.44,10361.86,10488.96,10637.45,10685.01
67,5731,6856,7489,8360,8607,8977,9815,10210,10358,NA,NA,NA,NA,NA,5731.06,6848.04,7384.23,8353.57,8663.32,8975.42,9812.63,10199.4,10321.08,10290.82,10313.39,10688.76,10866.81,10922.64
68,5741,6858,7507,8362,8650,9019,9800,10195,10334,NA,NA,NA,NA,NA,5740.1,6845.52,7400.29,8368.93,8621.72,9015.62,9803.48,10188.16,10290.26,10287.07,10306.83,10639.79,10838.65,10888.38
69,5419,6414.96,6962,8020,8317.09,8923,NA,NA,NA,NA,NA,NA,NA,NA,5578.64,6410,6962.73,8022.67,8306.56,8921.48,9717.77,10018.08,10146.65,10264.08,10346.84,10477.69,10618.25,10666.74
70,5606,6469,6937,7981,8367,8706,9565,NA,NA,NA,NA,NA,NA,NA,5605.54,6472.79,6944.09,7974.74,8349.47,8705.88,9565.61,9928.16,10055.74,10145.22,10161.74,10343.41,10582.41,10627.13
72,5366,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5364.67,6226.92,6775.54,7841.96,8155.5,8515.29,9583.85,9945.13,10081.03,10164.06,10178.92,10418.82,10540.49,10567.32
73,5848,6798,7363,8361,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5848.17,6844.06,7383.86,8387.38,8618.67,9006.28,9959.37,10248.16,10400.45,10506.85,10608.77,10828.14,10976.17,11048.69
74,5444,6453,6996,8060,8331,NA,NA,NA,NA,NA,NA,NA,NA,NA,5870.01,6454.29,7002.43,8056.83,8333.74,8926.06,9736.28,10034.73,10167.07,10290.86,10372.7,10493.35,10616.88,10663.26
76,5472,6477,7035,8048,8328,NA,NA,NA,NA,NA,NA,NA,NA,NA,5759.69,6475.74,7032.73,8050.34,8330.24,8938.47,9733.72,10033.71,10179.51,10283.24,10370.27,10498.22,10641.08,10684.12
79,5388,6386,6934,7992,8223,NA,NA,NA,NA,NA,NA,NA,NA,NA,5539.47,6393.21,6940.77,8002.15,8232.5,8802.01,9694.29,9999.46,10127.2,10248.51,10321.62,10465.93,10601.3,10648.98
82,5563,6552,7109,8142,8438,NA,NA,NA,NA,NA,NA,NA,NA,NA,5804.03,6543.88,7100.27,8133.28,8426.22,8918.05,9769.73,10067.23,10198.2,10317.45,10393.27,10551.43,10686.83,10757.71
86,5907,6889,7469,8456,8741,9142,NA,NA,NA,NA,NA,NA,NA,NA,5901.72,6908.18,7480.1,8465.52,8741.71,9142.19,10057.13,10349.79,10495.96,10552.91,10674.67,11056.42,11152.5,11238.88
87,6019,6967,7449,8533,8806,9222,NA,NA,NA,NA,NA,NA,NA,NA,6019.6,6982.38,7536.17,8533.26,8819.67,9221.06,10132.74,10436.89,10586.97,10650.8,10795.03,11151.77,11259.6,11342.44
89,5301,6223,6785,7845,8146,NA,NA,NA,NA,NA,NA,NA,NA,NA,5300.94,6222.99,6784.87,7844.95,8145.98,8493.1,9577.74,9953.47,10082.58,10163.42,10165.78,10424.66,10538.55,10563.72
90,5961,6885,7442,8433,8680,9137,NA,NA,NA,NA,NA,NA,NA,NA,5960.59,6898.79,7455.81,8451.59,8727.2,9137.24,10057.33,10369.75,10518.3,10588.7,10725.9,11045.98,11159.13,11237.4
91,NA,6618,7156,8180,8624,9026,9836,10124,10256,NA,NA,NA,NA,NA,5842.67,6616.47,7149.99,8175.8,8620.26,9013.12,9830.66,10119.89,10251.11,10346.13,10404.98,10551.57,10722.62,10780.47
93,5991,6952,7517,8454,8787,9305,NA,NA,NA,NA,NA,NA,NA,NA,5990.57,6939.13,7505.69,8491.98,8779.66,9303.61,10102.93,10411.91,10560.93,10626.84,10767.01,11108.43,11215.41,11295.89
94,5977,6851,7471,8454,8717,9173,NA,NA,NA,NA,NA,NA,NA,NA,5977.68,6885.21,7440.04,8440.01,8700.83,9168.28,10047.9,10362.93,10510.81,10588.53,10726.23,11012.23,11138.99,11212.98
95,5919,6885,7464,8449,8778,9161,NA,NA,NA,NA,NA,NA,NA,NA,5918.41,6945.57,7506.32,8479.72,8755.72,9161.42,10066.28,10361.52,10506.36,10556.48,10680.99,11091.63,11176.88,11265.85
96,5917,6913,7474,8456,8747,9157,NA,NA,NA,NA,NA,NA,NA,NA,5901.31,6921.75,7485.48,8463.03,8748.42,9157.52,10053.44,10348.08,10493.15,10542.75,10665.61,11077.67,11165.82,11254.43
97,5595,6405,6900,7934,8338,8678,9595,NA,NA,NA,NA,NA,NA,NA,5595.58,6411.56,6909.38,7932.99,8335.99,8684.44,9593.99,9902.05,10031.8,10120.27,10138.02,10319.15,10549.76,10587.93
98,6021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6020.94,6969.26,7517.9,8515.57,8805.79,9192.7,10125.31,10433.02,10583.6,10649.17,10790.02,11136.67,11249.55,11330.82
99,5949,6841,7430,8451,8707,9055,NA,NA,NA,NA,NA,NA,NA,NA,5949.09,6856.22,7420.63,8419.03,8682.73,9048.53,10025.58,10339.58,10487.28,10568.3,10703.59,10982.42,11108.68,11182.96
102,NA,NA,7565,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5760.07,6870.3,7407.17,8384.17,8666.66,9069.49,9849.37,10199.16,10331.09,10282.61,10306.14,10706.32,10891.29,10950.28
103,5469,6414,6978,8028,8299,NA,NA,NA,NA,NA,NA,NA,NA,NA,5589.97,6418.77,6974.6,8024.78,8296.07,8699.07,9687.99,10013.44,10151.12,10282.93,10354.71,10500.41,10628.23,10684.6
105,5636,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5644.37,6880.96,7434.97,8416.43,8710.32,8979.91,9965.59,10266.34,10405.15,10468.94,10569.73,10848.36,10982.68,11068.36
106,5555,6516,7104,8121,8375,8910,9768,10064,NA,NA,NA,NA,NA,NA,5844.92,6528.04,7090.35,8125.08,8380.39,8913.57,9772.69,10075.7,10232.87,10334.67,10411.91,10572.12,10712.41,10771.96
107,5503,6531,7086,8118,8375,9003,9802,NA,NA,NA,NA,NA,NA,NA,5867.84,6530.18,7086.79,8118.69,8376,8998.33,9801.52,10095.37,10239.1,10339.12,10426.46,10578.33,10722.03,10784.52
110,5690,6510,7024,8048,8274,8803,9653,9976,10099,NA,NA,NA,NA,NA,5641.49,6512.8,7025.66,8049.07,8275.61,8801.89,9652.32,9976.09,10100.02,10162.78,10182.29,10419.08,10640.31,10687.28
112,5391,6516,7065,8095,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5728.35,6523.73,7076.12,8097.78,8399.7,8807.62,9843.69,10139.65,10264.75,10357.14,10479.02,10652.7,10811.63,10878.81
113,5662,6446,7028,8057,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5730.37,6464.37,7034.36,8062.08,8368.1,8753.16,9803.35,10100.33,10236.71,10339.52,10430.38,10614.56,10765.16,10828.11
114,5554,6439,7013,8058,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5697.62,6459.04,7026.05,8065.68,8358.3,8730.97,9784.02,10085.25,10223.8,10328.66,10428.46,10598.55,10743.98,10806.36
115,6008,6966,7541,8537,8833,9238,NA,NA,NA,NA,NA,NA,NA,NA,6009.36,6991.47,7552.71,8544.02,8820.6,9237.41,10128.62,10428.43,10577.97,10639.7,10786.9,11155.31,11258.76,11342.94
116,6041,6942,7506,8530,8820,9241,NA,NA,NA,NA,NA,NA,NA,NA,6042.87,6975.75,7532.53,8531.42,8812.77,9236.76,10121.81,10425.36,10576.94,10640.77,10785.34,11142.8,11256.4,11353.72
118,6081,6980,7542,8536,8841,9242,NA,NA,NA,NA,NA,NA,NA,NA,6077.73,6984.04,7548.13,8538.81,8837.8,9242.08,10140.9,10439.03,10591.36,10655.03,10803.3,11164.41,11282.96,11367.9
120,NA,6554,7067,8120,8569,8988,9785,10066,10199,NA,NA,NA,NA,NA,5773.31,6559.58,7069.92,8112.12,8562.63,8984.6,9785.82,10063.95,10194.97,10324.62,10364.04,10526.27,10700.94,10752.5
121,5637,6754,7251,8265,8482,9008,9758,NA,NA,NA,NA,NA,NA,NA,5636.13,6754.04,7256.96,8266.1,8660.18,9003.94,9757.92,10111.71,10247.1,10268.33,10286.46,10568.89,10820.86,10873.59
122,5919,6744,7323,8331,8604,NA,NA,NA,NA,NA,NA,NA,NA,NA,5874.86,6749.93,7317.24,8326.45,8593.76,8955.58,9922.21,10224.9,10377.38,10487.18,10592.56,10773.62,10937.74,11006.44
124,5661,6651,7045,7884,8262,NA,9577,NA,NA,NA,NA,NA,NA,NA,5661.46,6402.77,6899.05,7806.19,8191.27,8469.54,9576.55,9898.82,10041.31,NA,10161.91,10299.24,10565.94,10620.19
125,5494,6336,6850,7868,8173,8515,9533,9846,NA,NA,NA,NA,NA,NA,5624.76,6340.94,6848.88,7857.47,8173.58,8514.97,9532.81,9846.54,10004.21,10103.34,10124.88,10272.73,10508.12,10548.28
129,5019,NA,NA,NA,NA,NA,9362,9740,9819,NA,NA,NA,NA,NA,5020.9,6016.19,6543.34,7660.16,8084.61,8228.5,9362.51,9743.87,9825.71,9963.17,9983.66,10091.85,10250.11,10333.86
131,5454,6445,6998,8063,8341,8872,9738,10043,10181,NA,10348,NA,NA,NA,5762.24,6445.29,6998.57,8063.26,8341.04,8872.44,9739.87,10044.38,10182.67,10283.2,10348.36,10521.5,10647.2,10701.53
132,5309,6412,6928,8003,8271,8778,9727,10024,10152,NA,NA,NA,NA,NA,5650.37,6395.12,6927.38,7995.28,8272.45,8779.05,9724.63,10013.76,10144.47,10234.47,10307.41,10454.49,10577.01,10626.2
133,6068,6843,7401,8404,8683,9085,NA,NA,NA,NA,NA,NA,NA,NA,5902.67,6847.48,7403.98,8405.61,8675.89,9085.92,10008.68,10309.58,10459.84,10552.44,10665.79,10927.11,11061.06,11136.76
135,5297,6372,6923,7984,8275,8774,9711,10009,10131,NA,NA,NA,NA,NA,5659.36,6377.57,6925.17,7985.77,8274.13,8764.83,9704.47,10006.93,10128.97,10228.05,10299.53,10450.86,10568.37,10615.92
136,5386,6299,6815,7787,8050,8532,9541,9852,NA,NA,NA,NA,NA,NA,5643.16,6297.33,6796.73,7734.06,8042.28,8529.04,9540.49,9849.3,9978.24,10089.71,10115.56,10253.64,10490.12,10547.61
138,5453,6437,7000,8069,8343,8882,9765,10054,10199,NA,NA,NA,NA,NA,5743.43,6446.88,7003.63,8068.26,8342.19,8879.48,9762.3,10052.38,10194.74,10282.27,10352.78,10523.1,10650.5,10706.56
142,5476,6510,7088,8129,8399,8957,9810,10105,NA,NA,NA,NA,NA,NA,5863.51,6512.79,7082.53,8121.3,8384.44,8954.37,9810.4,10097.24,10218.55,10319.64,10418.07,10557.4,10700.02,10760.81
143,5540,6534,7097,8143,8421,8942,9808,NA,NA,NA,NA,NA,NA,NA,5854.74,6530.35,7092.49,8137.2,8419.22,8941.15,9807.85,10086.87,10221.72,10332.99,10402.44,10571.66,10703.89,10773.2
145,5479,6489,7052,8108,8385,8907,9794,NA,NA,NA,NA,NA,NA,NA,5831.02,6492.1,7051.38,8106.01,8384.84,8906.21,9791.49,10063.76,10199.14,10305.63,10372.13,10545.79,10670.89,10733.33
146,5551,6423,6926,7922,8195,NA,9601,9922,NA,NA,NA,NA,NA,NA,5616.19,6433.5,6933.1,7917.97,8216.32,8680.67,9600.3,9918.17,10032.87,10138.24,10155.42,10303.72,10569.46,10619.51
147,5344,6398,6974,8040,8312,8865,9765,NA,NA,NA,NA,NA,NA,NA,5627.1,6394.48,6964.53,8031.39,8301.2,8866.41,9764.23,10021.16,10148.37,10261.78,10384.48,10491.26,10628.24,10683.67
149,5328,6338,6909,7966,8215,8743,9684,9977,NA,NA,NA,NA,NA,NA,5630.44,6354.83,6912.32,7969.7,8246.16,8740.16,9684.79,9984.28,10125.39,10227.86,10298.86,10439.81,10561.83,10610.25
150,5337,6409,6948,8012,8296,8797,9703,NA,NA,NA,NA,NA,NA,NA,5705.08,6406.19,6949.23,8011.1,8296.22,8798.53,9707.22,10027.12,10147.57,10246.88,10323.46,10473.18,10584.83,10629.68
152,5510,6711,7256,8222,8473,8783,NA,NA,NA,NA,NA,NA,NA,NA,6022.78,6708.38,7254.78,8227,8453.67,8780.62,9769.09,10048.72,10180.82,10281.81,10351.21,10500.47,10659.14,10722.38
153,5901,6613,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5891.7,6613.33,7136.65,8138.01,8475.34,8839.94,9687.94,10018.24,10151.37,10224.25,10266.27,10509.62,10659.45,10716.78
154,5749,6843,7459,8331,8610,9079,9810,10139,10279,NA,NA,NA,NA,NA,5754.56,6846.56,7399.07,8364.1,8629.08,9072.42,9811.15,10145.77,10296.15,10302.4,10319.56,10651.22,10840.99,10883.98
155,5060,NA,NA,7648,NA,NA,9387,9754,9854,NA,NA,NA,NA,NA,5081.09,6046.5,6570.97,7652.57,7996.88,8204.78,9383.1,9745.14,9844.01,9966.3,9975.48,10107.89,10220.94,10301.11
158,5631,6649,7169,8158,8405,8906,9674,9992,NA,NA,NA,NA,NA,NA,5631.57,6677.02,7182.79,8183.78,8525.06,8901.52,9675.23,10003.69,10140.09,10231.85,10255.36,10499.25,10675.93,10729.25
159,5606,6628,7134,8159,8575,8877,9586,NA,NA,NA,NA,NA,NA,NA,5603.69,6624.61,7131.54,8152.49,8569.85,8866.62,9591.88,9998.2,10127.6,10211.57,10228.71,10444.27,10664.45,10712.55
160,4619,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4618.63,5948.32,6489.93,7607.91,7927.83,8187.89,9306.97,9687.86,9788.49,NA,9990.37,9978.48,10152.63,10224.43
163,5541,6727,7275,8270,8510,8720,9815,10111,NA,NA,NA,NA,NA,NA,6162.7,6728.51,7278.03,8267.9,8541.56,8719.71,9814.98,10111.32,10226.55,10336.49,10420.3,10542.69,10703.2,10770.61
164,5882,6716,7232,8217,8447,8970,9735,10102,10224,NA,NA,NA,NA,NA,5690.07,6705.76,7231.26,8216.21,8454.91,8954.87,9731.82,10089.7,10213.9,10231.54,10257.49,10577.14,10698.93,10753.81
171,NA,NA,NA,NA,NA,NA,NA,10023,10156,NA,NA,NA,NA,10668,5712.36,6416.18,6967.17,8033.02,8303.51,8905.64,9723.64,10020.41,10153.41,10268.35,10352.67,10487.95,10610.21,10657.98
172,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5559.38,6421.32,6978.34,8022.09,8293.43,8659.59,9734.31,10033.38,10192.29,10299.82,10333.96,10550.9,10689.05,10739.84
173,5399,6401,6976,8032,8315,NA,9721,10031,10142,NA,NA,NA,10593,10632,5783.03,6410.47,6979.21,8035.21,8318.39,8868.02,9724.18,10034.35,10150.78,10273.26,10352.66,10472.01,10598.27,10638.56
174,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5808.1,6543.77,7096.89,8132.71,8409.75,8958.81,9783.31,10093.42,10237.41,10331.9,10432.23,10565.92,10733.67,10786.36
176,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6168.48,6849.12,7398.04,8378.68,8718.29,8807.21,9909.36,10208.58,10308.27,10385.17,10466.72,10653,10800.29,10884.04
178,5194,6086,6654,7690,NA,NA,9432,9770,9863,NA,NA,NA,NA,NA,5155.24,6085.81,6647.21,7692.69,7982.63,8292.05,9431.29,9771.77,9866.92,10000.78,10039.5,10173.11,10280.1,10334.85
182,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5899.36,6571.83,7104.95,8128.76,8560.77,8985.21,9789.01,10072.23,10198.64,10330.11,10363.37,10546.09,10713.81,10769.22
183,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5525.85,6082.5,6586.64,7663.17,8031.13,8256.87,9490,9808.37,9928.18,10020.99,10117.04,10242.21,10316.15,10362.2
184,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5565.78,6145.17,6670.24,7725.02,8106.89,8303.29,9534.79,9843.98,9972.3,10072.04,10149.15,10268.34,10373.68,10418.4
187,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5649.83,6309.2,6857.75,7945.19,8311.68,8705.28,9656.94,9950.09,10075.19,10218.11,10301.26,10393.07,10546.5,10586.72
189,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5276.07,6139.94,6678.3,7771.21,8201.79,8415.64,9503.42,9858.8,9961.11,10067.46,10103.29,10274.35,10397,10439.5
191,5634,6833,7371,8363,8581,NA,9876,10182,NA,NA,NA,NA,NA,NA,6133.18,6828.8,7371.79,8359.15,8594.64,8768.2,9875.66,10176.49,10261.04,10350.67,10429.68,10594.41,10743.32,10822.59
192,5464,6553,7073,8080,8320,8554,9663,10001,10156,NA,NA,NA,NA,NA,5594.16,6545.88,7066.66,8075.09,8340.42,8557.75,9663.22,10001.15,10148.58,10202.48,10217.67,10448.71,10659.65,10704.5
194,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5685.88,6525.57,7021.73,8007.49,8344.89,8774.23,9649.18,9963.67,10136.84,10177.38,10197.73,10416.44,10623.47,10665.18
196,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5477.16,6203.77,6714.2,7794.14,8208.81,8270.2,9596.1,9889.14,10022,10140.55,10197.16,10302.43,10444.54,10489
200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5295.57,6159.07,6696.08,7781.22,8168.08,8440.85,9509.32,9893.05,10006.93,10087.36,10111.37,10326.18,10440.11,10465.98
